begin,open,close,high,low,value,volume,end
2014-01-06,45.72,43.899,47.998,43.115,166339082.7,3720900,2014-01-06 23:59:59
2014-01-08,43.997,44.8,44.946,43.386,87581126.3,1972600,2014-01-08 23:59:59
2014-01-09,44.737,45.6,45.775,44.02,81798291.1,1818300,2014-01-09 23:59:59
2014-01-10,45.166,45.6,46.99,44.625,191824328.9,4164900,2014-01-10 23:59:59
2014-01-13,45.896,45.617,46.301,45.155,237913153.7,5217800,2014-01-13 23:59:59
2014-01-14,45.165,44.5,45.165,43.4,236713908.6,5313300,2014-01-14 23:59:59
2014-01-15,44.979,44.0,45.175,44.0,229508249.2,5123100,2014-01-15 23:59:59
2014-01-16,44.3,44.5,45.0,44.1,120061953.0,2689700,2014-01-16 23:59:59
2014-01-17,44.69,45.5,45.65,44.002,234058939.5,5203100,2014-01-17 23:59:59
2014-01-20,45.175,45.1,45.43,44.999,96906837.5,2141500,2014-01-20 23:59:59
2014-01-21,45.051,44.7,45.657,44.555,234085452.6,5194700,2014-01-21 23:59:59
2014-01-22,44.8,43.721,44.91,41.75,418372765.6,9776400,2014-01-22 23:59:59
2014-01-23,44.75,42.101,44.75,42.041,136120148.9,3191600,2014-01-23 23:59:59
2014-01-24,42.004,44.75,49.0,40.415,189530966.3,4588400,2014-01-24 23:59:59
2014-01-27,43.275,39.999,43.275,39.65,272368904.9,6750300,2014-01-27 23:59:59
2014-01-28,39.911,39.95,40.293,38.719,327699779.6,8245400,2014-01-28 23:59:59
2014-01-29,40.269,40.14,41.498,39.61,327524969.7,8089600,2014-01-29 23:59:59
2014-01-30,40.115,41.111,41.114,38.8,125791771.8,3117300,2014-01-30 23:59:59
2014-01-31,41.002,41.56,41.56,40.141,188927504.4,4629000,2014-01-31 23:59:59
2014-02-03,41.58,42.45,43.5,41.5,177308575.9,4159300,2014-02-03 23:59:59
2014-02-04,42.0,42.22,42.35,40.467,99698613.8,2382600,2014-02-04 23:59:59
2014-02-05,42.23,42.5,42.908,41.619,150907118.2,3565700,2014-02-05 23:59:59
2014-02-06,42.285,42.747,43.132,41.81,91493063.1,2147000,2014-02-06 23:59:59
2014-02-07,42.746,43.75,43.751,42.531,110177536.8,2549500,2014-02-07 23:59:59
2014-02-10,43.751,43.522,43.972,43.103,38550106.2,884000,2014-02-10 23:59:59
2014-02-11,43.217,43.388,43.55,42.813,82792748.4,1910700,2014-02-11 23:59:59
2014-02-12,43.49,43.82,43.85,43.41,205929663.5,4708100,2014-02-12 23:59:59
2014-02-13,43.517,42.57,43.691,41.62,135506529.5,3149200,2014-02-13 23:59:59
2014-02-14,42.697,43.16,43.299,42.173,128346723.6,2992500,2014-02-14 23:59:59
2014-02-17,42.909,43.0,43.648,42.472,96324263.0,2240300,2014-02-17 23:59:59
2014-02-18,43.29,42.199,43.49,42.105,109367519.3,2563800,2014-02-18 23:59:59
2014-02-19,42.328,40.721,42.7,40.51,211812047.1,5142500,2014-02-19 23:59:59
2014-02-20,40.719,39.03,40.971,38.4,274562411.5,6914100,2014-02-20 23:59:59
2014-02-21,42.15,40.571,42.15,39.3,143276396.7,3564100,2014-02-21 23:59:59
2014-02-24,40.694,41.298,41.4,40.162,172279657.2,4198500,2014-02-24 23:59:59
2014-02-25,41.506,40.32,41.573,39.572,150129480.8,3727300,2014-02-25 23:59:59
2014-02-26,40.415,40.997,41.139,40.41,117824443.7,2879500,2014-02-26 23:59:59
2014-02-27,40.998,41.0,41.604,39.1,83773241.1,2087000,2014-02-27 23:59:59
2014-02-28,40.356,41.001,41.199,39.641,102164284.0,2506800,2014-02-28 23:59:59
2014-03-03,39.135,36.399,39.19,33.0,344508582.1,9562300,2014-03-03 23:59:59
2014-03-04,36.3,37.21,39.3,35.512,358231486.1,9667300,2014-03-04 23:59:59
2014-03-05,37.15,37.258,37.69,35.814,96165495.6,2636200,2014-03-05 23:59:59
2014-03-06,36.8,37.088,37.497,35.98,232394887.6,6322000,2014-03-06 23:59:59
2014-03-07,36.8,35.5,37.077,35.451,446348197.6,12405400,2014-03-07 23:59:59
2014-03-11,35.373,35.3,35.797,33.6,170214291.0,4898400,2014-03-11 23:59:59
2014-03-12,34.093,33.892,35.394,33.578,217406385.8,6314500,2014-03-12 23:59:59
2014-03-13,34.0,32.0,34.491,31.912,268988780.6,8260800,2014-03-13 23:59:59
2014-03-14,31.5,30.55,31.5,28.95,493483379.3,16468300,2014-03-14 23:59:59
2014-03-17,31.266,32.9,34.43,30.424,436447276.9,13406300,2014-03-17 23:59:59
2014-03-18,33.15,36.058,36.941,33.085,209835917.6,6076700,2014-03-18 23:59:59
2014-03-19,36.21,34.916,37.15,34.417,210337419.9,5904400,2014-03-19 23:59:59
2014-03-20,34.04,35.7,35.89,33.61,145596158.8,4160400,2014-03-20 23:59:59
2014-03-21,35.125,34.87,35.385,33.57,272081184.1,7899500,2014-03-21 23:59:59
2014-03-24,34.387,34.997,35.687,34.387,167189355.2,4731500,2014-03-24 23:59:59
2014-03-25,35.198,35.941,36.079,34.411,244409394.5,6861100,2014-03-25 23:59:59
2014-03-26,36.102,36.0,36.996,35.069,244618930.1,6790300,2014-03-26 23:59:59
2014-03-27,36.041,35.44,36.446,34.42,76713810.4,2187100,2014-03-27 23:59:59
2014-03-28,35.49,35.455,35.89,34.0,116972877.3,3309900,2014-03-28 23:59:59
2014-03-31,35.46,35.7,36.184,35.05,166698007.2,4704100,2014-03-31 23:59:59
2014-04-01,35.859,37.15,37.15,35.252,119663846.2,3312200,2014-04-01 23:59:59
2014-04-02,36.941,37.1,37.789,35.861,283296125.5,7685600,2014-04-02 23:59:59
2014-04-03,37.876,38.1,38.824,37.147,482906544.2,12619500,2014-04-03 23:59:59
2014-04-04,38.103,39.094,39.094,37.562,196951412.2,5099600,2014-04-04 23:59:59
2014-04-07,39.551,38.7,39.551,37.052,173392408.2,4553700,2014-04-07 23:59:59
2014-04-08,38.211,39.5,39.5,38.211,196720050.2,5055900,2014-04-08 23:59:59
2014-04-09,39.4,40.45,40.77,39.302,104616100.8,2594200,2014-04-09 23:59:59
2014-04-10,40.667,40.15,40.886,39.691,117058440.9,2904200,2014-04-10 23:59:59
2014-04-11,39.54,39.35,43.0,38.88,98826738.1,2508100,2014-04-11 23:59:59
2014-04-14,38.583,38.25,39.0,38.048,52765688.7,1368300,2014-04-14 23:59:59
2014-04-15,37.934,36.95,38.499,36.381,110286227.1,2975100,2014-04-15 23:59:59
2014-04-16,36.752,37.5,37.7,36.501,56090935.9,1511400,2014-04-16 23:59:59
2014-04-17,37.69,38.461,38.461,37.419,63213230.8,1661000,2014-04-17 23:59:59
2014-04-18,39.0,39.45,41.0,39.0,76580025.9,1913400,2014-04-18 23:59:59
2014-04-21,39.828,38.8,39.828,38.312,50348084.6,1296000,2014-04-21 23:59:59
2014-04-22,38.71,38.7,39.085,37.53,164065652.7,4271700,2014-04-22 23:59:59
2014-04-23,38.824,39.5,39.9,38.7,103938820.6,2655600,2014-04-23 23:59:59
2014-04-24,39.618,38.0,39.717,37.464,148164978.3,3881800,2014-04-24 23:59:59
2014-04-25,37.5,37.3,38.203,36.356,119681569.0,3217200,2014-04-25 23:59:59
2014-04-28,36.8,36.7,36.8,35.041,371103870.1,10399400,2014-04-28 23:59:59
