begin,open,close,high,low,value,volume,end
2014-01-06,1504.14,1466.15,1504.33,1464.97,16900288729.0,0,2014-01-06 23:59:59
2014-01-08,1465.99,1462.67,1470.25,1460.41,16027383642.0,0,2014-01-08 23:59:59
2014-01-09,1462.67,1465.14,1470.65,1460.81,20056121954.0,0,2014-01-09 23:59:59
2014-01-10,1465.74,1469.19,1470.73,1454.75,29274890126.0,0,2014-01-10 23:59:59
2014-01-13,1469.19,1477.56,1482.45,1466.51,29596729994.0,0,2014-01-13 23:59:59
2014-01-14,1477.59,1469.64,1477.59,1453.85,31230659415.0,0,2014-01-14 23:59:59
2014-01-15,1469.76,1486.51,1487.83,1469.76,34589305532.0,0,2014-01-15 23:59:59
2014-01-16,1486.37,1480.73,1492.58,1478.45,30825694232.0,0,2014-01-16 23:59:59
2014-01-17,1480.63,1486.88,1495.05,1475.23,31481520592.0,0,2014-01-17 23:59:59
2014-01-20,1485.75,1495.36,1498.37,1483.25,23823923486.0,0,2014-01-20 23:59:59
2014-01-21,1495.92,1504.68,1507.16,1495.92,32920294237.0,0,2014-01-21 23:59:59
2014-01-22,1503.6,1498.73,1505.31,1490.29,42599578316.0,0,2014-01-22 23:59:59
2014-01-23,1498.73,1496.9,1511.7,1495.9,36924425267.0,0,2014-01-23 23:59:59
2014-01-24,1496.9,1494.58,1497.76,1483.66,50458895946.0,0,2014-01-24 23:59:59
2014-01-27,1494.18,1478.23,1495.27,1476.06,46236717540.0,0,2014-01-27 23:59:59
2014-01-28,1477.91,1469.57,1486.09,1467.97,39833254664.0,0,2014-01-28 23:59:59
2014-01-29,1468.35,1462.99,1494.47,1459.87,51738292137.0,0,2014-01-29 23:59:59
2014-01-30,1463.05,1463.2,1473.45,1444.39,52406677076.0,0,2014-01-30 23:59:59
2014-01-31,1463.6,1454.45,1470.6,1448.36,42264412210.0,0,2014-01-31 23:59:59
2014-02-03,1453.55,1442.84,1463.54,1442.06,32778141805.0,0,2014-02-03 23:59:59
2014-02-04,1442.52,1441.16,1442.62,1426.29,35953638357.0,0,2014-02-04 23:59:59
2014-02-05,1442.02,1456.0,1460.75,1437.54,32228865284.0,0,2014-02-05 23:59:59
2014-02-06,1456.0,1466.7,1469.18,1454.43,28543620476.0,0,2014-02-06 23:59:59
2014-02-07,1465.18,1478.48,1480.6,1463.96,30965604738.0,0,2014-02-07 23:59:59
2014-02-10,1478.22,1476.28,1485.32,1475.63,23411705634.0,0,2014-02-10 23:59:59
2014-02-11,1475.83,1483.57,1488.95,1473.3,26102602445.0,0,2014-02-11 23:59:59
2014-02-12,1484.42,1496.03,1498.62,1484.42,28049253757.0,0,2014-02-12 23:59:59
2014-02-13,1496.07,1478.62,1498.08,1475.41,28254359873.0,0,2014-02-13 23:59:59
2014-02-14,1478.77,1496.18,1497.94,1478.77,30474527752.0,0,2014-02-14 23:59:59
2014-02-17,1494.38,1507.49,1515.3,1494.32,28079463718.0,0,2014-02-17 23:59:59
2014-02-18,1507.81,1504.24,1518.13,1500.39,29676093042.0,0,2014-02-18 23:59:59
2014-02-19,1504.02,1485.6,1507.97,1482.02,42334867727.0,0,2014-02-19 23:59:59
2014-02-20,1485.48,1480.99,1485.48,1467.52,33694582444.0,0,2014-02-20 23:59:59
2014-02-21,1481.85,1487.64,1492.45,1481.85,23318948666.0,0,2014-02-21 23:59:59
2014-02-24,1487.51,1489.01,1491.78,1480.03,19772900486.0,0,2014-02-24 23:59:59
2014-02-25,1489.59,1478.64,1495.13,1472.43,28414020573.0,0,2014-02-25 23:59:59
2014-02-26,1478.9,1469.51,1486.11,1465.16,35931158697.0,0,2014-02-26 23:59:59
2014-02-27,1469.93,1448.7,1476.26,1431.6,52734826934.0,0,2014-02-27 23:59:59
2014-02-28,1448.78,1444.71,1456.45,1429.25,49924435497.0,0,2014-02-28 23:59:59
2014-03-03,1438.02,1288.81,1438.02,1261.76,114796601349.0,0,2014-03-03 23:59:59
2014-03-04,1288.78,1356.54,1365.23,1288.78,93980994812.0,0,2014-03-04 23:59:59
2014-03-05,1356.27,1351.11,1364.25,1330.61,51458666467.0,0,2014-03-05 23:59:59
2014-03-06,1351.5,1337.98,1370.56,1301.96,73730707234.0,0,2014-03-06 23:59:59
2014-03-07,1337.5,1339.36,1359.45,1322.08,49801950288.0,0,2014-03-07 23:59:59
2014-03-11,1338.5,1308.7,1338.5,1304.35,43995018689.0,0,2014-03-11 23:59:59
2014-03-12,1307.08,1274.21,1307.08,1271.74,51965497616.0,0,2014-03-12 23:59:59
2014-03-13,1274.24,1248.56,1285.93,1247.7,57982552741.0,0,2014-03-13 23:59:59
2014-03-14,1248.29,1237.43,1248.29,1182.86,82550968523.0,0,2014-03-14 23:59:59
2014-03-17,1237.52,1283.7,1288.34,1237.52,92131298659.0,0,2014-03-17 23:59:59
2014-03-18,1285.53,1335.86,1340.16,1278.76,71329119457.0,0,2014-03-18 23:59:59
2014-03-19,1335.84,1319.02,1352.68,1312.5,63037171113.0,0,2014-03-19 23:59:59
