begin,open,close,high,low,value,volume,end
2014-01-06 10:00:00,1500.85,1487.26,1500.85,1482.59,1919545030.0,0,2014-01-06 10:59:59
2014-01-06 11:00:00,1487.27,1481.0,1487.3,1480.46,1785456630.0,0,2014-01-06 11:59:59
2014-01-06 12:00:00,1480.64,1476.94,1485.01,1476.65,2612451250.0,0,2014-01-06 12:59:59
2014-01-06 13:00:00,1476.68,1476.24,1478.25,1474.67,2342301378.0,0,2014-01-06 13:59:59
2014-01-06 14:00:00,1476.22,1475.52,1478.25,1474.86,1100680162.0,0,2014-01-06 14:59:59
2014-01-06 15:00:00,1475.7,1473.73,1477.51,1472.84,1491598991.0,0,2014-01-06 15:59:59
2014-01-06 16:00:00,1473.73,1472.92,1474.32,1470.16,1473208967.0,0,2014-01-06 16:59:59
2014-01-06 17:00:00,1472.94,1471.1,1473.34,1469.07,1641851026.0,0,2014-01-06 17:59:59
2014-01-06 18:00:00,1471.1,1466.15,1471.51,1464.97,2533195295.0,0,2014-01-06 18:40:20
2014-01-06 20:00:00,1465.99,1464.56,1465.99,1464.56,27075.0,0,2014-01-06 20:33:17
2014-01-06 22:00:00,1464.74,1464.74,1464.74,1464.74,1485.0,0,2014-01-06 22:59:59
2014-01-06 23:00:00,1464.74,1463.75,1464.74,1463.75,146438.0,0,2014-01-06 23:50:16
2014-01-08 10:00:00,1468.76,1463.77,1470.25,1462.17,2438662041.0,0,2014-01-08 10:59:59
2014-01-08 11:00:00,1463.47,1467.32,1468.06,1462.23,1437019527.0,0,2014-01-08 11:59:59
2014-01-08 12:00:00,1467.33,1467.84,1469.56,1467.0,2086030599.0,0,2014-01-08 12:59:59
2014-01-08 13:00:00,1467.93,1467.62,1468.45,1466.73,1254494355.0,0,2014-01-08 13:59:59
2014-01-08 14:00:00,1467.63,1468.64,1469.2,1466.98,1489034073.0,0,2014-01-08 14:59:59
2014-01-08 15:00:00,1468.59,1467.78,1470.05,1467.17,1212382032.0,0,2014-01-08 15:59:59
2014-01-08 16:00:00,1467.8,1466.64,1468.54,1466.56,900817793.0,0,2014-01-08 16:59:59
2014-01-08 17:00:00,1466.78,1465.01,1466.98,1462.95,2002246054.0,0,2014-01-08 17:59:59
2014-01-08 18:00:00,1465.01,1462.67,1465.09,1460.41,3206697168.0,0,2014-01-08 18:40:20
2014-01-08 19:00:00,1462.67,1462.67,1462.67,1462.67,248.0,0,2014-01-08 19:09:19
2014-01-09 10:00:00,1462.96,1464.92,1465.06,1460.81,2400538055.0,0,2014-01-09 10:59:59
