begin,open,close,high,low,value,volume,end
2014-01-06,5.76,5.76,5.76,5.76,2234298550.0,0,2014-01-06 23:59:59
2014-01-08,5.46,5.46,5.46,5.46,1930442756.01,0,2014-01-08 23:59:59
2014-01-09,5.85,5.85,5.85,5.85,7895455946.34,0,2014-01-09 23:59:59
2014-01-10,5.71,5.71,5.71,5.71,14975247821.8,0,2014-01-10 23:59:59
2014-01-13,6.13,6.13,6.13,6.13,20528687934.31,0,2014-01-13 23:59:59
2014-01-14,6.1,6.1,6.1,6.1,20631828903.34,0,2014-01-14 23:59:59
2014-01-15,6.01,6.01,6.01,6.01,16357106328.5,0,2014-01-15 23:59:59
2014-01-16,5.9,5.9,5.9,5.9,21939341763.48,0,2014-01-16 23:59:59
2014-01-17,5.94,5.94,5.94,5.94,22726130152.97,0,2014-01-17 23:59:59
2014-01-20,5.98,5.98,5.98,5.98,20721681228.25,0,2014-01-20 23:59:59
2014-01-21,5.97,5.97,5.97,5.97,20089449406.0,0,2014-01-21 23:59:59
2014-01-22,6.07,6.07,6.07,6.07,22656233806.33,0,2014-01-22 23:59:59
2014-01-23,6.09,6.09,6.09,6.09,24755064178.35,0,2014-01-23 23:59:59
2014-01-24,6.05,6.05,6.05,6.05,28723016848.54,0,2014-01-24 23:59:59
2014-01-27,6.01,6.01,6.01,6.01,27164061159.04,0,2014-01-27 23:59:59
2014-01-28,5.96,5.96,5.96,5.96,27824834297.64,0,2014-01-28 23:59:59
2014-01-29,6.0,6.0,6.0,6.0,25802094059.89,0,2014-01-29 23:59:59
2014-01-30,5.98,5.98,5.98,5.98,27677729852.06,0,2014-01-30 23:59:59
2014-01-31,5.88,5.88,5.88,5.88,24621754652.06,0,2014-01-31 23:59:59
2014-02-03,6.01,6.01,6.01,6.01,25665281442.06,0,2014-02-03 23:59:59
2014-02-04,6.06,6.06,6.06,6.06,24625280113.17,0,2014-02-04 23:59:59
2014-02-05,5.81,5.81,5.81,5.81,12947699809.28,0,2014-02-05 23:59:59
2014-02-06,5.82,5.82,5.82,5.82,23746709541.08,0,2014-02-06 23:59:59
2014-02-07,5.33,5.33,5.33,5.33,16988706516.38,0,2014-02-07 23:59:59
2014-02-10,5.67,5.67,5.67,5.67,24970611286.6,0,2014-02-10 23:59:59
2014-02-11,5.87,5.87,5.87,5.87,25345170140.19,0,2014-02-11 23:59:59
2014-02-12,5.92,5.92,5.92,5.92,24043092237.75,0,2014-02-12 23:59:59
2014-02-13,5.83,5.83,5.83,5.83,24891577851.84,0,2014-02-13 23:59:59
2014-02-14,5.82,5.82,5.82,5.82,25416527853.85,0,2014-02-14 23:59:59
2014-02-17,5.93,5.93,5.93,5.93,24887683150.93,0,2014-02-17 23:59:59
2014-02-18,5.97,5.97,5.97,5.97,22540655074.82,0,2014-02-18 23:59:59
2014-02-19,5.86,5.86,5.86,5.86,14261345329.72,0,2014-02-19 23:59:59
2014-02-20,5.97,5.97,5.97,5.97,26370202114.15,0,2014-02-20 23:59:59
2014-02-21,5.99,5.99,5.99,5.99,25653688935.72,0,2014-02-21 23:59:59
2014-02-24,5.99,5.99,5.99,5.99,24491683903.58,0,2014-02-24 23:59:59
2014-02-25,6.01,6.01,6.01,6.01,25587714055.36,0,2014-02-25 23:59:59
2014-02-26,6.01,6.01,6.01,6.01,23121801003.43,0,2014-02-26 23:59:59
2014-02-27,5.95,5.95,5.95,5.95,26218581767.56,0,2014-02-27 23:59:59
2014-02-28,5.82,5.82,5.82,5.82,31005465853.48,0,2014-02-28 23:59:59
2014-03-03,6.41,6.41,6.41,6.41,18873577902.25,0,2014-03-03 23:59:59
2014-03-04,6.57,6.57,6.57,6.57,23032739251.64,0,2014-03-04 23:59:59
2014-03-05,7.15,7.15,7.15,7.15,20875180495.2,0,2014-03-05 23:59:59
2014-03-06,7.22,7.22,7.22,7.22,22269012322.48,0,2014-03-06 23:59:59
2014-03-07,7.17,7.17,7.17,7.17,22801845109.68,0,2014-03-07 23:59:59
2014-03-11,7.14,7.14,7.14,7.14,26558602658.75,0,2014-03-11 23:59:59
2014-03-12,7.24,7.24,7.24,7.24,22725622719.16,0,2014-03-12 23:59:59
2014-03-13,7.05,7.05,7.05,7.05,13916957087.14,0,2014-03-13 23:59:59
2014-03-14,7.26,7.26,7.26,7.26,22347607750.15,0,2014-03-14 23:59:59
2014-03-17,7.16,7.16,7.16,7.16,23709830502.88,0,2014-03-17 23:59:59
2014-03-18,7.17,7.17,7.17,7.17,23670591147.08,0,2014-03-18 23:59:59
2014-03-19,7.28,7.28,7.28,7.28,23798328350.2,0,2014-03-19 23:59:59
2014-03-20,7.32,7.32,7.32,7.32,24448112200.69,0,2014-03-20 23:59:59
2014-03-21,7.34,7.34,7.34,7.34,24760698736.2,0,2014-03-21 23:59:59
2014-03-24,7.33,7.33,7.33,7.33,22830224103.76,0,2014-03-24 23:59:59
2014-03-25,7.31,7.31,7.31,7.31,22886340472.5,0,2014-03-25 23:59:59
2014-03-26,7.36,7.36,7.36,7.36,21547753193.8,0,2014-03-26 23:59:59
2014-03-27,7.4,7.4,7.4,7.4,22498275295.86,0,2014-03-27 23:59:59
2014-03-28,7.37,7.37,7.37,7.37,23955931951.22,0,2014-03-28 23:59:59
2014-03-31,7.26,7.26,7.26,7.26,28761081621.94,0,2014-03-31 23:59:59
2014-04-01,7.38,7.38,7.38,7.38,25958296048.65,0,2014-04-01 23:59:59
2014-04-02,7.39,7.39,7.39,7.39,27600204812.87,0,2014-04-02 23:59:59
2014-04-03,7.36,7.36,7.36,7.36,30064892285.1,0,2014-04-03 23:59:59
2014-04-04,7.33,7.33,7.33,7.33,32158821834.72,0,2014-04-04 23:59:59
2014-04-07,7.32,7.32,7.32,7.32,29166583019.1,0,2014-04-07 23:59:59
2014-04-08,7.29,7.29,7.29,7.29,28264861033.07,0,2014-04-08 23:59:59
2014-04-09,7.06,7.06,7.06,7.06,30867017794.96,0,2014-04-09 23:59:59
2014-04-10,7.02,7.02,7.02,7.02,28870535827.86,0,2014-04-10 23:59:59
2014-04-11,7.16,7.16,7.16,7.16,25742661295.85,0,2014-04-11 23:59:59
2014-04-14,7.23,7.23,7.23,7.23,27225464362.8,0,2014-04-14 23:59:59
2014-04-15,7.32,7.32,7.32,7.32,28021329695.34,0,2014-04-15 23:59:59
2014-04-16,7.42,7.42,7.42,7.42,28720137148.61,0,2014-04-16 23:59:59
2014-04-17,7.57,7.57,7.57,7.57,26108125711.9,0,2014-04-17 23:59:59
2014-04-18,7.61,7.61,7.61,7.61,28243020774.98,0,2014-04-18 23:59:59
2014-04-21,7.58,7.58,7.58,7.58,22916644790.76,0,2014-04-21 23:59:59
2014-04-22,7.44,7.44,7.44,7.44,22333610359.8,0,2014-04-22 23:59:59
2014-04-23,7.46,7.46,7.46,7.46,21120766625.94,0,2014-04-23 23:59:59
2014-04-24,7.49,7.49,7.49,7.49,21089676843.13,0,2014-04-24 23:59:59
2014-04-25,7.54,7.54,7.54,7.54,21192736075.79,0,2014-04-25 23:59:59
2014-04-28,7.64,7.64,7.64,7.64,18770656914.8,0,2014-04-28 23:59:59
2014-04-29,7.66,7.66,7.66,7.66,18059773010.31,0,2014-04-29 23:59:59
2014-04-30,7.89,7.89,7.89,7.89,20036474732.6,0,2014-04-30 23:59:59
2014-05-02,7.46,7.46,7.46,7.46,5582196970.05,0,2014-05-02 23:59:59
2014-05-05,7.98,7.98,7.98,7.98,20006770963.49,0,2014-05-05 23:59:59
2014-05-06,7.99,7.99,7.99,7.99,19719381811.41,0,2014-05-06 23:59:59
2014-05-07,7.92,7.92,7.92,7.92,20710169491.81,0,2014-05-07 23:59:59
2014-05-08,7.63,7.63,7.63,7.63,24604678419.21,0,2014-05-08 23:59:59
2014-05-12,7.67,7.67,7.67,7.67,20273345559.32,0,2014-05-12 23:59:59
2014-05-13,7.66,7.66,7.66,7.66,22094928806.82,0,2014-05-13 23:59:59
2014-05-14,7.7,7.7,7.7,7.7,20767833851.6,0,2014-05-14 23:59:59
2014-05-15,7.69,7.69,7.69,7.69,22944548267.74,0,2014-05-15 23:59:59
2014-05-16,7.62,7.62,7.62,7.62,24161133215.56,0,2014-05-16 23:59:59
2014-05-19,7.68,7.68,7.68,7.68,25009254513.49,0,2014-05-19 23:59:59
