begin,open,close,high,low,value,volume,end
2014-12-01 12:00:00,10.11,10.11,10.11,10.11,38045462952,0,2014-12-01 12:31:20
2014-12-02 12:00:00,9.97,9.97,9.97,9.97,36921445731,0,2014-12-02 12:31:04
2014-12-03 12:00:00,9.78,9.78,9.78,9.78,39172190074,0,2014-12-03 12:31:10
2014-12-04 12:00:00,9.64,9.64,9.64,9.64,32470256825,0,2014-12-04 12:31:26
2014-12-05 12:00:00,9.65,9.65,9.65,9.65,32052594043,0,2014-12-05 12:31:20
2014-12-08 12:00:00,9.7,9.7,9.7,9.7,38951744412,0,2014-12-08 12:31:05
2014-12-09 12:00:00,9.73,9.73,9.73,9.73,37614048370,0,2014-12-09 12:31:15
2014-12-10 12:00:00,9.54,9.54,9.54,9.54,24430888361,0,2014-12-10 12:31:19
2014-12-11 12:00:00,9.8,9.8,9.8,9.8,23488562653,0,2014-12-11 12:31:03
2014-12-12 12:00:00,10.65,10.65,10.65,10.65,22520050777,0,2014-12-12 12:31:06
2014-12-15 12:00:00,10.57,10.57,10.57,10.57,21661320723,0,2014-12-15 12:31:04
2014-12-16 12:00:00,16.22,16.22,16.22,16.22,5082623690,0,2014-12-16 12:31:20
2014-12-17 12:00:00,17.05,17.05,17.05,17.05,9104517604,0,2014-12-17 12:31:38
2014-12-22 12:00:00,17.32,17.32,17.32,17.32,10160780787,0,2014-12-22 12:31:25
2014-12-23 12:00:00,16.63,16.63,16.63,16.63,4790120703,0,2014-12-23 12:31:04
2014-12-26 12:00:00,16.75,16.75,16.75,16.75,8306220035,0,2014-12-26 12:31:08
2014-12-29 12:00:00,16.97,16.97,16.97,16.97,4498600901,0,2014-12-29 12:31:10
2015-01-12 12:00:00,17.04,17.04,17.04,17.04,6687884575,0,2015-01-12 12:31:15
2015-01-15 12:00:00,16.5,16.5,16.5,16.5,4362713118,0,2015-01-15 12:31:06
2015-01-16 12:00:00,16.48,16.48,16.48,16.48,11729915436,0,2015-01-16 12:31:20
2015-01-19 12:00:00,16.47,16.47,16.47,16.47,8701117730,0,2015-01-19 12:31:05
2015-01-22 12:00:00,16.89,16.89,16.89,16.89,24271230483,0,2015-01-22 12:31:12
2015-01-23 12:00:00,16.76,16.76,16.76,16.76,22753772407,0,2015-01-23 12:31:14
2015-01-26 12:00:00,16.8,16.8,16.8,16.8,30276329224,0,2015-01-26 12:31:15
2015-01-27 12:00:00,16.88,16.88,16.88,16.88,31533740892,0,2015-01-27 12:31:07
2015-01-28 12:00:00,16.67,16.67,16.67,16.67,26248778901,0,2015-01-28 12:31:19
2015-01-29 12:00:00,16.65,16.65,16.65,16.65,26347557886,0,2015-01-29 12:31:11
2015-01-30 12:00:00,16.45,16.45,16.45,16.45,25486577450,0,2015-01-30 12:31:13
2015-02-02 12:00:00,14.6,14.6,14.6,14.6,21774019913,0,2015-02-02 12:31:07
2015-02-03 12:00:00,14.5,14.5,14.5,14.5,25012101018,0,2015-02-03 12:31:23
2015-02-04 12:00:00,14.58,14.58,14.58,14.58,26374325694,0,2015-02-04 12:31:07
2015-02-05 12:00:00,14.47,14.47,14.47,14.47,27967569587,0,2015-02-05 12:31:21
2015-02-09 12:00:00,14.38,14.38,14.38,14.38,25740143727,0,2015-02-09 12:31:09
2015-02-10 12:00:00,14.7,14.7,14.7,14.7,33972827326,0,2015-02-10 12:31:08
2015-02-11 12:00:00,15.01,15.01,15.01,15.01,36422296138,0,2015-02-11 12:31:04
2015-02-13 12:00:00,14.87,14.87,14.87,14.87,37225551183,0,2015-02-13 12:31:16
2015-02-16 12:00:00,14.93,14.93,14.93,14.93,29440246239,0,2015-02-16 12:45:16
2015-02-17 12:00:00,14.89,14.89,14.89,14.89,37156755625,0,2015-02-17 12:31:37
