begin,open,close,high,low,value,volume,end
2014-01-06,397.99,393.11,398.51,393.1,665142267.5,1684610,2014-01-06 23:59:59
2014-01-08,394.55,389.79,395.48,388.13,326341655.1,831990,2014-01-08 23:59:59
2014-01-09,389.5,385.7,390,383.57,508460279.8,1316060,2014-01-09 23:59:59
2014-01-10,386.71,387.35,388,379.75,612662406.7,1598240,2014-01-10 23:59:59
2014-01-13,387.36,396.8,397.97,385.37,612097039.7,1548810,2014-01-13 23:59:59
2014-01-14,394.28,399,399.93,388.07,587220561.2,1494760,2014-01-14 23:59:59
2014-01-15,399.38,400.4,400.41,392.05,707893550.5,1784810,2014-01-15 23:59:59
2014-01-16,400.04,394.1,401.25,393.06,693181450.4,1749870,2014-01-16 23:59:59
2014-01-17,395.58,400.2,400.99,390.03,439924037.2,1113130,2014-01-17 23:59:59
2014-01-20,399.6,405.12,405.75,397.28,444789470,1104510,2014-01-20 23:59:59
2014-01-21,406.88,405.8,408.86,405.73,477488492.5,1173960,2014-01-21 23:59:59
2014-01-22,403.77,405.1,405.98,401.62,323649181.3,802690,2014-01-22 23:59:59
2014-01-23,404.43,416,418.79,404.43,992065202.6,2393490,2014-01-23 23:59:59
2014-01-24,413,408.68,416.6,406.58,891008088,2164360,2014-01-24 23:59:59
2014-01-27,405.03,406,411.26,403.01,567899742.6,1391920,2014-01-27 23:59:59
2014-01-28,406.42,391.3,406.99,391.05,758852831.1,1908870,2014-01-28 23:59:59
2014-01-29,394.54,389.98,399.89,387.19,1133639879.9,2864310,2014-01-29 23:59:59
2014-01-30,388.95,390.98,393.4,386.18,579701492.1,1485350,2014-01-30 23:59:59
2014-01-31,392.76,393.45,397.23,390.17,550680477,1401600,2014-01-31 23:59:59
2014-02-03,395.5,388.51,397.81,388.51,504585153.9,1284690,2014-02-03 23:59:59
2014-02-04,386.11,386.7,388.48,383.31,587365546.8,1523010,2014-02-04 23:59:59
2014-02-05,384.92,395.52,396.79,384.92,570868649.2,1457890,2014-02-05 23:59:59
2014-02-06,395.8,400.47,400.47,393,449853842.8,1130940,2014-02-06 23:59:59
2014-02-07,402,407.84,408,400.24,581716927.9,1436470,2014-02-07 23:59:59
2014-02-10,408.44,403.81,409.6,403.77,342217662.4,841220,2014-02-10 23:59:59
2014-02-11,405.03,409.65,410,402.2,621298220.8,1523030,2014-02-11 23:59:59
2014-02-12,410.67,415.25,416.4,410.5,731615563.6,1766110,2014-02-12 23:59:59
2014-02-13,414.02,410.27,415,407.73,727978719.5,1770270,2014-02-13 23:59:59
