begin,open,close,high,low,value,volume,end
2014-01-06,5.76,5.76,5.76,5.76,0,0,2014-01-06 23:59:59
2014-01-08,5.46,5.46,5.46,5.46,0,0,2014-01-08 23:59:59
2014-01-09,5.85,5.85,5.85,5.85,0,0,2014-01-09 23:59:59
2014-01-10,5.71,5.71,5.71,5.71,0,0,2014-01-10 23:59:59
2014-01-13,6.13,6.13,6.13,6.13,0,0,2014-01-13 23:59:59
2014-01-14,6.1,6.1,6.1,6.1,0,0,2014-01-14 23:59:59
2014-01-15,6.01,6.01,6.01,6.01,0,0,2014-01-15 23:59:59
2014-01-16,5.9,5.9,5.9,5.9,0,0,2014-01-16 23:59:59
2014-01-17,5.94,5.94,5.94,5.94,0,0,2014-01-17 23:59:59
2014-01-20,5.98,5.98,5.98,5.98,0,0,2014-01-20 23:59:59
2014-01-21,5.97,5.97,5.97,5.97,0,0,2014-01-21 23:59:59
2014-01-22,6.07,6.07,6.07,6.07,0,0,2014-01-22 23:59:59
2014-01-23,6.09,6.09,6.09,6.09,0,0,2014-01-23 23:59:59
2014-01-24,6.05,6.05,6.05,6.05,0,0,2014-01-24 23:59:59
2014-01-27,6.01,6.01,6.01,6.01,0,0,2014-01-27 23:59:59
2014-01-28,5.96,5.96,5.96,5.96,0,0,2014-01-28 23:59:59
2014-01-29,6.0,6.0,6.0,6.0,0,0,2014-01-29 23:59:59
2014-01-30,5.98,5.98,5.98,5.98,0,0,2014-01-30 23:59:59
2014-01-31,5.88,5.88,5.88,5.88,0,0,2014-01-31 23:59:59
2014-02-03,6.01,6.01,6.01,6.01,0,0,2014-02-03 23:59:59
2014-02-04,6.06,6.06,6.06,6.06,0,0,2014-02-04 23:59:59
2014-02-05,5.81,5.81,5.81,5.81,0,0,2014-02-05 23:59:59
2014-02-06,5.82,5.82,5.82,5.82,0,0,2014-02-06 23:59:59
2014-02-07,5.33,5.33,5.33,5.33,0,0,2014-02-07 23:59:59
2014-02-10,5.67,5.67,5.67,5.67,0,0,2014-02-10 23:59:59
2014-02-11,5.87,5.87,5.87,5.87,0,0,2014-02-11 23:59:59
2014-02-12,5.92,5.92,5.92,5.92,0,0,2014-02-12 23:59:59
2014-02-13,5.83,5.83,5.83,5.83,0,0,2014-02-13 23:59:59
2014-02-14,5.82,5.82,5.82,5.82,0,0,2014-02-14 23:59:59
2014-02-17,5.93,5.93,5.93,5.93,0,0,2014-02-17 23:59:59
2014-02-18,5.97,5.97,5.97,5.97,0,0,2014-02-18 23:59:59
2014-02-19,5.86,5.86,5.86,5.86,0,0,2014-02-19 23:59:59
2014-02-20,5.97,5.97,5.97,5.97,0,0,2014-02-20 23:59:59
2014-02-21,5.99,5.99,5.99,5.99,0,0,2014-02-21 23:59:59
2014-02-24,5.99,5.99,5.99,5.99,0,0,2014-02-24 23:59:59
2014-02-25,6.01,6.01,6.01,6.01,0,0,2014-02-25 23:59:59
2014-02-26,6.01,6.01,6.01,6.01,0,0,2014-02-26 23:59:59
2014-02-27,5.95,5.95,5.95,5.95,0,0,2014-02-27 23:59:59
2014-02-28,5.82,5.82,5.82,5.82,0,0,2014-02-28 23:59:59
2014-03-03,6.41,6.41,6.41,6.41,0,0,2014-03-03 23:59:59
