begin,open,close,high,low,value,volume,end
2018-01-09,7.5,7.5,7.5,7.5,0,0.0,2018-01-09 23:59:59
2018-01-10,7.11,7.11,7.11,7.11,0,0.0,2018-01-10 23:59:59
2018-01-11,7.12,7.12,7.12,7.12,0,0.0,2018-01-11 23:59:59
2018-01-12,7.1,7.1,7.1,7.1,0,0.0,2018-01-12 23:59:59
2018-01-15,7.19,7.19,7.19,7.19,0,0.0,2018-01-15 23:59:59
2018-01-16,7.47,7.47,7.47,7.47,0,0.0,2018-01-16 23:59:59
2018-01-17,7.36,7.36,7.36,7.36,0,0.0,2018-01-17 23:59:59
2018-01-18,7.33,7.33,7.33,7.33,0,0.0,2018-01-18 23:59:59
2018-01-19,7.25,7.25,7.25,7.25,0,0.0,2018-01-19 23:59:59
2018-01-22,7.3,7.3,7.3,7.3,0,0.0,2018-01-22 23:59:59
2018-01-23,7.09,7.09,7.09,7.09,0,0.0,2018-01-23 23:59:59
2018-01-24,7.0,7.0,7.0,7.0,0,0.0,2018-01-24 23:59:59
2018-01-25,7.0,7.0,7.0,7.0,0,0.0,2018-01-25 23:59:59
2018-01-26,7.35,7.35,7.35,7.35,0,0.0,2018-01-26 23:59:59
2018-01-29,7.36,7.36,7.36,7.36,0,0.0,2018-01-29 23:59:59
2018-01-30,7.39,7.39,7.39,7.39,0,0.0,2018-01-30 23:59:59
2018-01-31,7.49,7.49,7.49,7.49,0,0.0,2018-01-31 23:59:59
2018-02-01,7.39,7.39,7.39,7.39,0,0.0,2018-02-01 23:59:59
2018-02-02,7.29,7.29,7.29,7.29,0,0.0,2018-02-02 23:59:59
2018-02-05,7.32,7.32,7.32,7.32,0,0.0,2018-02-05 23:59:59
2018-02-06,7.29,7.29,7.29,7.29,0,0.0,2018-02-06 23:59:59
2018-02-07,7.17,7.17,7.17,7.17,0,0.0,2018-02-07 23:59:59
2018-02-08,7.09,7.09,7.09,7.09,0,0.0,2018-02-08 23:59:59
2018-02-09,7.09,7.09,7.09,7.09,0,0.0,2018-02-09 23:59:59
2018-02-12,7.01,7.01,7.01,7.01,0,0.0,2018-02-12 23:59:59
2018-02-13,7.0,7.0,7.0,7.0,0,0.0,2018-02-13 23:59:59
2018-02-14,7.18,7.18,7.18,7.18,0,0.0,2018-02-14 23:59:59
2018-02-15,7.36,7.36,7.36,7.36,0,0.0,2018-02-15 23:59:59
2018-02-16,7.37,7.37,7.37,7.37,0,0.0,2018-02-16 23:59:59
2018-02-19,7.41,7.41,7.41,7.41,0,0.0,2018-02-19 23:59:59
2018-02-20,7.4,7.4,7.4,7.4,0,0.0,2018-02-20 23:59:59
2018-02-21,7.35,7.35,7.35,7.35,0,0.0,2018-02-21 23:59:59
2018-02-22,7.2,7.2,7.2,7.2,0,0.0,2018-02-22 23:59:59
2018-02-26,7.3,7.3,7.3,7.3,0,0.0,2018-02-26 23:59:59
2018-02-27,7.41,7.41,7.41,7.41,0,0.0,2018-02-27 23:59:59
2018-02-28,7.43,7.43,7.43,7.43,0,0.0,2018-02-28 23:59:59
2018-03-01,7.4,7.4,7.4,7.4,0,0.0,2018-03-01 23:59:59
2018-03-02,7.43,7.43,7.43,7.43,0,0.0,2018-03-02 23:59:59
2018-03-05,7.32,7.32,7.32,7.32,0,0.0,2018-03-05 23:59:59
2018-03-06,7.36,7.36,7.36,7.36,0,0.0,2018-03-06 23:59:59
