begin,open,close,high,low,value,volume,end
2014-01-06,25.755,25.298,25.788,25.16,491078342.8,19330600,2014-01-06 23:59:59
2014-01-08,25.35,25.05,25.379,25.012,308883788.9,12290000,2014-01-08 23:59:59
2014-01-09,25.05,25.131,25.28,24.961,345469438.9,13761600,2014-01-09 23:59:59
2014-01-10,25.11,25.295,25.405,25.004,309197264.1,12266500,2014-01-10 23:59:59
2014-01-13,25.189,25.827,25.88,25.189,485096478.0,18928400,2014-01-13 23:59:59
2014-01-14,25.702,25.85,25.919,25.418,494122858.6,19220200,2014-01-14 23:59:59
2014-01-15,25.801,25.974,26.031,25.705,528698299.2,20387600,2014-01-15 23:59:59
2014-01-16,25.974,25.851,26.0,25.652,694943810.4,26826000,2014-01-16 23:59:59
2014-01-17,25.85,25.703,25.925,25.651,295025156.1,11436000,2014-01-17 23:59:59
2014-01-20,25.712,25.91,25.997,25.683,438988070.3,16937300,2014-01-20 23:59:59
2014-01-21,25.925,25.939,26.0,25.85,548782338.0,21134900,2014-01-21 23:59:59
2014-01-22,25.985,25.813,25.985,25.75,440216382.2,17030200,2014-01-22 23:59:59
2014-01-23,25.808,26.0,26.0,25.73,731489907.0,28170600,2014-01-23 23:59:59
2014-01-24,25.951,26.65,26.65,25.813,1023373895.9,39028800,2014-01-24 23:59:59
2014-01-27,26.4,26.1,26.9,26.015,1102938837.5,41646500,2014-01-27 23:59:59
2014-01-28,26.119,25.46,26.394,25.39,1750446320.1,67642400,2014-01-28 23:59:59
2014-01-29,25.724,25.631,25.9,25.51,909152745.9,35356800,2014-01-29 23:59:59
2014-01-30,25.66,25.82,25.94,25.268,827374078.5,32279400,2014-01-30 23:59:59
2014-01-31,25.82,25.35,25.849,25.123,1420880485.7,56016000,2014-01-31 23:59:59
2014-02-03,25.405,24.542,25.405,24.517,1016242616.5,40799900,2014-02-03 23:59:59
2014-02-04,24.284,24.392,24.67,24.008,902412601.1,37041100,2014-02-04 23:59:59
2014-02-05,24.499,24.484,24.83,24.382,805822867.1,32695100,2014-02-05 23:59:59
2014-02-06,24.699,24.9,24.977,24.5,835899471.6,33651500,2014-02-06 23:59:59
2014-02-07,24.625,25.198,25.489,24.625,777610912.5,30814000,2014-02-07 23:59:59
2014-02-10,25.31,25.393,25.474,25.14,412293578.7,16272200,2014-02-10 23:59:59
2014-02-11,25.454,25.47,25.6,25.33,503268794.5,19750900,2014-02-11 23:59:59
2014-02-12,25.658,25.509,25.658,25.417,915497919.0,35873300,2014-02-12 23:59:59
2014-02-13,25.454,25.35,25.458,25.256,485945174.8,19180900,2014-02-13 23:59:59
2014-02-14,25.396,25.499,25.854,25.396,984373452.7,38432600,2014-02-14 23:59:59
2014-02-17,25.634,25.432,25.66,25.43,353860524.5,13838700,2014-02-17 23:59:59
2014-02-18,25.432,25.487,25.65,25.35,318368882.1,12457000,2014-02-18 23:59:59
2014-02-19,25.502,25.551,25.656,25.434,575088184.2,22508700,2014-02-19 23:59:59
2014-02-20,25.4,25.58,25.653,25.359,553250420.2,21653700,2014-02-20 23:59:59
2014-02-21,25.948,25.3,25.948,25.281,567010314.2,22297300,2014-02-21 23:59:59
2014-02-24,25.297,25.546,25.657,25.151,541669333.3,21266800,2014-02-24 23:59:59
2014-02-25,25.558,26.199,26.349,25.55,1459508648.6,56176900,2014-02-25 23:59:59
2014-02-26,26.277,27.515,27.578,26.18,2791671901.2,103491500,2014-02-26 23:59:59
2014-02-27,27.518,26.927,28.39,26.405,3354779259.1,122834600,2014-02-27 23:59:59
2014-02-28,27.0,26.919,27.46,26.549,1241248765.2,45939200,2014-02-28 23:59:59
2014-03-03,26.0,25.02,26.4,24.25,2123059080.1,83336000,2014-03-03 23:59:59
2014-03-04,25.265,26.2,26.299,25.229,1747508435.0,67643500,2014-03-04 23:59:59
2014-03-05,26.195,26.45,26.86,25.647,983152616.9,37430900,2014-03-05 23:59:59
2014-03-06,26.505,25.834,26.637,25.33,1267465995.3,48610500,2014-03-06 23:59:59
2014-03-07,25.8,25.8,26.037,25.41,992738639.6,38656700,2014-03-07 23:59:59
2014-03-11,25.906,25.88,26.177,25.5,771593380.3,29948100,2014-03-11 23:59:59
2014-03-12,25.74,25.72,26.034,25.501,1138612664.5,44072300,2014-03-12 23:59:59
2014-03-13,25.878,25.55,26.187,25.533,1634197934.2,63384500,2014-03-13 23:59:59
2014-03-14,25.5,23.95,25.5,23.635,2471838823.1,102407100,2014-03-14 23:59:59
2014-03-17,24.25,24.55,24.786,23.812,1869450079.8,76838600,2014-03-17 23:59:59
2014-03-18,24.699,24.869,25.051,24.344,1345560064.6,54438000,2014-03-18 23:59:59
2014-03-19,25.004,24.867,25.277,24.65,1083386240.5,43489300,2014-03-19 23:59:59
2014-03-20,24.689,24.55,25.0,24.401,621469243.7,25238700,2014-03-20 23:59:59
2014-03-21,24.3,24.311,24.376,23.775,1261776405.9,52493600,2014-03-21 23:59:59
2014-03-24,24.499,24.062,24.716,24.0,804759412.8,33142100,2014-03-24 23:59:59
2014-03-25,24.099,24.489,24.59,23.91,766496652.9,31451900,2014-03-25 23:59:59
2014-03-26,24.568,25.01,25.249,24.512,759124899.1,30449200,2014-03-26 23:59:59
2014-03-27,24.997,24.746,25.01,24.5,567554598.4,23005900,2014-03-27 23:59:59
2014-03-28,24.783,24.809,24.997,24.705,356567039.5,14312400,2014-03-28 23:59:59
2014-03-31,24.998,25.45,25.45,24.716,1122801423.3,44595500,2014-03-31 23:59:59
2014-04-01,25.44,25.75,26.079,25.25,787932375.7,30721500,2014-04-01 23:59:59
2014-04-02,26.085,25.79,26.085,25.453,639155123.2,24855100,2014-04-02 23:59:59
2014-04-03,25.95,25.693,25.95,25.5,405558282.7,15794800,2014-04-03 23:59:59
2014-04-04,25.788,25.755,25.945,25.562,460635848.6,17882900,2014-04-04 23:59:59
2014-04-07,25.65,25.146,25.65,24.609,1009508408.8,40171700,2014-04-07 23:59:59
2014-04-08,25.101,25.231,25.41,24.805,695363113.4,27648000,2014-04-08 23:59:59
2014-04-09,25.238,25.46,25.495,24.952,587812687.3,23269300,2014-04-09 23:59:59
2014-04-10,25.071,25.78,25.798,25.071,505097900.7,19729500,2014-04-10 23:59:59
2014-04-11,25.4,25.4,25.865,25.26,550219882.6,21487400,2014-04-11 23:59:59
2014-04-14,25.124,25.069,25.305,24.918,900740609.6,35935400,2014-04-14 23:59:59
2014-04-15,25.094,24.585,25.181,24.553,515704269.1,20740400,2014-04-15 23:59:59
2014-04-16,24.649,24.9,25.049,24.647,548388794.4,22080800,2014-04-16 23:59:59
2014-04-17,25.08,24.352,25.08,24.15,1520143071.3,61858200,2014-04-17 23:59:59
2014-04-18,24.75,24.85,24.935,24.6,527269188.5,21257100,2014-04-18 23:59:59
2014-04-21,24.8,24.698,24.97,24.651,274832562.1,11088400,2014-04-21 23:59:59
