begin,open,close,high,low,value,volume,end
2014-01-06,246.04999999999998,242.30000000000004,247.5,242.00000000000003,682214030.8,14020850000,2014-01-06 23:59:59
2014-01-08,243.0,239.55,243.0,239.5,498042475.8,10341130000,2014-01-08 23:59:59
2014-01-09,239.6,240.60000000000005,242.00000000000003,238.7,838162139.9,17420160000,2014-01-09 23:59:59
2014-01-10,240.15,242.30000000000004,242.89999999999998,239.0,771266793.8,15982840000,2014-01-10 23:59:59
2014-01-13,242.05,244.6,246.45,241.25,1213799793.6,24850300000,2014-01-13 23:59:59
2014-01-14,242.64999999999998,245.55,247.0,242.00000000000003,2148924357.9,43911520000,2014-01-14 23:59:59
2014-01-15,246.29999999999998,245.25000000000003,248.10000000000002,243.3,1558963474.3,31784590000,2014-01-15 23:59:59
2014-01-16,245.40000000000003,243.4,246.65,242.69999999999996,891827887.6,18252210000,2014-01-16 23:59:59
2014-01-17,243.4,242.00000000000003,244.35,241.54999999999998,1035887664.1,21341910000,2014-01-17 23:59:59
2014-01-20,242.00000000000003,240.99999999999997,243.3,240.65000000000003,989529343.5,20439300000,2014-01-20 23:59:59
2014-01-21,242.5,241.85000000000002,243.65000000000003,241.2,854793154.4,17648650000,2014-01-21 23:59:59
2014-01-22,242.25,238.35,242.30000000000004,237.15,1786194247.6,37384130000,2014-01-22 23:59:59
2014-01-23,237.5,237.75,241.60000000000002,237.35,1368415899.5,28520340000,2014-01-23 23:59:59
2014-01-24,237.5,234.8,239.24999999999997,233.55,2397111245.9,50674750000,2014-01-24 23:59:59
2014-01-27,232.55,231.89999999999998,234.25,230.0,2379294394.5,51290530000,2014-01-27 23:59:59
2014-01-28,231.89999999999998,231.35,233.5,230.05,1222390061.8,26386290000,2014-01-28 23:59:59
2014-01-29,232.95,231.79999999999998,235.55000000000004,230.95000000000002,2488481050.7,53246310000,2014-01-29 23:59:59
2014-01-30,231.05,229.0,233.4,227.7,2140648636.3,46565970000,2014-01-30 23:59:59
2014-01-31,229.0,227.20000000000002,230.9,226.10000000000002,1469318210.7,32166550000,2014-01-31 23:59:59
2014-02-03,229.0,226.35,229.54999999999998,225.99999999999997,1252950192.4,27480150000,2014-02-03 23:59:59
2014-02-04,224.69999999999996,226.74999999999997,227.45000000000002,222.75,1232976735.2,27386710000,2014-02-04 23:59:59
2014-02-05,227.6,231.05,231.4,226.55,1367000846.3,29808210000,2014-02-05 23:59:59
2014-02-06,231.4,230.5,232.75,230.15,1043086280.4,22550610000,2014-02-06 23:59:59
2014-02-07,231.49999999999997,230.15,231.7,228.8,796482551.3,17320950000,2014-02-07 23:59:59
2014-02-10,230.5,227.75000000000003,231.45,227.75000000000003,622801137.0,13566300000,2014-02-10 23:59:59
2014-02-11,228.4,227.75000000000003,229.35,226.65,757416656.9,16605030000,2014-02-11 23:59:59
2014-02-12,228.85,232.84999999999997,233.14999999999998,228.65,1450586462.6,31395830000,2014-02-12 23:59:59
2014-02-13,231.05,228.09999999999997,231.85,228.09999999999997,843098913.2,18308300000,2014-02-13 23:59:59
2014-02-14,229.50000000000003,229.54999999999998,231.49999999999997,229.25,1126412946.6,24441720000,2014-02-14 23:59:59
2014-02-17,231.0,231.0,232.45,230.1,511095506.8,11044500000,2014-02-17 23:59:59
2014-02-18,231.95000000000002,230.15,232.50000000000003,229.54999999999998,979811190.2,21201990000,2014-02-18 23:59:59
2014-02-19,229.0,225.54999999999998,230.54999999999998,224.4,1650353711.5,36336110000,2014-02-19 23:59:59
2014-02-20,223.75,225.75,226.74999999999997,222.5,1487986155.7,33199830000,2014-02-20 23:59:59
2014-02-21,226.5,226.6,227.9,225.89999999999998,848103526.3,18691230000,2014-02-21 23:59:59
2014-02-24,226.65,225.70000000000005,227.5,224.74999999999994,957610239.8,21180200000,2014-02-24 23:59:59
2014-02-25,226.5,222.95,226.5,222.70000000000002,923445419.8,20609990000,2014-02-25 23:59:59
2014-02-26,222.95,220.05,224.25,219.75000000000003,1250209621.0,28236790000,2014-02-26 23:59:59
2014-02-27,220.1,212.25,221.04999999999998,209.6,2676348682.8,62771150000,2014-02-27 23:59:59
2014-02-28,210.79999999999998,210.65,212.25,207.75000000000003,2075046153.3,49398230000,2014-02-28 23:59:59
2014-03-03,200.1,173.75000000000003,204.4,167.85000000000002,5190361065.4,142761780000,2014-03-03 23:59:59
2014-03-04,173.75000000000003,187.10000000000002,188.55,173.0,3766282608.5,102850790000,2014-03-04 23:59:59
2014-03-05,185.99999999999997,181.5,186.20000000000002,177.8,3125778649.4,86185640000,2014-03-05 23:59:59
2014-03-06,182.5,176.2,185.05,171.25,2769008381.0,77911840000,2014-03-06 23:59:59
2014-03-07,174.5,175.5,180.5,174.15,1874111217.8,52852430000,2014-03-07 23:59:59
2014-03-11,171.60000000000002,167.54999999999998,172.45,165.25000000000003,3053980523.2,90412820000,2014-03-11 23:59:59
2014-03-12,165.04999999999998,158.55,165.8,158.55,2618968788.9,80938750000,2014-03-12 23:59:59
2014-03-13,160.55,159.5,163.85,159.0,3443081062.8,107010340000,2014-03-13 23:59:59
2014-03-14,155.95,160.0,160.29999999999998,148.75,3624768032.8,117536230000,2014-03-14 23:59:59
2014-03-17,162.5,165.5,169.4,158.15,3275383214.5,100682030000,2014-03-17 23:59:59
2014-03-18,169.25,171.55,172.75,165.25000000000003,3707230741.6,109044770000,2014-03-18 23:59:59
2014-03-19,171.65,170.8,174.25,168.75,2669828261.0,77919200000,2014-03-19 23:59:59
2014-03-20,168.20000000000002,174.5,176.75,167.64999999999998,2085809899.8,60469470000,2014-03-20 23:59:59
2014-03-21,169.35,170.24999999999997,170.7,165.6,2439162068.2,72663420000,2014-03-21 23:59:59
2014-03-24,171.04999999999998,170.55,174.0,170.0,1189860747.2,34512250000,2014-03-24 23:59:59
2014-03-25,170.7,176.9,177.75,168.65,2138141793.2,61314780000,2014-03-25 23:59:59
2014-03-26,177.29999999999998,182.25000000000003,184.05,177.1,2420541474.9,67195510000,2014-03-26 23:59:59
2014-03-27,180.5,182.45000000000002,187.0,180.10000000000002,3272132500.7,89429350000,2014-03-27 23:59:59
2014-03-28,183.39999999999998,191.1,194.49999999999997,183.04999999999998,3365729459.6,88999000000,2014-03-28 23:59:59
2014-03-31,192.05,198.00000000000003,199.4,191.0,3802546689.0,97311380000,2014-03-31 23:59:59
2014-04-01,199.0,197.0,202.75,195.8,3432714141.6,86374630000,2014-04-01 23:59:59
2014-04-02,197.5,194.75,197.75,190.0,4214588472.2,109080120000,2014-04-02 23:59:59
2014-04-03,195.45,191.1,198.25000000000003,188.5,3317098119.6,85808590000,2014-04-03 23:59:59
2014-04-04,197.5,194.49999999999997,198.00000000000003,191.85,5349926665.2,137071920000,2014-04-04 23:59:59
2014-04-07,192.20000000000002,188.70000000000002,193.20000000000002,184.54999999999998,3031276940.5,80280130000,2014-04-07 23:59:59
2014-04-08,188.8,191.25,192.20000000000002,185.5,2963830142.4,78062340000,2014-04-08 23:59:59
2014-04-09,191.25,191.99999999999997,194.25,188.14999999999998,1992059388.2,52053840000,2014-04-09 23:59:59
2014-04-10,193.0,195.50000000000006,197.4,192.20000000000002,2165060554.2,55546800000,2014-04-10 23:59:59
2014-04-11,192.55,198.4,200.0,192.49999999999997,4817243622.6,121899550000,2014-04-11 23:59:59
2014-04-14,196.0,196.90000000000003,197.95,193.84999999999997,2973854902.7,76009120000,2014-04-14 23:59:59
2014-04-15,197.5,191.14999999999998,197.85,190.9,2820322134.7,73144850000,2014-04-15 23:59:59
2014-04-16,192.49999999999997,191.65,193.9,189.65,2031800405.4,53001980000,2014-04-16 23:59:59
2014-04-17,192.49999999999997,191.85,193.55,189.05,2210486641.2,57645350000,2014-04-17 23:59:59
2014-04-18,194.49999999999997,194.55,196.6,193.84999999999997,1653363022.5,42394530000,2014-04-18 23:59:59
2014-04-21,195.0,192.65,195.0,192.25,863300869.1,22331210000,2014-04-21 23:59:59
2014-04-22,192.65,191.95,193.84999999999997,190.54999999999998,1918366577.5,49899740000,2014-04-22 23:59:59
2014-04-23,191.4,191.7,192.7,189.60000000000002,2550752275.8,66842570000,2014-04-23 23:59:59
2014-04-24,192.10000000000005,189.95000000000002,193.0,186.65,4239149205.6,111668360000,2014-04-24 23:59:59
2014-04-25,189.0,186.6,190.5,183.60000000000002,3024438693.4,80558700000,2014-04-25 23:59:59
2014-04-28,186.10000000000002,191.25,193.20000000000002,183.0,2390790018.2,63373380000,2014-04-28 23:59:59
2014-04-29,192.95,192.9,196.1,191.99999999999997,1672537007.2,43055270000,2014-04-29 23:59:59
2014-04-30,191.99999999999997,193.24999999999997,195.54999999999995,191.99999999999997,1373679653.5,35459700000,2014-04-30 23:59:59
2014-05-02,192.75,193.0,193.65,191.25,729557574.3,18939090000,2014-05-02 23:59:59
2014-05-05,191.5,193.50000000000003,198.90000000000006,191.5,1920058058.3,49372990000,2014-05-05 23:59:59
2014-05-06,195.0,199.55,200.35,193.75,2743802864.3,69362060000,2014-05-06 23:59:59
2014-05-07,199.0,208.0,218.39999999999998,198.7,5156009262.7,123953650000,2014-05-07 23:59:59
2014-05-08,209.15,211.1,215.65,208.74999999999997,2627637588.9,62080690000,2014-05-08 23:59:59
2014-05-12,212.50000000000003,221.00000000000003,221.15,210.0,3327894741.1,77167930000,2014-05-12 23:59:59
2014-05-13,221.69999999999996,224.00000000000003,227.85,219.75000000000003,6067645629.2,135218720000,2014-05-13 23:59:59
2014-05-14,225.70000000000005,223.29999999999998,226.3,221.5,3113329498.9,69719520000,2014-05-14 23:59:59
2014-05-15,223.15,221.64999999999998,227.20000000000002,221.55,2986247738.7,66623790000,2014-05-15 23:59:59
2014-05-16,220.79999999999998,224.95000000000002,224.95000000000002,219.2,2495354757.6,56198590000,2014-05-16 23:59:59
2014-05-19,225.0,230.5,231.7,224.9,2845621237.6,62328700000,2014-05-19 23:59:59
2014-05-20,230.64999999999998,233.5,233.85000000000002,226.74999999999997,3251933764.5,70524100000,2014-05-20 23:59:59
2014-05-21,232.50000000000003,236.64999999999998,236.85000000000002,230.25,3724956310.5,79671250000,2014-05-21 23:59:59
2014-05-22,237.1,235.0,238.10000000000002,233.10000000000002,1731319062.5,36832660000,2014-05-22 23:59:59
2014-05-23,235.15,236.4,237.5,233.14999999999998,1298041425.0,27513070000,2014-05-23 23:59:59
2014-05-26,236.45,239.8,240.9,236.15,1604939399.1,33577780000,2014-05-26 23:59:59
2014-05-27,241.1,234.29999999999998,241.1,227.95,6164992878.1,132407970000,2014-05-27 23:59:59
2014-05-28,234.70000000000002,236.24999999999997,236.7,231.75,3313293529.4,70652580000,2014-05-28 23:59:59
2014-05-29,237.1,240.0,240.49999999999997,235.1,2601394960.6,54623180000,2014-05-29 23:59:59
2014-05-30,240.04999999999998,239.5,241.34999999999997,238.00000000000003,1948720257.5,40699490000,2014-05-30 23:59:59
2014-06-02,238.4,247.5,250.0,238.4,4081431688.5,82753570000,2014-06-02 23:59:59
2014-06-03,247.0,254.99999999999997,255.7,246.0,5707050542.7,113300050000,2014-06-03 23:59:59
2014-06-04,255.10000000000002,255.59999999999997,258.84999999999997,250.9,4225738586.1,82771970000,2014-06-04 23:59:59
2014-06-05,255.5,242.2,257.4,241.70000000000002,3900386861.0,78620730000,2014-06-05 23:59:59
2014-06-06,243.70000000000002,234.45000000000002,244.85,232.45,4521422629.2,95560750000,2014-06-06 23:59:59
2014-06-09,235.50000000000003,236.54999999999998,239.14999999999998,233.5,1217070636.3,25664460000,2014-06-09 23:59:59
2014-06-10,236.85000000000002,235.0,237.1,230.1,2580788059.9,55349660000,2014-06-10 23:59:59
2014-06-11,235.0,234.89999999999998,235.70000000000002,231.49999999999997,1248199735.5,26737080000,2014-06-11 23:59:59
2014-06-16,233.4,232.15000000000003,234.95,230.0,2793003187.5,59844390000,2014-06-16 23:59:59
2014-06-17,232.35,234.0,235.45,231.05,1508282297.7,32375170000,2014-06-17 23:59:59
2014-06-18,235.05,229.75,235.2,228.9,2068427186.6,44560930000,2014-06-18 23:59:59
2014-06-19,232.05,228.5,232.45,228.25000000000003,1746639719.1,37922530000,2014-06-19 23:59:59
2014-06-20,229.75,224.5,229.75,221.79999999999998,2351605375.1,52091480000,2014-06-20 23:59:59
2014-06-23,224.64999999999998,223.29999999999998,225.85000000000002,219.89999999999998,2246733732.4,50434050000,2014-06-23 23:59:59
2014-06-24,224.54999999999998,220.5,228.35000000000002,220.5,4541583085.1,101338590000,2014-06-24 23:59:59
2014-06-25,219.1,215.5,219.75000000000003,215.15,3169383192.9,72826330000,2014-06-25 23:59:59
2014-06-26,216.0,213.95000000000002,218.1,209.5,2996669810.3,69990080000,2014-06-26 23:59:59
2014-06-27,214.45,210.65,215.79999999999998,209.75000000000003,3777195001.7,89276470000,2014-06-27 23:59:59
2014-06-30,207.75000000000003,205.5,208.95000000000002,203.35000000000002,1992472459.6,48566320000,2014-06-30 23:59:59
2014-07-01,205.65,205.29999999999998,207.2,203.99999999999997,1126078749.9,27386470000,2014-07-01 23:59:59
2014-07-02,205.34999999999997,209.1,209.1,205.29999999999998,1547889692.1,37375750000,2014-07-02 23:59:59
2014-07-03,209.4,211.1,213.19999999999996,209.20000000000002,1992786234.8,47246160000,2014-07-03 23:59:59
2014-07-04,211.35000000000002,204.95,211.9,204.5,1561064230.0,37578090000,2014-07-04 23:59:59
2014-07-07,205.8,213.95000000000002,215.35,203.99999999999997,2734056721.9,65250420000,2014-07-07 23:59:59
2014-07-08,214.0,214.0,217.0,212.50000000000003,2724235235.1,63280500000,2014-07-08 23:59:59
2014-07-09,213.49999999999997,213.15000000000003,215.6,211.1,1893944676.5,44390970000,2014-07-09 23:59:59
2014-07-10,213.75000000000003,208.5,214.85000000000005,206.0,2151734660.4,51130580000,2014-07-10 23:59:59
2014-07-11,209.55,208.20000000000002,209.95,205.14999999999998,1728681801.5,41704760000,2014-07-11 23:59:59
2014-07-14,209.4,205.8,210.0,205.55,1401382059.3,33716230000,2014-07-14 23:59:59
2014-07-15,207.0,205.95,207.15,204.14999999999998,1434667636.2,34900500000,2014-07-15 23:59:59
2014-07-16,205.85,206.50000000000003,208.89999999999998,204.45000000000002,1777112952.7,43052870000,2014-07-16 23:59:59
2014-07-17,203.95,203.45,204.95,193.50000000000003,2723696843.5,68141860000,2014-07-17 23:59:59
2014-07-18,198.00000000000003,202.45,202.7,197.75,1844815953.6,45900540000,2014-07-18 23:59:59
2014-07-21,202.64999999999998,202.5,205.45000000000002,200.29999999999995,1563009131.7,38578900000,2014-07-21 23:59:59
2014-07-22,203.99999999999997,204.75,208.99999999999997,203.99999999999997,2285897123.4,55400350000,2014-07-22 23:59:59
2014-07-23,205.5,201.25,207.2,198.5,3389281553.5,84198090000,2014-07-23 23:59:59
2014-07-24,198.15,200.70000000000002,201.05,193.04999999999998,1955969517.1,49324350000,2014-07-24 23:59:59
2014-07-25,199.5,201.9,201.9,198.5,1283565359.7,32037500000,2014-07-25 23:59:59
2014-07-28,198.55000000000004,199.5,202.29999999999998,196.55,1777078825.2,44613290000,2014-07-28 23:59:59
2014-07-29,197.5,200.59999999999997,203.5,195.95000000000002,1753319673.2,44051920000,2014-07-29 23:59:59
2014-07-30,194.75,198.00000000000003,200.70000000000002,193.04999999999998,1993733640.8,50402940000,2014-07-30 23:59:59
2014-07-31,197.05,199.0,200.0,197.05,977679796.1,24594420000,2014-07-31 23:59:59
2014-08-01,197.65,200.0,201.9,190.5,2553027784.1,65366160000,2014-08-01 23:59:59
2014-08-04,200.0,206.2,206.50000000000003,199.5,1682990487.4,41428900000,2014-08-04 23:59:59
2014-08-05,207.2,205.00000000000006,207.64999999999998,203.15,1571663899.3,38327090000,2014-08-05 23:59:59
2014-08-06,204.25,195.05,205.65,195.05,1799788399.4,44978360000,2014-08-06 23:59:59
2014-08-07,194.0,190.5,195.89999999999998,185.65,2704516392.4,70939100000,2014-08-07 23:59:59
2014-08-08,191.0,187.7,192.79999999999998,187.7,1675140411.3,44064940000,2014-08-08 23:59:59
2014-08-11,194.75,196.25,197.4,193.4,1405884828.1000006,35942980000,2014-08-11 20:30:02
2014-08-12,195.1,192.15000000000003,196.25,191.20000000000002,1213655314.3999994,31347300000,2014-08-12 20:30:02
2014-08-13,191.5,194.8,195.89999999999998,190.05,950867733.0000008,24583700000,2014-08-13 20:29:41
2014-08-14,195.29999999999998,197.3,198.15,194.49999999999997,763491073.7999995,19409530000,2014-08-14 20:29:56
2014-08-15,196.75000000000003,197.0,198.25000000000003,194.8,535959504.80000037,13627440000,2014-08-15 20:29:46
2014-08-18,196.6,196.3,198.7,195.54999999999995,607785114.9,15440000000,2014-08-18 20:29:46
2014-08-19,197.0,197.5,198.35,196.05,726100221.3000003,18390040000,2014-08-19 20:29:47
2014-08-20,197.54999999999998,197.7,198.10000000000002,195.60000000000002,759871909.3,19299840000,2014-08-20 20:29:42
2014-08-21,198.00000000000003,199.1,202.7,197.20000000000005,1580341183.1,39429400000,2014-08-21 20:29:56
2014-08-22,200.0,196.35,202.45,195.70000000000002,1342753946.4999998,33860900000,2014-08-22 20:29:56
2014-08-25,197.5,201.2,201.4,196.75000000000003,869865877.1,21828820000,2014-08-25 20:29:51
2014-08-26,201.45,199.90000000000003,202.4,198.79999999999998,817467986.5000011,20369560000,2014-08-26 20:29:51
2014-08-27,200.9,199.04999999999998,201.35,199.0,731509519.0,18277820000,2014-08-27 23:59:59
2014-08-28,199.04999999999998,191.89999999999998,199.4,189.75,2015264112.7,52173710000,2014-08-28 23:59:59
2014-08-29,191.99999999999997,191.99999999999997,192.75,188.65,938533540.2,24614950000,2014-08-29 23:59:59
2014-09-01,192.9,191.6,194.9,190.15,1191129358.0,30965330000,2014-09-01 23:59:59
2014-09-02,191.6,191.85,192.65,190.85000000000002,678813504.8,17702370000,2014-09-02 23:59:59
2014-09-03,192.25,198.94999999999996,199.45000000000002,191.99999999999997,1929156657.1,49008560000,2014-09-03 23:59:59
2014-09-04,200.0,204.25,205.45000000000002,196.85000000000005,1760372627.8,43772210000,2014-09-04 23:59:59
2014-09-05,203.00000000000003,207.45,207.64999999999998,202.6,1727115294.1,41957650000,2014-09-05 23:59:59
2014-09-08,206.29999999999998,203.05,207.15,203.00000000000003,935737310.3,22836540000,2014-09-08 23:59:59
2014-09-09,203.10000000000002,203.35000000000002,206.05,202.25,799072126.5,19551390000,2014-09-09 23:59:59
2014-09-10,202.75,203.35000000000002,204.45000000000002,201.05,647640287.7,15971010000,2014-09-10 23:59:59
2014-09-11,203.35000000000002,199.24999999999997,204.85,198.3,1014404795.8,25183110000,2014-09-11 23:59:59
2014-09-12,198.75,198.7,200.85,197.20000000000005,947190275.3,23753870000,2014-09-12 23:59:59
2014-09-15,198.45000000000002,196.75000000000003,199.85,195.45,1180594162.6,29930630000,2014-09-15 23:59:59
2014-09-16,196.75000000000003,200.9,202.34999999999997,196.4,935896494.5,23443680000,2014-09-16 23:59:59
