code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
GAZP,2011,12,Y,МСФО,1000000,RUB,1637450,275184,-1605245,,,1553118,31814,,,,,84332,,,,,
GAZP,2012,12,Y,МСФО,1000000,RUB,1472779,345690,-1287216,,,1349114,-253870,,,,,123665,,,,,
GAZP,2013,12,Y,МСФО,1000000,RUB,1741804,419019,-1466512,,,1397195,-33262,,,,,344609,,,,,
GAZP,2013,12,Y,РСБУ,1000,RUB,1207455491,508084776,-998446320,,,28075379,38090611,,,,,1179380112,,,,,
GAZP,2014,12,Y,МСФО,1000000,RUB,1915769,472151,-1441305,,,1262140,-262587,,,,,653629,,,,,
GAZP,2014,12,Y,РСБУ,1000,RUB,1373065899,532497386,-605945629,,,45994369,-485623803,,,,,1327071530,,,,,
GAZP,2015,12,Y,МСФО,1000000,RUB,2030927,515200,-1664156,,,1641024,-138305,,,,,389903,,,,,
GAZP,2015,12,Y,РСБУ,1000,RUB,679296570,630242313,-678541973,,,37784249,-263784237,,,,,641512321,,,,,
GAZP,2016,12,Y,МСФО,1000000,RUB,1571323,571564,-1445965,,,1369052,-460479,,,,,202271,202000,,,,
GAZP,2016,12,Y,РСБУ,1000,RUB,1004239932,628985396,-825327625,,,63458573,-145834971,,,,,940781359,,,,,
GAZP,2017,12,Y,МСФО,1000000,RUB,1187022,613160,-1368131,,,1405780,149944,,,,,-218758,-219000,,,,
GAZP,2017,12,Y,РСБУ,1000,RUB,868544019,709683827,-970338962,,,44580504,115192878,,,,,823963515,,,,,
GAZP,2018,3,Q,МСФО,1000000,RUB,461940,158286,-432142,,,435765,47527,,,,,26175,,,,,
GAZP,2018,6,6M,МСФО,1000000,RUB,947494,318547,-785968,,,791128,-134887,,,,,156366,130000,,,,
GAZP,2018,6,Q,МСФО,1000000,RUB,485554,160261,-353826,,,355363,-182414,,,,,130191,,,,,
GAZP,2018,9,9M,МСФО,1000000,RUB,1426348,476136,-1184448,,,1191595,-284824,,,,,234753,,,,,
GAZP,2018,9,Q,МСФО,1000000,RUB,478854,157589,-398480,,,400467,-149937,,,,,78387,,,,,
GAZP,2018,12,6M,МСФО,1000000,RUB,669890,329446,-831750,,,848346,38817,,,,,-178456,358000,,,,
GAZP,2018,12,Q,МСФО,1000000,RUB,191036,171857,-433270,,,447879,188754,,,,,-256843,,,,,
