code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
GAZP,2011,12,Y,МСФО,1000000,RUB,-77335,,190488,,4637090,,,,1656843,2032455,,1757271,1679936,,1342442,1307018,,
GAZP,2012,12,Y,МСФО,1000000,RUB,61321,,308489,,4766495,,,,1350677,1842105,,1496415,1557736,,1252415,1224474,,
GAZP,2013,12,Y,МСФО,1000000,RUB,-144584,,129523,,5249965,,,,1587209,2049686,,1630667,1486083,,1165705,1139261,,
GAZP,2013,12,Y,РСБУ,1000,RUB,-56266011,,17881474,,3933335313,1927337089,2005998224,978592795,962035500,1419127555,,911042779,854776768,,628311221,628311221,,
GAZP,2014,12,Y,МСФО,1000000,RUB,-1048737,,389804,,5589811,,,,1310424,1827711,,1355560,306823,,157192,159004,,
GAZP,2014,12,Y,РСБУ,1000,RUB,-32165211,,52168226,,3990280172,2029257577,1961022595,976374373,921245510,842743958,,310246572,278081361,,188980016,188980016,,
GAZP,2015,12,Y,МСФО,1000000,RUB,-418741,,990346,,6073318,,,,1228301,1859182,,1343982,925241,,805199,787056,,
GAZP,2015,12,Y,РСБУ,1000,RUB,-41080675,,76266778,,4334293477,2265357118,2068936359,1168530262,811940021,1105812299,,475569986,434489311,,403522806,403522806,,
GAZP,2016,12,Y,МСФО,1000000,RUB,475627,,1018997,,6111051,,,,725580,1381075,1322000,809511,1285138,,997104,951637,,
GAZP,2016,12,Y,РСБУ,1000,RUB,-51828235,,67912187,,3934488441,2230262682,1704225759,1277777675,332673919,1312242369,,683256973,631428738,,411424597,411424597,,
GAZP,2017,12,Y,МСФО,1000000,RUB,19661,,426705,,6546143,,,,870623,1611505,1467000,998345,1018006,,766879,714302,,
GAZP,2017,12,Y,РСБУ,1000,RUB,-27963652,,70088367,,4313031616,2546878828,1766152788,1294388315,375511399,936043580,,226359753,198396101,,100297977,100297977,,
GAZP,2018,3,Q,МСФО,1000000,RUB,-16043,,91380,,2138331,,,,467581,669547,,511261,495218,,392169,371623,,
GAZP,2018,6,6M,МСФО,1000000,RUB,-134893,,259939,,3971555,,,,879273,1289403,,970856,835963,,663551,630804,,
GAZP,2018,6,Q,МСФО,1000000,RUB,-118850,,168559,,1833224,,,,411692,619856,,459595,340745,,271382,259181,,
GAZP,2018,9,9M,МСФО,1000000,RUB,-218229,,416893,,5901591,,,,1384951,2010267,,1534131,1315902,,1064086,1017250,,
GAZP,2018,9,Q,МСФО,1000000,RUB,-83336,,156954,,1930036,,,,505678,720864,,563275,479939,,400535,386446,,
GAZP,2018,12,6M,МСФО,1000000,RUB,-175058,,243152,,4252622,,,,1050757,1521103,,1191657,1016599,,865445,825466,,
GAZP,2018,12,Q,МСФО,1000000,RUB,-91722,,86198,,2322586,,,,545079,800239,,628382,536660,,464910,439020,,
GAZP,2018,12,Y,МСФО,1000000,RUB,-309951,,503091,,8224177,,,,1930030,2810506,2599000,2162513,1852562,,1528996,1456270,,
GAZP,2018,12,Y,РСБУ,1000,RUB,-39632147,,61209361,,5179549285,2618406690,2561142595,1430858563,1024124013,1916372884,,1237719281,1198087134,,933136526,933136526,,
GAZP,2019,3,Q,МСФО,1000000,RUB,189232,,258223,,2291821,,,,458762,695346,634000,522694,711926,,559513,535908,,
GAZP,2019,6,6M,МСФО,1000000,RUB,229145,,353638,,4076751,,,,780878,1244008,,896133,1125278,,878644,836497,,
GAZP,2019,6,Q,МСФО,1000000,RUB,39913,,95415,,1784930,,,,322116,548662,,373439,413352,,319131,300589,,
GAZP,2019,9,9M,МСФО,1000000,RUB,246889,,534853,,5698339,,,,972631,1677609,,1152565,1399454,,1106948,1048286,,
GAZP,2019,9,Q,МСФО,1000000,RUB,17744,,181215,,1621588,,,,191753,433601,,256432,274176,,228304,211789,,
GAZP,2019,12,6M,МСФО,1000,RUB,70936000,,301278000,,3582872000,,,,338979000,798205000,,430851000,501787000,,390873000,366390000,,
GAZP,2019,12,Q,МСФО,1000,RUB,53192000,,120063000,,1961284000,,,,147226000,364604000,,174419000,227611000,,162569000,154601000,,
GAZP,2019,12,Y,МСФО,1000,RUB,300081000,,654916000,,7659623000,,,,1119857000,2042213000,1860000000,1326984000,1627065000,,1269517000,1202887000,,
GAZP,2019,12,Y,РСБУ,1000,RUB,-45983816,,61250281,,4758711459,2657654354,2101057105,1363851113,629113798,1617840254,,956937299,910953483,,651124114,651124114,,
