code,year,month,period,type,amount,curr,equity_ps,revenue_ps,ebitda_ps,ebitda_adjusted_ps,earnings_ps,fcf_ps,fcf_adjusted_ps,capital,num1,price1
GAZP,2011,12,Y,МСФО,1000000,RUB,315.271,195.877,85.8535,,55.2101,3.5623,,4055982799994.8804,23673511936,171.33
GAZP,2012,12,Y,МСФО,1000000,RUB,345.142,201.343,77.8129,,51.7234,5.2238,,3416561381728,23673512900,144.32
GAZP,2013,12,Y,МСФО,1000000,RUB,393.672,221.765,86.5814,,48.1239,14.5567,,3286120325649,23673512900,138.81
GAZP,2013,12,Y,РСБУ,1000,RUB,353.553,166.149,59.9458,,26.5407,49.8186,,3286120325649,23673512900,138.81
GAZP,2014,12,Y,МСФО,1000000,RUB,414.664,236.121,77.2049,,6.7165,27.6101,,3112593476092,23673512900,131.48
GAZP,2014,12,Y,РСБУ,1000,RUB,383.94,168.555,35.5986,,7.9828,56.0572,,3112593476092,23673512900,131.48
GAZP,2015,12,Y,МСФО,1000000,RUB,447.318,256.545,78.5343,,33.2463,16.47,,3225516132625,23673512900,136.25
GAZP,2015,12,Y,РСБУ,1000,RUB,393.788,183.086,46.711,,17.0453,27.0983,,3225516132625,23673512900,136.25
GAZP,2016,12,Y,МСФО,1000000,RUB,468.647,258.139,58.3384,56,40.1984,8.54419,9,3635304640924,23673512900,153.56
GAZP,2016,12,Y,РСБУ,1000,RUB,439.901,166.198,55.4308,,17.3791,39.7398,,3635304640924,23673512900,153.56
GAZP,2017,12,Y,МСФО,1000000,RUB,491.228,276.518,61.968,,30.173,-9.2508,,3074479120323,23673512900,129.87
GAZP,2017,12,Y,РСБУ,1000,RUB,436.108,182.188,39.5397,,4.2367,34.8053,,3074479120323,23673512900,129.87
GAZP,2018,3,Q,МСФО,1000000,RUB,507.984,90.3259,28.2825,,15.6978,1.1057,,3377263350314,23673512900,142.66
GAZP,2018,6,6M,МСФО,1000000,RUB,518.394,167.764,54.4661,,26.646,5.4914,,3319973449096,23673512900,140.24
GAZP,2018,6,Q,МСФО,1000000,RUB,518.394,77.4381,26.1836,,10.9482,4.3857,,3319973449096,23673512900,140.24
GAZP,2018,9,9M,МСФО,1000000,RUB,543.903,249.291,84.9163,,42.97,9.9163,,3838423381605.9995,23673512900,162.14
GAZP,2018,9,Q,МСФО,1000000,RUB,543.903,81.527,30.4502,,16.324,4.4249,,3838423381605.9995,23673512900,162.14
GAZP,2018,12,6M,МСФО,1000000,RUB,561.81,179.636,64.2529,,34.8687,-6.4245,,3629149527570.0005,23673512900,153.3
GAZP,2018,12,Q,МСФО,1000000,RUB,561.81,98.109,33.8027,,18.5447,-10.8494,,3629149527570.0005,23673512900,153.3
GAZP,2018,12,Y,МСФО,1000000,RUB,561.81,347.4,118.719,110,61.5147,-0.9331,21,3629149527570.0005,23673512900,153.3
GAZP,2018,12,Y,РСБУ,1000,RUB,467.495,218.791,80.9501,,39.4169,34.5989,,3629149527570.0005,23673512900,153.3
GAZP,2019,3,Q,МСФО,1000000,RUB,576.79,96.8095,26.781,,22.6375,8.9974,,3552684080903,23673512900,150.07
GAZP,2019,6,6M,МСФО,1000000,RUB,573.875,172.207,52.5485,,35.3347,19.7804,,5531079553956,23673512900,233.64
GAZP,2019,6,Q,МСФО,1000000,RUB,573.875,75.3975,25.7675,,12.6972,10.783,,5531079553956,23673512900,233.64
GAZP,2019,9,9M,МСФО,1000000,RUB,587.738,240.705,70.8644,,44.281,16.8027,,5370809871623,23673512900,226.87
GAZP,2019,9,Q,МСФО,1000000,RUB,587.738,68.498,18.3159,,8.9462,-2.9777,,5370809871623,23673512900,226.87
GAZP,2019,12,6M,МСФО,1000,RUB,595.807,151.345,33.7172,,15.4768,-22.5911,,6077464231688.001,23673512900,256.72
GAZP,2019,12,Q,МСФО,1000,RUB,595.807,82.847,15.4013,,6.5305,-19.6134,,6077464231688.001,23673512900,256.72
GAZP,2019,12,Y,МСФО,1000,RUB,595.807,323.552,86.2657,79,50.8115,-2.8107,,6077464231688.001,23673512900,256.72
GAZP,2019,12,Y,РСБУ,1000,RUB,478.792,201.014,68.3397,,27.5043,18.8959,,6077464231688.001,23673512900,256.72
GAZP,2020,3,Q,МСФО,1000000,RUB,597.582,73.4928,21.4163,,-4.9105,7.2082,,4290350742867,23673512900,181.23
GAZP,2020,3,Q,РСБУ,1000,RUB,465.856,47.5785,-15.4604,,-12.9356,,,4290350742867,23673512900,181.23
GAZP,2020,6,6M,МСФО,1000000,RUB,582.358,122.633,27.9518,,1.3905,1.6666,,4628171771950,23673512900,195.5
GAZP,2020,6,6M,РСБУ,1000,RUB,451.852,79.5518,-12.9072,,-11.7001,,,4628171771950,23673512900,195.5
GAZP,2020,6,Q,МСФО,1000000,RUB,582.358,49.1402,6.5355,,6.301,-5.5416,,4628171771950,23673512900,195.5
GAZP,2020,6,Q,РСБУ,1000,RUB,451.852,31.9733,2.5532,,1.2355,,,4628171771950,23673512900,195.5
GAZP,2020,9,9M,МСФО,1000000,RUB,582.708,181.689,43.0234,,-9.2246,6.7122,,4045329884352,23673512900,170.88
GAZP,2020,9,9M,РСБУ,1000,RUB,438.539,115.913,-28.6596,,-25.0132,,,4045329884352,23673512900,170.88
GAZP,2020,9,Q,МСФО,1000000,RUB,582.708,59.056,15.0716,,-10.6151,5.0456,,4045329884352,23673512900,170.88
GAZP,2020,9,Q,РСБУ,1000,RUB,438.539,36.3612,-15.7524,,-13.3131,,,4045329884352,23673512900,170.88
GAZP,2020,12,6M,МСФО,1000000,RUB,601.429,144.398,37.5232,,4.3265,15.0747,,5024466377896,23673512900,212.24
GAZP,2020,12,6M,РСБУ,1000,RUB,431.85,92.0092,5.5673,,-18.1614,,,5024466377896,23673512900,212.24
GAZP,2020,12,Q,МСФО,1000000,RUB,601.429,85.342,22.4516,,14.9416,10.0291,,5024466377896,23673512900,212.24
GAZP,2020,12,Q,РСБУ,1000,RUB,431.85,55.648,21.3197,,-4.8483,,,5024466377896,23673512900,212.24
GAZP,2020,12,Y,МСФО,1000000,RUB,601.429,267.031,65.475,62,5.717,16.7413,11,5024466377896,23673512900,212.24
GAZP,2020,12,Y,РСБУ,1000,RUB,431.85,171.561,-7.3399,,-29.8615,19.0811,,5024466377896,23673512900,212.24
GAZP,2021,3,Q,МСФО,1000000,RUB,626.243,96.5282,29.6112,,18.893,9.64,,5350924120787,23673512900,226.03
GAZP,2021,3,Q,РСБУ,1000,RUB,447.081,62.9459,17.8788,,15.3183,,,5350924120787,23673512900,226.03
GAZP,2021,6,6M,МСФО,1000000,RUB,636.118,183.833,59.306,,40.9106,16.0748,,6624322379678,23673512900,279.82
GAZP,2021,6,6M,РСБУ,1000,RUB,449.556,116.353,36.4311,,30.3424,,,6624322379678,23673512900,279.82
