code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
LKOH,2011,12,Y,МСФО,1000000,USD,15514,4473,-9013,,,8249,-6023,,,,,7265,,,,,
LKOH,2012,12,Y,МСФО,1000000,USD,18997,4832,-13216,,,11647,-5680,,,,,7350,,,,,
LKOH,2013,12,Y,МСФО,1000000,USD,16449,5756,-18639,,,14957,1029,,,,,1492,,,,,
LKOH,2013,12,Y,РСБУ,1000,RUB,227155900,445930,-64583864,,,1320423,-155237731,,,,,225835477,,,,,
LKOH,2014,12,Y,МСФО,1000000,RUB,651416,293052,-578374,,,575981,30143,,,,,75435,,,,,
LKOH,2014,12,Y,РСБУ,1000,RUB,400979327,678475,-133649171,,,958943,-192105141,,,,,400020384,,,,,
LKOH,2015,12,Y,МСФО,1000000,RUB,848972,350976,-525722,,,600639,-253063,,,,,248333,,,,,
LKOH,2015,12,Y,РСБУ,1000,RUB,490799389,723999,-57868114,,,1594391,-358814599,,,,,489204998,,,,,
LKOH,2016,12,Y,МСФО,1000000,RUB,752247,311588,-500343,,,497130,-193134,,,,,255117,,,,,
LKOH,2016,12,Y,РСБУ,1000,RUB,823223257,,-139773230,,,1443668,-665124897,,,,,821779589,,,,,
LKOH,2017,12,Y,МСФО,1000000,RUB,758490,325054,-433286,,,511496,-247395,,,,,246994,,,,,
LKOH,2017,12,Y,РСБУ,1000,RUB,898017703,900664,-363118086,,,775637,-539550217,,,,,897242066,,,,,
LKOH,2018,3,Q,МСФО,1000000,RUB,166992,87690,-128400,,,121057,-70401,,,,,45935,,,,,
LKOH,2018,6,6M,МСФО,1000000,RUB,409941,185283,-214312,,,226834,-207210,,,,,183107,,,,,
LKOH,2018,6,Q,МСФО,1000000,RUB,242949,97593,-85912,,,105777,-136809,,,,,137172,,,,,
LKOH,2018,9,9M,МСФО,1000000,RUB,681140,291183,-329459,,,338260,-337816,,,,,342880,,,,,
LKOH,2018,9,Q,МСФО,1000000,RUB,271199,105900,-115147,,,111426,-130606,,,,,159773,,,,,
LKOH,2018,12,6M,МСФО,1000000,RUB,596710,157802,-206080,,,224692,-261339,,,,,372018,,,,,
LKOH,2018,12,Q,МСФО,1000000,RUB,325511,51902,-90933,,,113266,-130733,,,,,212245,,,,,
LKOH,2018,12,Y,МСФО,1000000,RUB,1006651,343085,-420392,,,451526,-468549,,,,,555125,,,,,
LKOH,2018,12,Y,РСБУ,1000,RUB,1376163426,913791,-271475548,,,1176015,-1068252676,,,,,1374987411,,,,,
LKOH,2019,3,Q,МСФО,1000000,RUB,243324,103830,-99551,,,97421,-169807,,,,,145903,,,,,
LKOH,2019,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2019,6,6M,МСФО,1000000,RUB,513242,209560,-209163,,,204976,-261875,,,,,308266,,,,,
LKOH,2019,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2019,6,Q,МСФО,1000000,RUB,269918,105730,-109612,,,107555,-92068,,,,,162363,,,,,
LKOH,2019,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2019,9,9M,МСФО,1000000,RUB,831163,314064,-352401,,,314038,-502364,,,,,517125,,,,,
LKOH,2019,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2019,9,Q,МСФО,1000000,RUB,317921,104504,-143238,,,109062,-240489,,,,,208859,,,,,
LKOH,2019,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2019,12,6M,МСФО,1000000,RUB,638602,205534,-300963,,,244999,-320469,,,,,393603,,,,,
LKOH,2019,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2019,12,Q,МСФО,1000000,RUB,320681,101030,-157725,,,135937,-79980,,,,,184744,,,,,
LKOH,2019,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2019,12,Y,МСФО,1000000,RUB,1151844,415094,-510126,,,449975,-582344,,,,,701869,,,,,
LKOH,2019,12,Y,РСБУ,1000,RUB,1549054223,815740,-215605280,,,1158476,-1232890254,,,,,1547895747,,,,,
LKOH,2020,3,Q,МСФО,1000000,RUB,185730,110718,-129718,,,130340,-151630,,,,,55390,55500,,,,
LKOH,2020,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2020,6,6M,МСФО,1000000,RUB,328482,211443,-244042,,,247456,-14009,,,,,81026,,,,,
LKOH,2020,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2020,6,Q,МСФО,1000000,RUB,142752,100725,-114324,,,117116,137621,,,,,25636,,,,,
LKOH,2020,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2020,9,9M,МСФО,1000000,RUB,555931,314882,-353745,,,360282,-357017,,,,,195649,,,,,
LKOH,2020,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2020,9,Q,МСФО,1000000,RUB,227449,103439,-109703,,,112826,-343008,,,,,114623,,,,,
LKOH,2020,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2020,12,6M,МСФО,1000000,RUB,448092,193997,-248727,,,247987,-499996,,,,,200105,,,,,
LKOH,2020,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2020,12,Q,МСФО,1000000,RUB,220643,90558,-139024,,,135161,-156988,,,,,85482,,,,,
LKOH,2020,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2020,12,Y,МСФО,1000000,RUB,776574,405440,-492769,,,495443,-514005,,,,,281131,,,,,
LKOH,2020,12,Y,РСБУ,1000,RUB,1211926025,882704,-354826941,,,2105006,-1081071282,,,,,1209821019,,,,,
LKOH,2021,3,Q,МСФО,1000000,RUB,270845,113714,-104692,,,107220,-29890,,,,,163625,,,,,
LKOH,2021,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2021,6,6M,МСФО,1000000,RUB,487261,220228,-207574,,,211433,-57019,,,,,275828,,,,,
LKOH,2021,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2021,6,Q,МСФО,1000000,RUB,216416,106514,-102882,,,104213,-27129,,,,,112203,,,,,
LKOH,2021,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2021,9,9M,МСФО,1000000,RUB,809259,327631,-304860,,,305761,-209150,,,,,503498,,,,,
LKOH,2021,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2021,9,Q,МСФО,1000000,RUB,321998,107403,-97286,,,94328,-152131,,,,,227670,,,,,
LKOH,2021,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2021,12,6M,МСФО,1000000,RUB,639353,205238,-230481,,,221609,-297358,,,,,417744,,,,,
LKOH,2021,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2021,12,Q,МСФО,1000000,RUB,317355,97835,-133195,,,127281,-145227,,,,,190074,,,,,
LKOH,2021,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2021,12,Y,МСФО,1000000,RUB,1126614,425466,-438055,,,433042,-354377,,,,,693572,,,,,
LKOH,2021,12,Y,РСБУ,1000,RUB,2219547606,927634,-150693860,,,2169560,-1999998333,,,,,2217378046,,,,,
LKOH,2022,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2022,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2022,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2022,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2022,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2022,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2022,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2022,12,Y,РСБУ,1000,RUB,2801718777,3485935,-33030402,,927200,927200,-2501933885,478156820,,1536701057,3557867139,2800791577,,,,,
LKOH,2023,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2023,6,6M,МСФО,1000000,RUB,759901,258736,-365128,,,338955,-412391,266330,2073,762,132517,420946,,,,,
LKOH,2023,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2023,6,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
LKOH,2023,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2023,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2023,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2023,12,6M,МСФО,1000000,RUB,1064410,318631,-595051,,,381362,-329046,257190,,15057,71811,683048,,,,,
LKOH,2023,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2023,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2023,12,Y,МСФО,1000000,RUB,1824311,577367,-960179,,,720317,-741437,523520,,15819,204328,1103994,,,26036,,
LKOH,2023,12,Y,РСБУ,1000,RUB,2464024302,3725150,-388558534,,930662,930662,-2109120029,524614741,,1875989311,3457739314,2463093640,,,,,
LKOH,2024,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2024,6,6M,МСФО,1000000,RUB,782271,290607,-389729,,,326762,-373334,296379,,12681,75490,455509,,,13653,,
LKOH,2024,6,6M,РСБУ,1000,RUB,1639308639,,-18841911,,80047,80047,-1719720693,298908147,,308884360,1728374903,1639228592,,,,,
LKOH,2024,6,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
LKOH,2024,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2024,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2024,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
LKOH,2024,12,6M,МСФО,1000000,RUB,1005901,302839,-422178,,,452962,-480950,310620,,8419,63645,552939,,,15345,,
LKOH,2024,12,6M,РСБУ,1000,RUB,1766214231,,55817120,,129822,129822,-1832050356,300729597,,2203621438,3733383296,1766084409,,,,,
