code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
LKOH,2011,12,Y,МСФО,1000000,USD,-483,,211,,133650,,,3822,13155,18075,,13602,13119,,9826,10357,,
LKOH,2012,12,Y,МСФО,1000000,USD,-281,,257,,139171,64148,75023,3755,14070,18836,,14004,13723,,10925,11004,,
LKOH,2013,12,Y,МСФО,1000000,USD,-249,,239,,141452,65924,75528,3849,10247,16463,,10707,10458,,7627,7832,,
LKOH,2013,12,Y,РСБУ,1000,RUB,20183909,,36957912,,260008506,19597272,240411234,1037026,215773801,197470099,,197024169,217208078,,209870651,209870651,,
LKOH,2014,12,Y,МСФО,1000000,RUB,-18728,,10999,,5504856,2781856,2723000,146550,412334,796635,,503583,484855,,394076,395525,,
LKOH,2014,12,Y,РСБУ,1000,RUB,24227332,,43401283,,242880237,17799989,225080248,1494273,202901835,374953795,,374275320,398502652,,371881105,371881105,,
LKOH,2015,12,Y,МСФО,1000000,RUB,-30461,,17763,,5749050,2891674,2857376,168669,465729,769000,,419565,389104,,292745,291135,,
LKOH,2015,12,Y,РСБУ,1000,RUB,23627282,,66565274,,259197748,21896068,237301680,1607869,212970686,302194534,,301470535,325097817,,302294681,302294681,,
LKOH,2016,12,Y,МСФО,1000000,RUB,-32274,,14756,,5227045,2609764,2617281,196156,419143,731000,,304789,272515,,207642,206794,,
LKOH,2016,12,Y,РСБУ,1000,RUB,16082254,,67435282,,316540706,18041817,298498889,3478855,270792832,166651983,,166651983,182734237,,182566224,182566224,,
LKOH,2017,12,Y,МСФО,1000000,RUB,-12180,,15151,,5936705,3129864,2806841,165331,506516,861418,831600,536364,524184,,420422,418805,,
LKOH,2017,12,Y,РСБУ,1000,RUB,28891788,,65725955,,223419850,19364531,204055319,1899327,157746320,185702354,,184801690,213693478,,204363706,204363706,,
LKOH,2018,3,Q,МСФО,1000000,RUB,-1735,,3514,,1630728,,,36754,131834,221967,219500,134277,132542,,109425,109058,,
LKOH,2018,6,6M,МСФО,1000000,RUB,-7439,,8162,,3686786,2079312,1607474,77163,329392,537127,514700,351844,344405,,277420,276380,,
LKOH,2018,6,Q,МСФО,1000000,RUB,-5704,,4648,,2056058,,,40409,197558,315160,295200,217567,211863,,167995,167322,,
LKOH,2018,9,9M,МСФО,1000000,RUB,-12262,,13294,,5992672,,,141929,545302,876200,836500,585017,572755,,461882,460147,,
LKOH,2018,9,Q,МСФО,1000000,RUB,-4823,,5132,,2305886,,,64766,215910,339073,321800,233173,228350,,184462,183767,,
LKOH,2018,12,6M,МСФО,1000000,RUB,-11329,,11368,,4349103,2454932,1894171,115270,442323,597745,600100,439943,428614,,343682,342794,,
LKOH,2018,12,Q,МСФО,1000000,RUB,-6506,,6236,,2043217,,,50504,226413,258672,278300,206770,200264,,159220,159027,,
LKOH,2018,12,Y,МСФО,1000000,RUB,-18768,,19530,,8035889,4534244,3501645,192433,771715,1134872,1114800,791787,773019,,621102,619174,,
LKOH,2018,12,Y,РСБУ,1000,RUB,20705673,,56232201,,264355347,20625329,243730018,1435908,211379940,208289416,,207375625,228081298,,219484106,219484106,,
LKOH,2019,3,Q,МСФО,1000000,RUB,-5750,,5984,,1850933,987525,863408,49573,194227,302166,298100,198336,192586,,149790,149236,,
LKOH,2019,3,Q,РСБУ,1000,RUB,-1925214,,11598245,,48287730,4749806,43537924,142296,36544669,46323985,,46323985,44398771,,41661862,41661862,,
LKOH,2019,6,6M,МСФО,1000000,RUB,-10651,,12059,,3976485,2197908,1778577,98560,420667,636525,630200,426965,416314,,331591,330481,,
LKOH,2019,6,6M,РСБУ,1000,RUB,-3552881,,22974962,,218418706,9618363,208800343,363278,194849373,208432904,,208432904,204880023,,200857262,200857262,,
LKOH,2019,6,Q,МСФО,1000000,RUB,-4901,,6075,,2125552,1210383,915169,48987,226440,334359,332100,228629,223728,,181801,181245,,
LKOH,2019,6,Q,РСБУ,1000,RUB,-1627667,,11376717,,170130976,4868557,165262419,220982,158304704,162108919,,162108919,160481252,,159195400,159195400,,
LKOH,2019,9,9M,МСФО,1000000,RUB,-14579,,19003,,5928807,3247918,2680889,144198,643968,971725,958000,657661,643082,,522478,520868,,
LKOH,2019,9,9M,РСБУ,1000,RUB,-6265324,,34663534,,242109809,14329554,227780255,587488,206219145,214361185,,214361185,208095861,,209278037,209278037,,
LKOH,2019,9,Q,МСФО,1000000,RUB,-3928,,6944,,1952322,1050010,902312,45638,223301,335200,327800,230696,226768,,190887,190387,,
LKOH,2019,9,Q,РСБУ,1000,RUB,-2712443,,11688572,,23691103,4711191,18979912,224210,11369772,5928281,,5928281,3215838,,8420775,8420775,,
LKOH,2019,12,6M,МСФО,1000000,RUB,-8571,,13075,,3864761,2110165,1754596,98612,400431,591145,605800,385611,377040,,310630,309697,,
LKOH,2019,12,6M,РСБУ,1000,RUB,-7854977,,21025090,,226052648,9979331,216073317,1057314,199286626,208936798,,208121058,200266081,,204902507,204902507,,
LKOH,2019,12,Q,МСФО,1000000,RUB,-4643,,6131,,1912439,1060155,852284,52974,177130,255945,278000,154915,150272,,119743,119310,,
LKOH,2019,12,Q,РСБУ,1000,RUB,-5142534,,9336518,,202361545,5268140,197093405,833104,187916854,203008517,,202192777,197050243,,196481732,196481732,,
