code,year,month,period,type,amount,curr,equity_ps,revenue_ps,ebitda_ps,ebitda_adjusted_ps,earnings_ps,fcf_ps,fcf_adjusted_ps,capital,num1,price1
LKOH,2011,12,Y,МСФО,1000000,USD,79.5214,157.131,21.2506,,12.1766,8.5414,,1445532267168,850563264,1699.5
LKOH,2012,12,Y,МСФО,1000000,USD,86.0688,163.622,22.1453,,12.9373,8.6413,,1706144833204.5,850563255,2005.9
LKOH,2013,12,Y,МСФО,1000000,USD,92.3835,166.304,19.3554,,9.208,1.7541,,1723581379932,850563255,2026.4
LKOH,2013,12,Y,РСБУ,1000,RUB,1016.01,305.69,232.164,,246.743,265.513,,1723581379932,850563255,2026.4
LKOH,2014,12,Y,МСФО,1000000,RUB,3571.02,6472.01,936.597,,465.015,88.6883,,1886038961637,850563255,2217.4
LKOH,2014,12,Y,РСБУ,1000,RUB,1333.35,285.552,440.83,,437.217,470.301,,1886038961637,850563255,2217.4
LKOH,2015,12,Y,МСФО,1000000,RUB,3788.63,6759.11,904.107,,342.285,291.963,,2001035113713,850563255,2352.6
LKOH,2015,12,Y,РСБУ,1000,RUB,1529.86,304.737,355.288,,355.405,575.154,,2001035113713,850563255,2352.6
LKOH,2016,12,Y,МСФО,1000000,RUB,3786.76,6145.39,859.43,,243.126,299.939,,2916156119767.5,850563255,3428.5
LKOH,2016,12,Y,РСБУ,1000,RUB,1557.6,372.154,195.931,,214.642,966.159,,2916156119767.5,850563255,3428.5
LKOH,2017,12,Y,МСФО,1000000,RUB,4094.88,6979.73,977.705,,492.385,290.389,,2823444724972.5,850563255,3319.5
LKOH,2017,12,Y,РСБУ,1000,RUB,1592.98,262.673,218.329,,240.269,1054.88,,2823444724972.5,850563255,3319.5
LKOH,2018,3,Q,МСФО,1000000,RUB,4219.14,1917.23,258.064,,128.219,54.0054,,3385667036527.5,850563255,3980.5
LKOH,2018,6,6M,МСФО,1000000,RUB,4376.85,4334.52,605.128,,324.938,215.277,,3663375939285,850563255,4307
LKOH,2018,6,Q,МСФО,1000000,RUB,4376.85,2417.29,347.064,,196.719,161.272,,3663375939285,850563255,4307
LKOH,2018,9,9M,МСФО,1000000,RUB,4648.34,7045.53,983.466,,540.991,403.121,,4243034797567.5,850563255,4988.5
LKOH,2018,9,Q,МСФО,1000000,RUB,4648.34,2711.01,378.338,,216.053,187.844,,4243034797567.5,850563255,4988.5
LKOH,2018,12,6M,МСФО,1000000,RUB,5420.75,6379.98,881.272,,500.627,524.89,,3739125000000,750000000,4985.5
LKOH,2018,12,Q,МСФО,1000000,RUB,5420.75,3668.97,502.934,,284.574,337.046,,3739125000000,750000000,4985.5
LKOH,2018,12,Y,МСФО,1000000,RUB,5420.75,10714.5,1486.4,,825.565,740.167,,3739125000000,750000000,4985.5
LKOH,2018,12,Y,РСБУ,1000,RUB,1327.42,352.474,277.719,,292.646,1833.32,,3739125000000,750000000,4985.5
LKOH,2019,3,Q,МСФО,1000000,RUB,5397.61,2467.91,397.467,,198.981,194.537,,4404375000000,750000000,5872.5
LKOH,2019,3,Q,РСБУ,1000,RUB,1382.97,64.3836,61.7653,,55.5491,,,4404375000000,750000000,5872.5
LKOH,2019,6,6M,МСФО,1000000,RUB,5156.17,5301.98,840.267,,440.641,411.021,,4004625000000,750000000,5339.5
LKOH,2019,6,6M,РСБУ,1000,RUB,1440.33,291.225,277.91,,267.81,,,4004625000000,750000000,5339.5
LKOH,2019,6,Q,МСФО,1000000,RUB,5156.17,2834.07,442.8,,241.66,216.484,,4004625000000,750000000,5339.5
LKOH,2019,6,Q,РСБУ,1000,RUB,1440.33,226.841,216.145,,212.261,,,4004625000000,750000000,5339.5
LKOH,2019,9,9M,МСФО,1000000,RUB,5792.72,8292.04,1339.86,,728.487,723.252,,3865647500000,715000000,5406.5
LKOH,2019,9,9M,РСБУ,1000,RUB,1255.83,338.615,299.806,,292.697,,,3865647500000,715000000,5406.5
LKOH,2019,9,Q,МСФО,1000000,RUB,5792.72,2990.06,499.593,,287.846,312.231,,3865647500000,715000000,5406.5
LKOH,2019,9,Q,РСБУ,1000,RUB,1255.83,47.39,21.896,,24.887,,,3865647500000,715000000,5406.5
LKOH,2019,12,6M,МСФО,1000000,RUB,5545.96,5664.82,888.403,,454.713,570.614,,4405472500000,715000000,6161.5
LKOH,2019,12,6M,РСБУ,1000,RUB,1338.7,330.413,305.824,,299.686,,,4405472500000,715000000,6161.5
LKOH,2019,12,Q,МСФО,1000000,RUB,5545.96,2674.76,388.81,,166.867,258.383,,4405472500000,715000000,6161.5
LKOH,2019,12,Q,РСБУ,1000,RUB,1338.7,283.023,283.928,,274.799,,,4405472500000,715000000,6161.5
LKOH,2019,12,Y,МСФО,1000000,RUB,5545.96,10966.8,1728.67,,895.354,981.635,,4405472500000,715000000,6161.5
LKOH,2019,12,Y,РСБУ,1000,RUB,1338.7,621.638,583.734,,567.496,2164.89,,4405472500000,715000000,6161.5
LKOH,2020,3,Q,МСФО,1000000,RUB,6291.75,2404.48,217.647,,-66.3332,80.1021,,3208314910941,692865762,4630.5
LKOH,2020,3,Q,РСБУ,1000,RUB,1245.86,88.1784,28.316,,20.6469,,,3208314910941,692865762,4630.5
LKOH,2020,6,6M,МСФО,1000000,RUB,5707.56,3828.18,426.201,,-93.3514,116.943,,3685699420959,692865762,5319.5
LKOH,2020,6,6M,РСБУ,1000,RUB,1032.91,250.958,170.827,,157.59,,,3685699420959,692865762,5319.5
LKOH,2020,6,Q,МСФО,1000000,RUB,5707.56,1423.7,208.554,,-27.0182,36.8409,,3685699420959,692865762,5319.5
LKOH,2020,6,Q,РСБУ,1000,RUB,1032.91,162.78,142.511,,136.943,,,3685699420959,692865762,5319.5
LKOH,2020,9,9M,МСФО,1000000,RUB,6089,5930.53,718.032,,-20.5812,282.376,,3107156509689,692865762,4484.5
LKOH,2020,9,9M,РСБУ,1000,RUB,987.3,265.396,132.129,,111.981,,,3107156509689,692865762,4484.5
LKOH,2020,9,Q,МСФО,1000000,RUB,6089,2102.35,291.831,,72.7702,165.433,,3107156509689,692865762,4484.5
LKOH,2020,9,Q,РСБУ,1000,RUB,987.3,14.438,-38.698,,-45.609,,,3107156509689,692865762,4484.5
LKOH,2020,12,6M,МСФО,1000000,RUB,5950.67,4311.06,565.477,,115.253,288.808,,3590430378684,692865762,5182
LKOH,2020,12,6M,РСБУ,1000,RUB,1114.48,214.95,137.421,,127.543,,,3590430378684,692865762,5182
LKOH,2020,12,Q,МСФО,1000000,RUB,5950.67,2208.71,273.646,,42.483,123.375,,3590430378684,692865762,5182
LKOH,2020,12,Q,РСБУ,1000,RUB,1114.48,200.513,174.845,,173.153,,,3590430378684,692865762,5182
LKOH,2020,12,Y,МСФО,1000000,RUB,5950.67,8139.24,991.678,,21.9018,405.751,,3590430378684,692865762,5182
LKOH,2020,12,Y,РСБУ,1000,RUB,1114.48,465.908,308.248,,285.133,1746.11,,3590430378684,692865762,5182
LKOH,2021,3,Q,МСФО,1000000,RUB,6222.21,2708.29,453.767,,227.211,236.157,,4243109926488,692865762,6124
LKOH,2021,3,Q,РСБУ,1000,RUB,1132.95,477.607,28.7695,,18.4765,,,4243109926488,692865762,6124
LKOH,2021,6,6M,МСФО,1000000,RUB,6202.72,5886.23,944.194,,501.074,398.097,,4658829383688,692865762,6724
LKOH,2021,6,6M,РСБУ,1000,RUB,1111.68,1313.91,231.107,,210.091,,,4658829383688,692865762,6724
LKOH,2021,6,Q,МСФО,1000000,RUB,6202.72,3177.94,490.427,,273.863,161.94,,4658829383688,692865762,6724
LKOH,2021,6,Q,РСБУ,1000,RUB,1111.68,836.303,202.337,,191.615,,,4658829383688,692865762,6724
LKOH,2021,9,9M,МСФО,1000000,RUB,6492.49,9622.52,1456.85,,778.869,726.689,,4806409790994,692865762,6937
LKOH,2021,9,9M,РСБУ,1000,RUB,1314.75,2214.42,458.786,,413.162,,,4806409790994,692865762,6937
LKOH,2021,9,Q,МСФО,1000000,RUB,6492.49,3736.29,512.656,,277.795,328.592,,4806409790994,692865762,6937
LKOH,2021,9,Q,РСБУ,1000,RUB,1314.75,900.51,227.679,,203.071,,,4806409790994,692865762,6937
LKOH,2021,12,6M,МСФО,1000000,RUB,6516.46,7731.37,1095.86,,615.216,602.923,,4538617173981,692865762,6550.5
LKOH,2021,12,6M,РСБУ,1000,RUB,1478.82,2134.55,772.943,,707.415,,,4538617173981,692865762,6550.5
LKOH,2021,12,Q,МСФО,1000000,RUB,6516.46,3995.08,583.2,,337.421,274.331,,4538617173981,692865762,6550.5
LKOH,2021,12,Q,РСБУ,1000,RUB,1478.82,1234.03,543.921,,504.344,,,4538617173981,692865762,6550.5
LKOH,2021,12,Y,МСФО,1000000,RUB,6516.46,13617.6,2040.05,,1116.29,1001.02,,4538617173981,692865762,6550.5
LKOH,2021,12,Y,РСБУ,1000,RUB,1478.82,3448.46,1004.05,,917.506,3200.3,,4538617173981,692865762,6550.5
LKOH,2022,3,Q,РСБУ,1000,RUB,1671.51,1043.81,235.261,,192.507,,,3695053108746,692865762,5333
LKOH,2022,6,6M,РСБУ,1000,RUB,2230.4,2516.58,796.772,,751.268,,,2745134149044,692865762,3962
LKOH,2022,6,Q,РСБУ,1000,RUB,2230.4,1472.77,561.511,,558.761,,,2745134149044,692865762,3962
LKOH,2022,9,9M,РСБУ,1000,RUB,2414.27,3369.4,998.847,,935.141,,,2694901497984,692865792,3889.5
LKOH,2022,9,Q,РСБУ,1000,RUB,2414.27,852.82,202.075,,183.873,,,2694901497984,692865792,3889.5
LKOH,2022,12,6M,РСБУ,1000,RUB,1825.99,1631.46,433.378,,389.102,,,2810609963553,692865762,4056.5
LKOH,2022,12,Q,РСБУ,1000,RUB,1825.99,778.64,231.303,,205.229,,,2810609963553,692865762,4056.5
LKOH,2022,12,Y,РСБУ,1000,RUB,1825.99,4148.04,1230.15,,1140.37,4042.33,,2810609963553,692865762,4056.5
LKOH,2023,3,Q,РСБУ,1000,RUB,1976.51,657.891,173.578,,150.516,,,3001148048103,692865762,4331.5
LKOH,2023,6,6M,МСФО,1000000,RUB,8692.58,5205.24,1371.96,,814.127,607.543,,3532922520438,692865762,5099
