code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
NVTK,2011,12,Y,МСФО,1000000,RUB,71907,9475,-46643,,,25317,-11735,,,,,46590,,,,,
NVTK,2012,12,Y,МСФО,1000000,RUB,75825,11499,-84124,,,37378,2603,,,,,38447,,,,,
NVTK,2013,12,Y,МСФО,1000000,RUB,88525,13503,-100492,,,51127,-7132,,,,,37398,,,,,
NVTK,2013,12,Y,РСБУ,1000,RUB,38267017,54864,-43841373,,,,105835,,,57787234,57681399,38267017,,,,,
NVTK,2014,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2014,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2014,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2014,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2014,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2014,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2014,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2014,12,Y,МСФО,1000000,RUB,110253,17172,-47495,,,56233,-36251,,,,,54020,,,,,
NVTK,2014,12,Y,РСБУ,1000,RUB,48694759,87764,-5450472,,,110,-29652600,,,15551509,45203767,48694649,,,,,
NVTK,2015,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2015,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2015,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2015,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2015,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2015,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2015,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2015,12,Y,МСФО,1000000,RUB,132864,19980,-159074,,,42224,12714,,,,,90640,,,,,
NVTK,2015,12,Y,РСБУ,1000,RUB,63415638,118640,-17495446,,,,-58729106,,,54129560,112858666,63415638,,,,,
NVTK,2016,3,Q,МСФО,1000000,RUB,54424,7833,63500,7228,,7228,-58707,,103,,54959,47196,45448,,3209,,
NVTK,2016,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2016,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2016,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2016,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2016,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2016,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2016,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2016,12,Y,МСФО,1000000,RUB,173791,34631,11877,,,28170,-156712,,,,,145621,,,,,
NVTK,2016,12,Y,РСБУ,1000,RUB,48106577,118149,111586995,,,,-128939052,,,39042702,167981754,48106577,,,,,
NVTK,2017,3,Q,МСФО,1000000,RUB,48842,8488,-2963,,,3460,-26918,,618,,24524,45382,,,,,
NVTK,2017,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2017,6,6M,МСФО,1000000,RUB,87956,17060,-13559,,,11001,-59645,21111,1273,,33363,76955,,,,,
NVTK,2017,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2017,6,Q,МСФО,1000000,RUB,39114,8572,-10596,,,7541,-32727,,655,,8839,31573,,,,,
NVTK,2017,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2017,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2017,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2017,12,6M,МСФО,1000000,RUB,92443,17463,-44716,,,14562,-44192,,,,,77881,,,,,
NVTK,2017,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2017,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2017,12,Y,МСФО,1000000,RUB,180399,34523,-58275,,,25563,-103837,,,,,154836,,,,,
NVTK,2017,12,Y,РСБУ,1000,RUB,64889844,88518,33034286,,,106070,-82424278,,,6250000,88674278,64783774,,,,,
NVTK,2018,3,Q,МСФО,1000000,RUB,48125,8097,-40745,,,5704,-17970,,,,,42421,,,,,
NVTK,2018,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2018,6,6M,МСФО,1000000,RUB,110010,16752,-92596,,,23156,-50435,,,,,86854,,,,,
NVTK,2018,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2018,6,Q,МСФО,1000000,RUB,61885,8655,-51851,,,17452,-32465,,,,,44433,,,,,
NVTK,2018,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2018,9,9M,МСФО,1000000,RUB,160381,25263,-117924,,,42923,-57476,,,,,117458,,,,,
NVTK,2018,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2018,9,Q,МСФО,1000000,RUB,50371,8511,-25328,,,19767,-7041,,,,,30604,,,,,
NVTK,2018,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
