code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
NVTK,2011,12,Y,МСФО,1000000,RUB,1242,,3392,,176064,,,8218,141608,143258,148349,133783,135025,,119291,119655,,
NVTK,2012,12,Y,МСФО,1000000,RUB,-1505,,1731,,210973,,,10936,85334,99219,95166,87720,86215,,69441,69458,,
NVTK,2013,12,Y,МСФО,1000000,RUB,-3006,,2341,,298158,,,11029,143926,153639,121791,140136,137130,,109945,110006,,
NVTK,2013,12,Y,РСБУ,1000,RUB,-2712662,,5418893,,245077487,90922711,154154776,85802228,63127105,92792849,,92737985,90025323,,72258978,72258978,,
NVTK,2014,3,Q,РСБУ,1000,RUB,-597222,,1498900,,80037049,28379121,51657928,25993415,24476026,18784829,,18784829,18187607,,14482100,14482100,,
NVTK,2014,6,6M,РСБУ,1000,RUB,-735614,,3341547,,154894310,56427871,98466439,50334365,44598689,45528074,,45528074,44792460,,35686396,35686396,,
NVTK,2014,6,Q,РСБУ,1000,RUB,-138392,,1842647,,74857261,28048750,46808511,24340950,20122663,26743245,,26743245,26604853,,21204296,21204296,,
NVTK,2014,9,9M,РСБУ,1000,RUB,-596553,,5567455,,231481592,85922829,145558763,74715517,65887151,58166883,,58166883,57570330,,45821335,45821335,,
NVTK,2014,9,Q,РСБУ,1000,RUB,139061,,2225908,,76587282,29494958,47092324,24381152,21288462,12638809,,12638809,12777870,,10134939,10134939,,
NVTK,2014,12,6M,РСБУ,1000,RUB,337942,,4973690,,164026230,66863111,97163119,55952124,38762927,7423868,,7336104,7674046,,6063941,6063941,,
NVTK,2014,12,Q,РСБУ,1000,RUB,198881,,2747782,,87438948,37368153,50070795,31570972,17474465,-5214941,,-5302705,-5103824,,-4070998,-4070998,,
NVTK,2014,12,Y,МСФО,1000000,RUB,-659,,5063,,357643,,,11831,127763,70674,159631,53502,52843,,36915,37296,,
NVTK,2014,12,Y,РСБУ,1000,RUB,-397672,,8315237,,318920540,123290982,195629558,106286489,83361616,52951942,,52864178,52466506,,41750337,41750337,,
NVTK,2015,3,Q,РСБУ,1000,RUB,844333,,3871395,,90307609,44469024,45838585,26707650,17659349,7698978,,7698978,8543311,,7323743,7323743,,
