code,year,month,period,type,amount,curr,equity_ps,revenue_ps,ebitda_ps,ebitda_adjusted_ps,earnings_ps,fcf_ps,fcf_adjusted_ps,capital,num1,price1
NVTK,2011,12,Y,МСФО,1000000,RUB,79.377,57.9863,48.8584,,39.4081,15.3443,,1179817391334.4,3036305920,388.57
NVTK,2012,12,Y,МСФО,1000000,RUB,95.5273,69.4834,31.3427,,22.8758,12.6624,,1049408079720,3036306000,345.62
NVTK,2013,12,Y,МСФО,1000000,RUB,121.924,98.1976,40.1116,,36.2302,12.3169,,1218226693320,3036306000,401.22
NVTK,2013,12,Y,РСБУ,1000,RUB,73.6428,80.7157,30.5611,,23.7983,12.6031,,1218226693320,3036306000,401.22
NVTK,2014,3,Q,РСБУ,1000,RUB,78.4125,26.36,6.1867,,4.7696,,,1057940099580,3036306000,348.43
NVTK,2014,6,6M,РСБУ,1000,RUB,80.9061,51.0141,14.9946,,11.7532,,,1268234619724.8,3036305920,417.69
NVTK,2014,6,Q,РСБУ,1000,RUB,80.9061,24.6541,8.8079,,6.9836,,,1268234619724.8,3036305920,417.69
NVTK,2014,9,9M,РСБУ,1000,RUB,84.244,76.2379,19.1571,,15.0911,,,1233134955780,3036306000,406.13
NVTK,2014,9,Q,РСБУ,1000,RUB,84.244,25.2238,4.1625,,3.3379,,,1233134955780,3036306000,406.13
NVTK,2014,12,6M,РСБУ,1000,RUB,77.8034,54.0219,2.445,,1.9972,,,1323829416000,3036306000,436
NVTK,2014,12,Q,РСБУ,1000,RUB,77.8034,28.7981,-1.7175,,-1.3407,,,1323829416000,3036306000,436
NVTK,2014,12,Y,МСФО,1000000,RUB,126.718,117.789,52.5741,,12.2833,17.7914,,1323829416000,3036306000,436
NVTK,2014,12,Y,РСБУ,1000,RUB,77.8034,105.036,17.4396,,13.7504,16.0375,,1323829416000,3036306000,436
NVTK,2015,3,Q,РСБУ,1000,RUB,80.2155,29.7426,2.5356,,2.4121,,,1300753490400,3036306000,428.4
NVTK,2015,6,6M,РСБУ,1000,RUB,83.3177,63.0478,10.9413,,10.7142,,,1693347856200.0002,3036306000,557.7
NVTK,2015,6,Q,РСБУ,1000,RUB,83.3177,33.3052,8.4057,,8.3021,,,1693347856200.0002,3036306000,557.7
NVTK,2015,9,9M,РСБУ,1000,RUB,91.3032,97.0938,20.4881,,18.6997,,,1818140032799.9998,3036306000,598.8
NVTK,2015,9,Q,РСБУ,1000,RUB,91.3032,34.046,9.5468,,7.9855,,,1818140032799.9998,3036306000,598.8
NVTK,2015,12,6M,РСБУ,1000,RUB,93.7026,72.8752,19.797,,16.985,,,1807816592400,3036306000,595.4
NVTK,2015,12,Q,РСБУ,1000,RUB,93.7026,38.8292,10.2502,,8.9995,,,1807816592400,3036306000,595.4
NVTK,2015,12,Y,МСФО,1000000,RUB,140.328,156.547,70.5426,,24.5021,29.8521,,1807816592400,3036306000,595.4
NVTK,2015,12,Y,РСБУ,1000,RUB,93.7026,135.923,30.7383,,27.6992,20.8858,,1807816592400,3036306000,595.4
NVTK,2016,3,Q,МСФО,1000000,RUB,179.786,45.8949,20.4643,,38.177,14.9682,,1822087230600,3036306000,600.1
NVTK,2016,3,Q,РСБУ,1000,RUB,97.8016,35.0283,4.2311,,4.099,,,1822087230600,3036306000,600.1
NVTK,2016,6,6M,РСБУ,1000,RUB,116.779,67.5786,30.5282,,29.9775,,,1959328261799.9998,3036306000,645.3
NVTK,2016,6,Q,РСБУ,1000,RUB,116.779,32.5503,26.2971,,25.8785,,,1959328261799.9998,3036306000,645.3
NVTK,2016,9,9M,РСБУ,1000,RUB,118.578,100.533,40.0598,,38.6777,,,2060133621000,3036306000,678.5
NVTK,2016,9,Q,РСБУ,1000,RUB,118.578,32.9544,9.5316,,8.7002,,,2060133621000,3036306000,678.5
NVTK,2016,12,6M,РСБУ,1000,RUB,128.64,73.8224,20.3136,,18.7617,,,2378945751000,3036306000,783.5
NVTK,2016,12,Q,РСБУ,1000,RUB,128.64,40.868,10.782,,10.0615,,,2378945751000,3036306000,783.5
NVTK,2016,12,Y,МСФО,1000000,RUB,213.533,177.015,79.8362,,84.9042,47.9599,,2378945751000,3036306000,783.5
NVTK,2016,12,Y,РСБУ,1000,RUB,128.64,141.401,50.8418,,48.7392,15.8438,,2378945751000,3036306000,783.5
NVTK,2017,3,Q,МСФО,1000000,RUB,236.501,5.0943,28.5765,,23.3896,14.9465,,2148793756200.0002,3036306000,707.7
NVTK,2017,3,Q,РСБУ,1000,RUB,137.449,41.8938,10.0111,,8.8094,,,2148793756200.0002,3036306000,707.7
NVTK,2017,6,6M,МСФО,1000000,RUB,230.154,93.3562,35.4533,,24.4577,25.3449,,1967526288000,3036306000,648
NVTK,2017,6,6M,РСБУ,1000,RUB,154.598,75.1958,32.5773,,29.6624,,,1967526288000,3036306000,648
NVTK,2017,6,Q,МСФО,1000000,RUB,230.154,88.2619,6.8768,,1.0681,10.3984,,1967526288000,3036306000,648
NVTK,2017,6,Q,РСБУ,1000,RUB,154.598,33.302,22.5662,,20.853,,,1967526288000,3036306000,648
NVTK,2017,9,9M,РСБУ,1000,RUB,143.836,109.955,33.5403,,29.144,,,2000014762200.0002,3036306000,658.7
