code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
ROSN,2011,12,Y,МСФО,1000000,RUB,487000,193000,-394000,,,391000,-56000,,,,,96000,99000,,,,
ROSN,2012,12,Y,МСФО,1000000,RUB,521000,206000,-452000,,,473000,73000,,,,,45000,,,,,
ROSN,2013,12,Y,МСФО,1000000,RUB,1216000,392000,-2220000,,,560000,965000,,,,,656000,,,,,
ROSN,2013,12,Y,РСБУ,1000,RUB,796577574,78636374,-2020686716,,,221358627,1177415748,,,1964382985,786967237,575218947,,,,,
ROSN,2014,3,Q,МСФО,1000000000,RUB,658,105,-345,104,,104,-404,,,40,300,554,121,,,,
ROSN,2014,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2014,6,6M,МСФО,1000000000,RUB,902,214,-627,237,406,643,-441,,,68,343,259,233,,,,
ROSN,2014,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2014,6,Q,МСФО,1000000000,RUB,244,109,-282,133,,539,-37,,,28,43,-295,112,,,,
ROSN,2014,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2014,9,9M,МСФО,1000000000,RUB,1268,330,-856,370,460,830,-589,,,172,418,438,404,,,,
ROSN,2014,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2014,9,Q,МСФО,1000000000,RUB,366,116,-229,133,54,187,-148,,,104,75,179,171,,,,
ROSN,2014,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2014,12,6M,МСФО,1000000,RUB,724000,250000,-352000,,,-110000,-333000,,,,,337000,,,,,
ROSN,2014,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2014,12,Q,МСФО,1000000,RUB,358000,134000,-123000,,,-297000,-185000,,,,,158000,,,,,
ROSN,2014,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2014,12,Y,МСФО,1000000,RUB,1626000,464000,-979000,,,533000,-774000,,,,,596000,,,,,
ROSN,2014,12,Y,РСБУ,1000,RUB,1037919686,100025990,-1602198351,,,173273415,453380426,,,1910810190,1457429764,864646271,,,,,
ROSN,2015,3,Q,МСФО,1000000000,RUB,238,121,12,128,5,133,-349,,,670,811,105,130,,,,
ROSN,2015,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2015,6,6M,МСФО,1000000000,RUB,569,244,-100,269,7,276,-478,,,812,1092,293,340,,,,
ROSN,2015,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2015,6,Q,МСФО,1000000000,RUB,331,123,-112,141,2,143,-129,,,142,281,188,210,,,,
ROSN,2015,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2015,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2015,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2015,12,6M,МСФО,1000000,RUB,1626000,206000,-713000,,,319000,-613000,,,,,1307000,,,,,
ROSN,2015,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2015,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2015,12,Y,МСФО,1000000,RUB,2195000,450000,-813000,,,595000,-1091000,,,,,1600000,,,,,
ROSN,2015,12,Y,РСБУ,1000,RUB,1274525571,114883206,-668129419,,,125986501,-382457584,,,2037853494,2420311078,1148539070,,,,,
ROSN,2016,3,Q,МСФО,1000000,RUB,210000,116000,129000,,,154000,55000,,,654000,555000,56000,80000,,42000,,
ROSN,2016,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2016,6,6M,МСФО,1000000000,RUB,358,229,10,,,308,-29,,,767,792,50,141,,71,,
ROSN,2016,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2016,6,Q,МСФО,1000000000,RUB,148,113,-119,,,154,-84,,,113,237,-6,61,,29,,
ROSN,2016,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2016,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2016,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2016,12,6M,МСФО,1000000,RUB,321000,260000,-983000,,,401000,674000,,,,,252000,,,,,
ROSN,2016,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2016,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2016,12,Y,МСФО,1000000,RUB,679000,489000,-973000,,,709000,645000,,,,,302000,,,,,
ROSN,2016,12,Y,РСБУ,1000,RUB,-128566732,124222899,-103172017,,,166146373,565263079,,,2098509356,1533246277,-294713105,,,,,
ROSN,2017,3,Q,МСФО,1000000,RUB,163000,143000,-202000,,,192000,-105000,,,669000,737000,-29000,89000,,44000,,
ROSN,2017,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2017,6,6M,МСФО,1000000000,RUB,204,285,-407,,,407,-126,,,1054,1151,-203,128,,97,,
ROSN,2017,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2017,6,Q,МСФО,1000000000,RUB,41,142,-205,,,215,-21,,,385,414,-174,39,,53,,
ROSN,2017,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2017,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2017,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2017,12,6M,МСФО,1000000,RUB,133000,301000,-755000,,,515000,507000,,,,,-382000,117000,,,,
ROSN,2017,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2017,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
ROSN,2017,12,Y,МСФО,1000000,RUB,337000,586000,-1162000,,,922000,381000,,,,,-585000,245000,,,,
ROSN,2017,12,Y,РСБУ,1000,RUB,-479141734,141504417,-1004902809,,,212862768,1046775317,,,4064309309,3017533992,-692004502,,,,,
ROSN,2018,3,Q,МСФО,1000000,RUB,271000,152000,-221000,,,223000,-67000,,,,,48000,142000,,,,
ROSN,2018,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
