code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
ROSN,2011,12,Y,МСФО,1000000,RUB,1000,,20000,,2718000,,,52000,469000,617000,662000,424000,425000,,335000,331000,,
ROSN,2012,12,Y,МСФО,1000000,RUB,9000,,24000,,3089000,319000,2770000,68000,412000,609000,,460000,469000,,365000,363000,,
ROSN,2013,12,Y,МСФО,1000000,RUB,-35000,,21000,,4694000,432000,4262000,111000,555000,947000,,671000,636000,,555000,549000,,
ROSN,2013,12,Y,РСБУ,1000,RUB,-9802349,,57949838,,3544443140,1969312483,1575130657,1307050333,208404755,243218369,,164581995,154779646,,136278784,136278784,,
ROSN,2014,3,Q,МСФО,1000000000,RUB,-35,,6,,1375,124,1251,27,184,250,289,145,110,,88,86,,
ROSN,2014,3,Q,РСБУ,1000,RUB,-11969291,,14792071,,1090228427,609226596,481001831,406924820,53946705,-42275083,,-42275083,-54244374,,-39685789,-39685789,,
ROSN,2014,6,6M,МСФО,1000000000,RUB,-39,,12,,2810,242,2568,54,379,577,593,363,324,,260,257,,
ROSN,2014,6,6M,РСБУ,1000,RUB,-23259949,,32109298,,2217447412,1250104397,967343015,812178660,112543783,81707312,,81707312,58447363,,54828966,54828966,,
ROSN,2014,6,Q,МСФО,1000000000,RUB,-4,,6,,1435,118,1317,27,195,327,304,218,214,,172,171,,
ROSN,2014,6,Q,РСБУ,1000,RUB,-11290658,,17317227,,1127218985,640877801,486341184,405253840,58597078,123982395,,123982395,112691737,,94514755,94514755,,
ROSN,2014,9,9M,МСФО,1000000000,RUB,-91,,21,,4192,363,3829,84,539,747,869,417,326,,261,257,,
ROSN,2014,9,9M,РСБУ,1000,RUB,-40226748,,47461217,,3265699942,1851658324,1414041618,1187759058,160498844,68524041,,68524041,28297293,,35300496,35300496,,
ROSN,2014,9,Q,МСФО,1000000000,RUB,-52,,9,,1382,121,1261,30,160,170,276,54,2,,1,0,,
ROSN,2014,9,Q,РСБУ,1000,RUB,-16966799,,15351919,,1048252530,601553927,446698603,375580398,47955061,-13183271,,-13183271,-30150070,,-19528470,-19528470,,
ROSN,2014,12,6M,МСФО,1000000,RUB,-150000,,18000,,2693000,253000,2440000,60000,214000,480000,,304000,154000,,90000,91000,,
ROSN,2014,12,6M,РСБУ,1000,RUB,-41524719,,34060236,,2082232788,1201138983,881093805,798649093,42901267,589036527,,489010537,447485818,,446495324,446495324,,
ROSN,2014,12,Q,МСФО,1000000,RUB,-98000,,9000,,1311000,132000,1179000,30000,54000,310000,,250000,152000,,89000,91000,,
ROSN,2014,12,Q,РСБУ,1000,RUB,-24557920,,18708317,,1033980258,599585056,434395202,423068695,-5053794,602219798,,502193808,477635888,,466023794,466023794,,
ROSN,2014,12,Y,МСФО,1000000,RUB,-189000,,30000,,5503000,495000,5008000,114000,593000,1057000,,667000,478000,,350000,348000,,
ROSN,2014,12,Y,РСБУ,1000,RUB,-64784668,,66169534,,4299680200,2451243380,1848436820,1610827753,155445050,670743839,,570717849,505933181,,501324290,501324290,,
ROSN,2015,3,Q,МСФО,1000000000,RUB,-88,,15,,1288,123,1165,27,144,280,286,159,71,,56,56,,
ROSN,2015,3,Q,РСБУ,1000,RUB,-48796663,,30613176,,921509566,617119303,304390263,272052594,16610617,58303274,,58303274,9506611,,141033663,141033663,,
ROSN,2015,6,6M,МСФО,1000000000,RUB,-114,,27,,2600,261,2339,59,332,597,612,353,239,,190,190,,
ROSN,2015,6,6M,РСБУ,1000,RUB,-96560097,,62435862,,1872755686,1302559634,570196052,489052929,47192592,197254578,,197254578,100694481,,141606380,141606380,,
ROSN,2015,6,Q,МСФО,1000000000,RUB,-26,,12,,1312,138,1174,32,188,317,326,194,168,,134,134,,
ROSN,2015,6,Q,РСБУ,1000,RUB,-47763434,,31822686,,951246120,685440331,265805789,217000335,30581975,138951304,,138951304,91187870,,572717,572717,,
ROSN,2015,9,9M,РСБУ,1000,RUB,-138925296,,99621927,,2845260714,1992364918,852895796,789252231,16107991,174462877,,174462877,35537581,,92992319,92992319,,
ROSN,2015,9,Q,РСБУ,1000,RUB,-42365199,,37186065,,972505028,689805284,282699744,300199302,-31084601,-22791701,,-22791701,-65156900,,-48614061,-48614061,,
ROSN,2015,12,6M,МСФО,1000000,RUB,-100000,,28000,,2550000,269000,2281000,71000,376000,527000,,321000,221000,,166000,165000,,
ROSN,2015,12,6M,РСБУ,1000,RUB,-90686408,,77716232,,1958339259,1327380696,630958563,595301628,69607466,278159919,,163276713,72590305,,97806875,97806875,,
ROSN,2015,12,Q,РСБУ,1000,RUB,-48321209,,40530167,,985834231,637575412,348258819,295102326,100692067,300951620,,186068414,137747205,,146420936,146420936,,
ROSN,2015,12,Y,МСФО,1000000,RUB,-214000,,55000,,5150000,530000,4620000,130000,708000,1124000,,674000,460000,,356000,355000,,
ROSN,2015,12,Y,РСБУ,1000,RUB,-187246505,,140152094,,3831094945,2629940330,1201154615,1084354557,116800058,475414497,,360531291,173284786,,239413255,239413255,,
ROSN,2016,3,Q,МСФО,1000000,RUB,-34000,,18000,,1048000,130000,918000,30000,122000,167000,273000,51000,17000,,14000,14000,,
ROSN,2016,3,Q,РСБУ,1000,RUB,-54055036,,39553013,,814640058,585840082,228799976,228470227,329749,77723188,,77723188,23668152,,40969504,40969504,,
ROSN,2016,6,6M,МСФО,1000000000,RUB,-55,,41,,2280,279,2001,60,329,423,621,194,139,,105,103,,
ROSN,2016,6,6M,РСБУ,1000,RUB,-112798824,,70730356,,1812892228,1311750273,493789973,465258434,28531539,132939257,,132939257,20140433,,33952980,33952980,,
ROSN,2016,6,Q,МСФО,1000000000,RUB,-21,,23,,1232,149,1083,30,207,256,348,143,122,,91,89,,
ROSN,2016,6,Q,РСБУ,1000,RUB,-58743788,,31177343,,998252170,725910191,264989997,236788207,28201790,55216069,,55216069,-3527719,,-7016524,-7016524,,
ROSN,2016,9,9M,РСБУ,1000,RUB,-167994108,,103859969,,2830012989,2064832737,765180252,736848789,28331463,158255077,,158255077,-9739031,,23583020,23583020,,
ROSN,2016,9,Q,РСБУ,1000,RUB,-55195284,,33129613,,1017120761,753082464,271390279,271590355,-200076,25315820,,25315820,-29879464,,-10369960,-10369960,,
ROSN,2016,12,6M,МСФО,1000000,RUB,-47000,,50000,,2708000,335000,2373000,69000,326000,855000,,214000,167000,,87000,71000,,
ROSN,2016,12,6M,РСБУ,1000,RUB,-79433209,,95149732,,2117247618,1562516593,562083007,556133535,5949472,267895138,,143672239,64239030,,65283234,65283234,,
ROSN,2016,12,Q,РСБУ,1000,RUB,-24237925,,62020119,,1100126857,809434129,290692728,284543180,6149548,242579318,,118356419,94118494,,75653194,75653194,,
ROSN,2016,12,Y,МСФО,1000000,RUB,-102000,,91000,,4988000,614000,4374000,129000,655000,1278000,,408000,306000,,192000,174000,,
ROSN,2016,12,Y,РСБУ,1000,RUB,-192232033,,165880088,,3930139846,2874266866,1055872980,1021391969,34481011,400834395,,276611496,84379463,,99236214,99236214,,
ROSN,2017,3,Q,МСФО,1000000,RUB,-25000,,34000,,1410000,168000,1242000,36000,140000,193000,333000,50000,25000,,21000,13000,,
ROSN,2017,3,Q,РСБУ,1000,RUB,-49610762,,47266721,,1100587792,855018950,245568842,268157951,-22589109,37937662,,37937662,-11673100,,8349140,8349140,,
ROSN,2017,6,6M,МСФО,1000000000,RUB,-56,,56,,2809,367,2442,74,258,461,639,176,120,,101,81,,
ROSN,2017,6,6M,РСБУ,1000,RUB,-100769195,,91828998,,2150326790,1681902471,468424319,530328808,-52156983,216677947,,216677947,115908752,,146331374,146331374,,
ROSN,2017,6,Q,МСФО,1000000000,RUB,-31,,22,,1399,199,1200,38,118,268,306,126,95,,80,68,,
ROSN,2017,6,Q,РСБУ,1000,RUB,-51158433,,44562277,,1049738998,826883521,222855477,262170857,-29567874,178740285,,178740285,127581852,,137982234,137982234,,
ROSN,2017,9,9M,РСБУ,1000,RUB,-156156449,,136822627,,3264604304,2511412400,753191904,778073425,-24881521,217649726,,217649726,61493277,,102338116,102338116,,
