code,year,month,period,type,amount,curr,equity_ps,revenue_ps,ebitda_ps,ebitda_adjusted_ps,earnings_ps,fcf_ps,fcf_adjusted_ps,capital,num1,price1
ROSN,2011,12,Y,МСФО,1000000,RUB,195.128,256.459,62.4636,,31.2318,9.3412,,2249993145241.6,10598177792,212.3
ROSN,2012,12,Y,МСФО,1000000,RUB,215.414,291.465,57.4627,,34.2512,4.246,,2856208921681.5,10598177817,269.5
ROSN,2013,12,Y,МСФО,1000000,RUB,295.334,442.906,89.355,,51.8014,61.8974,,2649968381362.6797,10598177817,250.04
ROSN,2013,12,Y,РСБУ,1000,RUB,130.563,334.439,22.9491,,12.8587,54.2753,,2649968381362.6797,10598177817,250.04
ROSN,2014,3,Q,МСФО,1000000000,RUB,301.938,129.739,27.2688,,8.1146,11.417,,2463652415339.8203,10598177817,232.46
ROSN,2014,3,Q,РСБУ,1000,RUB,127.255,102.869,-3.9889,,-3.7446,,,2463652415339.8203,10598177817,232.46
ROSN,2014,6,6M,МСФО,1000000000,RUB,306.184,265.139,55.9529,,24.2494,21.9849,,2630149782640.6396,10598177792,248.17
ROSN,2014,6,6M,РСБУ,1000,RUB,123.323,209.229,7.7096,,5.1734,,,2630149782640.6396,10598177792,248.17
ROSN,2014,6,Q,МСФО,1000000000,RUB,306.184,135.4,28.6841,,16.1348,10.5679,,2630149782640.6396,10598177792,248.17
ROSN,2014,6,Q,РСБУ,1000,RUB,123.323,106.36,11.6985,,8.918,,,2630149782640.6396,10598177792,248.17
ROSN,2014,9,9M,МСФО,1000000000,RUB,305.807,395.539,81.9951,,24.2494,38.1197,,2451994419741.12,10598177817,231.36
ROSN,2014,9,9M,РСБУ,1000,RUB,121.48,308.138,6.4656,,3.3308,,,2451994419741.12,10598177817,231.36
ROSN,2014,9,Q,МСФО,1000000000,RUB,305.807,130.4,26.0422,,0,16.1348,,2451994419741.12,10598177817,231.36
ROSN,2014,9,Q,РСБУ,1000,RUB,121.48,98.909,-1.244,,-1.8426,,,2451994419741.12,10598177817,231.36
ROSN,2014,12,6M,МСФО,1000000,RUB,270.99,254.101,43.7812,,8.5864,34.2512,,2071413854332.65,10598177817,195.45
ROSN,2014,12,6M,РСБУ,1000,RUB,127.889,196.471,55.579,,42.1295,,,2071413854332.65,10598177817,195.45
ROSN,2014,12,Q,МСФО,1000000,RUB,270.99,123.701,17.739,,8.5864,18.1164,,2071413854332.65,10598177817,195.45
ROSN,2014,12,Q,РСБУ,1000,RUB,127.889,97.562,56.823,,43.9721,,,2071413854332.65,10598177817,195.45
ROSN,2014,12,Y,МСФО,1000000,RUB,270.99,519.24,99.7341,,32.8358,56.2361,,2071413854332.65,10598177817,195.45
ROSN,2014,12,Y,РСБУ,1000,RUB,127.889,405.7,63.2886,,47.3029,81.5844,,2071413854332.65,10598177817,195.45
ROSN,2015,3,Q,МСФО,1000000000,RUB,272.594,121.53,26.9857,,5.2839,12.2662,,2640536003105.5503,10598177817,249.15
ROSN,2015,3,Q,РСБУ,1000,RUB,138.443,86.9498,5.5013,,13.3074,,,2640536003105.5503,10598177817,249.15
ROSN,2015,6,6M,МСФО,1000000000,RUB,285.898,245.325,57.7457,,17.9276,32.0809,,2439700533473.4,10598177817,230.2
ROSN,2015,6,6M,РСБУ,1000,RUB,135.962,176.705,18.6121,,13.3614,,,2439700533473.4,10598177817,230.2
ROSN,2015,6,Q,МСФО,1000000000,RUB,285.898,123.795,30.76,,12.6437,19.8147,,2439700533473.4,10598177817,230.2
ROSN,2015,6,Q,РСБУ,1000,RUB,135.962,89.7552,13.1108,,0.054,,,2439700533473.4,10598177817,230.2
ROSN,2015,9,9M,РСБУ,1000,RUB,120.837,268.467,16.4616,,8.7744,,,2579596480657.8003,10598177817,243.4
ROSN,2015,9,Q,РСБУ,1000,RUB,120.837,91.762,-2.1505,,-4.587,,,2579596480657.8003,10598177817,243.4
ROSN,2015,12,6M,МСФО,1000000,RUB,272.311,240.608,48.3103,,15.5687,118.888,,2714723247824.55,10598177817,256.15
ROSN,2015,12,6M,РСБУ,1000,RUB,135.347,184.781,26.246,,9.2286,,,2714723247824.55,10598177817,256.15
ROSN,2015,12,Q,РСБУ,1000,RUB,135.347,93.019,28.3965,,13.8156,,,2714723247824.55,10598177817,256.15
ROSN,2015,12,Y,МСФО,1000000,RUB,272.311,485.933,106.056,,33.4963,150.969,,2714723247824.55,10598177817,256.15
ROSN,2015,12,Y,РСБУ,1000,RUB,135.347,361.486,44.8581,,22.59,108.371,,2714723247824.55,10598177817,256.15
ROSN,2016,3,Q,МСФО,1000000,RUB,283.822,98.8849,25.7591,,1.321,7.5485,,3233504051966.7,10598177817,305.1
ROSN,2016,3,Q,РСБУ,1000,RUB,141.996,76.866,7.3336,,3.8657,,,3233504051966.7,10598177817,305.1
ROSN,2016,6,6M,МСФО,1000000000,RUB,289.955,215.131,58.5949,,9.7186,13.3041,,3487860319574.7,10598177817,329.1
ROSN,2016,6,6M,РСБУ,1000,RUB,132.367,171.057,12.5436,,3.2037,,,3487860319574.7,10598177817,329.1
ROSN,2016,6,Q,МСФО,1000000000,RUB,289.955,116.246,32.8358,,8.3976,5.7556,,3487860319574.7,10598177817,329.1
ROSN,2016,6,Q,РСБУ,1000,RUB,132.367,94.191,5.21,,-0.662,,,3487860319574.7,10598177817,329.1
ROSN,2016,9,9M,РСБУ,1000,RUB,134.847,267.028,14.9323,,2.2252,,,3677567702499,10598177817,347
ROSN,2016,9,Q,РСБУ,1000,RUB,134.847,95.971,2.3887,,-0.9785,,,3677567702499,10598177817,347
ROSN,2016,12,6M,МСФО,1000000,RUB,311.563,255.516,61.9921,,6.6993,15.1914,,4240330944581.7,10598177817,400.1
ROSN,2016,12,6M,РСБУ,1000,RUB,144.656,199.775,25.2775,,6.1598,,,4240330944581.7,10598177817,400.1
ROSN,2016,12,Q,РСБУ,1000,RUB,144.656,103.804,22.8888,,7.1383,,,4240330944581.7,10598177817,400.1
ROSN,2016,12,Y,МСФО,1000000,RUB,311.563,470.647,120.587,,16.4179,28.4955,,4240330944581.7,10598177817,400.1
ROSN,2016,12,Y,РСБУ,1000,RUB,144.656,370.832,37.8211,,9.3635,-27.8079,,4240330944581.7,10598177817,400.1
ROSN,2017,3,Q,МСФО,1000000,RUB,321.376,133.042,31.4205,,1.2266,8.3977,,3439108701616.5,10598177817,324.5
