code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
SBER,2011,12,Y,МСФО,1000000,RUB,-244300,42400,144300,,,109400,9500,20951,,182268,121025,-353700,,-94036,30840,71752,
SBER,2012,12,Y,МСФО,1000000,RUB,919000,62600,-409100,,,144400,160200,47300,600,352200,107100,774600,,665200,37000,100100,
SBER,2013,12,Y,МСФО,1000000,RUB,415300,68900,-356700,,,137400,-58900,58300,,342000,286400,277900,,36200,57400,98200,
SBER,2014,12,Y,МСФО,1000000,RUB,831900,73700,-61600,,,127000,-40900,72000,34500,528100,425400,704900,,984900,48200,88400,
SBER,2015,12,Y,МСФО,1000000,RUB,294600,80800,-90800,,,74300,-511600,10300,6500,164700,571300,220300,,25300,85400,1500,
SBER,2016,12,Y,МСФО,1000000,RUB,387500,83000,241100,,,112100,-244100,44500,4500,157500,267600,275400,,227200,78700,214000,
SBER,2017,12,Y,МСФО,1000000,RUB,64800,57400,-105600,,,116300,-162300,134700,9800,600,24900,-51500,,-231400,80500,210100,
SBER,2018,3,Q,МСФО,1000000,RUB,-184300,16800,-13500,,,14400,-16000,,,,,-198700,,,,,
SBER,2018,6,6M,МСФО,1000000,RUB,30800,31100,-74700,,,46100,-21900,,,,,-15300,,,,,
SBER,2018,6,Q,МСФО,1000000,RUB,215100,14300,-61200,,,31700,-5900,,,,,183400,,,,,
SBER,2018,9,9M,МСФО,1000000,RUB,433600,49300,-102400,,,79900,-306600,,,,,353700,,,,,
SBER,2018,9,Q,МСФО,1000000,RUB,402800,18200,-27700,,,33800,-284700,,,,,369000,,,,,
SBER,2018,12,6M,МСФО,1000000,RUB,374500,36200,-121300,,,131800,-298700,,,,,242700,,,,,
SBER,2018,12,Q,МСФО,1000000,RUB,-28300,18000,-93600,,,98000,-14000,,,,,-126300,,,,,
SBER,2018,12,Y,МСФО,1000000,RUB,405300,67300,-196000,,,177900,-320600,268500,8300,4600,52600,227400,,39000,,218800,
SBER,2019,3,Q,МСФО,1000000,RUB,296600,21800,-21500,,,43300,-59900,,,,,253300,,,,,
SBER,2019,6,6M,МСФО,1000000,RUB,742900,44300,-44000,,,68800,-422800,,,,,674100,,,,,
SBER,2019,6,Q,МСФО,1000000,RUB,446300,22500,-22500,,,25500,-362900,,,,,420800,,,,,
SBER,2019,9,9M,МСФО,1000000,RUB,881000,69000,-85800,,,93500,-428800,,,,,787500,,,,,
SBER,2019,9,Q,МСФО,1000000,RUB,138100,24700,-41800,,,24700,-6000,,,,,113400,,,,,
SBER,2019,12,6M,МСФО,1000000,RUB,-210100,53500,-203300,,,137000,-19800,,,,,-347100,,,,,
SBER,2019,12,Q,МСФО,1000000,RUB,-348200,28800,-161500,,,112300,-13800,,,,,-460500,,,,,
SBER,2019,12,Y,МСФО,1000000,RUB,532800,97800,-247300,,,205800,-442600,358600,342200,5600,68600,327000,,-285200,,246000,
SBER,2020,3,Q,МСФО,1000000,RUB,145600,27100,-8600,,,28400,-16700,,56900,800,2800,117200,,319200,,58700,
SBER,2020,6,6M,МСФО,1000000,RUB,460800,55400,-45000,,,64100,-29500,,107500,900,5400,396700,,484200,,68900,
SBER,2020,6,Q,МСФО,1000000,RUB,315200,28300,-36400,,,35700,-12800,,50600,100,2600,279500,,165000,,10200,
SBER,2020,9,9M,МСФО,1000000,RUB,177700,85400,-51200,,,116000,-33600,1700,137900,6400,10500,61700,,312300,,141100,
SBER,2020,9,Q,МСФО,1000000,RUB,-283100,30000,-6200,,,51900,-4100,,30400,5500,5100,-335000,,-171900,,72200,
SBER,2020,12,6M,МСФО,1000000,RUB,203100,,-59400,,,100000,-421000,,95600,9000,16500,103100,,-190600,,106700,
SBER,2020,12,Q,МСФО,1000000,RUB,486200,,-53200,,,48100,-416900,419500,65200,3500,11400,438100,,-18700,,34500,
SBER,2020,12,Y,МСФО,1000000,RUB,663900,,-104400,,,164100,-450500,421200,203100,9900,21900,499800,,293600,5200,175600,
SBER,2021,3,Q,МСФО,1000000,RUB,384600,,-26100,,,24900,31200,400,69700,56000,1700,359700,,398500,,71700,
SBER,2021,6,6M,МСФО,1000000,RUB,440900,,-119400,,,95000,-398500,419100,185700,58600,5800,345900,,-113300,,142500,
SBER,2021,6,Q,МСФО,1000000,RUB,56300,,-93300,,,70100,-429700,418700,116000,2600,4100,-13800,,-511800,,70800,
SBER,2021,9,9M,МСФО,1000000,RUB,755800,,-69300,,,171600,-381300,419400,232000,71400,8200,584200,,264200,,245800,
SBER,2021,9,Q,МСФО,1000000,RUB,314900,,50100,,,76600,17200,300,46300,12800,2400,238300,,377500,,103300,
SBER,2021,12,6M,МСФО,1000000,RUB,356600,,-101600,,,204600,-2800,300,106500,17500,5800,152000,,253000,,199300,
SBER,2021,12,Q,МСФО,1000000,RUB,41700,,-151700,,,128000,-20000,0,60200,4700,3400,-86300,,-124500,,96000,
SBER,2021,12,Y,МСФО,1000000,RUB,797500,,-221000,,,299600,-401300,419400,292200,76100,11600,497900,,139700,9700,341800,
SBER,2022,12,Y,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2022,12,Y,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,3,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,6,6M,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,6,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,9,9M,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,9,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,12,6M,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,12,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,12,Y,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2023,12,Y,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,3,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,6,6M,МСФО,1000000,RUB,227100,,-198600,,,184600,-28800,,142100,,,42500,,-13700,,234000,
SBER,2024,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,6,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,9,9M,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,9,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,12,6M,МСФО,1000000,RUB,922100,,-344400,,,361200,-732600,,138800,,,560900,,-120700,,,
SBER,2024,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,12,Q,МСФО,1000000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2024,12,Y,МСФО,1000000,RUB,1149200,,-543000,,,545800,-761400,,280900,,,603400,,-134400,9700,,
SBER,2024,12,Y,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,3,Q,МСФО,1000000,RUB,721100,,-73600,,,76900,-22600,,72500,,,644200,,574900,,79900,
SBER,2025,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,6,6M,МСФО,1000000,RUB,687300,,-193200,,,193300,63700,,123600,94200,,494000,,497600,,252000,
SBER,2025,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,6,Q,МСФО,1000000,RUB,-33800,,-119600,,,116400,86300,,51100,,,-150200,,-77300,,172100,
SBER,2025,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,9,9M,МСФО,1000000,RUB,1843500,,-341300,,,342700,-677600,727800,169400,94200,,1500800,,778300,,395400,
SBER,2025,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,9,Q,МСФО,1000000,RUB,1156200,,-148100,,,149400,-741300,,45800,0,,1006800,,280700,,143400,
SBER,2025,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,12,6M,МСФО,1000000,RUB,2309300,,-353500,,,356900,-771300,,106000,0,,1952400,,1188200,,302700,
SBER,2025,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,12,Q,МСФО,1000000,RUB,1153100,,-205400,,,207500,-30000,,60200,0,,945600,,907500,,159300,
SBER,2025,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,12,Y,МСФО,1000000,RUB,2996600,,-546700,,,550200,-707600,,229600,94200,,2446400,,1685800,9700,554700,
SBER,2025,12,Y,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
SBER,2025,12,YTM,МСФО,1000000,RUB,2996600,,-546700,,,550200,-707600,,229600,94200,,2446400,,1685800,9700,554700,
SBER,2025,12,YTM,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
