code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
SBER,2011,12,Y,МСФО,1000000,RUB,561000,151876,850600,29071,741947,,,341800,439000,-122900,,-165300,395700,,315900,316200,309003,309350
SBER,2012,12,Y,МСФО,1000000,RUB,704800,189200,1157300,4300,898300,,,451400,515300,,,,447900,,347900,348800,393600,394600
SBER,2013,12,Y,МСФО,1000000,RUB,862200,244800,1478600,10300,1117300,,,504200,515000,,,,455700,,362000,363800,317000,318800
SBER,2014,12,Y,МСФО,1000000,RUB,1019700,329500,1837900,8500,1357700,,,565100,449200,,,,374200,,290300,292200,214600,216400
SBER,2015,12,Y,МСФО,1000000,RUB,988000,384100,2279600,22400,1394500,,,623400,414500,,,,331200,,222900,223300,365800,366200
SBER,2016,12,Y,МСФО,1000000,RUB,1362800,436300,2399000,34200,1833300,,,677600,767600,,,,677500,,541900,540500,492400,491100
SBER,2017,12,Y,МСФО,1000000,RUB,1348800,479000,2131400,19500,1847300,,,623400,983500,,,,903100,715600,748700,750400,750500,752200
SBER,2018,3,Q,МСФО,1000000,RUB,358600,,575100,,496800,,,157400,292100,-60700,,-77500,281100,,212100,212000,,
SBER,2018,6,6M,МСФО,1000000,RUB,682500,,1056300,,963200,,,296500,,-110200,,-141300,541200,,427400,427400,,
SBER,2018,6,Q,МСФО,1000000,RUB,323900,,481200,,466400,,,139100,,-49500,,-63800,260100,,215300,215400,,
SBER,2018,9,9M,МСФО,1000000,RUB,1041800,,1614000,,1482300,,,451600,,-177900,,-227200,814600,,655500,655600,,
SBER,2018,9,Q,МСФО,1000000,RUB,359300,,557700,,519100,,,155100,,,,,273400,,228100,228200,,
SBER,2018,12,6M,МСФО,1000000,RUB,846600,,1264600,,1173900,,,361100,,-172800,,-209000,505000,,404300,405500,,
SBER,2018,12,Q,МСФО,1000000,RUB,487300,,706900,,654800,,,206000,,-105100,,-123100,231600,,176200,177300,,
SBER,2018,12,Y,МСФО,1000000,RUB,1529100,598500,2320900,9500,2137100,,,657600,1703800,-283000,,-350300,1046200,831200,831700,832900,762700,764000
SBER,2019,3,Q,МСФО,1000000,RUB,337500,,580400,,483000,,,152300,294800,,,,284000,,226600,227000,,
SBER,2019,6,6M,МСФО,1000000,RUB,690600,,1185900,,996600,,,319200,,-55200,,-99500,591100,,476900,477100,,
SBER,2019,6,Q,МСФО,1000000,RUB,353100,,605500,,513600,,,166900,-294800,,,,307100,,250300,250100,,
SBER,2019,9,9M,МСФО,1000000,RUB,1044500,,1788500,,1535500,,,486600,,-98700,,-167700,876800,,633000,633000,,
SBER,2019,9,Q,МСФО,1000000,RUB,353900,,602600,,538900,,,167400,,,,,285700,,156100,155900,,
SBER,2019,12,6M,МСФО,1000000,RUB,724900,,1210100,,1118700,,,405400,,,,,547600,,368100,367800,,
SBER,2019,12,Q,МСФО,1000000,RUB,371000,,607500,,579800,,,238000,,,,,261900,,212000,211900,,
SBER,2019,12,Y,МСФО,1000000,RUB,1415500,688900,2396000,10900,2115300,,,724600,1863300,,,,1138700,914800,845000,844900,993200,993100
SBER,2020,3,Q,МСФО,1000000,RUB,371900,177400,583400,,549300,,,169200,,-187100,,-214200,157700,120500,120500,120200,121500,121100
SBER,2020,6,6M,МСФО,1000000,RUB,770400,342300,1178200,,1112700,,,341600,,-348400,,-403800,366600,287200,287200,287200,350600,350600
SBER,2020,6,Q,МСФО,1000000,RUB,398500,164900,594800,,563400,,,172400,,-161300,,-189600,208900,166700,166700,167000,229100,229500
