code,year,month,period,type,amount,curr,equity_ps,revenue_ps,ebitda_ps,ebitda_adjusted_ps,earnings_ps,fcf_ps,fcf_adjusted_ps,capital,num1,price1,num2,price2
SBER,2011,12,Y,МСФО,1000000,RUB,55.9837,32.8485,-5.4412,,13.9992,-15.6595,,1765514116469.76,21586948096,79.06,1000000000,58.85
SBER,2012,12,Y,МСФО,1000000,RUB,71.3244,39.7708,,,15.4425,34.2941,,2071908121799.9998,21586948000,92.85,1000000000,67.56
SBER,2013,12,Y,МСФО,1000000,RUB,82.8664,49.4666,,,16.1066,12.3036,,2260945225920,21586948000,101.04,1000000000,79.8
SBER,2014,12,Y,МСФО,1000000,RUB,89.2374,60.1099,,,12.9367,31.2083,,1201442366680,21586948000,53.91,1000000000,37.69
SBER,2015,12,Y,МСФО,1000000,RUB,105.052,61.7392,,,9.88624,9.75342,,2260497398640,21586948000,101.18,1000000000,76.33
SBER,2016,12,Y,МСФО,1000000,RUB,124.767,81.1663,,,23.9297,12.1929,,3839907013800,21586948000,171.85,1000000000,130.19
SBER,2017,12,Y,МСФО,1000000,RUB,151.946,81.7862,,,33.2227,-2.28008,,5049050255840,21586948000,225.08,1000000000,190.26
SBER,2018,3,Q,МСФО,1000000,RUB,158.459,21.995,,,9.386,-8.7971,,5693397402400,21586948000,253.8,1000000000,214.63
SBER,2018,6,6M,МСФО,1000000,RUB,154.279,42.6441,,,18.9224,-0.6774,,4833694034920,21586948000,215.29,1000000000,186.24
SBER,2018,6,Q,МСФО,1000000,RUB,154.279,20.6491,,,9.5365,8.1197,,4833694034920,21586948000,215.29,1000000000,186.24
SBER,2018,9,9M,МСФО,1000000,RUB,161.877,65.6264,,,29.0256,15.6595,,4546176751160,21586948000,202.67,1000000000,171.15
SBER,2018,9,Q,МСФО,1000000,RUB,161.877,22.9823,,,10.1032,16.3369,,4546176751160,21586948000,202.67,1000000000,171.15
SBER,2018,12,6M,МСФО,1000000,RUB,170.541,51.9725,,,17.9529,10.7452,,4182653414360,21586948000,186.07,1000000000,165.97
SBER,2018,12,Q,МСФО,1000000,RUB,170.541,28.9902,,,7.8497,-5.5917,,4182653414360,21586948000,186.07,1000000000,165.97
SBER,2018,12,Y,МСФО,1000000,RUB,170.541,94.6166,-12.5294,,36.8753,10.0678,,4182653414360,21586948000,186.07,1000000000,165.97
SBER,2019,3,Q,МСФО,1000000,RUB,179.67,21.384,,,10.0501,11.2144,,4857334027080,21586948000,216.21,1000000000,190.02
SBER,2019,6,6M,МСФО,1000000,RUB,176.296,44.1228,,,21.1228,29.8447,,5377869262880,21586948000,239.56,1000000000,206.5
SBER,2019,6,Q,МСФО,1000000,RUB,176.296,22.7388,,,11.0728,18.6302,,5377869262880,21586948000,239.56,1000000000,206.5
SBER,2019,9,9M,МСФО,1000000,RUB,188.277,67.9817,,,28.025,34.8653,,5110239583640,21586948000,227.43,1000000000,200.72
SBER,2019,9,Q,МСФО,1000000,RUB,188.277,23.8589,,,6.9022,5.0206,,5110239583640,21586948000,227.43,1000000000,200.72
SBER,2019,12,6M,МСФО,1000000,RUB,198.269,49.5286,,,16.2838,-15.3673,,5709855444600,21586948000,253.95,1000000000,227.85
SBER,2019,12,Q,МСФО,1000000,RUB,198.269,25.6697,,,9.3816,-20.3879,,5709855444600,21586948000,253.95,1000000000,227.85
SBER,2019,12,Y,МСФО,1000000,RUB,198.269,93.6514,,,37.4066,14.4774,,5709855444600,21586948000,253.95,1000000000,227.85
SBER,2020,3,Q,МСФО,1000000,RUB,203.241,24.3194,-8.28354,,5.32166,5.18884,,4203741018880,21586948000,186.56,1000000000,176.48
SBER,2020,6,6M,МСФО,1000000,RUB,213.353,49.263,-15.4248,,12.7153,17.5632,,4585403699160,21586948000,203.67,1000000000,188.79
SBER,2020,6,Q,МСФО,1000000,RUB,213.353,24.9436,-7.14126,,7.39364,12.3744,,4585403699160,21586948000,203.67,1000000000,188.79
SBER,2020,9,9M,МСФО,1000000,RUB,214.164,76.8231,-17.55,,24.7621,2.73167,,5126178063520,21586948000,227.24,1000000000,220.76
SBER,2020,9,Q,МСФО,1000000,RUB,214.164,27.5601,-2.1252,,12.0468,-14.8315,,5126178063520,21586948000,227.24,1000000000,220.76
SBER,2020,12,6M,МСФО,1000000,RUB,223.35,56.626,,,20.9812,4.5646,,6115656811840,21586948000,272.08,1000000000,242.28
SBER,2020,12,Q,МСФО,1000000,RUB,223.35,29.0659,,,8.9344,19.3961,,6115656811840,21586948000,272.08,1000000000,242.28
SBER,2020,12,Y,МСФО,1000000,RUB,223.35,105.889,,,33.6965,22.1278,,6115656811840,21586948000,272.08,1000000000,242.28
SBER,2021,3,Q,МСФО,1000000,RUB,232.634,27.4495,,,13.4989,15.9251,,6575672293920,21586948000,292.04,1000000000,271.42
SBER,2021,6,6M,МСФО,1000000,RUB,227.423,57.365,,,27.9276,15.3142,,6864697401040,21586948000,304.98,1000000000,281.11
SBER,2021,6,Q,МСФО,1000000,RUB,227.423,29.9155,,,14.4287,-0.6109,,6864697401040,21586948000,304.98,1000000000,281.11
SBER,2021,9,9M,МСФО,1000000,RUB,242.158,89.016,,,43.3923,25.8645,,7567276919560.001,21586948000,335.97,1000000000,314.71
SBER,2021,9,Q,МСФО,1000000,RUB,242.158,31.651,,,15.4647,10.5503,,7567276919560.001,21586948000,335.97,1000000000,314.71
SBER,2021,12,6M,МСФО,1000000,RUB,246.952,60.314,,,27.4451,6.7295,,6606735545160,21586948000,293.17,1000000000,278.09
SBER,2021,12,Q,МСФО,1000000,RUB,246.952,28.663,,,11.9804,-3.8208,,6606735545160,21586948000,293.17,1000000000,278.09
SBER,2021,12,Y,МСФО,1000000,RUB,246.952,117.679,,,55.3727,22.0437,,6606735545160,21586948000,293.17,1000000000,278.09
SBER,2022,12,Y,МСФО,1000000,RUB,255.763,124.656,,,12.9455,,,3179998147880,21586948000,140.81,1000000000,140.34
SBER,2022,12,Y,РСБУ,1000,RUB,247.262,119.429,,,13.0945,,,3179998147880,21586948000,140.81,1000000000,140.34
SBER,2023,3,Q,МСФО,1000000,RUB,270.745,34.9715,,,15.8897,,,4835279697320,21586948000,214.09,1000000000,213.73
SBER,2023,3,Q,РСБУ,1000,RUB,261.169,33.8967,,,15.5048,,,4835279697320,21586948000,214.09,1000000000,213.73
SBER,2023,6,6M,МСФО,1000000,RUB,261.948,72.7943,,,32.7756,,,5406304698600,21586948000,239.45,1000000000,237.31
SBER,2023,6,6M,РСБУ,1000,RUB,252.057,70.5173,,,32.223,,,5406304698600,21586948000,239.45,1000000000,237.31
SBER,2023,6,Q,МСФО,1000000,RUB,261.948,37.8228,,,16.8859,,,5406304698600,21586948000,239.45,1000000000,237.31
SBER,2023,6,Q,РСБУ,1000,RUB,252.057,36.6206,,,16.7182,,,5406304698600,21586948000,239.45,1000000000,237.31
SBER,2023,9,9M,МСФО,1000000,RUB,274.442,114.752,,,51.0029,,,5889176691000,21586948000,260.75,1000000000,260.38
SBER,2023,9,9M,РСБУ,1000,RUB,262.191,111.564,,,49.9961,,,5889176691000,21586948000,260.75,1000000000,260.38
SBER,2023,9,Q,МСФО,1000000,RUB,274.442,41.9577,,,18.2273,,,5889176691000,21586948000,260.75,1000000000,260.38
SBER,2023,9,Q,РСБУ,1000,RUB,262.191,41.0465,,,17.7731,,,5889176691000,21586948000,260.75,1000000000,260.38
SBER,2023,12,6M,МСФО,1000000,RUB,291.496,90.4857,,,34.1569,,,6135073337840,21586948000,271.58,1000000000,272.49
SBER,2023,12,6M,РСБУ,1000,RUB,280.328,86.0907,,,33.3378,,,6135073337840,21586948000,271.58,1000000000,272.49
SBER,2023,12,Q,МСФО,1000000,RUB,291.496,48.528,,,15.9296,,,6135073337840,21586948000,271.58,1000000000,272.49
SBER,2023,12,Q,РСБУ,1000,RUB,280.328,45.044,,,15.5647,,,6135073337840,21586948000,271.58,1000000000,272.49
SBER,2023,12,Y,МСФО,1000000,RUB,291.496,163.28,,,66.9325,,,6135073337840,21586948000,271.58,1000000000,272.49
SBER,2023,12,Y,РСБУ,1000,RUB,280.328,156.608,,,65.5608,,,6135073337840,21586948000,271.58,1000000000,272.49
SBER,2024,3,Q,МСФО,1000000,RUB,305.663,42.3607,,,17.6031,,,6745967889680.001,21586948000,298.66,1000000000,298.81
SBER,2024,3,Q,РСБУ,1000,RUB,297.922,40.0484,,,16.1148,,,6745967889680.001,21586948000,298.66,1000000000,298.81
SBER,2024,6,6M,МСФО,1000000,RUB,284.102,87.3381,,,36.1403,1.88162,,7400645903760,21586948000,327.62,1000000000,328.33
SBER,2024,6,6M,РСБУ,1000,RUB,306.764,82.3071,,,34.0347,,,7400645903760,21586948000,327.62,1000000000,328.33
SBER,2024,6,Q,МСФО,1000000,RUB,284.102,44.9774,,,18.5372,,,7400645903760,21586948000,327.62,1000000000,328.33
SBER,2024,6,Q,РСБУ,1000,RUB,306.764,42.2587,,,17.9199,,,7400645903760,21586948000,327.62,1000000000,328.33
SBER,2024,9,9M,МСФО,1000000,RUB,298.934,135.809,,,54.3677,,,6116195518400,21586948000,270.8,1000000000,270.45
SBER,2024,9,9M,РСБУ,1000,RUB,286.552,127.188,,,52.8278,,,6116195518400,21586948000,270.8,1000000000,270.45
SBER,2024,9,Q,МСФО,1000000,RUB,298.934,48.4709,,,18.2274,,,6116195518400,21586948000,270.8,1000000000,270.45
SBER,2024,9,Q,РСБУ,1000,RUB,286.552,44.8809,,,18.7931,,,6116195518400,21586948000,270.8,1000000000,270.45
SBER,2024,12,6M,МСФО,1000000,RUB,317.692,99.4599,,,33.8824,24.8329,,6238227429160,21586948000,276.17,1000000000,276.56
SBER,2024,12,6M,РСБУ,1000,RUB,308.747,91.7459,,,34.8072,,,6238227429160,21586948000,276.17,1000000000,276.56
SBER,2024,12,Q,МСФО,1000000,RUB,317.692,50.989,,,15.655,,,6238227429160,21586948000,276.17,1000000000,276.56
SBER,2024,12,Q,РСБУ,1000,RUB,308.747,46.865,,,16.0141,,,6238227429160,21586948000,276.17,1000000000,276.56
SBER,2024,12,Y,МСФО,1000000,RUB,317.692,186.798,,,70.0227,26.7145,,6238227429160,21586948000,276.17,1000000000,276.56
SBER,2024,12,Y,РСБУ,1000,RUB,308.747,174.053,,,68.8419,,,6238227429160,21586948000,276.17,1000000000,276.56
SBER,2025,3,Q,МСФО,1000000,RUB,337.766,49.2984,,,19.3032,28.5209,,6948082160640,21586948000,307.68,1000000000,306.21
SBER,2025,3,Q,РСБУ,1000,RUB,328.368,45.5403,,,17.9097,,,6948082160640,21586948000,307.68,1000000000,306.21
SBER,2025,6,6M,МСФО,1000000,RUB,328.389,100.288,,,38.0131,21.871,,7136336654360,21586948000,316.07,1000000000,313.35
SBER,2025,6,6M,РСБУ,1000,RUB,353.698,92.7806,,,36.5956,,,7136336654360,21586948000,316.07,1000000000,313.35
SBER,2025,6,Q,МСФО,1000000,RUB,328.389,50.9896,,,18.7099,-6.6499,,7136336654360,21586948000,316.07,1000000000,313.35
SBER,2025,6,Q,РСБУ,1000,RUB,353.698,47.2403,,,18.6859,,,7136336654360,21586948000,316.07,1000000000,313.35
SBER,2025,9,9M,МСФО,1000000,RUB,348.538,154.12,,,57.9273,66.4454,,6491730594160,21586948000,287.42,1000000000,287.21
SBER,2025,9,9M,РСБУ,1000,RUB,338.666,143.641,,,56.2207,,,6491730594160,21586948000,287.42,1000000000,287.21
SBER,2025,9,Q,МСФО,1000000,RUB,348.538,53.832,,,19.9142,44.5744,,6491730594160,21586948000,287.42,1000000000,287.21
SBER,2025,9,Q,РСБУ,1000,RUB,338.666,50.8604,,,19.6251,,,6491730594160,21586948000,287.42,1000000000,287.21
SBER,2025,12,6M,МСФО,1000000,RUB,369.753,113.69,,,37.5792,86.439,,6773981574680.001,21586948000,299.91,1000000000,299.84
SBER,2025,12,6M,РСБУ,1000,RUB,359.282,106.336,,,37.9052,,,6773981574680.001,21586948000,299.91,1000000000,299.84
SBER,2025,12,Q,МСФО,1000000,RUB,369.753,59.858,,,17.665,41.8646,,6773981574680.001,21586948000,299.91,1000000000,299.84
SBER,2025,12,Q,РСБУ,1000,RUB,359.282,55.476,,,18.2801,,,6773981574680.001,21586948000,299.91,1000000000,299.84
SBER,2025,12,Y,МСФО,1000000,RUB,369.753,213.978,,,75.5923,108.31,,6773981574680.001,21586948000,299.91,1000000000,299.84
SBER,2025,12,Y,РСБУ,1000,RUB,359.282,199.117,,,74.5008,,,6773981574680.001,21586948000,299.91,1000000000,299.84
SBER,2025,12,YTM,МСФО,1000000,RUB,369.753,213.978,,,75.5923,108.31,,7314874848760,21586948000,323.87,1000000000,323.51
SBER,2025,12,YTM,РСБУ,1000,RUB,359.282,199.117,,,74.5008,,,7314874848760,21586948000,323.87,1000000000,323.51
