ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,ema,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.538,"{""short_ema"":63,""long_ema"":75,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,23,11,3,8,27.27,433534.1,-88594.62,170.91,,35.41,767612.3000000002,-208638.47999999984,59.18,0.32,0.37,0.0116,0.01,9,5,0,5,0.0,0.0,-46815.15,46.0,,42.44,-5114.760000000021,-112610.90999999992,-23.41,-0.64,-0.62,0.0136,-0.02,32,16,3,13,18.75,433534.1,-83183.04,131.88,,51.44,767612.3000000002,-208638.47999999984,21.92,0.18,0.2,0.0119,0.0
GAZP,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.27,"{""short_ema"":15,""long_ema"":83,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,49,12,37,24.49,76054.87,-45411.52,80.67,,79.66,410164.1399999999,-276228.94,-76.76,-0.28,-0.33,0.0192,-0.01,8,8,1,7,12.5,23350.42,-37868.29,57.62,,45.64,23350.419999999947,-102109.28,-24.17,-0.43,-0.64,0.0184,-0.02,57,57,13,44,22.81,70628.16,-39529.14,77.68,,84.63,410164.1399999999,-276228.94,-82.11,-0.29,-0.36,0.0192,-0.01
GAZP,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.22,"{""short_ema"":13,""long_ema"":83,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,49,11,38,22.45,96425.88,-47211.27,80.69,,79.92,463828.98,-307293.75,-73.33,-0.24,-0.29,0.0192,-0.01,10,10,1,9,10.0,99751.74,-41105.05,46.4,,48.94,99751.73999999996,-97071.52000000002,-27.02,-0.54,-0.75,0.0179,-0.02,59,59,12,47,20.34,90729.05,-40071.52,75.07,,84.61,463828.98,-307293.75,-79.46,-0.26,-0.32,0.019,-0.01
GAZP,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.211,"{""short_ema"":13,""long_ema"":85,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,49,12,37,24.49,90922.55,-49101.22,80.69,,79.92,477170.70000000007,-316102.5,-72.57,-0.23,-0.28,0.0192,-0.01,10,10,1,9,10.0,23350.42,-40615.52,46.1,,52.21,23350.419999999947,-111884.26000000008,-34.22,-0.76,-1.04,0.0179,-0.03,59,59,13,46,22.03,84427.97,-41620.87,75.07,,86.67,477170.70000000007,-316102.5,-81.7,-0.29,-0.35,0.019,-0.01
GAZP,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.198,"{""short_ema"":13,""long_ema"":120,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,45,45,11,34,24.44,74314.82,-44690.86,87.84,,75.57,377483.52,-264489.5,-70.2,-0.21,-0.26,0.0189,-0.01,10,10,2,7,20.0,6299.41,-62088.83,45.9,,57.21,11161.520000000037,-194837.81000000008,-42.2,-1.04,-1.36,0.0178,-0.03,55,55,13,41,23.64,63162.57,-40332.96,80.51,,85.98,377483.52,-264489.5,-83.25,-0.32,-0.39,0.0188,-0.01
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.714,"{""rsi_lower"":38,""rsi_upper"":56,""rsi_window"":15,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,213,38,28,10,73.68,96939.35,-122199.02,39.74,,41.35,427874.7000000002,-435161.6099999999,149.23,0.47,0.37,0.0147,0.02,37,5,2,3,40.0,27500.96,-30670.77,25.6,,20.9,33301.72999999997,-42199.34999999991,-3.7,-0.05,-0.04,0.0105,-0.0,250,43,29,14,67.44,92176.87,-102664.38,38.33,,41.35,427874.7000000002,-435161.6099999999,123.58,0.4,0.31,0.0143,0.01
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.609,"{""rsi_lower"":42,""rsi_upper"":64,""rsi_window"":22,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,136,16,11,5,68.75,323971.7,-353348.51,153.25,,54.5,1102955.6700000002,-766024.6000000002,179.69,0.49,0.51,0.0166,0.01,15,2,2,0,100.0,78319.09,0.0,148.0,,24.38,146769.68000000005,9868.499999999958,15.66,0.52,0.63,0.0135,0.03,151,18,13,5,72.22,316980.02,-201488.23,155.89,,54.5,1102955.6700000002,-700784.2999999999,311.33,0.56,0.61,0.0166,0.02
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.378,"{""rsi_lower"":42,""rsi_upper"":63,""rsi_window"":20,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,147,18,12,6,66.67,268618.24,-276341.88,138.11,,51.81,983564.0000000002,-611891.2200000003,156.54,0.46,0.49,0.0169,0.01,18,4,3,1,75.0,60441.19,-21302.82,62.75,,24.38,104595.2000000001,-21302.82000000002,16.0,0.54,0.59,0.0131,0.03,165,22,15,7,68.18,296869.91,-246641.38,127.09,,51.81,983564.0000000002,-611891.2200000003,272.66,0.53,0.57,0.0168,0.02
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.294,"{""rsi_lower"":27,""rsi_upper"":55,""rsi_window"":14,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,158,10,8,2,80.0,144995.5,-108820.35,57.1,,33.2,347068.20000000007,-188555.0,94.23,0.46,0.28,0.0101,0.01,32,3,2,1,66.67,50335.87,-15853.53,21.0,,16.32,82727.73000000003,-15853.530000000015,8.48,0.4,0.25,0.0097,0.02,190,13,10,3,76.92,135551.76,-82811.77,48.77,,33.2,347068.20000000007,-188555.0,110.71,0.45,0.27,0.01,0.01
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.157,"{""rsi_lower"":41,""rsi_upper"":62,""rsi_window"":22,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,137,17,11,6,64.71,250258.23,-230897.74,130.41,,51.52,1018876.3200000002,-556311.3000000003,136.75,0.44,0.43,0.0161,0.01,21,3,3,0,100.0,8463.16,0.0,65.0,,24.38,16183.199999999915,2201.0399999999677,2.54,0.18,0.18,0.0129,0.01,158,20,14,6,70.0,244664.27,-230897.74,123.55,,51.52,1018876.3200000002,-556311.3000000003,203.99,0.47,0.48,0.0161,0.01
