ticker,strategy_type,timeframe,method,trial_number,composite_score,param_lookback,param_pivot_window,param_min_touches,param_tolerance_atr_mult,param_cluster_atr_mult,param_confirmation_bars,param_cooldown_bars,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,breakout_ols,1D,Bayesian_TPE,0,0.072,175,12,4,0.8500000000000001,0.4,1,4,True,22.57,0.193,0.195,60.2,9,33.33,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.8500000000000001,""cluster_atr_mult"":0.4,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,56.0,9.0,3.0,6.0,33.33,467622.97,-196187.0,214.56,,60.2,862321.1099999999,-777216.31,22.57,0.19,0.2,0.0126,0.0,9.0,2.0,1.0,1.0,50.0,2349.4,-118901.86,80.5,,32.29,2349.4000000000237,-118901.86000000007,-11.66,-0.24,-0.2,0.0136,-0.01,65.0,11.0,4.0,7.0,36.36,351437.18,-188981.97,190.18,,63.15,862321.1099999999,-777216.31,8.29,0.13,0.13,0.0127,0.0
GAZP,breakout_ols,1D,Bayesian_TPE,1,0.015,242,3,5,1.05,0.5,1,6,False,-29.17,-0.036,-0.029,69.63,35,34.29,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":242,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":1.05,""cluster_atr_mult"":0.5,""confirmation_bars"":1,""cooldown_bars"":6,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,156.0,35.0,12.0,23.0,34.29,123168.43,-76943.8,55.34,,69.63,899923.9500000001,-635692.67,-29.17,-0.04,-0.03,0.0134,-0.0,32.0,7.0,2.0,5.0,28.57,24891.24,-17491.12,30.86,,29.54,33910.68999999993,-28119.41999999995,-3.77,-0.01,-0.01,0.0133,-0.0,188.0,41.0,13.0,28.0,31.71,116350.27,-65413.94,52.88,,69.63,899923.9500000001,-635692.67,-31.9,-0.03,-0.03,0.0135,-0.0
GAZP,breakout_ols,1D,Bayesian_TPE,2,-0.006,186,5,4,0.4,0.55,2,11,True,-4.86,0.067,0.062,53.28,20,40.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":186,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":0.55,""confirmation_bars"":2,""cooldown_bars"":11,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,80.0,20.0,8.0,12.0,40.0,147281.36,-102237.76,85.5,,53.28,397003.3599999998,-587847.9600000002,-4.86,0.07,0.06,0.0116,0.0,19.0,5.0,1.0,4.0,20.0,22365.0,-65410.42,54.2,,44.04,22365.00000000004,-175680.18000000002,-23.93,-0.74,-0.91,0.0126,-0.02,99.0,24.0,8.0,16.0,33.33,156990.99,-93138.24,83.88,,62.21,397003.3599999998,-587847.9600000002,-23.43,-0.02,-0.02,0.0118,-0.0
GAZP,breakout_ols,1D,Bayesian_TPE,3,0.004,203,8,2,0.8500000000000001,0.45,1,20,True,2.09,0.111,0.115,52.3,26,34.62,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":203,""pivot_window"":8,""min_touches"":2,""tolerance_atr_mult"":0.8500000000000001,""cluster_atr_mult"":0.45,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,88.0,26.0,9.0,17.0,34.62,142108.56,-74003.29,78.19,,52.3,522512.47999999986,-683364.96,2.09,0.11,0.11,0.0128,0.0,21.0,7.0,2.0,5.0,28.57,25984.96,-38700.48,39.57,,34.22,26914.560000000023,-84844.89000000006,-14.15,-0.28,-0.32,0.0148,-0.01,109.0,32.0,10.0,22.0,31.25,139133.49,-66659.85,73.16,,56.41,522512.47999999986,-683364.96,-7.52,0.07,0.08,0.0132,0.0
GAZP,breakout_ols,1D,Bayesian_TPE,4,0.169,161,3,4,0.7,0.4,2,3,True,-54.47,-0.217,-0.177,70.02,29,31.03,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":161,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.7,""cluster_atr_mult"":0.4,""confirmation_bars"":2,""cooldown_bars"":3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,151.0,29.0,9.0,20.0,31.03,111606.46,-77459.55,65.31,,70.02,304865.98000000004,-469597.37999999995,-54.47,-0.22,-0.18,0.0137,-0.0,30.0,6.0,3.0,3.0,50.0,31154.13,-38137.58,49.0,,31.97,82709.0,-59210.75,-2.1,0.05,0.06,0.0141,0.0,181.0,35.0,12.0,23.0,34.29,87250.52,-69620.59,62.51,,71.87,304865.98000000004,-469597.37999999995,-55.43,-0.18,-0.15,0.0137,-0.0
GAZP,breakout_ols,1D,Bayesian_TPE,5,-0.006,233,6,4,0.8,0.45,3,16,True,-5.52,0.06,0.055,58.5,13,46.15,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":233,""pivot_window"":6,""min_touches"":4,""tolerance_atr_mult"":0.8,""cluster_atr_mult"":0.45,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,59.0,13.0,6.0,7.0,46.15,204937.21,-183540.19,131.38,,58.5,862964.3100000002,-738147.1200000001,-5.52,0.06,0.06,0.0112,0.0,13.0,4.0,2.0,2.0,50.0,36352.73,-84791.66,69.75,,34.78,62178.799999999974,-117823.80000000008,-9.69,-0.15,-0.17,0.0148,-0.01,72.0,16.0,7.0,9.0,43.75,192553.32,-161427.79,126.38,,61.71,862964.3100000002,-738147.1200000001,-10.5,0.05,0.05,0.0118,0.0
GAZP,breakout_ols,1D,Bayesian_TPE,6,0.021,220,12,2,0.45,0.3,1,9,False,-31.36,-0.044,-0.035,64.42,18,27.78,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":220,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.3,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,91.0,18.0,5.0,12.0,27.78,198186.02,-108714.05,99.56,,64.42,631468.9,-799277.24,-31.36,-0.04,-0.04,0.0138,-0.0,20.0,3.0,2.0,1.0,66.67,9205.21,-109963.56,106.33,,34.84,12855.160000000007,-109963.55999999994,-9.16,-0.1,-0.12,0.0164,-0.0,111.0,20.0,7.0,13.0,35.0,143443.09,-104166.13,106.45,,68.64,631468.9,-799277.24,-35.01,-0.04,-0.03,0.0142,-0.0
GAZP,breakout_ols,1D,Bayesian_TPE,7,-0.006,171,5,4,0.4,1.05,1,20,True,-24.48,0.016,0.014,63.63,28,32.14,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":171,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":1.05,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,88.0,28.0,9.0,19.0,32.14,146204.78,-82137.63,72.43,,63.63,471172.7599999999,-646995.1799999999,-24.48,0.02,0.01,0.0151,0.0,16.0,6.0,3.0,3.0,50.0,22474.82,-64663.96,58.17,,34.93,46891.50000000013,-83183.40000000017,-12.66,-0.21,-0.28,0.0155,-0.01,104.0,33.0,11.0,22.0,33.33,126684.46,-77817.62,72.91,,65.87,471172.7599999999,-646995.1799999999,-31.85,-0.0,-0.0,0.0152,-0.0
GAZP,breakout_ols,1D,Bayesian_TPE,8,0.409,101,11,4,0.95,1.0,1,9,False,56.7,0.307,0.386,42.59,6,50.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":101,""pivot_window"":11,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":1.0,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,17.0,6.0,3.0,3.0,50.0,412156.25,-223172.14,373.0,,42.59,844749.4,-518586.2,56.7,0.31,0.39,0.0123,0.01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,19.0,6.0,3.0,3.0,50.0,412156.25,-258874.47,404.5,,42.59,844749.4,-625693.2000000001,45.98,0.25,0.29,0.0126,0.01
GAZP,breakout_ols,1D,Bayesian_TPE,9,0.007,225,6,2,0.55,0.6000000000000001,3,14,True,-26.39,-0.02,-0.016,73.97,26,34.62,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.6000000000000001,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,106.0,26.0,9.0,17.0,34.62,206561.57,-124877.56,71.65,,73.97,1157668.38,-893031.8,-26.39,-0.02,-0.02,0.0134,-0.0,25.0,9.0,4.0,5.0,44.44,36085.9,-54405.2,28.56,,38.43,72276.59999999992,-92135.68,-12.77,-0.26,-0.3,0.0141,-0.01,131.0,35.0,13.0,22.0,37.14,149391.64,-105347.66,60.83,,79.06,1157668.38,-893031.8,-37.56,-0.06,-0.05,0.0135,-0.0
