ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,breakout_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,2.438,"{""lookback"":270,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":0.35,""confirmation_bars"":2,""cooldown_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,54,9,4,5,44.44,469936.52,-74363.89,204.89,,34.39,1218754.66,-158011.08000000028,150.79,0.56,0.66,0.0113,0.02,18,3,1,2,33.33,38808.56,-48184.83,111.33,,34.69,38808.56000000005,-76618.61000000009,-5.76,-0.01,-0.01,0.0165,-0.0,72,11,5,6,45.45,395397.0,-102620.79,199.36,,34.69,1218754.66,-289932.21,136.13,0.45,0.52,0.0122,0.02
GAZP,breakout_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,2.19,"{""lookback"":270,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":0.75,""confirmation_bars"":2,""cooldown_bars"":3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,67,10,4,6,40.0,481040.71,-81998.66,188.5,,35.05,1193897.87,-180434.3400000003,143.22,0.54,0.64,0.0115,0.02,26,5,2,3,40.0,1692.52,-46577.5,54.2,,37.64,3110.400000000044,-76618.61000000009,-13.63,-0.23,-0.26,0.0158,-0.01,93,14,6,8,42.86,322064.7,-104237.43,155.07,,37.64,1193897.87,-281175.3,109.85,0.4,0.46,0.0122,0.01
GAZP,breakout_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,2.069,"{""lookback"":271,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.55,""confirmation_bars"":2,""cooldown_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,64,10,4,6,40.0,465739.78,-87915.89,186.5,,33.7,1171404.96,-173253.42000000027,133.55,0.52,0.63,0.0113,0.02,21,3,2,1,66.67,21451.58,-76618.61,108.0,,34.39,39792.76000000005,-76618.61000000009,-3.37,0.05,0.06,0.0165,0.0,85,12,6,6,50.0,327177.11,-118091.57,183.67,,34.39,1171404.96,-270002.16000000003,125.45,0.43,0.51,0.0121,0.02
GAZP,breakout_ols,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.986,"{""lookback"":284,""pivot_window"":12,""min_touches"":5,""tolerance_atr_mult"":0.75,""cluster_atr_mult"":0.75,""confirmation_bars"":2,""cooldown_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,54,8,5,3,62.5,358047.5,-136978.23,219.5,,37.65,1216908.4000000004,-206190.27000000008,137.93,0.54,0.62,0.0109,0.02,11,2,1,1,50.0,39658.08,-76618.61,154.5,,33.27,39658.08000000005,-76618.61000000009,-3.7,0.03,0.04,0.0157,0.0,65,9,6,3,66.67,314084.72,-198461.35,231.11,,37.65,1216908.4000000004,-275065.47000000003,128.91,0.45,0.5,0.0117,0.01
GAZP,breakout_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.617,"{""lookback"":271,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":0.3,""confirmation_bars"":2,""cooldown_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,53,10,4,6,40.0,403510.18,-80154.26,183.9,,33.5,1059160.0799999998,-134395.14000000022,113.31,0.48,0.57,0.0112,0.02,18,3,1,2,33.33,38808.56,-48184.83,111.33,,34.69,38808.56000000005,-76618.61000000009,-5.76,-0.01,-0.01,0.0165,-0.0,71,12,5,7,41.67,339349.96,-98339.04,182.33,,34.69,1059160.0799999998,-246593.97,100.84,0.38,0.45,0.0121,0.01
VKCO,breakout_ols,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.863,"{""lookback"":284,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":0.6000000000000001,""cluster_atr_mult"":0.5,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,14,2,2,0,100.0,158011.9,0.0,100.0,,23.88,243577.40000000005,72446.39999999995,31.6,0.65,0.42,0.0105,0.03,13,2,0,2,0.0,0.0,-5490.4,108.0,,27.59,-3373.200000000128,-7607.59999999996,-1.1,0.05,0.08,0.0116,0.0,27,3,1,2,33.33,243577.4,-65980.4,195.33,,37.86,243577.40000000005,-123411.60000000003,11.16,0.22,0.22,0.0145,0.01
VKCO,breakout_ols,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.863,"{""lookback"":287,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.5,""confirmation_bars"":1,""cooldown_bars"":7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,13,2,2,0,100.0,158011.9,0.0,100.0,,23.88,243577.40000000005,72446.39999999995,31.6,0.65,0.42,0.0105,0.03,11,2,0,2,0.0,0.0,-5490.4,108.0,,27.59,-3373.200000000128,-7607.59999999996,-1.1,0.05,0.08,0.0116,0.0,24,3,1,2,33.33,243577.4,-65980.4,195.33,,37.86,243577.40000000005,-123411.60000000003,11.16,0.22,0.22,0.0145,0.01
VKCO,breakout_ols,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.822,"{""lookback"":270,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.75,""cluster_atr_mult"":0.45,""confirmation_bars"":1,""cooldown_bars"":10,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,13,2,2,0,100.0,163409.3,0.0,104.0,,26.12,243577.40000000005,83241.19999999985,32.68,0.66,0.44,0.0107,0.03,9,2,1,1,50.0,75819.0,-29979.2,112.5,,24.69,75819.00000000013,-29979.199999999957,4.58,0.24,0.33,0.0121,0.01,22,3,1,2,33.33,243577.4,-39004.25,195.67,,37.35,243577.40000000005,-44593.5,16.56,0.26,0.27,0.0145,0.01
VKCO,breakout_ols,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.822,"{""lookback"":270,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":0.7,""cluster_atr_mult"":0.65,""confirmation_bars"":1,""cooldown_bars"":10,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,13,2,2,0,100.0,163409.3,0.0,104.0,,26.12,243577.40000000005,83241.19999999985,32.68,0.66,0.44,0.0107,0.03,9,2,1,1,50.0,75819.0,-29979.2,112.5,,24.69,75819.00000000013,-29979.199999999957,4.58,0.24,0.33,0.0121,0.01,22,3,1,2,33.33,243577.4,-39004.25,195.67,,37.35,243577.40000000005,-44593.5,16.56,0.26,0.27,0.0145,0.01
VKCO,breakout_ols,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.822,"{""lookback"":267,""pivot_window"":9,""min_touches"":5,""tolerance_atr_mult"":1.1,""cluster_atr_mult"":0.7,""confirmation_bars"":1,""cooldown_bars"":3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,18,2,2,0,100.0,163409.3,0.0,104.0,,26.12,243577.40000000005,83241.19999999985,32.68,0.66,0.44,0.0107,0.03,15,2,1,1,50.0,75819.0,-43872.0,113.5,,24.69,75819.00000000013,-43872.0,3.19,0.19,0.27,0.0121,0.01,33,3,1,2,33.33,243577.4,-46746.75,196.33,,37.35,243577.40000000005,-48900.0,15.01,0.25,0.26,0.0145,0.01
