ticker,strategy_type,timeframe,method,trial_number,composite_score,param_lookback,param_pivot_window,param_min_touches,param_tolerance_atr_mult,param_cluster_atr_mult,param_confirmation_bars,param_cooldown_bars,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,breakout_pivot,1D,Bayesian_TPE,0,0.612,175,12,4,0.8500000000000001,0.4,1,4,True,71.58,0.368,0.284,43.01,1,100.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.8500000000000001,""cluster_atr_mult"":0.4,""confirmation_bars"":1,""cooldown_bars"":4,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15.0,1.0,1.0,0.0,100.0,715809.8,0.0,1270.0,,43.01,715809.8000000002,715809.8000000002,71.58,0.37,0.28,0.0111,0.01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,18.0,1.0,1.0,0.0,100.0,715809.8,0.0,1270.0,,43.01,715809.8000000002,715809.8000000002,71.58,0.34,0.25,0.0104,0.01
GAZP,breakout_pivot,1D,Bayesian_TPE,1,-0.01,242,3,5,1.05,0.5,1,6,False,-10.77,0.053,0.039,56.63,46,30.43,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":242,""pivot_window"":3,""min_touches"":5,""tolerance_atr_mult"":1.05,""cluster_atr_mult"":0.5,""confirmation_bars"":1,""cooldown_bars"":6,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,188.0,46.0,14.0,32.0,30.43,106542.26,-49978.63,36.63,,56.63,797214.6000000002,-440094.39,-10.77,0.05,0.04,0.0125,0.0,44.0,13.0,6.0,7.0,46.15,82746.0,-31510.65,17.46,,19.08,316452.27999999997,-56968.15999999988,27.59,0.77,0.89,0.0142,0.06,232.0,58.0,19.0,39.0,32.76,99883.33,-45915.53,33.12,,57.61,797214.6000000002,-440094.39,10.71,0.15,0.11,0.0128,0.0
GAZP,breakout_pivot,1D,Bayesian_TPE,2,0.09,186,5,4,0.4,0.55,2,11,True,25.56,0.209,0.179,59.61,13,23.08,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":186,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":0.55,""confirmation_bars"":2,""cooldown_bars"":11,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,53.0,13.0,3.0,9.0,23.08,644587.88,-186458.48,150.77,,59.61,1185643.25,-1192681.05,25.56,0.21,0.18,0.0144,0.01,11.0,4.0,2.0,2.0,50.0,99463.85,-72311.64,73.75,,24.16,194894.9999999999,-105805.70000000008,5.43,0.25,0.38,0.0138,0.01,64.0,16.0,5.0,11.0,31.25,454168.95,-170023.15,142.94,,62.38,1185643.25,-1192681.05,40.06,0.23,0.21,0.0144,0.01
GAZP,breakout_pivot,1D,Bayesian_TPE,3,0.514,203,8,2,0.8500000000000001,0.45,1,20,True,58.5,0.319,0.329,36.32,43,39.53,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":203,""pivot_window"":8,""min_touches"":2,""tolerance_atr_mult"":0.8500000000000001,""cluster_atr_mult"":0.45,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,124.0,43.0,17.0,26.0,39.53,120240.25,-56119.09,43.0,,36.32,448094.1099999999,-464590.70000000007,58.5,0.32,0.33,0.0118,0.01,23.0,9.0,2.0,7.0,22.22,3341.7,-24048.63,25.33,,24.08,3488.8000000000648,-44296.560000000005,-16.17,-0.51,-0.49,0.0112,-0.02,147.0,51.0,19.0,32.0,37.25,112251.11,-54082.89,41.33,,39.3,448094.1099999999,-464590.70000000007,40.21,0.24,0.24,0.0118,0.01
GAZP,breakout_pivot,1D,Bayesian_TPE,4,-0.009,161,3,4,0.7,0.4,2,3,True,-5.29,0.104,0.088,62.53,24,33.33,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":161,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.7,""cluster_atr_mult"":0.4,""confirmation_bars"":2,""cooldown_bars"":3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,163.0,24.0,8.0,16.0,33.33,217848.9,-112228.32,83.29,,62.53,1096536.6799999997,-735203.6900000001,-5.29,0.1,0.09,0.0152,0.0,38.0,8.0,3.0,5.0,37.5,100395.94,-57809.85,37.62,,26.7,264067.28,-168385.59999999995,1.21,0.15,0.18,0.0144,0.01,201.0,31.0,10.0,21.0,32.26,202683.13,-98530.43,74.68,,62.53,1096536.6799999997,-735203.6900000001,-4.23,0.11,0.1,0.0152,0.0
GAZP,breakout_pivot,1D,Bayesian_TPE,5,-0.0,233,6,4,0.8,0.45,3,16,True,-22.93,0.001,0.001,58.4,12,33.33,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":233,""pivot_window"":6,""min_touches"":4,""tolerance_atr_mult"":0.8,""cluster_atr_mult"":0.45,""confirmation_bars"":3,""cooldown_bars"":16,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,48.0,12.0,4.0,8.0,33.33,271050.09,-164185.55,151.33,,58.4,923460.37,-848691.3600000001,-22.93,0.0,0.0,0.0135,0.0,16.0,6.0,1.0,5.0,16.67,249981.97,-64818.13,40.33,,34.62,249981.96999999983,-95893.41999999993,-7.41,-0.1,-0.12,0.0139,-0.0,64.0,18.0,5.0,13.0,27.78,255375.41,-120251.61,114.33,,61.56,923460.37,-848691.3600000001,-28.64,-0.01,-0.01,0.0136,-0.0
GAZP,breakout_pivot,1D,Bayesian_TPE,6,0.079,220,12,2,0.45,0.3,1,9,False,20.35,0.19,0.165,49.04,38,36.84,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":220,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.3,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,124.0,38.0,14.0,24.0,36.84,123685.51,-63670.22,52.05,,49.04,747603.5700000002,-692686.71,20.35,0.19,0.17,0.0129,0.0,19.0,3.0,2.0,1.0,66.67,21880.89,-42977.04,91.67,,32.29,36844.02000000007,-42977.03999999997,0.08,0.12,0.13,0.0146,0.01,143.0,40.0,15.0,25.0,37.5,122499.04,-63279.84,56.77,,49.96,747603.5700000002,-692686.71,25.55,0.19,0.18,0.0132,0.01
GAZP,breakout_pivot,1D,Bayesian_TPE,7,0.097,171,5,4,0.4,1.05,1,20,True,-46.65,-0.13,-0.112,62.41,19,26.32,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":171,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":1.05,""confirmation_bars"":1,""cooldown_bars"":20,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,64.0,19.0,5.0,14.0,26.32,136798.78,-82176.62,105.47,,62.41,352635.36000000004,-542430.04,-46.65,-0.13,-0.11,0.0145,-0.0,12.0,5.0,1.0,4.0,20.0,30041.04,-33874.75,38.8,,21.09,30041.039999999924,-49830.34000000009,-10.55,-0.34,-0.3,0.0101,-0.02,76.0,24.0,6.0,18.0,25.0,142328.65,-69056.25,94.54,,64.04,352635.36000000004,-542430.04,-38.9,-0.05,-0.05,0.0144,-0.0
GAZP,breakout_pivot,1D,Bayesian_TPE,8,-0.015,101,11,4,0.95,1.0,1,9,False,-7.42,0.123,0.111,60.73,2,50.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":101,""pivot_window"":11,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":1.0,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,6.0,2.0,1.0,1.0,50.0,45778.2,-119933.19,1194.5,,60.73,45778.20000000007,-119933.19000000008,-7.42,0.12,0.11,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,6.0,2.0,1.0,1.0,50.0,45778.2,-119933.19,1194.5,,60.73,45778.20000000007,-119933.19000000008,-7.42,0.11,0.1,0.0167,0.0
GAZP,breakout_pivot,1D,Bayesian_TPE,9,0.21,225,6,2,0.55,0.6000000000000001,3,14,True,38.93,0.25,0.222,46.43,52,44.23,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":225,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.6000000000000001,""confirmation_bars"":3,""cooldown_bars"":14,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,147.0,52.0,23.0,29.0,44.23,96566.39,-63163.45,36.44,,46.43,399014.21,-661980.6000000001,38.93,0.25,0.22,0.0134,0.01,29.0,9.0,5.0,4.0,55.56,53287.95,-52458.66,30.44,,25.95,191673.73000000007,-66378.58999999994,5.66,0.26,0.32,0.0137,0.01,176.0,61.0,28.0,33.0,45.9,90810.3,-64097.55,35.7,,46.43,399014.21,-661980.6000000001,42.75,0.24,0.22,0.0134,0.01
