ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,breakout_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,2.532,"{""lookback"":199,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.75,""cluster_atr_mult"":0.5,""confirmation_bars"":1,""cooldown_bars"":15,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,107,32,16,16,50.0,140679.07,-51939.49,59.0,,30.84,462528.0,-118149.81000000014,141.98,0.55,0.65,0.011,0.02,22,7,1,6,14.29,3181.9,-28033.35,42.43,,35.42,3181.8999999999924,-70389.20000000003,-16.5,-0.33,-0.39,0.0153,-0.01,129,38,17,21,44.74,139938.72,-59376.0,58.32,,35.43,462528.0,-179740.40000000005,113.21,0.42,0.48,0.0117,0.01
GAZP,breakout_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,2.08,"{""lookback"":198,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":1.2,""cluster_atr_mult"":1.1,""confirmation_bars"":2,""cooldown_bars"":19,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,99,31,15,16,48.39,147701.31,-53740.6,64.55,,34.41,942075.4,-109001.64000000028,135.57,0.53,0.64,0.0112,0.02,16,4,1,3,25.0,1695.12,-32912.32,60.0,,32.29,1695.1200000000642,-58745.12000000013,-9.7,-0.17,-0.17,0.0141,-0.01,115,34,16,18,47.06,143135.65,-57764.52,66.85,,34.41,942075.4,-146419.84000000032,125.04,0.44,0.51,0.0117,0.01
GAZP,breakout_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.962,"{""lookback"":181,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":1.1500000000000001,""cluster_atr_mult"":1.1500000000000001,""confirmation_bars"":2,""cooldown_bars"":15,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,105,32,16,16,50.0,115278.79,-47919.67,59.72,,25.92,531438.3,-110841.11000000012,107.77,0.47,0.57,0.0109,0.02,19,5,1,4,20.0,1647.6,-30989.5,62.2,,33.97,1647.6000000000624,-41687.099999999955,-12.23,-0.2,-0.24,0.0155,-0.01,124,36,17,19,47.22,112364.86,-51623.21,62.61,,33.97,531438.3,-110841.11000000012,92.94,0.37,0.44,0.0117,0.01
GAZP,breakout_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.897,"{""lookback"":198,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":1.1500000000000001,""cluster_atr_mult"":1.1,""confirmation_bars"":2,""cooldown_bars"":16,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,102,32,15,17,46.88,142927.33,-50990.8,61.78,,34.41,910654.64,-105364.38000000028,127.71,0.51,0.62,0.0112,0.02,18,4,1,3,25.0,1695.12,-32912.32,60.0,,32.29,1695.1200000000642,-58745.12000000013,-9.7,-0.17,-0.17,0.0141,-0.01,120,35,16,19,45.71,138504.47,-54776.12,64.26,,34.41,910654.64,-141527.6800000003,117.53,0.42,0.49,0.0117,0.01
GAZP,breakout_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.872,"{""lookback"":212,""pivot_window"":12,""min_touches"":2,""tolerance_atr_mult"":1.2,""cluster_atr_mult"":1.1,""confirmation_bars"":2,""cooldown_bars"":15,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,101,31,14,17,45.16,151687.34,-50614.63,62.23,,34.41,908377.96,-104718.24000000028,126.32,0.51,0.61,0.0111,0.02,19,4,1,3,25.0,1695.12,-32912.32,60.0,,32.29,1695.1200000000642,-58745.12000000013,-9.7,-0.17,-0.17,0.0141,-0.01,120,34,15,19,44.12,146356.37,-54383.73,64.74,,34.41,908377.96,-140665.28000000032,116.21,0.42,0.49,0.0117,0.01
VKCO,breakout_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,4.708,"{""lookback"":186,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":0.55,""confirmation_bars"":2,""cooldown_bars"":11,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,5,1,1,0,100.0,404637.4,0.0,93.0,,9.23,404637.4,404637.4,40.46,1.07,0.69,0.0073,0.08,8,1,1,0,100.0,67984.7,0.0,240.0,,30.1,67984.69999999997,67984.69999999997,6.8,0.29,0.39,0.0133,0.01,13,2,2,0,100.0,250071.5,0.0,166.5,,30.1,404637.4,95505.59999999996,50.01,0.65,0.62,0.0099,0.02
VKCO,breakout_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.139,"{""lookback"":176,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":0.7,""cluster_atr_mult"":0.5,""confirmation_bars"":2,""cooldown_bars"":3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,8,2,0,2,0.0,0.0,-279221.7,217.0,,58.56,-77657.39999999995,-480785.99999999994,-55.84,-1.19,-1.15,0.0136,-0.03,4,1,1,0,100.0,179070.0,0.0,277.0,,30.1,179070.0,179070.0,17.91,0.54,0.77,0.0151,0.03,12,3,1,2,33.33,79054.0,-279221.7,237.0,,60.55,79054.0,-480785.99999999994,-47.94,-0.53,-0.58,0.0142,-0.01
VKCO,breakout_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.842,"{""lookback"":138,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.6000000000000001,""confirmation_bars"":1,""cooldown_bars"":12,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,0,1,0.0,0.0,-600148.8,509.0,,69.55,-600148.8,-600148.8,-60.01,-0.98,-1.09,0.0178,-0.03,1,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,3,1,0,1,0.0,0.0,-609478.2,936.0,,69.55,-609478.2,-609478.2,-60.95,-0.53,-0.68,0.0191,-0.01
VKCO,breakout_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.752,"{""lookback"":228,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":0.3,""cluster_atr_mult"":0.75,""confirmation_bars"":2,""cooldown_bars"":19,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1,1,0,1,0.0,0.0,-518364.0,307.0,,63.94,-518364.00000000006,-518364.00000000006,-51.84,-0.93,-0.87,0.0152,-0.02,1,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,0,1,0.0,0.0,-537383.0,735.0,,63.94,-537383.0,-537383.0,-53.74,-0.47,-0.56,0.0176,-0.01
VKCO,breakout_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.752,"{""lookback"":196,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":0.3,""cluster_atr_mult"":0.75,""confirmation_bars"":2,""cooldown_bars"":18,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1,1,0,1,0.0,0.0,-518364.0,307.0,,63.94,-518364.00000000006,-518364.00000000006,-51.84,-0.93,-0.87,0.0152,-0.02,1,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,0,1,0.0,0.0,-537383.0,735.0,,63.94,-537383.0,-537383.0,-53.74,-0.47,-0.56,0.0176,-0.01
