ticker,strategy_type,timeframe,method,trial_number,composite_score,param_ensemble_window,param_min_votes,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,candle_ensemble,1D,Bayesian_TPE,0,-0.0,5,4,0.16,2.7,True,3.54,-0.019,-0.017,170.84,1,100.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":5,""min_votes"":4,""doji_tol"":0.16,""wick_body_ratio"":2.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2.0,1.0,1.0,0.0,100.0,35360.48,0.0,3059.0,,170.84,35360.47999999997,35360.47999999997,3.54,-0.02,-0.02,0.3645,-0.0,2.0,2.0,1.0,1.0,50.0,65116.8,-170057.6,195.0,,30.59,65116.80000000005,-170057.6,-10.49,-0.13,-0.17,0.0164,-0.01,4.0,3.0,1.0,2.0,33.33,52628.94,-164586.87,1178.0,,170.84,52628.94000000004,-191729.1600000001,-27.65,-0.02,-0.02,0.3399,-0.0
GAZP,candle_ensemble,1D,Bayesian_TPE,1,0.0,3,4,0.13,2.9000000000000004,False,0.0,0.0,0.0,0.0,0,0.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":3,""min_votes"":4,""doji_tol"":0.13,""wick_body_ratio"":2.9000000000000004,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
GAZP,candle_ensemble,1D,Bayesian_TPE,2,0.353,9,2,0.06,1.8,False,56.03,0.29,0.276,46.09,81,51.85,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":9,""min_votes"":2,""doji_tol"":0.06,""wick_body_ratio"":1.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,266.0,81.0,42.0,39.0,51.85,67665.12,-58503.95,25.51,,46.09,361571.13000000006,-502665.3299999999,56.03,0.29,0.28,0.0153,0.01,37.0,12.0,5.0,6.0,41.67,107186.9,-36511.63,13.33,,14.34,214287.99999999988,-129361.04999999992,31.69,0.98,1.1,0.012,0.08,303.0,92.0,47.0,44.0,51.09,80337.52,-59865.42,24.39,,46.09,361571.13000000006,-502665.3299999999,114.18,0.37,0.36,0.015,0.01
GAZP,candle_ensemble,1D,Bayesian_TPE,3,0.011,6,2,0.14,1.7,False,-24.75,-0.027,-0.032,60.06,93,51.61,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":6,""min_votes"":2,""doji_tol"":0.14,""wick_body_ratio"":1.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,317.0,93.0,48.0,45.0,51.61,39966.06,-48131.43,22.6,,60.06,165902.08000000007,-220693.20000000004,-24.75,-0.03,-0.03,0.0129,-0.0,45.0,14.0,9.0,4.0,64.29,53454.25,-109814.22,17.29,,29.1,196279.69999999992,-233918.58000000016,4.18,0.22,0.27,0.0147,0.01,362.0,106.0,56.0,49.0,52.83,41451.73,-51195.14,22.32,,60.06,171707.76000000007,-220693.20000000004,-18.73,0.02,0.03,0.0132,0.0
GAZP,candle_ensemble,1D,Bayesian_TPE,4,0.004,6,4,0.06,2.5,True,8.76,0.075,0.059,155.55,1,100.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":6,""min_votes"":4,""doji_tol"":0.06,""wick_body_ratio"":2.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1.0,1.0,1.0,0.0,100.0,87594.12,0.0,2967.0,,155.55,87594.12000000001,87594.12000000001,8.76,0.08,0.06,0.4229,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,1.0,1.0,1.0,0.0,100.0,137902.48,0.0,3442.0,,155.55,137902.48000000004,137902.48000000004,13.79,0.07,0.06,0.3944,0.02
GAZP,candle_ensemble,1D,Bayesian_TPE,5,0.715,7,2,0.04,3.4000000000000004,True,98.89,0.356,0.59,49.26,86,52.33,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":7,""min_votes"":2,""doji_tol"":0.04,""wick_body_ratio"":3.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,150.0,86.0,45.0,41.0,52.33,91863.58,-76705.23,46.06,,49.26,463607.17,-358245.99000000017,98.89,0.36,0.59,0.0187,0.01,29.0,15.0,7.0,8.0,46.67,67910.39,-65750.28,29.8,,34.45,191392.31999999995,-272671.2800000001,-5.06,0.05,0.06,0.0194,0.0,179.0,101.0,52.0,49.0,51.49,98164.22,-85716.57,43.92,,49.26,463607.17,-546990.0100000002,90.44,0.32,0.49,0.0188,0.01
GAZP,candle_ensemble,1D,Bayesian_TPE,6,0.384,5,2,0.15,2.4,False,66.86,0.332,0.406,57.82,71,47.89,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":5,""min_votes"":2,""doji_tol"":0.15,""wick_body_ratio"":2.4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,252.0,71.0,34.0,36.0,47.89,62790.03,-40730.06,29.63,,57.82,388884.0,-150658.19999999995,66.86,0.33,0.41,0.0126,0.01,45.0,11.0,9.0,2.0,81.82,56759.96,-152693.3,17.55,,25.55,208141.43999999992,-232539.57000000015,20.55,0.64,0.66,0.0134,0.03,297.0,82.0,43.0,38.0,52.44,71809.7,-52531.4,28.32,,57.82,388884.0,-403504.7400000003,109.16,0.39,0.47,0.0128,0.01
GAZP,candle_ensemble,1D,Bayesian_TPE,7,0.0,3,4,0.07,2.8,False,0.0,0.0,0.0,0.0,0,0.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":3,""min_votes"":4,""doji_tol"":0.07,""wick_body_ratio"":2.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
GAZP,candle_ensemble,1D,Bayesian_TPE,8,0.053,7,2,0.2,3.1,True,19.12,0.204,0.318,72.93,174,47.13,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":7,""min_votes"":2,""doji_tol"":0.2,""wick_body_ratio"":3.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,314.0,174.0,82.0,92.0,47.13,73759.66,-63664.44,22.95,,72.93,323409.7800000001,-389261.6100000001,19.12,0.2,0.32,0.0199,0.01,57.0,34.0,20.0,13.0,58.82,64444.89,-67633.59,13.24,,41.36,283077.3899999999,-268581.8299999998,40.97,0.86,1.14,0.0185,0.04,371.0,208.0,102.0,105.0,49.04,75414.26,-66154.34,21.49,,72.93,350612.96999999986,-389261.6100000001,74.6,0.29,0.45,0.0198,0.01
GAZP,candle_ensemble,1D,Bayesian_TPE,9,0.704,7,4,0.04,1.9,False,76.04,0.388,0.434,41.88,3,66.67,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""ensemble_window"":7,""min_votes"":4,""doji_tol"":0.04,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,10.0,3.0,2.0,1.0,66.67,611703.44,-462972.24,583.0,,41.88,1175581.42,-462972.2399999999,76.04,0.39,0.43,0.0107,0.01,1.0,1.0,0.0,1.0,0.0,0.0,-7652.33,275.0,,19.92,-7652.329999999991,-7652.329999999991,-0.77,0.06,0.09,0.0113,0.0,11.0,3.0,2.0,1.0,66.67,611703.44,-560036.4,741.33,,41.88,1175581.42,-560036.3999999999,66.34,0.31,0.35,0.0121,0.01
