ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,candle_ensemble,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,6.164,"{""ensemble_window"":9,""min_votes"":4,""doji_tol"":0.05,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,26,6,5,1,83.33,304058.94,-17521.64,192.0,,17.14,1056817.8,-17521.639999999985,150.28,0.7,0.71,0.0083,0.03,2,1,1,0,100.0,28452.48,0.0,279.0,,19.92,28452.480000000032,28452.480000000032,2.85,0.18,0.26,0.0116,0.01,28,7,6,1,85.71,265251.57,-17521.64,204.43,,19.92,1056817.8,-17521.639999999985,157.4,0.61,0.65,0.0088,0.03
GAZP,candle_ensemble,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,6.164,"{""ensemble_window"":9,""min_votes"":4,""doji_tol"":0.05,""wick_body_ratio"":1.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,26,6,5,1,83.33,304058.94,-17521.64,192.0,,17.14,1056817.8,-17521.639999999985,150.28,0.7,0.71,0.0083,0.03,3,1,0,1,0.0,0.0,-256879.84,412.0,,34.37,-256879.8399999999,-256879.8399999999,-25.69,-0.56,-0.75,0.0166,-0.03,29,7,5,2,71.43,304058.94,-330208.46,223.43,,34.37,1056817.8,-642895.2799999998,85.99,0.39,0.39,0.0098,0.01
GAZP,candle_ensemble,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,6.164,"{""ensemble_window"":9,""min_votes"":4,""doji_tol"":0.05,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,26,6,5,1,83.33,304058.94,-17521.64,192.0,,17.14,1056817.8,-17521.639999999985,150.28,0.7,0.71,0.0083,0.03,2,1,1,0,100.0,28452.48,0.0,279.0,,19.92,28452.480000000032,28452.480000000032,2.85,0.18,0.26,0.0116,0.01,28,7,6,1,85.71,265251.57,-17521.64,204.43,,19.92,1056817.8,-17521.639999999985,157.4,0.61,0.65,0.0088,0.03
GAZP,candle_ensemble,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,4.68,"{""ensemble_window"":9,""min_votes"":4,""doji_tol"":0.04,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,22,6,5,1,83.33,250306.46,-17521.64,174.67,,17.14,826390.1800000002,-17521.639999999985,123.4,0.65,0.64,0.0078,0.03,2,1,1,0,100.0,28452.48,0.0,279.0,,19.92,28452.480000000032,28452.480000000032,2.85,0.18,0.26,0.0116,0.01,24,7,6,1,85.71,219183.0,-17521.64,189.57,,19.92,826390.1800000002,-17521.639999999985,129.76,0.56,0.59,0.0084,0.02
GAZP,candle_ensemble,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,4.468,"{""ensemble_window"":8,""min_votes"":4,""doji_tol"":0.06,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,24,5,5,0,100.0,339338.04,0.0,278.4,,25.86,917963.32,137741.00000000015,169.67,0.68,0.75,0.0094,0.02,2,1,0,1,0.0,0.0,-256879.84,412.0,,34.37,-256879.8399999999,-256879.8399999999,-25.69,-0.56,-0.75,0.0166,-0.03,26,6,5,1,83.33,339338.04,-692723.36,300.67,,34.37,917963.32,-692723.3599999999,100.4,0.41,0.45,0.0106,0.01
VKCO,candle_ensemble,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,10.437,"{""ensemble_window"":9,""min_votes"":3,""doji_tol"":0.03,""wick_body_ratio"":2.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,27,10,8,2,80.0,380199.2,-24187.8,109.8,,39.98,960990.8,-46723.60000000022,299.32,1.39,1.68,0.0253,0.09,9,4,2,2,50.0,134192.8,-33958.85,86.75,,20.05,134366.39999999997,-58995.699999999975,20.05,0.58,0.71,0.0151,0.04,36,14,9,5,64.29,413920.07,-159692.88,112.36,,39.98,960990.8,-527896.5999999997,292.68,0.99,1.26,0.0238,0.06
VKCO,candle_ensemble,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,9.073,"{""ensemble_window"":10,""min_votes"":2,""doji_tol"":0.03,""wick_body_ratio"":2.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,59,30,17,13,56.67,302062.53,-164145.8,36.97,,39.76,999900.0,-452448.0,300.12,1.2,1.91,0.0315,0.1,36,20,9,11,45.0,83207.89,-40180.44,22.15,,20.36,201074.39999999997,-111959.09999999996,30.69,0.69,0.99,0.0192,0.06,95,50,27,23,54.0,315002.75,-169453.19,31.68,,39.76,999900.0,-480499.19999999984,460.77,1.07,1.69,0.028,0.08
VKCO,candle_ensemble,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,8.979,"{""ensemble_window"":8,""min_votes"":3,""doji_tol"":0.03,""wick_body_ratio"":3.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,16,6,6,0,100.0,443161.93,0.0,183.0,,39.98,1200739.2,36139.99999999992,265.9,1.35,1.63,0.0245,0.08,7,2,1,1,50.0,1105.2,-7384.0,156.5,,35.93,1105.1999999998325,-7384.0,-0.63,0.13,0.13,0.0175,0.01,23,8,6,2,75.0,414077.13,-162822.8,196.62,,47.54,1200739.2,-302169.60000000015,215.88,0.86,1.09,0.0241,0.04
VKCO,candle_ensemble,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,8.979,"{""ensemble_window"":8,""min_votes"":3,""doji_tol"":0.03,""wick_body_ratio"":3.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,16,6,6,0,100.0,443161.93,0.0,183.0,,39.98,1200739.2,36139.99999999992,265.9,1.35,1.63,0.0245,0.08,7,2,1,1,50.0,1105.2,-7384.0,156.5,,35.93,1105.1999999998325,-7384.0,-0.63,0.13,0.13,0.0175,0.01,23,8,6,2,75.0,414077.13,-162822.8,196.62,,47.54,1200739.2,-302169.60000000015,215.88,0.86,1.09,0.0241,0.04
VKCO,candle_ensemble,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,8.979,"{""ensemble_window"":8,""min_votes"":3,""doji_tol"":0.03,""wick_body_ratio"":3.2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15,6,6,0,100.0,443161.93,0.0,183.0,,39.98,1200739.2,36139.99999999992,265.9,1.35,1.63,0.0245,0.08,7,2,1,1,50.0,1105.2,-7384.0,156.5,,35.93,1105.1999999998325,-7384.0,-0.63,0.13,0.13,0.0175,0.01,22,8,6,2,75.0,414077.13,-162822.8,196.62,,47.54,1200739.2,-302169.60000000015,215.88,0.86,1.09,0.0241,0.04
