ticker,strategy_type,timeframe,method,trial_number,composite_score,param_short_ema,param_long_ema,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,ema,1D,Bayesian_TPE,0,-0.031,40,193,True,-21.76,0.096,0.132,66.79,15,26.67,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":40,""long_ema"":193,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15.0,15.0,4.0,11.0,26.67,111813.48,-60442.2,263.0,,66.79,228879.44,-219697.92,-21.76,0.1,0.13,0.0215,0.0,3.0,3.0,1.0,2.0,33.33,40360.32,-74412.52,143.67,,32.29,40360.32000000006,-117070.79999999996,-10.85,-0.13,-0.17,0.0166,-0.01,18.0,18.0,5.0,13.0,27.78,84870.2,-59500.92,245.56,,66.79,176511.2,-219697.92,-34.92,0.06,0.08,0.0209,0.0
GAZP,ema,1D,Bayesian_TPE,1,0.165,19,73,False,-52.85,-0.222,-0.181,71.25,25,20.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":19,""long_ema"":73,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,51.0,25.0,5.0,20.0,20.0,186984.02,-73172.46,73.84,,71.25,557806.1300000001,-411205.5,-52.85,-0.22,-0.18,0.0131,-0.0,8.0,4.0,0.0,4.0,0.0,0.0,-53537.52,61.75,,43.26,-11369.539999999955,-106902.80000000008,-21.42,-0.62,-0.65,0.0129,-0.02,59.0,29.0,5.0,24.0,17.24,186984.02,-65183.97,72.17,,77.92,557806.1300000001,-411205.5,-62.95,-0.27,-0.23,0.0131,-0.0
GAZP,ema,1D,Bayesian_TPE,2,-0.01,62,156,False,-19.32,0.023,0.019,46.12,7,28.57,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":62,""long_ema"":156,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15.0,7.0,2.0,5.0,28.57,102484.32,-79636.86,264.29,,46.12,168622.15000000002,-118506.24,-19.32,0.02,0.02,0.0138,0.0,3.0,2.0,0.0,2.0,0.0,0.0,-134416.13,75.5,,33.05,-23542.650000000067,-245289.6,-26.88,-0.86,-0.65,0.0125,-0.03,18.0,9.0,2.0,7.0,22.22,102484.32,-87865.54,222.33,,59.35,168622.15000000002,-197880.0,-41.01,-0.08,-0.07,0.0136,-0.0
GAZP,ema,1D,Bayesian_TPE,4,0.091,22,77,False,-44.02,-0.145,-0.119,70.12,22,22.73,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":22,""long_ema"":77,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,45.0,22.0,5.0,17.0,22.73,202718.84,-85518.3,83.91,,70.12,662603.2199999999,-536476.5,-44.02,-0.14,-0.12,0.0131,-0.0,7.0,4.0,0.0,4.0,0.0,0.0,-51619.43,61.5,,41.25,-11480.559999999958,-103916.60000000008,-20.65,-0.59,-0.62,0.0128,-0.02,52.0,26.0,5.0,21.0,19.23,202718.84,-74732.48,80.46,,76.82,662603.2199999999,-536476.5,-55.58,-0.2,-0.17,0.0131,-0.0
GAZP,ema,1D,Bayesian_TPE,5,-0.026,46,93,True,-23.77,0.068,0.085,62.01,27,37.04,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":46,""long_ema"":93,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,27.0,27.0,10.0,17.0,37.04,101841.56,-73890.01,146.15,,62.01,416547.0400000001,-304515.19999999995,-23.77,0.07,0.09,0.0187,0.0,9.0,9.0,2.0,7.0,22.22,9723.47,-57645.73,50.11,,53.91,19251.10000000009,-157194.1800000001,-38.41,-0.9,-1.2,0.0179,-0.03,36.0,36.0,12.0,24.0,33.33,84578.05,-64854.01,122.81,,66.35,416547.0400000001,-304515.19999999995,-54.16,-0.06,-0.08,0.0186,-0.0
GAZP,ema,1D,Bayesian_TPE,6,-0.004,33,105,False,-18.51,0.015,0.012,64.71,17,23.53,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":33,""long_ema"":105,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,35.0,17.0,4.0,13.0,23.53,273894.3,-98513.77,107.47,,64.71,625182.3000000002,-611310.0,-18.51,0.01,0.01,0.0128,0.0,7.0,4.0,0.0,4.0,0.0,0.0,-43482.6,56.5,,38.63,-5384.939999999955,-90284.88000000002,-17.39,-0.47,-0.48,0.0129,-0.02,42.0,21.0,4.0,17.0,19.05,273894.3,-83670.83,97.76,,71.21,625182.3000000002,-611310.0,-32.68,-0.05,-0.04,0.0128,-0.0
GAZP,ema,1D,Bayesian_TPE,7,0.1,24,127,True,-63.39,-0.125,-0.151,79.06,35,22.86,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":24,""long_ema"":127,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,35.0,35.0,8.0,27.0,22.86,76036.51,-46006.28,112.89,,79.06,203034.6000000001,-231937.49999999997,-63.39,-0.13,-0.15,0.0201,-0.0,9.0,9.0,1.0,8.0,11.11,3405.75,-63334.37,50.33,,62.78,3405.75,-202715.09999999992,-50.33,-1.32,-1.71,0.0183,-0.04,44.0,44.0,9.0,35.0,20.45,66721.72,-40659.78,100.59,,85.11,203034.6000000001,-231937.49999999997,-82.26,-0.27,-0.33,0.0199,-0.01
GAZP,ema,1D,Bayesian_TPE,8,0.538,63,75,False,59.18,0.322,0.371,35.41,11,27.27,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":63,""long_ema"":75,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,23.0,11.0,3.0,8.0,27.27,433534.1,-88594.62,170.91,,35.41,767612.3000000002,-208638.47999999984,59.18,0.32,0.37,0.0116,0.01,9.0,5.0,0.0,5.0,0.0,0.0,-46815.15,46.0,,42.44,-5114.760000000021,-112610.90999999992,-23.41,-0.64,-0.62,0.0136,-0.02,32.0,16.0,3.0,13.0,18.75,433534.1,-83183.04,131.88,,51.44,767612.3000000002,-208638.47999999984,21.92,0.18,0.2,0.0119,0.0
GAZP,ema,1D,Bayesian_TPE,9,-0.008,97,172,True,-40.86,0.014,0.019,73.73,15,20.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":97,""long_ema"":172,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15.0,15.0,3.0,12.0,20.0,108526.85,-61177.64,262.6,,73.73,178516.80000000002,-160515.04000000007,-40.86,0.01,0.02,0.0209,0.0,3.0,3.0,0.0,3.0,0.0,0.0,-100541.84,141.0,,35.77,-14912.400000000072,-259175.2,-30.16,-0.71,-0.84,0.0164,-0.03,18.0,18.0,3.0,15.0,16.67,85130.59,-59424.16,245.22,,73.73,133423.75999999998,-160515.04000000007,-63.6,-0.09,-0.12,0.0204,-0.0
GAZP,ema,1D,Bayesian_TPE,11,0.108,5,51,False,-44.88,-0.159,-0.134,66.03,58,18.97,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""short_ema"":5,""long_ema"":51,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,116.0,58.0,11.0,47.0,18.97,102767.56,-33600.04,33.69,,66.03,608294.4,-262472.64,-44.88,-0.16,-0.13,0.0129,-0.0,17.0,8.0,1.0,7.0,12.5,2181.78,-25965.5,21.88,,21.16,2181.780000000022,-70886.39999999985,-17.96,-0.79,-0.66,0.0089,-0.03,133.0,66.0,12.0,54.0,18.18,98560.03,-31271.24,33.59,,68.59,608294.4,-262472.64,-50.59,-0.17,-0.14,0.013,-0.0
