ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,ema,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.538,"{""short_ema"":63,""long_ema"":75,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,23,11,3,8,27.27,433534.1,-88594.62,170.91,,35.41,767612.3000000002,-208638.47999999984,59.18,0.32,0.37,0.0116,0.01,9,5,0,5,0.0,0.0,-46815.15,46.0,,42.44,-5114.760000000021,-112610.90999999992,-23.41,-0.64,-0.62,0.0136,-0.02,32,16,3,13,18.75,433534.1,-83183.04,131.88,,51.44,767612.3000000002,-208638.47999999984,21.92,0.18,0.2,0.0119,0.0
GAZP,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.27,"{""short_ema"":15,""long_ema"":83,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,49,12,37,24.49,76054.87,-45411.52,80.67,,79.66,410164.1399999999,-276228.94,-76.76,-0.28,-0.33,0.0192,-0.01,8,8,1,7,12.5,23350.42,-37868.29,57.62,,45.64,23350.419999999947,-102109.28,-24.17,-0.43,-0.64,0.0184,-0.02,57,57,13,44,22.81,70628.16,-39529.14,77.68,,84.63,410164.1399999999,-276228.94,-82.11,-0.29,-0.36,0.0192,-0.01
GAZP,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.22,"{""short_ema"":13,""long_ema"":83,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,49,11,38,22.45,96425.88,-47211.27,80.69,,79.92,463828.98,-307293.75,-73.33,-0.24,-0.29,0.0192,-0.01,10,10,1,9,10.0,99751.74,-41105.05,46.4,,48.94,99751.73999999996,-97071.52000000002,-27.02,-0.54,-0.75,0.0179,-0.02,59,59,12,47,20.34,90729.05,-40071.52,75.07,,84.61,463828.98,-307293.75,-79.46,-0.26,-0.32,0.019,-0.01
GAZP,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.211,"{""short_ema"":13,""long_ema"":85,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,49,12,37,24.49,90922.55,-49101.22,80.69,,79.92,477170.70000000007,-316102.5,-72.57,-0.23,-0.28,0.0192,-0.01,10,10,1,9,10.0,23350.42,-40615.52,46.1,,52.21,23350.419999999947,-111884.26000000008,-34.22,-0.76,-1.04,0.0179,-0.03,59,59,13,46,22.03,84427.97,-41620.87,75.07,,86.67,477170.70000000007,-316102.5,-81.7,-0.29,-0.35,0.019,-0.01
GAZP,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.198,"{""short_ema"":13,""long_ema"":120,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,45,45,11,34,24.44,74314.82,-44690.86,87.84,,75.57,377483.52,-264489.5,-70.2,-0.21,-0.26,0.0189,-0.01,10,10,2,7,20.0,6299.41,-62088.83,45.9,,57.21,11161.520000000037,-194837.81000000008,-42.2,-1.04,-1.36,0.0178,-0.03,55,55,13,41,23.64,63162.57,-40332.96,80.51,,85.98,377483.52,-264489.5,-83.25,-0.32,-0.39,0.0188,-0.01
VKCO,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,5.805,"{""short_ema"":85,""long_ema"":119,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,525876.33,0.0,363.33,,31.66,821652.0000000002,337272.00000000023,157.76,1.17,1.7,0.0205,0.08,4,4,1,3,25.0,2713.1,-145139.03,66.5,,49.42,2713.099999999905,-198144.0,-43.27,-1.45,-1.47,0.0139,-0.04,7,7,4,3,57.14,388285.88,-369599.17,223.57,,49.43,790257.0000000002,-504640.0,44.43,0.42,0.59,0.0188,0.02
VKCO,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,5.757,"{""short_ema"":78,""long_ema"":148,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,521065.67,0.0,363.33,,31.66,815552.2,329919.7999999999,156.32,1.17,1.71,0.0204,0.08,4,4,1,3,25.0,2940.6,-129395.33,63.75,,43.68,2940.599999999897,-200063.2000000001,-38.52,-1.28,-1.32,0.0134,-0.04,7,7,4,3,57.14,378173.8,-324206.8,223.57,,45.45,757681.9999999999,-501320.00000000023,54.01,0.47,0.67,0.0185,0.02
VKCO,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,5.635,"{""short_ema"":77,""long_ema"":128,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,515781.0,0.0,363.33,,31.66,812034.0000000002,321504.0000000002,154.73,1.15,1.68,0.0205,0.07,4,4,1,3,25.0,3061.5,-120994.4,66.5,,42.94,3061.4999999998927,-152632.79999999987,-35.99,-1.2,-1.29,0.0131,-0.04,7,7,4,3,57.14,381005.15,-304498.67,223.57,,42.94,781006.5000000002,-384145.5999999996,61.05,0.5,0.72,0.0186,0.02
VKCO,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,5.55,"{""short_ema"":93,""long_ema"":112,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,511053.0,0.0,363.33,,31.66,804941.9999999999,314411.99999999994,153.32,1.15,1.68,0.0206,0.07,4,4,1,3,25.0,2975.0,-141690.8,66.25,,49.39,2974.999999999952,-183761.60000000003,-42.21,-1.41,-1.42,0.0139,-0.04,7,7,4,3,57.14,381617.3,-356961.03,223.57,,49.39,790757.9999999999,-462960.3000000001,45.56,0.43,0.6,0.0188,0.02
VKCO,ema,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,5.55,"{""short_ema"":88,""long_ema"":117,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,511053.0,0.0,363.33,,31.66,804941.9999999999,314411.99999999994,153.32,1.15,1.68,0.0206,0.07,4,4,1,3,25.0,2762.5,-141761.63,66.25,,49.43,2762.4999999999036,-183761.60000000003,-42.25,-1.41,-1.42,0.0139,-0.04,7,7,4,3,57.14,381483.47,-357139.47,223.57,,49.43,790757.9999999999,-462960.3000000001,45.45,0.43,0.6,0.0188,0.02
