ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,engulfing,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.163,"{""doji_tol"":0.13,""wick_body_ratio"":2.4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,276,69,30,39,43.48,90553.54,-40551.1,22.94,,43.84,286777.3200000002,-248293.50000000015,113.51,0.45,0.51,0.0123,0.01,61,18,8,10,44.44,70877.85,-52692.63,11.39,,26.9,215693.8699999999,-221951.19999999992,4.01,0.22,0.23,0.0127,0.01,337,87,38,49,43.68,97325.46,-53665.29,20.67,,43.84,429052.25999999983,-441464.09999999986,106.88,0.39,0.43,0.0124,0.01
GAZP,engulfing,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.163,"{""doji_tol"":0.12,""wick_body_ratio"":3.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,276,69,30,39,43.48,90553.54,-40551.1,22.94,,43.84,286777.3200000002,-248293.50000000015,113.51,0.45,0.51,0.0123,0.01,61,18,8,10,44.44,70877.85,-52692.63,11.39,,26.9,215693.8699999999,-221951.19999999992,4.01,0.22,0.23,0.0127,0.01,337,87,38,49,43.68,97325.46,-53665.29,20.67,,43.84,429052.25999999983,-441464.09999999986,106.88,0.39,0.43,0.0124,0.01
GAZP,engulfing,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.163,"{""doji_tol"":0.18,""wick_body_ratio"":1.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,276,69,30,39,43.48,90553.54,-40551.1,22.94,,43.84,286777.3200000002,-248293.50000000015,113.51,0.45,0.51,0.0123,0.01,61,18,8,10,44.44,70877.85,-52692.63,11.39,,26.9,215693.8699999999,-221951.19999999992,4.01,0.22,0.23,0.0127,0.01,337,87,38,49,43.68,97325.46,-53665.29,20.67,,43.84,429052.25999999983,-441464.09999999986,106.88,0.39,0.43,0.0124,0.01
GAZP,engulfing,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.163,"{""doji_tol"":0.14,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,276,69,30,39,43.48,90553.54,-40551.1,22.94,,43.84,286777.3200000002,-248293.50000000015,113.51,0.45,0.51,0.0123,0.01,61,18,8,10,44.44,70877.85,-52692.63,11.39,,26.9,215693.8699999999,-221951.19999999992,4.01,0.22,0.23,0.0127,0.01,337,87,38,49,43.68,97325.46,-53665.29,20.67,,43.84,429052.25999999983,-441464.09999999986,106.88,0.39,0.43,0.0124,0.01
GAZP,engulfing,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.163,"{""doji_tol"":0.16,""wick_body_ratio"":1.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,276,69,30,39,43.48,90553.54,-40551.1,22.94,,43.84,286777.3200000002,-248293.50000000015,113.51,0.45,0.51,0.0123,0.01,61,18,8,10,44.44,70877.85,-52692.63,11.39,,26.9,215693.8699999999,-221951.19999999992,4.01,0.22,0.23,0.0127,0.01,337,87,38,49,43.68,97325.46,-53665.29,20.67,,43.84,429052.25999999983,-441464.09999999986,106.88,0.39,0.43,0.0124,0.01
VKCO,engulfing,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.258,"{""doji_tol"":0.09,""wick_body_ratio"":3.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,92,38,15,23,39.47,193929.37,-82076.62,29.18,,56.81,651996.7999999999,-385658.3999999998,102.12,0.7,1.08,0.0366,0.05,66,35,15,20,42.86,84186.96,-39185.76,13.29,,19.5,292871.69999999995,-139276.79999999987,47.91,0.88,1.3,0.0212,0.1,158,73,30,43,41.1,178297.02,-81192.71,21.7,,56.81,651996.7999999999,-385658.3999999998,185.76,0.7,1.07,0.0319,0.04
VKCO,engulfing,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.258,"{""doji_tol"":0.15,""wick_body_ratio"":1.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,92,38,15,23,39.47,193929.37,-82076.62,29.18,,56.81,651996.7999999999,-385658.3999999998,102.12,0.7,1.08,0.0366,0.05,66,35,15,20,42.86,84186.96,-39185.76,13.29,,19.5,292871.69999999995,-139276.79999999987,47.91,0.88,1.3,0.0212,0.1,158,73,30,43,41.1,178297.02,-81192.71,21.7,,56.81,651996.7999999999,-385658.3999999998,185.76,0.7,1.07,0.0319,0.04
VKCO,engulfing,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.258,"{""doji_tol"":0.18,""wick_body_ratio"":3.3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,92,38,15,23,39.47,193929.37,-82076.62,29.18,,56.81,651996.7999999999,-385658.3999999998,102.12,0.7,1.08,0.0366,0.05,66,35,15,20,42.86,84186.96,-39185.76,13.29,,19.5,292871.69999999995,-139276.79999999987,47.91,0.88,1.3,0.0212,0.1,158,73,30,43,41.1,178297.02,-81192.71,21.7,,56.81,651996.7999999999,-385658.3999999998,185.76,0.7,1.07,0.0319,0.04
VKCO,engulfing,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.258,"{""doji_tol"":0.08,""wick_body_ratio"":2.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,92,38,15,23,39.47,193929.37,-82076.62,29.18,,56.81,651996.7999999999,-385658.3999999998,102.12,0.7,1.08,0.0366,0.05,66,35,15,20,42.86,84186.96,-39185.76,13.29,,19.5,292871.69999999995,-139276.79999999987,47.91,0.88,1.3,0.0212,0.1,158,73,30,43,41.1,178297.02,-81192.71,21.7,,56.81,651996.7999999999,-385658.3999999998,185.76,0.7,1.07,0.0319,0.04
VKCO,engulfing,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.258,"{""doji_tol"":0.14,""wick_body_ratio"":2.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,92,38,15,23,39.47,193929.37,-82076.62,29.18,,56.81,651996.7999999999,-385658.3999999998,102.12,0.7,1.08,0.0366,0.05,66,35,15,20,42.86,84186.96,-39185.76,13.29,,19.5,292871.69999999995,-139276.79999999987,47.91,0.88,1.3,0.0212,0.1,158,73,30,43,41.1,178297.02,-81192.71,21.7,,56.81,651996.7999999999,-385658.3999999998,185.76,0.7,1.07,0.0319,0.04
