ticker,strategy_type,timeframe,method,trial_number,composite_score,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,hammerdoji,1D,Bayesian_TPE,0,0.037,0.09,3.4000000000000004,True,16.27,0.195,0.331,85.53,137,42.34,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.09,""wick_body_ratio"":3.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,319.0,137.0,58.0,77.0,42.34,41558.25,-29190.36,29.2,,85.53,227328.71000000005,-186471.20000000007,16.27,0.19,0.33,0.0196,0.0,47.0,23.0,12.0,11.0,52.17,37116.71,-66072.32,20.35,,54.24,205726.49999999985,-321323.6400000001,-28.14,-0.52,-0.73,0.019,-0.02,366.0,159.0,69.0,88.0,43.4,41564.51,-34799.65,28.14,,85.53,230637.59999999983,-360186.9200000001,-19.44,0.1,0.16,0.0195,0.0
GAZP,hammerdoji,1D,Bayesian_TPE,1,0.068,0.05,1.8,False,-45.45,-0.094,-0.091,63.24,92,45.65,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.05,""wick_body_ratio"":1.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,381.0,92.0,42.0,50.0,45.65,46032.41,-47756.38,24.49,,63.24,311652.0,-374758.6,-45.45,-0.09,-0.09,0.0158,-0.0,35.0,8.0,3.0,5.0,37.5,135161.09,-85453.36,31.12,,37.34,328079.0099999999,-335908.00000000006,-2.18,0.07,0.07,0.0156,0.0,416.0,99.0,44.0,55.0,44.44,48342.04,-47500.64,25.34,,63.24,311652.0,-374758.6,-48.55,-0.08,-0.08,0.0158,-0.0
GAZP,hammerdoji,1D,Bayesian_TPE,2,0.575,0.13,2.9000000000000004,False,74.67,0.338,0.445,43.93,101,51.49,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.13,""wick_body_ratio"":2.9000000000000004,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,445.0,101.0,52.0,49.0,51.49,54693.49,-42802.4,22.64,,43.93,460312.38,-402078.1999999999,74.67,0.34,0.44,0.0139,0.01,59.0,17.0,11.0,6.0,64.71,48080.04,-98055.64,15.88,,43.74,211912.28999999983,-326426.0400000001,-5.95,-0.02,-0.03,0.0159,-0.0,504.0,117.0,62.0,55.0,52.99,59226.14,-56147.57,21.91,,43.93,460312.38,-549741.0800000001,58.39,0.27,0.34,0.0142,0.01
GAZP,hammerdoji,1D,Bayesian_TPE,3,0.048,0.17,1.9,False,-34.22,-0.072,-0.078,51.51,147,50.34,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.17,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,659.0,147.0,74.0,73.0,50.34,33775.04,-38926.03,13.95,,51.51,366829.74,-370392.3000000001,-34.22,-0.07,-0.08,0.0136,-0.0,86.0,24.0,16.0,8.0,66.67,39216.47,-76756.72,10.33,,33.64,194120.4399999999,-328952.68000000017,1.34,0.15,0.16,0.0149,0.01,745.0,171.0,90.0,81.0,52.63,32356.43,-40067.81,13.44,,58.32,366829.74,-370392.3000000001,-33.34,-0.04,-0.04,0.0137,-0.0
GAZP,hammerdoji,1D,Bayesian_TPE,4,0.005,0.08,2.6,True,-42.61,-0.011,-0.019,92.05,151,38.41,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.08,""wick_body_ratio"":2.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,343.0,151.0,58.0,91.0,38.41,23698.07,-19786.49,26.5,,92.05,162196.31999999986,-186285.80000000008,-42.61,-0.01,-0.02,0.0197,-0.0,41.0,25.0,12.0,13.0,48.0,37529.51,-57336.04,18.72,,52.67,205726.49999999985,-321323.6400000001,-29.5,-0.54,-0.84,0.0193,-0.02,384.0,175.0,69.0,104.0,39.43,23232.97,-21278.64,25.58,,92.05,162196.31999999986,-186285.80000000008,-60.99,-0.09,-0.15,0.0196,-0.0
GAZP,hammerdoji,1D,Bayesian_TPE,5,0.049,0.14,1.7,False,-38.62,-0.081,-0.091,63.36,146,49.32,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.14,""wick_body_ratio"":1.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,635.0,146.0,72.0,74.0,49.32,26919.85,-31411.67,15.34,,63.36,193327.50000000003,-257797.50000000003,-38.62,-0.08,-0.09,0.0144,-0.0,76.0,21.0,12.0,9.0,57.14,47147.06,-65419.58,12.81,,39.95,215697.78999999983,-331953.6400000001,-2.3,0.07,0.08,0.016,0.0,711.0,166.0,83.0,83.0,50.0,27120.25,-32202.79,15.16,,63.36,193327.50000000003,-257797.50000000003,-42.19,-0.07,-0.08,0.0147,-0.0
GAZP,hammerdoji,1D,Bayesian_TPE,6,0.639,0.11,3.1,False,85.38,0.363,0.474,48.53,91,49.45,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.11,""wick_body_ratio"":3.1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,390.0,91.0,45.0,46.0,49.45,61639.0,-41738.86,25.08,,48.53,451915.52,-355373.92,85.38,0.36,0.47,0.0139,0.01,57.0,17.0,11.0,6.0,64.71,49319.4,-98147.5,15.47,,43.74,211912.28999999983,-326426.0400000001,-4.64,0.01,0.01,0.0159,0.0,447.0,107.0,55.0,52.0,51.4,66850.85,-57162.83,23.85,,48.53,451915.52,-583416.9200000002,70.43,0.3,0.38,0.0141,0.01
GAZP,hammerdoji,1D,Bayesian_TPE,7,0.18,0.13,1.5,True,-74.32,-0.224,-0.336,92.4,311,51.13,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.13,""wick_body_ratio"":1.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,675.0,311.0,159.0,150.0,51.13,12327.6,-18022.2,12.86,,92.4,162196.31999999986,-140140.20000000013,-74.32,-0.22,-0.34,0.0204,-0.0,81.0,43.0,23.0,20.0,53.49,33635.1,-43768.9,10.88,,45.86,209401.49999999985,-332166.2400000001,-10.18,-0.07,-0.1,0.0189,-0.0,756.0,353.0,181.0,170.0,51.27,11836.18,-17176.32,12.68,,92.4,162196.31999999986,-140140.20000000013,-77.76,-0.21,-0.32,0.0202,-0.0
GAZP,hammerdoji,1D,Bayesian_TPE,8,0.018,0.04,3.4000000000000004,True,-50.0,-0.031,-0.046,86.88,87,34.48,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.04,""wick_body_ratio"":3.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,190.0,87.0,30.0,57.0,34.48,45878.91,-32918.15,45.98,,86.88,192720.0,-198466.13999999996,-50.0,-0.03,-0.05,0.0206,-0.0,20.0,11.0,7.0,4.0,63.64,71089.96,-122567.37,42.55,,46.91,328079.0099999999,-340585.20000000007,0.74,0.16,0.23,0.0189,0.01,210.0,97.0,36.0,61.0,37.11,44397.53,-34633.76,46.13,,86.88,234374.39999999997,-198466.13999999996,-51.43,-0.02,-0.02,0.0204,-0.0
GAZP,hammerdoji,1D,Bayesian_TPE,9,0.514,0.08,1.7,True,-91.71,-0.543,-0.802,96.83,225,41.78,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.08,""wick_body_ratio"":1.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,482.0,225.0,94.0,129.0,41.78,9801.66,-14251.69,17.78,,96.83,162196.31999999986,-146076.68000000002,-91.71,-0.54,-0.8,0.0204,-0.01,53.0,29.0,15.0,14.0,51.72,35359.73,-57272.8,16.14,,50.95,209401.49999999985,-332166.2400000001,-27.14,-0.5,-0.69,0.0189,-0.02,535.0,253.0,108.0,143.0,42.69,8895.76,-13304.23,17.69,,96.83,162196.31999999986,-146076.68000000002,-94.18,-0.55,-0.8,0.0202,-0.01
