ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,hammerdoji,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.921,"{""doji_tol"":0.13,""wick_body_ratio"":3.3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,421,96,52,44,54.17,60962.58,-49217.54,23.85,,43.1,509052.96,-420338.52,100.45,0.39,0.52,0.014,0.01,58,17,11,6,64.71,48080.04,-98055.64,15.88,,43.74,211912.28999999983,-326426.0400000001,-5.95,-0.02,-0.03,0.0159,-0.0,479,112,62,50,55.36,66454.25,-66051.48,22.92,,43.75,509052.96,-630869.2400000001,81.76,0.32,0.41,0.0142,0.01
GAZP,hammerdoji,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.921,"{""doji_tol"":0.13,""wick_body_ratio"":3.3,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,421,96,52,44,54.17,60962.58,-49217.54,23.85,,43.1,509052.96,-420338.52,100.45,0.39,0.52,0.014,0.01,58,17,11,6,64.71,48080.04,-98055.64,15.88,,43.74,211912.28999999983,-326426.0400000001,-5.95,-0.02,-0.03,0.0159,-0.0,479,112,62,50,55.36,66454.25,-66051.48,22.92,,43.75,509052.96,-630869.2400000001,81.76,0.32,0.41,0.0142,0.01
GAZP,hammerdoji,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.808,"{""doji_tol"":0.13,""wick_body_ratio"":3.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,414,94,51,43,54.26,61253.78,-51165.66,24.61,,43.11,502090.02,-423850.11999999994,92.38,0.38,0.49,0.014,0.01,57,16,10,6,62.5,53301.42,-98083.9,17.56,,43.74,211912.28999999983,-326426.0400000001,-5.55,-0.01,-0.01,0.0159,-0.0,471,109,60,49,55.05,67391.33,-67176.67,23.86,,43.75,502090.02,-605442.2800000001,75.18,0.31,0.39,0.0143,0.01
GAZP,hammerdoji,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.808,"{""doji_tol"":0.13,""wick_body_ratio"":3.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,414,94,51,43,54.26,61253.78,-51165.66,24.61,,43.11,502090.02,-423850.11999999994,92.38,0.38,0.49,0.014,0.01,57,16,10,6,62.5,53301.42,-98083.9,17.56,,43.74,211912.28999999983,-326426.0400000001,-5.55,-0.01,-0.01,0.0159,-0.0,471,109,60,49,55.05,67391.33,-67176.67,23.86,,43.75,502090.02,-605442.2800000001,75.18,0.31,0.39,0.0143,0.01
GAZP,hammerdoji,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.808,"{""doji_tol"":0.13,""wick_body_ratio"":3.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,414,94,51,43,54.26,61253.78,-51165.66,24.61,,43.11,502090.02,-423850.11999999994,92.38,0.38,0.49,0.014,0.01,57,16,10,6,62.5,53301.42,-98083.9,17.56,,43.74,211912.28999999983,-326426.0400000001,-5.55,-0.01,-0.01,0.0159,-0.0,471,109,60,49,55.05,67391.33,-67176.67,23.86,,43.75,502090.02,-605442.2800000001,75.18,0.31,0.39,0.0143,0.01
VKCO,hammerdoji,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,23.876,"{""doji_tol"":0.11,""wick_body_ratio"":1.9,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,128,58,35,22,60.34,280226.73,-95053.56,19.14,,53.07,2081489.199999999,-369680.8000000001,771.68,1.64,2.3,0.0344,0.11,61,27,13,13,48.15,36243.34,-61418.94,17.33,,49.01,124579.40000000013,-252120.6,-32.73,-0.54,-0.77,0.0214,-0.02,189,84,47,35,55.95,285421.29,-250857.78,18.87,,53.07,2784619.6,-2112167.6999999997,463.48,1.03,1.46,0.0304,0.06
VKCO,hammerdoji,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,23.035,"{""doji_tol"":0.11,""wick_body_ratio"":2.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,123,56,34,21,60.71,282215.31,-99123.9,19.82,,53.07,2032999.199999999,-369680.8000000001,751.37,1.63,2.28,0.0344,0.11,58,23,10,12,43.48,35196.45,-66846.15,20.35,,58.32,124579.40000000013,-264957.00000000006,-45.02,-0.9,-1.3,0.0215,-0.03,181,78,43,33,55.13,282379.39,-261977.13,20.32,,58.34,2719749.6,-2168296.2000000007,349.71,0.93,1.32,0.0304,0.05
VKCO,hammerdoji,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,7.682,"{""doji_tol"":0.11,""wick_body_ratio"":2.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,97,33,21,11,63.64,257752.23,-166912.91,33.39,,57.64,1092889.9999999995,-486973.7999999999,357.68,1.24,1.73,0.0342,0.07,44,19,8,10,42.11,34313.13,-69140.36,24.63,,55.87,124579.40000000013,-252191.7,-41.69,-0.8,-1.13,0.0214,-0.03,141,51,28,21,54.9,230049.25,-232239.87,30.92,,57.64,1462070.0000000002,-1109160.0,156.43,0.67,0.95,0.0303,0.04
VKCO,hammerdoji,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,6.696,"{""doji_tol"":0.11,""wick_body_ratio"":3.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,92,31,18,12,58.06,273543.12,-140052.75,35.55,,57.64,1013217.1999999996,-451477.79999999993,324.31,1.19,1.66,0.0342,0.07,41,19,8,10,42.11,35897.73,-58716.69,24.63,,47.33,124579.40000000013,-252191.7,-30.0,-0.44,-0.61,0.0223,-0.02,133,49,25,22,51.02,237162.84,-185219.14,32.18,,57.64,1355483.6,-1028248.2,185.43,0.72,1.01,0.0305,0.04
VKCO,hammerdoji,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,6.696,"{""doji_tol"":0.11,""wick_body_ratio"":3.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,92,31,18,12,58.06,273543.12,-140052.75,35.55,,57.64,1013217.1999999996,-451477.79999999993,324.31,1.19,1.66,0.0342,0.07,41,19,8,10,42.11,35897.73,-58716.69,24.63,,47.33,124579.40000000013,-252191.7,-30.0,-0.44,-0.61,0.0223,-0.02,133,49,25,22,51.02,237162.84,-185219.14,32.18,,57.64,1355483.6,-1028248.2,185.43,0.72,1.01,0.0305,0.04
