ticker,strategy_type,timeframe,method,trial_number,composite_score,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,harami,1D,Bayesian_TPE,0,0.043,0.09,3.4000000000000004,True,-86.81,-0.046,-0.055,91.96,9,44.44,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.09,""wick_body_ratio"":3.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,9.0,4.0,5.0,44.44,52198.18,-215368.99,445.44,,91.96,87384.59999999993,-493850.70000000007,-86.81,-0.05,-0.06,0.0353,-0.0,6.0,3.0,1.0,2.0,33.33,3407.75,-15229.55,105.33,,19.92,3407.7499999999413,-18254.59999999989,-2.71,0.01,0.02,0.0124,0.0,36.0,11.0,4.0,7.0,36.36,52198.18,-155301.15,407.64,,91.96,87384.59999999993,-493850.70000000007,-87.83,-0.04,-0.05,0.0336,-0.0
GAZP,harami,1D,Bayesian_TPE,1,0.055,0.05,1.8,False,-52.49,-0.073,-0.075,69.92,5,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.05,""wick_body_ratio"":1.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,5.0,2.0,3.0,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6.0,2.0,1.0,1.0,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36.0,6.0,2.0,4.0,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,Bayesian_TPE,2,0.055,0.13,2.9000000000000004,False,-52.49,-0.073,-0.075,69.92,5,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.13,""wick_body_ratio"":2.9000000000000004,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,5.0,2.0,3.0,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6.0,2.0,1.0,1.0,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36.0,6.0,2.0,4.0,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,Bayesian_TPE,3,0.055,0.17,1.9,False,-52.49,-0.073,-0.075,69.92,5,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.17,""wick_body_ratio"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,5.0,2.0,3.0,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6.0,2.0,1.0,1.0,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36.0,6.0,2.0,4.0,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,Bayesian_TPE,4,0.043,0.08,2.6,True,-86.81,-0.046,-0.055,91.96,9,44.44,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.08,""wick_body_ratio"":2.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,9.0,4.0,5.0,44.44,52198.18,-215368.99,445.44,,91.96,87384.59999999993,-493850.70000000007,-86.81,-0.05,-0.06,0.0353,-0.0,6.0,3.0,1.0,2.0,33.33,3407.75,-15229.55,105.33,,19.92,3407.7499999999413,-18254.59999999989,-2.71,0.01,0.02,0.0124,0.0,36.0,11.0,4.0,7.0,36.36,52198.18,-155301.15,407.64,,91.96,87384.59999999993,-493850.70000000007,-87.83,-0.04,-0.05,0.0336,-0.0
GAZP,harami,1D,Bayesian_TPE,5,0.055,0.14,1.7,False,-52.49,-0.073,-0.075,69.92,5,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.14,""wick_body_ratio"":1.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,5.0,2.0,3.0,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6.0,2.0,1.0,1.0,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36.0,6.0,2.0,4.0,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,Bayesian_TPE,6,0.055,0.11,3.1,False,-52.49,-0.073,-0.075,69.92,5,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.11,""wick_body_ratio"":3.1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,5.0,2.0,3.0,40.0,104602.92,-244699.72,592.2,,69.92,127396.35999999991,-621034.3800000001,-52.49,-0.07,-0.07,0.0188,-0.0,6.0,2.0,1.0,1.0,50.0,3407.75,-18478.8,149.5,,19.92,3407.7499999999413,-18478.799999999883,-1.51,0.05,0.07,0.0121,0.0,36.0,6.0,2.0,4.0,33.33,104602.92,-191422.6,569.83,,69.92,127396.35999999991,-621034.3800000001,-55.65,-0.06,-0.07,0.0188,-0.0
GAZP,harami,1D,Bayesian_TPE,7,0.043,0.13,1.5,True,-86.81,-0.046,-0.055,91.96,9,44.44,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.13,""wick_body_ratio"":1.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,9.0,4.0,5.0,44.44,52198.18,-215368.99,445.44,,91.96,87384.59999999993,-493850.70000000007,-86.81,-0.05,-0.06,0.0353,-0.0,6.0,3.0,1.0,2.0,33.33,3407.75,-15229.55,105.33,,19.92,3407.7499999999413,-18254.59999999989,-2.71,0.01,0.02,0.0124,0.0,36.0,11.0,4.0,7.0,36.36,52198.18,-155301.15,407.64,,91.96,87384.59999999993,-493850.70000000007,-87.83,-0.04,-0.05,0.0336,-0.0
GAZP,harami,1D,Bayesian_TPE,8,0.043,0.04,3.4000000000000004,True,-86.81,-0.046,-0.055,91.96,9,44.44,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.04,""wick_body_ratio"":3.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,9.0,4.0,5.0,44.44,52198.18,-215368.99,445.44,,91.96,87384.59999999993,-493850.70000000007,-86.81,-0.05,-0.06,0.0353,-0.0,6.0,3.0,1.0,2.0,33.33,3407.75,-15229.55,105.33,,19.92,3407.7499999999413,-18254.59999999989,-2.71,0.01,0.02,0.0124,0.0,36.0,11.0,4.0,7.0,36.36,52198.18,-155301.15,407.64,,91.96,87384.59999999993,-493850.70000000007,-87.83,-0.04,-0.05,0.0336,-0.0
GAZP,harami,1D,Bayesian_TPE,9,0.043,0.08,1.7,True,-86.81,-0.046,-0.055,91.96,9,44.44,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""doji_tol"":0.08,""wick_body_ratio"":1.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30.0,9.0,4.0,5.0,44.44,52198.18,-215368.99,445.44,,91.96,87384.59999999993,-493850.70000000007,-86.81,-0.05,-0.06,0.0353,-0.0,6.0,3.0,1.0,2.0,33.33,3407.75,-15229.55,105.33,,19.92,3407.7499999999413,-18254.59999999989,-2.71,0.01,0.02,0.0124,0.0,36.0,11.0,4.0,7.0,36.36,52198.18,-155301.15,407.64,,91.96,87384.59999999993,-493850.70000000007,-87.83,-0.04,-0.05,0.0336,-0.0
