ticker,strategy_type,timeframe,method,trial_number,composite_score,param_macd_fast,param_macd_slow,param_macd_signal,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,macd,1D,Bayesian_TPE,0,2.391,10,49,13,True,255.93,0.518,0.84,55.44,182,34.62,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":10,""macd_slow"":49,""macd_signal"":13,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,182.0,182.0,63.0,119.0,34.62,106309.59,-34774.81,21.87,,55.44,623120.2200000001,-294305.3999999999,255.93,0.52,0.84,0.02,0.02,25.0,25.0,10.0,15.0,40.0,57498.09,-34852.43,16.48,,30.45,191832.76,-67387.5,5.22,0.25,0.35,0.0154,0.01,207.0,207.0,73.0,134.0,35.27,140629.53,-48538.86,21.53,,55.44,1323748.8699999996,-304972.5,376.17,0.55,0.88,0.0198,0.02
GAZP,macd,1D,Bayesian_TPE,1,0.917,7,21,14,False,94.5,0.4,0.519,41.22,124,36.29,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":7,""macd_slow"":21,""macd_signal"":14,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,248.0,124.0,45.0,79.0,36.29,69792.92,-27793.19,16.37,,41.22,358651.0,-147359.84999999995,94.5,0.4,0.52,0.0127,0.01,33.0,16.0,8.0,8.0,50.0,34106.75,-26194.07,12.06,,19.47,78262.79999999996,-50528.23999999998,6.33,0.28,0.31,0.0129,0.02,281.0,140.0,53.0,87.0,37.86,69671.66,-29962.73,16.08,,41.22,358651.0,-147359.84999999995,108.58,0.39,0.49,0.0128,0.01
GAZP,macd,1D,Bayesian_TPE,2,1.443,5,50,14,True,182.36,0.458,0.748,57.9,230,31.3,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":5,""macd_slow"":50,""macd_signal"":14,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,230.0,230.0,72.0,158.0,31.3,89682.84,-29326.19,17.32,,57.9,548440.3600000001,-213929.41000000035,182.36,0.46,0.75,0.0193,0.02,29.0,29.0,11.0,18.0,37.93,68103.89,-23157.02,14.31,,17.27,204351.84000000008,-40952.80000000005,33.23,0.83,1.28,0.0155,0.07,259.0,259.0,83.0,176.0,32.05,120158.41,-34911.08,17.21,,57.9,1084306.32,-213929.41000000035,382.88,0.56,0.92,0.0191,0.02
GAZP,macd,1D,Bayesian_TPE,3,0.136,7,29,10,True,40.49,0.25,0.406,74.33,268,32.84,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":7,""macd_slow"":29,""macd_signal"":10,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,268.0,268.0,88.0,180.0,32.84,46375.46,-20422.73,14.86,,74.33,287851.85000000003,-108062.25000000016,40.49,0.25,0.41,0.0192,0.01,31.0,31.0,16.0,15.0,51.61,51541.42,-36585.98,14.42,,19.39,183952.75999999995,-101077.44,27.59,0.67,1.01,0.0176,0.06,299.0,299.0,104.0,195.0,34.78,50593.4,-22839.72,14.91,,74.33,287851.85000000003,-143217.99,80.8,0.3,0.49,0.019,0.01
GAZP,macd,1D,Bayesian_TPE,4,1.493,14,24,8,False,116.28,0.447,0.561,34.81,115,35.65,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":14,""macd_slow"":24,""macd_signal"":8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,230.0,115.0,41.0,74.0,35.65,85063.37,-31415.72,17.77,,34.81,382392.3200000001,-183905.69999999995,116.28,0.45,0.56,0.0128,0.02,33.0,16.0,7.0,9.0,43.75,29560.2,-20250.12,12.31,,18.77,77790.89999999997,-47018.43999999998,2.47,0.17,0.19,0.013,0.01,263.0,131.0,48.0,83.0,36.64,83587.86,-32898.71,17.33,,34.81,382392.3200000001,-183905.69999999995,128.16,0.42,0.52,0.0129,0.02
GAZP,macd,1D,Bayesian_TPE,5,0.356,17,26,10,True,75.0,0.315,0.483,66.37,184,36.96,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":17,""macd_slow"":26,""macd_signal"":10,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,184.0,184.0,68.0,116.0,36.96,59164.68,-28217.06,21.64,,66.37,295526.00000000006,-142290.0,75.0,0.31,0.48,0.0201,0.01,23.0,23.0,10.0,13.0,43.48,67337.79,-38595.53,18.0,,29.52,226137.39999999985,-72832.5,17.16,0.52,0.74,0.0155,0.03,207.0,207.0,78.0,129.0,37.68,77269.9,-34099.0,21.53,,66.37,668999.9399999998,-163387.5,162.83,0.4,0.61,0.0199,0.01
GAZP,macd,1D,Bayesian_TPE,6,0.46,14,25,5,False,63.6,0.323,0.419,44.67,138,34.78,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":14,""macd_slow"":25,""macd_signal"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,276.0,138.0,48.0,90.0,34.78,61961.8,-25979.94,14.67,,44.67,331331.8700000001,-180722.50000000003,63.6,0.32,0.42,0.0125,0.01,39.0,19.0,8.0,11.0,42.11,41227.93,-21179.21,10.32,,18.88,95787.50999999998,-49555.79999999998,9.69,0.38,0.42,0.013,0.03,315.0,157.0,56.0,101.0,35.67,63078.38,-26956.42,14.32,,44.67,331331.8700000001,-180722.50000000003,80.98,0.33,0.42,0.0127,0.01
GAZP,macd,1D,Bayesian_TPE,7,0.595,17,29,6,True,107.63,0.366,0.592,66.22,230,33.48,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":17,""macd_slow"":29,""macd_signal"":6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,230.0,230.0,77.0,153.0,33.48,62254.43,-24295.7,17.32,,66.22,378532.5200000001,-133914.02999999977,107.63,0.37,0.59,0.0193,0.01,33.0,33.0,11.0,22.0,33.33,88302.09,-29347.92,13.3,,22.54,208491.2799999999,-86447.88,32.57,0.76,1.24,0.0174,0.06,263.0,263.0,88.0,175.0,33.46,78692.27,-29116.43,16.95,,66.22,445035.6799999999,-184511.7,182.95,0.42,0.68,0.0192,0.01
GAZP,macd,1D,Bayesian_TPE,8,2.092,6,35,5,True,245.92,0.52,0.846,61.12,356,36.24,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":6,""macd_slow"":35,""macd_signal"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,356.0,356.0,129.0,227.0,36.24,66166.55,-26767.7,11.24,,61.12,563895.0999999999,-233362.42000000025,245.92,0.52,0.85,0.0192,0.02,49.0,49.0,19.0,30.0,38.78,67318.22,-28423.52,9.49,,21.43,262044.11999999997,-68179.19999999988,42.63,0.9,1.5,0.018,0.08,405.0,405.0,148.0,257.0,36.54,83922.44,-34335.42,11.05,,61.12,844429.4399999998,-233362.42000000025,359.63,0.55,0.89,0.0191,0.02
GAZP,macd,1D,Bayesian_TPE,9,0.45,15,29,10,True,88.12,0.335,0.516,65.64,190,36.84,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""macd_fast"":15,""macd_slow"":29,""macd_signal"":10,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,190.0,190.0,70.0,120.0,36.84,63466.67,-29678.71,20.96,,65.64,321299.04,-159495.0,88.12,0.34,0.52,0.0201,0.01,25.0,25.0,11.0,14.0,44.0,91065.13,-42302.77,17.56,,25.05,261563.01999999984,-71610.82,40.95,0.9,1.41,0.0173,0.06,215.0,215.0,81.0,134.0,37.67,79413.12,-35124.97,20.73,,65.64,505837.7199999997,-159495.0,172.57,0.41,0.63,0.0198,0.01
