ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,macd,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,3.129,"{""macd_fast"":12,""macd_slow"":46,""macd_signal"":8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,204,204,70,134,34.31,110538.71,-36896.7,19.52,,48.75,763920.2,-254314.03999999975,279.36,0.55,0.89,0.0193,0.02,27,27,9,18,33.33,67416.69,-26214.68,15.33,,25.4,203283.4,-77703.00000000001,13.49,0.44,0.65,0.0155,0.03,231,231,79,152,34.2,148830.11,-47623.85,19.29,,48.75,1450212.3299999996,-377891.20000000007,451.88,0.59,0.97,0.0192,0.02
GAZP,macd,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,3.124,"{""macd_fast"":9,""macd_slow"":45,""macd_signal"":12,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,190,190,71,119,37.37,107587.11,-41263.79,20.96,,47.16,765419.98,-245442.61999999976,272.83,0.54,0.88,0.0194,0.02,25,25,12,13,48.0,56033.71,-36644.18,16.56,,24.83,226137.39999999985,-81522.30000000002,19.6,0.57,0.85,0.0155,0.04,215,215,83,132,38.6,143411.79,-54447.98,20.73,,47.16,1425276.2299999995,-389621.28,471.6,0.6,0.98,0.0192,0.02
GAZP,macd,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,2.998,"{""macd_fast"":7,""macd_slow"":45,""macd_signal"":13,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,214,214,70,144,32.71,111601.12,-34623.39,18.61,,51.66,750277.0399999999,-236889.4499999996,282.63,0.55,0.89,0.0193,0.02,29,29,9,20,31.03,67285.01,-25998.51,14.28,,28.16,203283.4,-77703.00000000001,8.56,0.33,0.49,0.0156,0.02,243,243,79,164,32.51,150136.72,-45952.43,18.34,,51.66,1462731.2699999996,-381148.5800000001,432.46,0.58,0.95,0.0192,0.02
GAZP,macd,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,2.546,"{""macd_fast"":7,""macd_slow"":46,""macd_signal"":13,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,214,214,70,144,32.71,107967.25,-34852.83,18.61,,52.35,712637.3999999999,-232176.0899999996,253.89,0.52,0.85,0.0193,0.02,27,27,9,18,33.33,66907.0,-26375.33,15.33,,25.4,203283.4,-77703.00000000001,12.74,0.42,0.63,0.0155,0.03,241,241,79,162,32.78,142872.21,-44275.08,18.49,,52.35,1352859.7599999995,-352525.78,411.43,0.57,0.93,0.0192,0.02
GAZP,macd,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,2.546,"{""macd_fast"":7,""macd_slow"":46,""macd_signal"":13,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,214,214,70,144,32.71,107967.25,-34852.83,18.61,,52.35,712637.3999999999,-232176.0899999996,253.89,0.52,0.85,0.0193,0.02,27,27,9,18,33.33,66907.0,-26375.33,15.33,,25.4,203283.4,-77703.00000000001,12.74,0.42,0.63,0.0155,0.03,241,241,79,162,32.78,142872.21,-44275.08,18.49,,52.35,1352859.7599999995,-352525.78,411.43,0.57,0.93,0.0192,0.02
VKCO,macd,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.625,"{""macd_fast"":10,""macd_slow"":37,""macd_signal"":12,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,54,27,7,20,25.93,62822.31,-54849.42,19.56,,74.82,111044.00000000004,-311082.19999999995,-65.72,-0.71,-0.68,0.0254,-0.02,26,13,5,8,38.46,63307.14,-36708.9,16.0,,18.43,198279.89999999997,-70431.0,2.29,0.17,0.2,0.0136,0.01,80,40,12,28,30.0,48405.48,-43031.89,19.2,,74.82,111044.00000000004,-311082.19999999995,-62.4,-0.43,-0.42,0.0223,-0.01
VKCO,macd,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.613,"{""macd_fast"":14,""macd_slow"":39,""macd_signal"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,54,27,7,20,25.93,63091.51,-54762.68,19.81,,74.82,108295.0,-311082.19999999995,-65.36,-0.7,-0.68,0.0254,-0.02,24,12,4,8,33.33,76100.25,-31340.53,17.25,,17.69,199754.09999999995,-61480.59999999985,5.37,0.25,0.29,0.0135,0.02,78,39,11,28,28.21,51046.6,-42315.84,19.92,,74.82,108295.0,-311082.19999999995,-62.33,-0.43,-0.41,0.0223,-0.01
VKCO,macd,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.613,"{""macd_fast"":10,""macd_slow"":41,""macd_signal"":12,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,54,27,7,20,25.93,63091.51,-54762.68,19.81,,74.82,108295.0,-311082.19999999995,-65.36,-0.7,-0.68,0.0254,-0.02,26,13,5,8,38.46,64551.99,-32614.72,15.92,,17.69,199073.69999999995,-61261.59999999986,6.18,0.28,0.32,0.0136,0.02,80,40,12,28,30.0,47340.18,-42446.57,19.43,,74.82,108295.0,-311082.19999999995,-62.04,-0.42,-0.41,0.0223,-0.01
VKCO,macd,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.613,"{""macd_fast"":10,""macd_slow"":41,""macd_signal"":12,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,54,27,7,20,25.93,63091.51,-54762.68,19.81,,74.82,108295.0,-311082.19999999995,-65.36,-0.7,-0.68,0.0254,-0.02,26,13,5,8,38.46,64551.99,-32614.72,15.92,,17.69,199073.69999999995,-61261.59999999986,6.18,0.28,0.32,0.0136,0.02,80,40,12,28,30.0,47340.18,-42446.57,19.43,,74.82,108295.0,-311082.19999999995,-62.04,-0.42,-0.41,0.0223,-0.01
VKCO,macd,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.611,"{""macd_fast"":10,""macd_slow"":36,""macd_signal"":12,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,56,28,7,21,25.0,65830.37,-53046.08,19.07,,74.82,111044.00000000004,-311082.19999999995,-65.32,-0.7,-0.68,0.0254,-0.02,28,14,6,8,42.86,50779.76,-36389.61,14.79,,18.43,198279.89999999997,-70431.0,1.36,0.14,0.17,0.0136,0.01,84,42,13,29,30.95,46089.1,-42145.54,18.4,,74.82,111044.00000000004,-311082.19999999995,-62.31,-0.43,-0.42,0.0223,-0.01
