ticker,strategy_type,timeframe,method,trial_number,composite_score,param_obv_ema_window,param_confirmation_bars,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,obv,1D,Bayesian_TPE,0,0.219,14,5,True,37.89,0.251,0.334,43.46,279,40.14,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":14,""confirmation_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1321.0,279.0,112.0,167.0,40.14,45447.25,-28210.58,14.37,,43.46,323105.9999999999,-368557.1999999999,37.89,0.25,0.33,0.0196,0.01,194.0,43.0,16.0,27.0,37.21,34535.06,-24318.64,9.58,,33.75,175644.83999999994,-83323.25000000013,-10.4,-0.16,-0.24,0.0151,-0.01,1515.0,322.0,128.0,194.0,39.75,50259.64,-30218.52,13.93,,43.46,512824.5799999999,-368557.1999999999,57.08,0.27,0.37,0.0193,0.01
GAZP,obv,1D,Bayesian_TPE,1,0.641,9,1,False,68.48,0.33,0.304,35.23,310,32.26,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":9,""confirmation_bars"":1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,619.0,310.0,100.0,210.0,32.26,43780.48,-17587.13,6.38,,35.23,482138.87999999983,-548866.9999999999,68.48,0.33,0.3,0.0138,0.01,91.0,45.0,13.0,32.0,28.89,50642.65,-17049.16,4.4,,21.75,336928.68,-102729.0,11.28,0.42,0.46,0.0128,0.02,710.0,355.0,113.0,242.0,31.83,46868.2,-18799.97,6.16,,35.23,528856.0199999999,-548866.9999999999,74.65,0.31,0.29,0.0137,0.01
GAZP,obv,1D,Bayesian_TPE,2,1.531,20,4,False,117.23,0.46,0.553,35.23,136,31.62,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":20,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,961.0,136.0,43.0,93.0,31.62,85217.82,-26796.44,12.26,,35.23,420051.3000000001,-117318.2399999999,117.23,0.46,0.55,0.0122,0.02,150.0,21.0,5.0,16.0,23.81,24639.11,-16116.04,5.43,,14.5,64610.87999999997,-42312.409999999974,-13.47,-0.67,-0.59,0.0076,-0.04,1111.0,157.0,48.0,109.0,30.57,96415.37,-29468.03,11.8,,35.23,837766.1200000001,-118136.29999999992,141.59,0.46,0.55,0.0122,0.02
GAZP,obv,1D,Bayesian_TPE,3,0.182,26,2,False,33.88,0.234,0.21,43.49,130,32.31,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":26,""confirmation_bars"":2,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,479.0,130.0,42.0,88.0,32.31,57951.24,-23808.89,14.38,,43.49,420629.15999999986,-202246.20000000004,33.88,0.23,0.21,0.0139,0.01,77.0,20.0,8.0,12.0,40.0,16204.74,-20033.26,6.65,,13.8,44521.19999999995,-74030.0,-11.08,-0.47,-0.34,0.0084,-0.03,556.0,150.0,50.0,100.0,33.33,60140.54,-25020.48,13.83,,43.49,488118.23999999993,-202246.20000000004,50.5,0.26,0.24,0.0137,0.01
GAZP,obv,1D,Bayesian_TPE,4,-0.028,12,3,True,-25.13,0.071,0.096,64.59,389,35.99,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":12,""confirmation_bars"":3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1074.0,389.0,140.0,249.0,35.99,27559.48,-16504.5,10.31,,64.59,217366.4999999999,-218734.99999999997,-25.13,0.07,0.1,0.0196,0.0,158.0,57.0,17.0,40.0,29.82,38451.62,-19463.79,7.3,,32.9,185046.53,-151205.94999999984,-12.49,-0.22,-0.31,0.0152,-0.01,1232.0,446.0,157.0,289.0,35.2,29681.78,-16745.87,10.05,,64.59,264046.79999999993,-218734.99999999997,-17.95,0.1,0.14,0.0193,0.0
GAZP,obv,1D,Bayesian_TPE,5,0.349,20,1,False,51.73,0.284,0.268,42.1,191,29.84,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":20,""confirmation_bars"":1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,381.0,191.0,57.0,134.0,29.84,67988.55,-25059.82,10.32,,42.1,435183.00000000006,-644648.3999999999,51.73,0.28,0.27,0.0142,0.01,57.0,28.0,7.0,21.0,25.0,28556.45,-17109.3,5.32,,20.21,64442.15999999997,-77077.0,-15.94,-0.64,-0.51,0.0093,-0.03,438.0,219.0,64.0,155.0,29.22,73405.59,-26185.25,10.0,,42.1,585173.3200000001,-644648.3999999999,63.92,0.29,0.28,0.014,0.01
GAZP,obv,1D,Bayesian_TPE,6,0.432,16,4,False,58.51,0.307,0.256,41.56,147,33.33,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":16,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1067.0,147.0,49.0,98.0,33.33,73428.59,-30743.58,11.13,,41.56,463895.9999999998,-659001.2,58.51,0.31,0.26,0.0134,0.01,154.0,20.0,5.0,15.0,25.0,26754.21,-17506.05,6.0,,15.52,63491.99999999997,-38064.08000000003,-12.88,-0.62,-0.55,0.0077,-0.03,1221.0,167.0,54.0,113.0,32.34,80013.9,-31393.03,10.9,,41.56,609638.3999999999,-659001.2,77.33,0.32,0.28,0.0132,0.01
GAZP,obv,1D,Bayesian_TPE,7,0.287,20,1,True,59.36,0.292,0.409,60.38,381,28.61,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":20,""confirmation_bars"":1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,381.0,381.0,109.0,272.0,28.61,55311.65,-19983.04,10.52,,60.38,413226.79999999993,-502998.79999999993,59.36,0.29,0.41,0.0195,0.01,57.0,57.0,18.0,39.0,31.58,34967.06,-18078.57,7.11,,31.11,152469.96000000002,-90211.0,-7.57,-0.08,-0.11,0.0149,-0.0,438.0,438.0,127.0,311.0,29.0,61202.48,-22120.62,10.24,,60.38,614591.14,-502998.79999999993,89.32,0.32,0.45,0.0192,0.01
GAZP,obv,1D,Bayesian_TPE,8,0.231,6,5,True,58.55,0.298,0.347,75.46,373,43.43,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":6,""confirmation_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1988.0,373.0,162.0,211.0,43.43,43596.92,-30697.58,10.75,,75.46,340298.0000000001,-356549.05000000005,58.55,0.3,0.35,0.0203,0.01,280.0,55.0,23.0,32.0,41.82,45377.61,-29672.72,8.45,,26.93,224570.29999999996,-132173.30999999985,9.42,0.33,0.53,0.0184,0.02,2268.0,428.0,185.0,243.0,43.22,45923.07,-32426.66,10.48,,75.46,340298.0000000001,-356549.05000000005,61.61,0.28,0.34,0.0201,0.01
GAZP,obv,1D,Bayesian_TPE,9,0.238,12,1,True,49.78,0.275,0.37,57.62,523,30.4,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""obv_ema_window"":12,""confirmation_bars"":1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,523.0,523.0,159.0,364.0,30.4,39317.01,-15806.49,7.67,,57.62,385552.7499999999,-367564.99999999994,49.78,0.28,0.37,0.0196,0.01,75.0,75.0,20.0,55.0,26.67,35548.32,-15005.17,5.55,,28.17,183446.52000000005,-84172.0,-11.43,-0.19,-0.25,0.0152,-0.01,598.0,598.0,179.0,419.0,29.93,44485.02,-17426.25,7.5,,57.62,528234.4499999998,-367564.99999999994,66.12,0.29,0.39,0.0193,0.01
