ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,8.235,"{""obv_ema_window"":17,""confirmation_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1185,257,101,156,39.3,135432.36,-55423.83,15.6,,41.8,1302669.56,-625999.2199999997,503.26,0.68,1.16,0.0193,0.03,175,37,16,21,43.24,33775.42,-27817.6,11.08,,28.9,151781.54999999993,-78556.27000000012,-4.38,0.0,0.0,0.0149,0.0,1360,294,117,177,39.8,167348.75,-74417.16,15.25,,41.8,2320179.1999999993,-625999.2199999997,640.8,0.67,1.14,0.0191,0.03
GAZP,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,8.235,"{""obv_ema_window"":17,""confirmation_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1185,257,101,156,39.3,135432.36,-55423.83,15.6,,41.8,1302669.56,-625999.2199999997,503.26,0.68,1.16,0.0193,0.03,175,37,16,21,43.24,33775.42,-27817.6,11.08,,28.9,151781.54999999993,-78556.27000000012,-4.38,0.0,0.0,0.0149,0.0,1360,294,117,177,39.8,167348.75,-74417.16,15.25,,41.8,2320179.1999999993,-625999.2199999997,640.8,0.67,1.14,0.0191,0.03
GAZP,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,8.235,"{""obv_ema_window"":17,""confirmation_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1185,257,101,156,39.3,135432.36,-55423.83,15.6,,41.8,1302669.56,-625999.2199999997,503.26,0.68,1.16,0.0193,0.03,175,37,16,21,43.24,33775.42,-27817.6,11.08,,28.9,151781.54999999993,-78556.27000000012,-4.38,0.0,0.0,0.0149,0.0,1360,294,117,177,39.8,167348.75,-74417.16,15.25,,41.8,2320179.1999999993,-625999.2199999997,640.8,0.67,1.14,0.0191,0.03
GAZP,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,5.122,"{""obv_ema_window"":18,""confirmation_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1154,255,94,161,36.86,114890.04,-44430.29,15.72,,43.14,1080658.14,-519315.9399999998,364.64,0.61,1.03,0.0193,0.03,174,35,14,21,40.0,34707.28,-25134.52,11.71,,28.56,151781.54999999993,-76811.75999999997,-4.19,0.01,0.01,0.0151,0.0,1328,290,108,182,37.24,139069.0,-56608.94,15.46,,43.14,1787033.5999999996,-519315.9399999998,471.66,0.6,1.02,0.0191,0.03
GAZP,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,5.122,"{""obv_ema_window"":18,""confirmation_bars"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1154,255,94,161,36.86,114890.04,-44430.29,15.72,,43.14,1080658.14,-519315.9399999998,364.64,0.61,1.03,0.0193,0.03,174,35,14,21,40.0,34707.28,-25134.52,11.71,,28.56,151781.54999999993,-76811.75999999997,-4.19,0.01,0.01,0.0151,0.0,1328,290,108,182,37.24,139069.0,-56608.94,15.46,,43.14,1787033.5999999996,-519315.9399999998,471.66,0.6,1.02,0.0191,0.03
VKCO,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,16.221,"{""obv_ema_window"":11,""confirmation_bars"":2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,203,105,42,63,40.0,176579.19,-50790.22,10.58,,35.56,695138.3999999999,-242151.4000000006,421.65,1.37,2.05,0.0322,0.12,128,64,21,43,32.81,32825.25,-23403.37,7.27,,36.68,170336.10000000003,-133920.0,-31.7,-0.55,-0.72,0.0205,-0.03,331,169,63,106,37.28,168621.12,-77529.6,9.38,,39.53,849208.7000000002,-667920.0,240.5,0.82,1.19,0.0287,0.06
VKCO,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,16.221,"{""obv_ema_window"":11,""confirmation_bars"":2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,203,105,42,63,40.0,176579.19,-50790.22,10.58,,35.56,695138.3999999999,-242151.4000000006,421.65,1.37,2.05,0.0322,0.12,128,64,21,43,32.81,32825.25,-23403.37,7.27,,36.68,170336.10000000003,-133920.0,-31.7,-0.55,-0.72,0.0205,-0.03,331,169,63,106,37.28,168621.12,-77529.6,9.38,,39.53,849208.7000000002,-667920.0,240.5,0.82,1.19,0.0287,0.06
VKCO,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,15.331,"{""obv_ema_window"":27,""confirmation_bars"":1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,79,79,23,56,29.11,335644.22,-76450.54,14.06,,30.57,1116004.7999999998,-354307.2000000002,343.86,1.36,2.25,0.0284,0.13,43,43,15,28,34.88,42985.48,-25781.7,10.23,,36.83,163723.0,-77827.19999999994,-7.71,-0.01,-0.01,0.0193,-0.0,122,122,38,84,31.15,284624.79,-90336.73,13.0,,37.1,1116004.7999999998,-356505.5999999997,322.75,0.98,1.58,0.0259,0.07
VKCO,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,14.71,"{""obv_ema_window"":30,""confirmation_bars"":1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,77,77,21,56,27.27,321624.07,-64674.3,14.43,,28.3,1039017.6,-329867.2000000002,313.23,1.33,2.17,0.0277,0.13,41,41,15,26,36.59,44565.67,-24295.45,10.73,,30.36,170167.79999999996,-77827.19999999994,3.68,0.22,0.33,0.0192,0.01,118,118,36,82,30.51,270486.63,-77023.48,13.44,,30.66,1039017.6,-331927.1999999997,342.16,1.01,1.63,0.0254,0.08
VKCO,obv,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,12.799,"{""obv_ema_window"":17,""confirmation_bars"":2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,163,85,32,52,37.65,210464.42,-67425.24,13.07,,31.23,866303.9999999997,-212098.7999999999,322.87,1.24,1.86,0.0317,0.13,108,57,18,39,31.58,37113.56,-22070.26,7.72,,34.47,157896.89999999994,-109942.20000000011,-19.27,-0.28,-0.39,0.0191,-0.02,271,142,50,91,35.21,195719.2,-79811.54,11.17,,34.48,1001663.9999999997,-479907.90000000055,252.31,0.84,1.26,0.0282,0.07
LKOH,obv,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,5.926,"{""obv_ema_window"":24,""confirmation_bars"":4,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1021,134,52,82,38.81,88127.47,-28232.95,14.07,,26.4,549927.0,-143354.5,226.75,0.69,0.76,0.0114,0.03,86,9,3,6,33.33,55879.83,-25906.25,16.0,,8.2,147498.0,-59653.0,1.22,0.12,0.1,0.007,0.01,1107,143,55,88,38.46,92413.32,-32013.76,14.46,,26.4,549927.0,-192995.0,226.55,0.63,0.67,0.0109,0.03
