ticker,strategy_type,timeframe,method,trial_number,composite_score,param_lookback,param_pivot_window,param_min_touches,param_tolerance_atr_mult,param_cluster_atr_mult,param_confirmation_bars,param_cooldown_bars,param_retest_window,param_cancel_atr_mult,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,retest_ols,1D,Bayesian_TPE,0,0.268,175,12,4,0.8500000000000001,0.4,1,4,36,1.7000000000000002,True,48.48,0.281,0.289,50.92,9,33.33,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.8500000000000001,""cluster_atr_mult"":0.4,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":36,""cancel_atr_mult"":1.7000000000000002,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,53.0,9.0,3.0,6.0,33.33,549276.29,-193835.73,213.11,,50.92,1054643.16,-649912.1500000001,48.48,0.28,0.29,0.0125,0.01,9.0,2.0,1.0,1.0,50.0,12405.58,-162864.24,80.5,,32.29,12405.58000000003,-162864.24000000005,-15.05,-0.37,-0.3,0.0132,-0.02,62.0,11.0,4.0,7.0,36.36,416562.09,-200691.87,189.0,,61.02,1054643.16,-649912.1500000001,26.14,0.19,0.19,0.0126,0.0
GAZP,retest_ols,1D,Bayesian_TPE,1,0.075,294,11,2,0.45,0.45,1,12,23,1.1,True,-35.21,-0.114,-0.087,53.48,19,21.05,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":294,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.45,""confirmation_bars"":1,""cooldown_bars"":12,""retest_window"":23,""cancel_atr_mult"":1.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,65.0,19.0,4.0,15.0,21.05,166566.12,-67891.25,90.16,,53.48,488376.1,-264467.46,-35.21,-0.11,-0.09,0.0117,-0.0,14.0,3.0,1.0,2.0,33.33,21145.76,-40600.59,83.67,,34.96,21145.759999999987,-45233.03999999995,-6.01,-0.04,-0.04,0.0152,-0.0,79.0,22.0,5.0,17.0,22.73,135992.9,-62998.49,89.27,,57.48,488376.1,-264467.46,-39.1,-0.1,-0.08,0.0122,-0.0
GAZP,retest_ols,1D,Bayesian_TPE,2,0.032,158,6,3,1.0,0.45,2,13,11,1.7000000000000002,True,-27.47,-0.068,-0.065,58.83,20,35.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.45,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7000000000000002,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,64.0,20.0,7.0,13.0,35.0,117447.98,-84369.47,89.5,,58.83,418967.6400000001,-531321.0599999999,-27.47,-0.07,-0.07,0.0116,-0.0,16.0,5.0,2.0,3.0,40.0,39584.74,-111224.41,58.2,,47.37,76550.03999999989,-196661.4,-25.45,-0.7,-0.8,0.0139,-0.02,80.0,25.0,9.0,16.0,36.0,97728.33,-83676.6,83.24,,69.71,418967.6400000001,-531321.0599999999,-45.93,-0.16,-0.16,0.0119,-0.0
GAZP,retest_ols,1D,Bayesian_TPE,3,0.701,290,12,5,0.55,0.35,3,10,13,1.5,False,68.21,0.386,0.375,37.54,5,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":290,""pivot_window"":12,""min_touches"":5,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.35,""confirmation_bars"":3,""cooldown_bars"":10,""retest_window"":13,""cancel_atr_mult"":1.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,23.0,5.0,2.0,3.0,40.0,440189.98,-66094.02,262.8,,37.54,558101.9600000001,-98625.66000000016,68.21,0.39,0.38,0.0096,0.01,4.0,1.0,1.0,0.0,100.0,34969.0,0.0,159.0,,9.67,34969.0,34969.0,3.5,0.24,0.26,0.007,0.02,27.0,6.0,3.0,3.0,50.0,311944.65,-98186.92,273.17,,37.54,558101.9600000001,-135699.9000000001,64.13,0.32,0.31,0.0107,0.01
GAZP,retest_ols,1D,Bayesian_TPE,4,0.054,152,9,3,0.75,0.8,1,20,34,2.4000000000000004,True,-45.57,-0.08,-0.067,67.82,16,37.5,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.75,""cluster_atr_mult"":0.8,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,61.0,16.0,6.0,10.0,37.5,144886.23,-132501.58,125.88,,67.82,353190.3200000001,-569762.64,-45.57,-0.08,-0.07,0.0163,-0.0,10.0,3.0,1.0,2.0,33.33,110558.7,-9586.53,74.33,,32.29,110558.70000000014,-18393.12000000004,9.14,0.36,0.38,0.0132,0.01,71.0,19.0,7.0,12.0,36.84,132783.94,-111287.58,117.74,,70.93,353190.3200000001,-569762.64,-40.6,-0.03,-0.03,0.0159,-0.0
GAZP,retest_ols,1D,Bayesian_TPE,5,0.169,285,3,2,0.3,0.6000000000000001,2,7,35,1.2000000000000002,False,-50.19,-0.193,-0.15,57.38,23,21.74,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":285,""pivot_window"":3,""min_touches"":2,""tolerance_atr_mult"":0.3,""cluster_atr_mult"":0.6000000000000001,""confirmation_bars"":2,""cooldown_bars"":7,""retest_window"":35,""cancel_atr_mult"":1.2000000000000002,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,104.0,23.0,5.0,18.0,21.74,47839.35,-41174.72,69.3,,57.38,114997.93000000004,-199262.25,-50.19,-0.19,-0.15,0.0133,-0.0,21.0,6.0,3.0,3.0,50.0,115766.9,-33208.8,48.67,,32.29,210639.66000000012,-74734.74000000003,24.77,0.65,0.83,0.0161,0.03,125.0,29.0,8.0,21.0,27.59,51522.55,-37655.35,65.03,,57.38,114997.93000000004,-199262.25,-37.86,-0.06,-0.05,0.0137,-0.0
GAZP,retest_ols,1D,Bayesian_TPE,6,-0.011,128,11,2,1.2,1.0,1,3,35,1.9,False,-22.02,0.031,0.031,64.19,21,47.62,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":128,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":1.2,""cluster_atr_mult"":1.0,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":35,""cancel_atr_mult"":1.9000000000000001,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,119.0,21.0,10.0,11.0,47.62,116047.23,-125516.39,116.71,,64.19,381139.32,-862879.5999999999,-22.02,0.03,0.03,0.0153,0.0,24.0,5.0,2.0,2.0,40.0,9116.72,-73060.67,60.8,,32.29,14161.840000000024,-73769.69000000013,-12.79,0.06,0.08,0.0166,0.0,143.0,26.0,12.0,13.0,46.15,97890.92,-114970.28,105.96,,69.35,381139.32,-862879.5999999999,-31.99,0.04,0.04,0.0155,0.0
GAZP,retest_ols,1D,Bayesian_TPE,7,0.178,114,6,2,1.1,0.8500000000000001,1,4,19,1.1,True,-61.32,-0.214,-0.159,73.9,32,37.5,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.1,""cluster_atr_mult"":0.8500000000000001,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,169.0,32.0,12.0,20.0,37.5,61017.55,-67271.0,58.34,,73.9,309216.60000000003,-533069.55,-61.32,-0.21,-0.16,0.0158,-0.0,29.0,9.0,3.0,6.0,33.33,27002.8,-38676.19,30.0,,38.37,44745.59999999983,-83788.11999999992,-15.1,-0.29,-0.33,0.0154,-0.01,198.0,40.0,14.0,26.0,35.0,53466.65,-55074.73,53.6,,77.94,309216.60000000003,-533069.55,-68.34,-0.23,-0.18,0.0157,-0.0
GAZP,retest_ols,1D,Bayesian_TPE,8,-0.008,278,7,2,0.95,1.0,2,16,25,1.5,True,-4.61,0.091,0.083,54.2,28,32.14,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":278,""pivot_window"":7,""min_touches"":2,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":1.0,""confirmation_bars"":2,""cooldown_bars"":16,""retest_window"":25,""cancel_atr_mult"":1.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,91.0,28.0,9.0,18.0,32.14,134714.56,-72721.98,74.96,,54.2,638586.7000000001,-301802.38000000006,-9.66,0.09,0.08,0.0135,0.0,13.0,4.0,1.0,3.0,25.0,1008.9,-90174.12,59.75,,44.34,1008.9000000000384,-154850.99999999997,-26.95,-0.64,-0.69,0.0158,-0.02,104.0,31.0,9.0,21.0,29.03,132165.12,-71791.83,76.35,,62.79,638586.7000000001,-301802.38000000006,-31.81,-0.0,-0.0,0.0139,-0.0
GAZP,retest_ols,1D,Bayesian_TPE,9,0.09,121,3,4,0.55,0.75,3,7,22,2.0,True,18.11,0.174,0.189,35.01,25,32.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.75,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,88.0,25.0,8.0,17.0,32.0,90559.4,-30318.49,63.16,,35.01,293539.1400000001,-73324.80000000003,20.91,0.17,0.19,0.0101,0.01,10.0,3.0,0.0,3.0,0.0,0.0,-80289.51,93.33,,42.94,-27398.89999999995,-112727.16000000005,-24.09,-0.51,-0.6,0.0165,-0.02,98.0,27.0,7.0,20.0,25.93,101537.34,-38019.61,69.74,,42.94,293539.1400000001,-126124.81999999992,-4.96,0.06,0.06,0.0113,0.0
