ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.884,"{""lookback"":285,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.7,""confirmation_bars"":1,""cooldown_bars"":14,""retest_window"":15,""cancel_atr_mult"":1.7000000000000002,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,9,4,5,44.44,352418.55,-44586.05,189.33,,32.12,753479.8,-96015.36,118.67,0.51,0.59,0.0105,0.02,14,2,1,1,50.0,52880.96,-51055.64,156.0,,32.42,52880.96000000001,-51055.63999999988,0.18,0.13,0.15,0.0159,0.01,63,10,5,5,50.0,304427.17,-78357.9,202.5,,32.43,753479.8,-238341.25999999983,113.03,0.42,0.47,0.0114,0.01
GAZP,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.709,"{""lookback"":285,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":0.6000000000000001,""cluster_atr_mult"":0.7,""confirmation_bars"":1,""cooldown_bars"":14,""retest_window"":14,""cancel_atr_mult"":1.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,10,5,5,50.0,278960.61,-55614.91,172.9,,32.02,728256.8,-89624.87999999986,111.67,0.49,0.57,0.0106,0.02,14,2,1,1,50.0,51204.44,-51055.64,157.0,,32.54,51204.43999999998,-51055.63999999988,0.01,0.13,0.15,0.0159,0.01,63,11,6,5,54.55,250034.42,-88305.31,186.55,,32.54,728256.8,-230708.99999999985,105.87,0.41,0.46,0.0115,0.01
GAZP,retest_ols,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.692,"{""lookback"":292,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.5,""cluster_atr_mult"":0.45,""confirmation_bars"":2,""cooldown_bars"":14,""retest_window"":10,""cancel_atr_mult"":1.2000000000000002,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,31,7,4,3,57.14,313916.3,-69422.52,185.43,,31.51,660511.0,-128245.43999999986,104.74,0.51,0.52,0.0095,0.02,6,1,1,0,100.0,53960.76,0.0,160.0,,9.67,53960.75999999998,53960.75999999998,5.4,0.34,0.37,0.007,0.02,37,8,5,3,62.5,271614.82,-119304.99,202.88,,32.29,660511.0,-193480.39999999997,100.02,0.41,0.41,0.0106,0.01
GAZP,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.685,"{""lookback"":300,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":0.5,""cluster_atr_mult"":0.45,""confirmation_bars"":1,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,42,9,6,3,66.67,228385.89,-85149.84,189.89,,32.02,677237.55,-98704.61999999998,111.49,0.48,0.57,0.0108,0.02,12,2,1,1,50.0,51204.44,-51055.64,157.0,,32.54,51204.43999999998,-51055.63999999988,0.01,0.13,0.15,0.0159,0.01,54,10,7,3,70.0,210803.17,-139585.87,203.2,,32.54,677237.55,-230505.85999999987,105.69,0.4,0.46,0.0116,0.01
GAZP,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.371,"{""lookback"":288,""pivot_window"":12,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.65,""confirmation_bars"":1,""cooldown_bars"":13,""retest_window"":14,""cancel_atr_mult"":1.3,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,46,10,4,6,40.0,330566.81,-54963.96,166.0,,33.45,708766.3,-87487.67999999998,99.25,0.46,0.52,0.0104,0.01,13,2,1,1,50.0,52880.96,-51055.64,156.0,,32.42,52880.96000000001,-51055.63999999988,0.18,0.13,0.15,0.0159,0.01,59,11,5,6,45.45,284947.14,-80607.42,180.09,,33.45,708766.3,-217171.16999999987,94.11,0.38,0.42,0.0113,0.01
VKCO,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.93,"{""lookback"":143,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.3,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":25,""cancel_atr_mult"":1.9000000000000001,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,4,1,0,1,0.0,0.0,-486624.0,388.0,,53.17,-486624.00000000006,-486624.00000000006,-48.66,-1.02,-0.95,0.0129,-0.02,4,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,8,1,0,1,0.0,0.0,-486624.0,388.0,,53.17,-486624.00000000006,-486624.00000000006,-48.66,-0.81,-0.61,0.0103,-0.02
VKCO,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.93,"{""lookback"":146,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.3,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":24,""cancel_atr_mult"":1.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,5,1,0,1,0.0,0.0,-486624.0,388.0,,53.17,-486624.00000000006,-486624.00000000006,-48.66,-1.02,-0.95,0.0129,-0.02,3,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,8,1,0,1,0.0,0.0,-486624.0,388.0,,53.17,-486624.00000000006,-486624.00000000006,-48.66,-0.81,-0.61,0.0103,-0.02
VKCO,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.894,"{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.1,""cluster_atr_mult"":0.8500000000000001,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30,5,3,2,60.0,251982.87,-100758.0,109.0,,41.11,375710.4,-141413.99999999988,55.44,0.66,0.78,0.0185,0.03,22,4,3,1,75.0,172321.9,-17864.0,54.5,,11.02,281973.30000000005,-17864.000000000073,49.91,1.3,1.92,0.013,0.15,52,9,6,3,66.67,264456.22,-76535.2,88.89,,41.11,443382.1000000001,-141413.99999999988,135.71,0.82,1.02,0.0173,0.03
VKCO,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.883,"{""lookback"":102,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.6000000000000001,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":10,""cancel_atr_mult"":0.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,16,6,4,2,66.67,264672.1,-200002.7,103.17,,47.37,412339.1999999999,-205081.7999999998,65.87,0.64,0.68,0.0254,0.03,8,2,1,1,50.0,61113.0,-6269.6,150.0,,31.74,61113.0,-6269.5999999999585,5.48,0.25,0.32,0.0172,0.01,24,7,4,3,57.14,299313.32,-136874.53,137.86,,47.37,412339.1999999999,-205081.7999999998,78.66,0.53,0.61,0.0233,0.03
VKCO,retest_ols,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.849,"{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.45,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7000000000000002,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,17,4,3,1,75.0,189984.6,-54218.4,103.5,,40.15,302701.9999999999,-54218.4000000001,51.57,0.66,0.68,0.0172,0.03,8,2,2,0,100.0,77923.6,0.0,120.0,,30.1,94289.60000000003,61557.59999999998,15.58,0.51,0.7,0.0137,0.02,25,6,5,1,83.33,160783.24,-54218.4,115.33,,40.15,302701.9999999999,-54218.4000000001,74.97,0.6,0.69,0.0166,0.02
