ticker,strategy_type,timeframe,method,trial_number,composite_score,param_lookback,param_pivot_window,param_min_touches,param_tolerance_atr_mult,param_cluster_atr_mult,param_confirmation_bars,param_cooldown_bars,param_retest_window,param_cancel_atr_mult,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,retest_pivot,1D,Bayesian_TPE,0,0.587,175,12,4,0.8500000000000001,0.4,1,4,36,1.7000000000000002,True,75.38,0.359,0.243,46.13,1,100.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.8500000000000001,""cluster_atr_mult"":0.4,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":36,""cancel_atr_mult"":1.7000000000000002,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,13.0,1.0,1.0,0.0,100.0,753770.24,0.0,1297.0,,46.13,753770.2399999999,753770.2399999999,75.38,0.36,0.24,0.0127,0.01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,16.0,1.0,1.0,0.0,100.0,753770.24,0.0,1297.0,,46.13,753770.2399999999,753770.2399999999,75.38,0.33,0.21,0.0118,0.01
GAZP,retest_pivot,1D,Bayesian_TPE,1,0.034,294,11,2,0.45,0.45,1,12,23,1.1,True,-35.88,-0.051,-0.043,54.07,23,34.78,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":294,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.45,""confirmation_bars"":1,""cooldown_bars"":12,""retest_window"":23,""cancel_atr_mult"":1.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,81.0,23.0,8.0,15.0,34.78,92645.61,-73328.19,80.65,,54.07,404019.96,-320219.80000000005,-35.88,-0.05,-0.04,0.0148,-0.0,16.0,3.0,2.0,1.0,66.67,34163.75,-3948.75,77.0,,32.29,60932.480000000025,-3948.750000000025,6.44,0.28,0.28,0.0144,0.01,97.0,26.0,10.0,16.0,38.46,78498.14,-68903.44,80.23,,56.15,404019.96,-320219.80000000005,-31.75,-0.01,-0.01,0.0148,-0.0
GAZP,retest_pivot,1D,Bayesian_TPE,2,0.243,158,6,3,1.0,0.45,2,13,11,1.7000000000000002,True,40.37,0.262,0.192,43.53,19,57.89,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":158,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.45,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":11,""cancel_atr_mult"":1.7000000000000002,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,69.0,19.0,11.0,8.0,57.89,103102.83,-91299.58,83.42,,43.53,597685.6599999999,-363388.35,40.37,0.26,0.19,0.0119,0.01,16.0,5.0,3.0,2.0,60.0,124067.08,-141952.81,56.0,,29.3,324791.87999999995,-236675.1199999999,8.83,0.34,0.4,0.0139,0.02,85.0,24.0,14.0,10.0,58.33,118329.54,-112892.8,77.71,,43.53,597685.6599999999,-363388.35,52.77,0.27,0.22,0.0122,0.01
GAZP,retest_pivot,1D,Bayesian_TPE,3,0.0,290,12,5,0.55,0.35,3,10,13,1.5,False,0.0,0.0,0.0,0.0,0,0.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":290,""pivot_window"":12,""min_touches"":5,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.35,""confirmation_bars"":3,""cooldown_bars"":10,""retest_window"":13,""cancel_atr_mult"":1.5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
GAZP,retest_pivot,1D,Bayesian_TPE,4,0.066,152,9,3,0.75,0.8,1,20,34,2.4000000000000004,True,-45.63,-0.102,-0.07,70.51,12,16.67,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":152,""pivot_window"":9,""min_touches"":3,""tolerance_atr_mult"":0.75,""cluster_atr_mult"":0.8,""confirmation_bars"":1,""cooldown_bars"":20,""retest_window"":34,""cancel_atr_mult"":2.4000000000000004,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,47.0,12.0,2.0,9.0,16.67,360304.43,-130764.83,131.83,,70.51,714930.2199999999,-493495.1999999999,-45.63,-0.1,-0.07,0.0153,-0.0,9.0,2.0,0.0,2.0,0.0,0.0,-13076.42,38.5,,9.54,-9739.79999999993,-16413.040000000034,-2.62,-0.22,-0.15,0.0041,-0.01,56.0,14.0,2.0,12.0,14.29,360304.43,-102665.61,130.14,,74.13,714930.2199999999,-493495.1999999999,-51.14,-0.11,-0.08,0.0152,-0.0
GAZP,retest_pivot,1D,Bayesian_TPE,5,0.005,285,3,2,0.3,0.6000000000000001,2,7,35,1.2000000000000002,False,-34.91,-0.009,-0.008,57.96,20,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":285,""pivot_window"":3,""min_touches"":2,""tolerance_atr_mult"":0.3,""cluster_atr_mult"":0.6000000000000001,""confirmation_bars"":2,""cooldown_bars"":7,""retest_window"":35,""cancel_atr_mult"":1.2000000000000002,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,84.0,20.0,8.0,12.0,40.0,81379.73,-83341.5,96.2,,57.96,436939.58,-387470.61,-34.91,-0.01,-0.01,0.0167,-0.0,16.0,3.0,2.0,1.0,66.67,14286.26,-261460.56,66.67,,31.18,22882.02000000003,-261460.56000000008,-23.29,-0.66,-0.58,0.0133,-0.03,100.0,23.0,10.0,13.0,43.48,66963.46,-90022.23,92.35,,59.34,436939.58,-387470.61,-50.07,-0.08,-0.06,0.0163,-0.0
GAZP,retest_pivot,1D,Bayesian_TPE,6,0.036,128,11,2,1.2,1.0,1,3,35,1.9,False,12.98,0.167,0.142,59.81,25,40.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":128,""pivot_window"":11,""min_touches"":2,""tolerance_atr_mult"":1.2,""cluster_atr_mult"":1.0,""confirmation_bars"":1,""cooldown_bars"":3,""retest_window"":35,""cancel_atr_mult"":1.9000000000000001,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,157.0,25.0,10.0,14.0,40.0,180318.26,-119525.09,76.2,,59.81,505639.50000000006,-1107563.6,12.98,0.17,0.14,0.0146,0.0,24.0,6.0,2.0,3.0,33.33,15340.54,-37336.16,36.83,,32.29,26391.689999999933,-69750.80000000003,-8.13,-0.01,-0.01,0.0165,-0.0,181.0,30.0,12.0,17.0,40.0,153059.17,-105869.6,71.37,,62.98,505639.50000000006,-1107563.6,3.69,0.14,0.13,0.0149,0.0
GAZP,retest_pivot,1D,Bayesian_TPE,7,0.711,114,6,2,1.1,0.8500000000000001,1,4,19,1.1,True,80.38,0.358,0.309,40.48,61,49.18,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":114,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":1.1,""cluster_atr_mult"":0.8500000000000001,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":19,""cancel_atr_mult"":1.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,237.0,61.0,30.0,31.0,49.18,80779.24,-52612.13,30.8,,40.48,400803.92,-223222.5,79.24,0.36,0.31,0.0137,0.01,39.0,10.0,5.0,5.0,50.0,46790.13,-28792.58,17.1,,19.72,184782.60000000003,-103453.5,9.0,0.39,0.37,0.011,0.02,276.0,71.0,35.0,36.0,49.3,81220.85,-52473.23,28.87,,40.48,400803.92,-223222.5,95.37,0.36,0.31,0.0134,0.01
GAZP,retest_pivot,1D,Bayesian_TPE,8,0.009,278,7,2,0.95,1.0,2,16,25,1.5,True,3.43,0.12,0.091,47.19,36,47.22,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":278,""pivot_window"":7,""min_touches"":2,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":1.0,""confirmation_bars"":2,""cooldown_bars"":16,""retest_window"":25,""cancel_atr_mult"":1.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,102.0,36.0,17.0,19.0,47.22,44124.83,-37675.84,43.03,,47.19,177766.40000000002,-135576.0,3.43,0.12,0.09,0.0129,0.0,19.0,5.0,2.0,3.0,40.0,110330.82,-28939.64,33.6,,21.72,196461.80999999985,-47727.75,13.38,0.49,0.46,0.0122,0.03,121.0,41.0,19.0,22.0,46.34,51492.72,-36619.88,41.88,,47.19,203207.39999999985,-135576.0,17.27,0.17,0.13,0.0128,0.0
GAZP,retest_pivot,1D,Bayesian_TPE,9,0.039,121,3,4,0.55,0.75,3,7,22,2.0,True,-39.61,-0.059,-0.058,59.51,15,40.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.75,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,65.0,15.0,6.0,9.0,40.0,84282.95,-100204.24,165.47,,59.51,342231.36000000004,-534771.84,-39.61,-0.06,-0.06,0.0156,-0.0,10.0,3.0,2.0,1.0,66.67,14838.39,-83731.2,96.67,,36.21,28125.50999999989,-83731.19999999994,-5.41,-0.0,-0.0,0.0163,-0.0,75.0,18.0,8.0,10.0,44.44,65452.42,-95239.72,154.0,,59.51,342231.36000000004,-534771.84,-42.88,-0.05,-0.05,0.0157,-0.0
