ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,retest_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.52,"{""lookback"":124,""pivot_window"":4,""min_touches"":5,""tolerance_atr_mult"":0.35,""cluster_atr_mult"":1.2,""confirmation_bars"":3,""cooldown_bars"":13,""retest_window"":16,""cancel_atr_mult"":0.6,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,24,4,1,3,25.0,1465462.88,-57913.86,476.75,,43.01,1465462.88,-82297.84000000019,129.17,0.51,0.56,0.0115,0.01,6,2,0,2,0.0,0.0,-38605.07,82.5,,32.29,-33305.439999999944,-43904.70000000002,-7.72,-0.11,-0.09,0.014,-0.0,30,6,1,5,16.67,1465462.88,-70139.78,345.33,,43.01,1465462.88,-100626.30000000005,111.48,0.41,0.43,0.0118,0.01
GAZP,retest_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.11,"{""lookback"":203,""pivot_window"":5,""min_touches"":3,""tolerance_atr_mult"":1.2,""cluster_atr_mult"":1.2,""confirmation_bars"":1,""cooldown_bars"":7,""retest_window"":18,""cancel_atr_mult"":0.6,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,180,50,18,32,36.0,132757.73,-44048.33,35.28,,39.02,896633.1399999999,-181189.00000000015,98.01,0.44,0.48,0.0111,0.01,37,10,5,4,50.0,74407.02,-36684.01,24.4,,18.34,264067.28,-68667.22000000012,22.53,0.91,1.11,0.0139,0.07,217,59,22,36,37.29,141985.21,-47217.19,34.29,,39.02,896633.1399999999,-181189.00000000015,142.39,0.51,0.56,0.0115,0.02
GAZP,retest_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.066,"{""lookback"":130,""pivot_window"":5,""min_touches"":5,""tolerance_atr_mult"":0.35,""cluster_atr_mult"":1.2,""confirmation_bars"":3,""cooldown_bars"":13,""retest_window"":16,""cancel_atr_mult"":0.6,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,20,3,1,2,33.33,1164648.24,-67259.87,629.67,,43.01,1164648.24,-80147.27999999984,103.01,0.44,0.49,0.0115,0.01,3,1,0,1,0.0,0.0,-88606.35,453.0,,36.6,-88606.34999999993,-88606.34999999993,-8.86,-0.05,-0.07,0.0186,-0.0,23,4,1,3,25.0,1164648.24,-104807.68,585.5,,43.01,1164648.24,-179903.29999999984,85.02,0.34,0.4,0.0127,0.01
GAZP,retest_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.02,"{""lookback"":110,""pivot_window"":4,""min_touches"":5,""tolerance_atr_mult"":0.3,""cluster_atr_mult"":1.1500000000000001,""confirmation_bars"":3,""cooldown_bars"":12,""retest_window"":16,""cancel_atr_mult"":0.6,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,19,3,1,2,33.33,1153032.0,-68598.2,640.0,,43.01,1153032.0,-72394.44000000016,101.58,0.43,0.47,0.0119,0.01,4,2,0,2,0.0,0.0,-38036.18,81.5,,32.29,-33346.299999999945,-42726.06000000011,-7.61,-0.11,-0.09,0.014,-0.0,23,5,1,4,20.0,1153032.0,-72638.89,416.6,,43.01,1153032.0,-86135.36000000022,86.25,0.35,0.37,0.0122,0.01
GAZP,retest_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.01,"{""lookback"":124,""pivot_window"":5,""min_touches"":5,""tolerance_atr_mult"":0.35,""cluster_atr_mult"":1.1500000000000001,""confirmation_bars"":3,""cooldown_bars"":14,""retest_window"":15,""cancel_atr_mult"":0.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,18,3,1,2,33.33,1144470.6,-66877.88,643.67,,43.01,1144470.6,-79383.29999999984,101.07,0.43,0.47,0.012,0.01,3,1,0,1,0.0,0.0,-87483.24,451.0,,36.6,-87483.24000000002,-87483.24000000002,-8.75,-0.04,-0.06,0.0186,-0.0,21,4,1,3,25.0,1144470.6,-103224.99,595.5,,43.01,1144470.6,-175919.22000000003,83.48,0.34,0.39,0.013,0.01
VKCO,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.829,"{""lookback"":168,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":1.1,""cluster_atr_mult"":0.4,""confirmation_bars"":2,""cooldown_bars"":6,""retest_window"":31,""cancel_atr_mult"":0.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,0,1,0.0,0.0,-595441.0,507.0,,69.2,-595441.0000000001,-595441.0000000001,-59.54,-0.96,-1.07,0.0178,-0.02,3,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,5,1,0,1,0.0,0.0,-655658.5,784.0,,69.2,-655658.5000000001,-655658.5000000001,-65.57,-0.67,-0.79,0.0181,-0.02
VKCO,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.806,"{""lookback"":175,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.8500000000000001,""cluster_atr_mult"":0.4,""confirmation_bars"":1,""cooldown_bars"":4,""retest_window"":36,""cancel_atr_mult"":1.7000000000000002,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,0,1,0.0,0.0,-585915.0,497.0,,69.09,-585915.0000000001,-585915.0000000001,-58.59,-0.95,-1.05,0.0176,-0.02,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,0,1,0.0,0.0,-643287.5,972.0,,69.09,-643287.5,-643287.5,-64.33,-0.59,-0.78,0.0192,-0.02
VKCO,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.766,"{""lookback"":184,""pivot_window"":10,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.65,""confirmation_bars"":2,""cooldown_bars"":19,""retest_window"":40,""cancel_atr_mult"":0.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,0,1,0.0,0.0,-531490.4,340.0,,65.77,-531490.4000000001,-531490.4000000001,-53.15,-0.95,-0.93,0.0154,-0.02,3,1,1,0,100.0,184223.7,0.0,290.0,,30.1,184223.70000000004,184223.70000000004,18.42,0.55,0.8,0.0152,0.03,5,1,0,1,0.0,0.0,-536808.3,781.0,,65.77,-536808.3,-536808.3,-53.68,-0.46,-0.56,0.0178,-0.01
VKCO,retest_pivot,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.762,"{""lookback"":137,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.7,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":27,""cancel_atr_mult"":1.9000000000000001,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,1,1,0,1,0.0,0.0,-576417.0,503.0,,69.08,-576417.0,-576417.0,-57.64,-0.91,-1.02,0.0177,-0.02,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,1,1,0,1,0.0,0.0,-635088.5,978.0,,69.08,-635088.4999999999,-635088.4999999999,-63.51,-0.57,-0.76,0.0193,-0.02
VKCO,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.762,"{""lookback"":132,""pivot_window"":12,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.9000000000000001,""confirmation_bars"":3,""cooldown_bars"":4,""retest_window"":25,""cancel_atr_mult"":1.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,0,1,0.0,0.0,-576417.0,503.0,,69.08,-576417.0,-576417.0,-57.64,-0.91,-1.02,0.0177,-0.02,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,0,1,0.0,0.0,-635088.5,978.0,,69.08,-635088.4999999999,-635088.4999999999,-63.51,-0.57,-0.76,0.0193,-0.02
LKOH,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,5.706,"{""lookback"":142,""pivot_window"":4,""min_touches"":4,""tolerance_atr_mult"":0.7,""cluster_atr_mult"":0.5,""confirmation_bars"":1,""cooldown_bars"":5,""retest_window"":31,""cancel_atr_mult"":1.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,95,17,11,5,64.71,276860.18,-61377.2,114.76,,36.35,1409402.5,-119047.5,273.86,0.76,0.83,0.0114,0.02,13,1,0,1,0.0,0.0,-198880.5,352.0,,37.21,-198880.5,-198880.5,-19.89,-0.5,-0.62,0.014,-0.02,108,18,11,6,61.11,276860.18,-175036.58,127.94,,37.23,1409402.5,-743333.5,199.52,0.56,0.62,0.0117,0.02
LKOH,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,4.715,"{""lookback"":163,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.6000000000000001,""cluster_atr_mult"":0.3,""confirmation_bars"":2,""cooldown_bars"":4,""retest_window"":35,""cancel_atr_mult"":1.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,45,11,7,4,63.64,293870.07,-75437.3,141.64,,25.91,864450.0,-118876.0,175.53,0.7,0.66,0.0094,0.03,2,1,0,1,0.0,0.0,-243084.0,466.0,,37.22,-243084.0,-243084.0,-24.31,-0.56,-0.76,0.0156,-0.02,47,11,6,5,54.55,293005.08,-142657.84,184.82,,37.16,864450.0,-411540.0,104.47,0.43,0.43,0.0104,0.01
LKOH,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,4.41,"{""lookback"":121,""pivot_window"":3,""min_touches"":4,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.75,""confirmation_bars"":3,""cooldown_bars"":7,""retest_window"":22,""cancel_atr_mult"":2.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,53,13,9,4,69.23,313732.67,-97897.4,145.08,,37.5,1031615.0,-294556.5,243.2,0.68,0.58,0.0122,0.02,13,4,0,4,0.0,0.0,-61748.25,70.25,,33.77,-16685.0,-154662.0,-24.7,-0.75,-0.76,0.0128,-0.03,66,17,9,8,52.94,313732.67,-155337.45,127.47,,40.42,1031615.0,-533532.0,158.09,0.48,0.43,0.0123,0.01
LKOH,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,3.99,"{""lookback"":165,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.7,""cluster_atr_mult"":0.3,""confirmation_bars"":1,""cooldown_bars"":5,""retest_window"":27,""cancel_atr_mult"":1.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,72,16,9,5,56.25,224094.22,-58317.6,104.62,,32.69,832161.0,-100962.0,172.53,0.69,0.7,0.0101,0.02,1,1,0,1,0.0,0.0,-258681.0,453.0,,37.2,-258681.0,-258681.0,-25.87,-0.62,-0.84,0.0155,-0.03,73,16,8,6,50.0,212344.0,-112768.67,134.31,,37.21,832161.0,-385024.0,102.21,0.44,0.46,0.0109,0.01
LKOH,retest_pivot,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,3.288,"{""lookback"":158,""pivot_window"":4,""min_touches"":4,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":0.35,""confirmation_bars"":1,""cooldown_bars"":5,""retest_window"":34,""cancel_atr_mult"":1.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,80,15,9,6,60.0,222950.17,-35925.78,116.47,,36.06,1115019.0,-85912.49999999997,179.1,0.66,0.66,0.0102,0.02,8,1,0,1,0.0,0.0,-146569.5,268.0,,26.28,-146569.5,-146569.5,-14.66,-0.49,-0.55,0.0105,-0.02,88,16,9,7,56.25,222950.17,-89154.03,125.94,,36.06,1115019.0,-408523.5,138.25,0.51,0.51,0.0102,0.01
