ticker,strategy_type,timeframe,method,trial_number,composite_score,param_rsi_lower,param_rsi_upper,param_rsi_window,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,rsi,1D,Bayesian_TPE,0,-0.017,23,89,24,True,-20.79,0.06,0.045,72.51,1,0.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":23,""rsi_upper"":89,""rsi_window"":24,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,4.0,1.0,0.0,1.0,0.0,0.0,-207917.55,1750.0,,72.51,-207917.54999999993,-207917.54999999993,-20.79,0.06,0.04,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,4.0,1.0,0.0,1.0,0.0,0.0,-251583.21,2225.0,,72.51,-251583.20999999996,-251583.20999999996,-25.16,0.06,0.05,0.0171,0.0
GAZP,rsi,1D,Bayesian_TPE,1,0.0,15,57,27,False,0.0,0.0,0.0,0.0,0,0.0,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":15,""rsi_upper"":57,""rsi_window"":27,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
GAZP,rsi,1D,Bayesian_TPE,2,0.0,10,89,26,True,0.0,0.0,0.0,0.0,0,0.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":10,""rsi_upper"":89,""rsi_window"":26,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,
GAZP,rsi,1D,Bayesian_TPE,3,0.004,16,65,19,True,8.76,0.077,0.069,155.55,1,100.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":16,""rsi_upper"":65,""rsi_window"":19,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,55.0,1.0,1.0,0.0,100.0,87594.12,0.0,3973.0,,155.55,87594.12000000001,87594.12000000001,8.76,0.08,0.07,0.423,0.02,3.0,1.0,1.0,0.0,100.0,256879.84,0.0,417.0,,14.69,256879.8399999999,256879.8399999999,25.69,0.89,1.26,0.011,0.07,58.0,1.0,1.0,0.0,100.0,137902.48,0.0,4448.0,,155.55,137902.48000000004,137902.48000000004,13.79,0.07,0.07,0.3944,0.02
GAZP,rsi,1D,Bayesian_TPE,4,0.182,32,60,14,False,38.13,0.245,0.185,51.22,23,65.22,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":32,""rsi_upper"":60,""rsi_window"":14,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,174.0,23.0,15.0,8.0,65.22,74002.79,-91094.26,61.91,,51.22,212281.6000000001,-252823.19999999992,38.13,0.24,0.18,0.0142,0.01,30.0,3.0,2.0,1.0,66.67,64239.0,-37010.7,36.67,,12.11,122925.82000000002,-37010.699999999946,9.15,0.42,0.39,0.0098,0.03,204.0,26.0,17.0,9.0,65.38,72664.5,-86463.03,59.15,,51.22,212281.6000000001,-252823.19999999992,45.71,0.25,0.19,0.0137,0.01
GAZP,rsi,1D,Bayesian_TPE,5,0.164,38,62,19,True,-54.44,-0.328,-0.254,109.19,38,71.05,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":38,""rsi_upper"":62,""rsi_window"":19,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,135.0,38.0,27.0,11.0,71.05,104814.95,-306762.8,104.79,,109.19,280369.2800000001,-1517261.2,-54.44,-0.33,-0.25,0.6575,-0.2,22.0,6.0,4.0,2.0,66.67,32894.72,-17337.53,78.5,,42.04,86936.24999999991,-33031.0,9.69,0.34,0.43,0.023,0.02,157.0,44.0,31.0,13.0,70.45,92666.86,-260742.94,101.3,,109.19,280369.2800000001,-1517261.2,-51.7,-0.3,-0.24,0.6132,-0.17
GAZP,rsi,1D,Bayesian_TPE,6,0.004,31,61,8,False,1.77,0.125,0.086,61.29,43,69.77,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":31,""rsi_upper"":61,""rsi_window"":8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,255.0,43.0,30.0,13.0,69.77,64185.71,-146762.22,30.93,,61.29,266090.6799999997,-475140.6000000001,1.77,0.13,0.09,0.0147,0.0,43.0,8.0,5.0,3.0,62.5,61160.0,-40905.07,17.88,,15.91,138837.68999999994,-51915.60000000009,18.31,0.67,0.59,0.0111,0.05,298.0,51.0,34.0,17.0,66.67,63132.82,-119113.78,29.08,,61.29,266090.6799999997,-475140.6000000001,12.16,0.16,0.11,0.0143,0.0
GAZP,rsi,1D,Bayesian_TPE,7,0.143,39,65,9,True,43.25,0.271,0.339,81.88,98,72.45,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":39,""rsi_upper"":65,""rsi_window"":9,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,261.0,98.0,71.0,27.0,72.45,97754.83,-241041.87,40.67,,81.88,383263.2299999999,-1942768.81,43.25,0.27,0.34,0.0226,0.01,37.0,18.0,12.0,6.0,66.67,56104.43,-54188.46,26.17,,42.04,146560.40999999997,-113078.76,34.81,0.68,0.88,0.023,0.04,298.0,116.0,83.0,33.0,71.55,94273.76,-210856.43,38.46,,81.88,383263.2299999999,-1942768.81,86.65,0.32,0.4,0.0226,0.01
GAZP,rsi,1D,Bayesian_TPE,8,0.091,14,72,7,True,-40.39,-0.226,-0.176,100.57,19,68.42,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,124.0,19.0,13.0,6.0,68.42,50241.0,-176165.39,209.79,,100.57,132265.96000000005,-961672.7,-40.39,-0.23,-0.18,0.155,-0.03,18.0,3.0,1.0,2.0,33.33,104808.0,-73056.61,157.0,,42.04,104807.99999999996,-132357.16,-4.13,0.1,0.11,0.0214,0.0,142.0,21.0,13.0,8.0,61.9,54502.39,-138741.59,212.43,,100.57,132265.96000000005,-961672.7,-40.14,-0.21,-0.16,0.1447,-0.03
GAZP,rsi,1D,Bayesian_TPE,9,-0.188,33,66,19,True,-84.04,0.256,0.568,114.23,18,72.22,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""rsi_lower"":33,""rsi_upper"":66,""rsi_window"":19,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,71.0,18.0,13.0,5.0,72.22,77181.16,-368759.33,220.72,,114.23,171726.75,-1536911.35,-84.04,0.26,0.57,0.7116,0.16,9.0,5.0,4.0,1.0,80.0,149252.27,-49259.7,83.4,,24.38,184941.26000000004,-49259.70000000009,54.77,1.15,1.64,0.0164,0.08,80.0,23.0,18.0,5.0,78.26,63053.72,-364207.02,193.39,,114.23,171726.75,-1536911.35,-68.61,0.24,0.54,0.6636,0.14
