ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.714,"{""rsi_lower"":38,""rsi_upper"":56,""rsi_window"":15,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,213,38,28,10,73.68,96939.35,-122199.02,39.74,,41.35,427874.7000000002,-435161.6099999999,149.23,0.47,0.37,0.0147,0.02,37,5,2,3,40.0,27500.96,-30670.77,25.6,,20.9,33301.72999999997,-42199.34999999991,-3.7,-0.05,-0.04,0.0105,-0.0,250,43,29,14,67.44,92176.87,-102664.38,38.33,,41.35,427874.7000000002,-435161.6099999999,123.58,0.4,0.31,0.0143,0.01
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.609,"{""rsi_lower"":42,""rsi_upper"":64,""rsi_window"":22,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,136,16,11,5,68.75,323971.7,-353348.51,153.25,,54.5,1102955.6700000002,-766024.6000000002,179.69,0.49,0.51,0.0166,0.01,15,2,2,0,100.0,78319.09,0.0,148.0,,24.38,146769.68000000005,9868.499999999958,15.66,0.52,0.63,0.0135,0.03,151,18,13,5,72.22,316980.02,-201488.23,155.89,,54.5,1102955.6700000002,-700784.2999999999,311.33,0.56,0.61,0.0166,0.02
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.378,"{""rsi_lower"":42,""rsi_upper"":63,""rsi_window"":20,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,147,18,12,6,66.67,268618.24,-276341.88,138.11,,51.81,983564.0000000002,-611891.2200000003,156.54,0.46,0.49,0.0169,0.01,18,4,3,1,75.0,60441.19,-21302.82,62.75,,24.38,104595.2000000001,-21302.82000000002,16.0,0.54,0.59,0.0131,0.03,165,22,15,7,68.18,296869.91,-246641.38,127.09,,51.81,983564.0000000002,-611891.2200000003,272.66,0.53,0.57,0.0168,0.02
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.294,"{""rsi_lower"":27,""rsi_upper"":55,""rsi_window"":14,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,158,10,8,2,80.0,144995.5,-108820.35,57.1,,33.2,347068.20000000007,-188555.0,94.23,0.46,0.28,0.0101,0.01,32,3,2,1,66.67,50335.87,-15853.53,21.0,,16.32,82727.73000000003,-15853.530000000015,8.48,0.4,0.25,0.0097,0.02,190,13,10,3,76.92,135551.76,-82811.77,48.77,,33.2,347068.20000000007,-188555.0,110.71,0.45,0.27,0.01,0.01
GAZP,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.157,"{""rsi_lower"":41,""rsi_upper"":62,""rsi_window"":22,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,137,17,11,6,64.71,250258.23,-230897.74,130.41,,51.52,1018876.3200000002,-556311.3000000003,136.75,0.44,0.43,0.0161,0.01,21,3,3,0,100.0,8463.16,0.0,65.0,,24.38,16183.199999999915,2201.0399999999677,2.54,0.18,0.18,0.0129,0.01,158,20,14,6,70.0,244664.27,-230897.74,123.55,,51.52,1018876.3200000002,-556311.3000000003,203.99,0.47,0.48,0.0161,0.01
VKCO,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.44,"{""rsi_lower"":42,""rsi_upper"":57,""rsi_window"":16,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,72,8,4,4,50.0,42778.5,-179303.45,73.5,,66.54,102704.20000000004,-364724.8,-54.61,-0.54,-0.68,0.0238,-0.02,31,3,1,2,33.33,29285.3,-60204.05,45.67,,15.66,29285.299999999916,-117857.29999999992,-9.11,-0.26,-0.22,0.0108,-0.02,103,11,5,6,45.45,36881.94,-128645.55,65.91,,66.54,102704.20000000004,-364724.8,-58.75,-0.45,-0.51,0.0201,-0.01
VKCO,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.404,"{""rsi_lower"":30,""rsi_upper"":55,""rsi_window"":19,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,39,2,0,2,0.0,0.0,-358229.1,193.0,,76.59,-231043.19999999995,-485415.0,-71.65,-0.43,-0.44,0.0388,-0.02,23,3,1,2,33.33,87384.0,-51512.47,49.0,,19.17,87384.0,-73586.10000000008,-1.56,0.06,0.06,0.0132,0.0,62,5,1,4,20.0,24772.0,-186417.46,106.6,,76.59,24772.0,-485415.0,-72.09,-0.33,-0.31,0.032,-0.01
VKCO,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.31,"{""rsi_lower"":45,""rsi_upper"":63,""rsi_window"":10,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,69,10,7,3,70.0,28858.83,-296376.27,69.8,,74.21,61303.20000000003,-580792.7999999999,-68.71,-0.33,-0.43,0.0405,-0.02,44,10,7,3,70.0,48399.51,-175868.73,30.7,,32.12,74024.5,-200134.8000000001,-18.88,-0.3,-0.4,0.018,-0.02,113,20,14,6,70.0,21999.01,-175694.52,50.25,,76.73,61303.20000000003,-580792.7999999999,-74.62,-0.31,-0.4,0.0341,-0.01
VKCO,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.307,"{""rsi_lower"":37,""rsi_upper"":64,""rsi_window"":18,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,37,3,1,2,33.33,38913.6,-355999.5,180.67,,75.1,38913.59999999993,-403515.00000000006,-67.31,-0.34,-0.4,0.0392,-0.02,18,3,1,2,33.33,88560.0,-23711.95,58.0,,17.41,88560.0,-40227.19999999991,4.11,0.22,0.22,0.0142,0.02,55,6,2,4,33.33,35332.8,-174358.3,122.83,,75.1,38913.59999999993,-403515.00000000006,-62.68,-0.18,-0.2,0.0327,-0.01
VKCO,rsi,1D,False,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.292,"{""rsi_lower"":38,""rsi_upper"":61,""rsi_window"":20,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,42,3,1,2,33.33,19400.0,-340210.8,162.67,,74.19,19399.999999999975,-384056.0,-66.1,-0.33,-0.37,0.0389,-0.02,26,3,0,3,0.0,0.0,-34104.83,68.33,,20.83,-11309.10000000004,-56321.399999999965,-10.23,-0.14,-0.15,0.0158,-0.01,68,6,1,5,16.67,19400.0,-137997.6,119.17,,74.19,19399.999999999975,-384056.0,-67.06,-0.24,-0.26,0.0328,-0.01
