ticker,strategy_type,timeframe,method,trial_number,composite_score,param_vwap_window,param_vwap_tol,param_vwap_mode,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,vwap,1D,Bayesian_TPE,0,0.143,87,0.02,rolling,True,-62.93,-0.163,-0.197,71.75,56,25.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":87,""vwap_tol"":0.02,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,167.0,56.0,14.0,42.0,25.0,85839.95,-43597.56,69.96,,71.75,455175.29999999993,-265692.20999999996,-62.93,-0.16,-0.2,0.0183,-0.0,23.0,12.0,2.0,10.0,16.67,86113.6,-41110.38,38.83,,38.27,95598.08000000006,-70312.00000000009,-23.89,-0.45,-0.71,0.0177,-0.02,190.0,67.0,15.0,52.0,22.39,83601.99,-38070.73,65.57,,78.52,455175.29999999993,-265692.20999999996,-72.56,-0.21,-0.26,0.0182,-0.0
GAZP,vwap,1D,Bayesian_TPE,1,-0.005,30,0.018,yearly,False,-3.2,0.088,0.071,54.67,28,28.57,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":30,""vwap_tol"":0.018000000000000002,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,172.0,28.0,8.0,20.0,28.57,170679.89,-69872.64,62.0,,54.67,591624.0,-524539.8899999999,-3.2,0.09,0.07,0.0124,0.0,17.0,3.0,1.0,2.0,33.33,180870.68,-31327.49,49.0,,18.35,180870.68,-34226.42000000001,11.82,0.5,0.53,0.0102,0.03,189.0,31.0,9.0,22.0,29.03,171167.5,-66277.3,60.74,,54.67,591624.0,-524539.8899999999,8.24,0.13,0.11,0.0121,0.0
GAZP,vwap,1D,Bayesian_TPE,2,0.001,170,0.005,yearly,False,-20.91,-0.003,-0.003,58.72,65,24.62,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":170,""vwap_tol"":0.005,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,189.0,65.0,16.0,48.0,24.62,87384.19,-33484.07,27.43,,58.72,525954.1499999999,-436094.3399999999,-20.91,-0.0,-0.0,0.0126,-0.0,16.0,6.0,3.0,3.0,50.0,62839.31,-34158.85,26.0,,17.22,173261.08000000002,-42018.559999999874,8.6,0.38,0.39,0.0105,0.02,205.0,70.0,19.0,51.0,27.14,81218.05,-33487.32,27.83,,61.55,525954.1499999999,-436094.3399999999,-16.47,0.03,0.02,0.0123,0.0
GAZP,vwap,1D,Bayesian_TPE,3,0.046,98,0.006,rolling,False,-35.22,-0.09,-0.076,69.32,48,18.75,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":98,""vwap_tol"":0.006,""vwap_mode"":""rolling"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,160.0,48.0,9.0,39.0,18.75,138279.95,-40942.25,39.69,,69.32,717001.7999999999,-453616.8000000001,-35.22,-0.09,-0.08,0.0127,-0.0,25.0,9.0,2.0,7.0,22.22,54275.97,-34091.33,26.67,,36.48,106179.76000000008,-76789.68000000001,-13.01,-0.36,-0.41,0.0119,-0.01,185.0,57.0,10.0,47.0,17.54,128563.47,-37461.75,37.81,,73.91,717001.7999999999,-453616.8000000001,-47.51,-0.15,-0.13,0.0127,-0.0
GAZP,vwap,1D,Bayesian_TPE,4,-0.026,102,0.016,yearly,True,-28.53,0.052,0.066,57.89,64,25.0,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":102,""vwap_tol"":0.016,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,175.0,64.0,16.0,48.0,25.0,91455.01,-36428.4,62.44,,57.89,367848.0,-350404.37999999995,-28.53,0.05,0.07,0.019,0.0,17.0,7.0,2.0,5.0,28.57,187313.34,-36654.12,66.43,,16.87,204647.23999999996,-60149.97999999995,19.14,0.55,0.91,0.0157,0.05,192.0,70.0,19.0,51.0,27.14,92518.91,-36089.14,63.87,,57.89,367848.0,-350404.37999999995,-8.27,0.13,0.17,0.0186,0.0
GAZP,vwap,1D,Bayesian_TPE,5,-0.006,129,0.004,yearly,True,-37.58,0.01,0.013,62.69,135,22.96,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":129,""vwap_tol"":0.004,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,186.0,135.0,31.0,103.0,22.96,49949.32,-18681.92,29.7,,62.69,355701.24,-292270.31999999995,-37.58,0.01,0.01,0.019,0.0,16.0,12.0,6.0,6.0,50.0,66429.06,-35320.04,38.83,,18.63,181159.02,-57628.49999999995,18.67,0.53,0.86,0.0162,0.05,202.0,146.0,37.0,109.0,25.34,48387.56,-18991.47,30.71,,62.69,355701.24,-292270.31999999995,-27.97,0.06,0.08,0.0186,0.0
GAZP,vwap,1D,Bayesian_TPE,6,0.096,75,0.002,rolling,False,-44.23,-0.158,-0.13,73.15,80,13.75,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":75,""vwap_tol"":0.002,""vwap_mode"":""rolling"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,194.0,80.0,11.0,69.0,13.75,133165.06,-27640.01,23.29,,73.15,778610.7000000001,-434049.86999999994,-44.23,-0.16,-0.13,0.0127,-0.0,20.0,8.0,3.0,5.0,37.5,54203.54,-12448.16,28.12,,22.63,148719.3400000001,-27927.25,10.04,0.39,0.46,0.0124,0.02,214.0,88.0,13.0,75.0,14.77,117561.83,-26088.92,23.84,,73.76,778610.7000000001,-434049.86999999994,-42.84,-0.11,-0.1,0.0127,-0.0
GAZP,vwap,1D,Bayesian_TPE,7,-0.007,26,0.019,yearly,False,-4.56,0.081,0.066,55.14,27,29.63,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":26,""vwap_tol"":0.019000000000000003,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,172.0,27.0,8.0,19.0,29.63,170073.74,-74008.03,64.63,,55.14,589464.0,-522673.1999999999,-4.56,0.08,0.07,0.0124,0.0,14.0,2.0,1.0,1.0,50.0,180870.68,-18092.44,79.5,,16.27,180870.68,-18092.43999999998,16.28,0.64,0.7,0.0103,0.04,186.0,29.0,9.0,20.0,31.03,170356.55,-71171.02,65.66,,55.14,589464.0,-522673.1999999999,10.98,0.14,0.12,0.0121,0.0
GAZP,vwap,1D,Bayesian_TPE,8,0.194,118,0.004,rolling,True,-68.29,-0.216,-0.262,75.88,107,16.82,True,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":118,""vwap_tol"":0.004,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,150.0,107.0,18.0,88.0,16.82,59263.84,-19882.79,36.69,,75.88,419847.68,-226139.0,-68.29,-0.22,-0.26,0.0182,-0.01,34.0,25.0,4.0,21.0,16.0,35427.16,-24636.71,18.6,,52.5,99786.08000000006,-75875.94000000002,-37.57,-0.89,-1.3,0.0175,-0.03,184.0,132.0,21.0,110.0,15.91,52222.37,-17384.02,33.34,,85.23,419847.68,-226139.0,-81.56,-0.32,-0.4,0.0181,-0.01
GAZP,vwap,1D,Bayesian_TPE,9,-0.007,128,0.019,yearly,False,-4.56,0.081,0.066,55.14,27,29.63,False,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}","{""vwap_window"":128,""vwap_tol"":0.019000000000000003,""vwap_mode"":""yearly"",""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,172.0,27.0,8.0,19.0,29.63,170073.74,-74008.03,64.63,,55.14,589464.0,-522673.1999999999,-4.56,0.08,0.07,0.0124,0.0,14.0,2.0,1.0,1.0,50.0,180870.68,-18092.44,79.5,,16.27,180870.68,-18092.43999999998,16.28,0.64,0.7,0.0103,0.04,186.0,29.0,9.0,20.0,31.03,170356.55,-71171.02,65.66,,55.14,589464.0,-522673.1999999999,10.98,0.14,0.12,0.0121,0.0
