ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.407,"{""vwap_window"":20,""vwap_tol"":0.016,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,286,133,49,84,36.84,114520.55,-47625.88,30.05,,49.69,567378.0000000001,-164448.89999999982,161.09,0.43,0.75,0.0192,0.02,44,18,9,9,50.0,87015.25,-51264.82,24.78,,24.99,229005.0,-104897.97000000012,32.18,0.76,1.18,0.0172,0.05,330,150,57,93,38.0,137034.33,-56400.77,29.81,,49.69,952015.0199999998,-282981.5900000003,256.57,0.48,0.82,0.0191,0.02
GAZP,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.103,"{""vwap_window"":20,""vwap_tol"":0.017,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,287,131,47,84,35.88,110470.48,-46352.59,30.5,,46.61,529569.9000000001,-158022.65000000026,129.85,0.4,0.68,0.0192,0.02,46,18,9,9,50.0,86997.86,-53230.02,24.78,,26.12,229005.0,-105064.60000000012,30.39,0.73,1.13,0.0172,0.05,333,148,55,93,37.16,129599.77,-54100.89,30.21,,46.61,838091.6399999999,-249515.27000000028,209.66,0.44,0.76,0.0191,0.02
GAZP,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.103,"{""vwap_window"":20,""vwap_tol"":0.017,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,287,131,47,84,35.88,110470.48,-46352.59,30.5,,46.61,529569.9000000001,-158022.65000000026,129.85,0.4,0.68,0.0192,0.02,46,18,9,9,50.0,86997.86,-53230.02,24.78,,26.12,229005.0,-105064.60000000012,30.39,0.73,1.13,0.0172,0.05,333,148,55,93,37.16,129599.77,-54100.89,30.21,,46.61,838091.6399999999,-249515.27000000028,209.66,0.44,0.76,0.0191,0.02
GAZP,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.103,"{""vwap_window"":20,""vwap_tol"":0.017,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,287,131,47,84,35.88,110470.48,-46352.59,30.5,,46.61,529569.9000000001,-158022.65000000026,129.85,0.4,0.68,0.0192,0.02,46,18,9,9,50.0,86997.86,-53230.02,24.78,,26.12,229005.0,-105064.60000000012,30.39,0.73,1.13,0.0172,0.05,333,148,55,93,37.16,129599.77,-54100.89,30.21,,46.61,838091.6399999999,-249515.27000000028,209.66,0.44,0.76,0.0191,0.02
GAZP,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.792,"{""vwap_window"":20,""vwap_tol"":0.02,""vwap_mode"":""rolling"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,273,119,41,78,34.45,122331.25,-51743.59,33.58,,43.44,497610.0000000001,-146562.89999999997,97.96,0.35,0.59,0.0193,0.02,44,18,9,9,50.0,79020.92,-58488.6,24.78,,32.69,229005.0,-101460.13000000012,18.48,0.51,0.8,0.0172,0.03,317,136,49,87,36.03,133387.36,-58766.4,32.88,,43.44,721789.7999999999,-207524.51000000024,142.33,0.38,0.64,0.0191,0.02
VKCO,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,1.937,"{""vwap_window"":112,""vwap_tol"":0.003,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,42,28,7,21,25.0,229384.89,-30271.85,39.68,,42.12,675013.2,-72240.0,97.0,0.84,1.22,0.0221,0.04,26,17,6,11,35.29,41307.27,-33691.86,27.53,,31.21,100776.49999999994,-50676.600000000035,-12.28,-0.13,-0.2,0.0183,-0.01,68,44,13,31,29.55,162660.71,-42332.42,36.05,,42.12,674616.5999999999,-104112.20000000008,80.23,0.56,0.82,0.0208,0.03
VKCO,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,1.937,"{""vwap_window"":108,""vwap_tol"":0.003,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,42,28,7,21,25.0,229384.89,-30271.85,39.68,,42.12,675013.2,-72240.0,97.0,0.84,1.22,0.0221,0.04,26,17,6,11,35.29,41307.27,-33691.86,27.53,,31.21,100776.49999999994,-50676.600000000035,-12.28,-0.13,-0.2,0.0183,-0.01,68,44,13,31,29.55,162660.71,-42332.42,36.05,,42.12,674616.5999999999,-104112.20000000008,80.23,0.56,0.82,0.0208,0.03
VKCO,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,1.937,"{""vwap_window"":121,""vwap_tol"":0.003,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,42,28,7,21,25.0,229384.89,-30271.85,39.68,,42.12,675013.2,-72240.0,97.0,0.84,1.22,0.0221,0.04,26,17,6,11,35.29,41307.27,-33691.86,27.53,,31.21,100776.49999999994,-50676.600000000035,-12.28,-0.13,-0.2,0.0183,-0.01,68,44,13,31,29.55,162660.71,-42332.42,36.05,,42.12,674616.5999999999,-104112.20000000008,80.23,0.56,0.82,0.0208,0.03
VKCO,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,1.937,"{""vwap_window"":59,""vwap_tol"":0.003,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,42,28,7,21,25.0,229384.89,-30271.85,39.68,,42.12,675013.2,-72240.0,97.0,0.84,1.22,0.0221,0.04,26,17,6,11,35.29,41307.27,-33691.86,27.53,,31.21,100776.49999999994,-50676.600000000035,-12.28,-0.13,-0.2,0.0183,-0.01,68,44,13,31,29.55,162660.71,-42332.42,36.05,,42.12,674616.5999999999,-104112.20000000008,80.23,0.56,0.82,0.0208,0.03
VKCO,vwap,1D,True,Bayesian_TPE,"{""sampler"":""TPESampler"",""seed"":42,""n_trials"":50,""direction"":""maximize"",""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,1.937,"{""vwap_window"":52,""vwap_tol"":0.003,""vwap_mode"":""yearly"",""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,42,28,7,21,25.0,229384.89,-30271.85,39.68,,42.12,675013.2,-72240.0,97.0,0.84,1.22,0.0221,0.04,26,17,6,11,35.29,41307.27,-33691.86,27.53,,31.21,100776.49999999994,-50676.600000000035,-12.28,-0.13,-0.2,0.0183,-0.01,68,44,13,31,29.55,162660.71,-42332.42,36.05,,42.12,674616.5999999999,-104112.20000000008,80.23,0.56,0.82,0.0208,0.03
