ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,6.102,"{""short_ema"":88,""long_ema"":113,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2670.2,-148192.37,66.75,,50.03,2670.1999999999066,-201628.2000000001,-44.19,-1.5,-1.52,0.0139,-0.04,7,7,4,3,57.14,400241.9,-384476.03,223.57,,50.04,802107.9000000001,-523069.20000000024,44.75,0.42,0.6,0.0188,0.02
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,6.102,"{""short_ema"":90,""long_ema"":111,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2680.6,-147394.37,66.5,,50.03,2680.5999999999062,-198144.0,-43.95,-1.49,-1.51,0.0139,-0.04,7,7,4,3,57.14,401320.15,-383028.97,223.57,,50.04,806379.3000000002,-514944.0,45.62,0.43,0.6,0.0188,0.02
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,6.102,"{""short_ema"":84,""long_ema"":117,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2670.2,-148192.37,66.75,,50.03,2670.1999999999066,-201628.2000000001,-44.19,-1.5,-1.52,0.0139,-0.04,7,7,4,3,57.14,400241.9,-384476.03,223.57,,50.04,802107.9000000001,-523069.20000000024,44.75,0.42,0.6,0.0188,0.02
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,6.102,"{""short_ema"":85,""long_ema"":116,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2670.2,-148192.37,66.75,,50.03,2670.1999999999066,-201628.2000000001,-44.19,-1.5,-1.52,0.0139,-0.04,7,7,4,3,57.14,400241.9,-384476.03,223.57,,50.04,802107.9000000001,-523069.20000000024,44.75,0.42,0.6,0.0188,0.02
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,6.102,"{""short_ema"":87,""long_ema"":114,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2670.2,-148192.37,66.75,,50.03,2670.1999999999066,-201628.2000000001,-44.19,-1.5,-1.52,0.0139,-0.04,7,7,4,3,57.14,400241.9,-384476.03,223.57,,50.04,802107.9000000001,-523069.20000000024,44.75,0.42,0.6,0.0188,0.02
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,3.467,"{""rsi_lower"":22,""rsi_upper"":71,""rsi_window"":29,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,3.467,"{""rsi_lower"":16,""rsi_upper"":71,""rsi_window"":30,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,3.467,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":27,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,3.467,"{""rsi_lower"":26,""rsi_upper"":71,""rsi_window"":29,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,3.467,"{""rsi_lower"":20,""rsi_upper"":71,""rsi_window"":29,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
