ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
VKCO,breakout_ols,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,3.62,"{""lookback"":230,""pivot_window"":4,""min_touches"":2,""tolerance_atr_mult"":0.85,""cluster_atr_mult"":1.15,""confirmation_bars"":2,""cooldown_bars"":10,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,24,7,5,2,71.43,128310.08,-37398.7,36.57,,15.22,431036.9999999999,-38964.200000000026,56.68,0.97,0.82,0.011,0.07,19,5,1,4,20.0,126304.6,-63572.05,61.6,,30.89,126304.59999999996,-95842.00000000006,-12.8,-0.2,-0.26,0.0161,-0.01,43,11,6,5,54.55,138634.55,-71079.82,52.82,,30.89,431036.9999999999,-162274.00000000012,47.64,0.5,0.54,0.0136,0.02
VKCO,breakout_ols,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,3.62,"{""lookback"":230,""pivot_window"":4,""min_touches"":2,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":1.2,""confirmation_bars"":2,""cooldown_bars"":10,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,24,7,5,2,71.43,128310.08,-37398.7,36.57,,15.22,431036.9999999999,-38964.200000000026,56.68,0.97,0.82,0.011,0.07,18,5,1,4,20.0,126304.6,-63572.05,61.6,,30.89,126304.59999999996,-95842.00000000006,-12.8,-0.2,-0.26,0.0161,-0.01,42,11,6,5,54.55,138634.55,-71079.82,52.82,,30.89,431036.9999999999,-162274.00000000012,47.64,0.5,0.54,0.0136,0.02
VKCO,breakout_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,3.62,"{""lookback"":228,""pivot_window"":4,""min_touches"":2,""tolerance_atr_mult"":1.05,""cluster_atr_mult"":1.15,""confirmation_bars"":2,""cooldown_bars"":9,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,25,7,5,2,71.43,128310.08,-37398.7,36.57,,15.22,431036.9999999999,-38964.200000000026,56.68,0.97,0.82,0.011,0.07,20,5,1,4,20.0,104023.2,-63161.2,65.6,,32.72,104023.1999999999,-95842.00000000006,-14.86,-0.21,-0.28,0.0176,-0.01,45,11,6,5,54.55,132348.85,-70521.12,54.64,,32.72,431036.9999999999,-162274.00000000012,44.15,0.47,0.5,0.0143,0.02
VKCO,breakout_ols,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,3.619,"{""lookback"":239,""pivot_window"":4,""min_touches"":2,""tolerance_atr_mult"":0.9,""cluster_atr_mult"":1.15,""confirmation_bars"":2,""cooldown_bars"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,30,7,5,2,71.43,127073.88,-37256.2,35.86,,15.22,429406.5999999999,-38804.00000000002,56.09,0.98,0.8,0.0108,0.07,27,7,1,6,14.29,126304.6,-53541.98,44.0,,30.89,126304.59999999996,-95842.00000000006,-19.49,-0.39,-0.49,0.0161,-0.02,57,13,6,7,46.15,137485.63,-66716.59,44.31,,30.89,429406.5999999999,-161651.2000000001,35.79,0.42,0.44,0.0135,0.02
VKCO,breakout_ols,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,3.619,"{""lookback"":239,""pivot_window"":4,""min_touches"":2,""tolerance_atr_mult"":0.65,""cluster_atr_mult"":1.15,""confirmation_bars"":2,""cooldown_bars"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,28,7,5,2,71.43,127073.88,-37256.2,35.86,,15.22,429406.5999999999,-38804.00000000002,56.09,0.98,0.8,0.0108,0.07,24,7,1,6,14.29,126304.6,-53541.98,44.0,,30.89,126304.59999999996,-95842.00000000006,-19.49,-0.39,-0.49,0.0161,-0.02,52,13,6,7,46.15,137485.63,-66716.59,44.31,,30.89,429406.5999999999,-161651.2000000001,35.79,0.42,0.44,0.0135,0.02
SBER,breakout_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,124.568,"{""lookback"":152,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":1.05,""confirmation_bars"":2,""cooldown_bars"":8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,148,29,24,5,82.76,921930.59,-161737.07,76.62,,25.55,9509060.88,-484516.7000000003,2131.76,1.49,1.65,0.0129,0.08,27,7,3,4,42.86,19243.34,-13477.13,37.71,,18.36,38441.70000000007,-29719.34999999996,0.38,0.08,0.08,0.0082,0.0,175,36,27,9,75.0,851388.09,-221141.05,69.25,,25.55,9509060.88,-651440.6399999991,2099.72,1.35,1.47,0.0124,0.07
SBER,breakout_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,124.568,"{""lookback"":152,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.6,""cluster_atr_mult"":1.05,""confirmation_bars"":2,""cooldown_bars"":8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,148,29,24,5,82.76,921930.59,-161737.07,76.62,,25.55,9509060.88,-484516.7000000003,2131.76,1.49,1.65,0.0129,0.08,27,7,3,4,42.86,19243.34,-13477.13,37.71,,18.36,38441.70000000007,-29719.34999999996,0.38,0.08,0.08,0.0082,0.0,175,36,27,9,75.0,851388.09,-221141.05,69.25,,25.55,9509060.88,-651440.6399999991,2099.72,1.35,1.47,0.0124,0.07
SBER,breakout_ols,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,124.568,"{""lookback"":152,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.55,""cluster_atr_mult"":1.05,""confirmation_bars"":2,""cooldown_bars"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,143,29,24,5,82.76,921930.59,-161737.07,76.62,,25.55,9509060.88,-484516.7000000003,2131.76,1.49,1.65,0.0129,0.08,26,7,3,4,42.86,19243.34,-13477.13,37.71,,18.36,38441.70000000007,-29719.34999999996,0.38,0.08,0.08,0.0082,0.0,169,36,27,9,75.0,851388.09,-221141.05,69.25,,25.55,9509060.88,-651440.6399999991,2099.72,1.35,1.47,0.0124,0.07
SBER,breakout_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,124.568,"{""lookback"":152,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":1.05,""confirmation_bars"":2,""cooldown_bars"":9,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,143,29,24,5,82.76,921930.59,-161737.07,76.62,,25.55,9509060.88,-484516.7000000003,2131.76,1.49,1.65,0.0129,0.08,26,7,3,4,42.86,19243.34,-13477.13,37.71,,18.36,38441.70000000007,-29719.34999999996,0.38,0.08,0.08,0.0082,0.0,169,36,27,9,75.0,851388.09,-221141.05,69.25,,25.55,9509060.88,-651440.6399999991,2099.72,1.35,1.47,0.0124,0.07
SBER,breakout_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,124.568,"{""lookback"":152,""pivot_window"":3,""min_touches"":3,""tolerance_atr_mult"":0.85,""cluster_atr_mult"":1.05,""confirmation_bars"":2,""cooldown_bars"":9,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,143,29,24,5,82.76,921930.59,-161737.07,76.62,,25.55,9509060.88,-484516.7000000003,2131.76,1.49,1.65,0.0129,0.08,26,7,3,4,42.86,19243.34,-13477.13,37.71,,18.36,38441.70000000007,-29719.34999999996,0.38,0.08,0.08,0.0082,0.0,169,36,27,9,75.0,851388.09,-221141.05,69.25,,25.55,9509060.88,-651440.6399999991,2099.72,1.35,1.47,0.0124,0.07
