ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
VKCO,breakout_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,12.601,"{""lookback"":232,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.65,""confirmation_bars"":2,""cooldown_bars"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15,4,4,0,100.0,218304.7,0.0,43.25,,9.23,429110.6,24708.000000000047,87.32,1.33,1.38,0.0109,0.16,16,3,2,1,66.67,102702.3,-56595.0,81.0,,24.91,170055.9999999999,-56595.0,14.88,0.52,0.78,0.0128,0.03,31,7,6,1,85.71,227140.1,-110940.0,69.43,,24.91,470685.9999999998,-110940.0,125.19,0.96,1.21,0.0131,0.05
VKCO,breakout_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,12.601,"{""lookback"":241,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.7,""confirmation_bars"":2,""cooldown_bars"":13,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,13,4,4,0,100.0,218304.7,0.0,43.25,,9.23,429110.6,24708.000000000047,87.32,1.33,1.38,0.0109,0.16,14,3,1,2,33.33,159987.2,-39664.05,80.0,,24.91,159987.19999999992,-56595.0,8.07,0.34,0.5,0.0122,0.02,27,7,5,2,71.43,254755.68,-77750.85,69.0,,24.91,470685.9999999998,-110940.0,111.83,0.91,1.13,0.0129,0.05
VKCO,breakout_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,12.601,"{""lookback"":246,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.7,""confirmation_bars"":2,""cooldown_bars"":8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15,4,4,0,100.0,218304.7,0.0,43.25,,9.23,429110.6,24708.000000000047,87.32,1.33,1.38,0.0109,0.16,18,3,2,1,66.67,100747.35,-56595.0,82.0,,24.91,169499.19999999992,-56595.0,14.49,0.51,0.77,0.0129,0.03,33,7,6,1,85.71,225850.52,-110940.0,69.86,,24.91,470685.9999999998,-110940.0,124.42,0.96,1.2,0.0131,0.05
VKCO,breakout_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,12.601,"{""lookback"":237,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.7,""confirmation_bars"":2,""cooldown_bars"":16,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,13,4,4,0,100.0,218304.7,0.0,43.25,,9.23,429110.6,24708.000000000047,87.32,1.33,1.38,0.0109,0.16,12,3,1,2,33.33,153491.2,-58252.7,69.67,,24.91,153491.19999999992,-59910.39999999993,3.7,0.21,0.32,0.0107,0.01,25,7,5,2,71.43,252222.24,-114193.6,64.57,,24.91,470685.9999999998,-117447.19999999984,103.27,0.89,1.09,0.0124,0.04
VKCO,breakout_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,12.601,"{""lookback"":235,""pivot_window"":5,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.7,""confirmation_bars"":2,""cooldown_bars"":8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,15,4,4,0,100.0,218304.7,0.0,43.25,,9.23,429110.6,24708.000000000047,87.32,1.33,1.38,0.0109,0.16,17,3,2,1,66.67,100747.35,-56595.0,82.0,,24.91,169499.19999999992,-56595.0,14.49,0.51,0.77,0.0129,0.03,32,7,6,1,85.71,225850.52,-110940.0,69.86,,24.91,470685.9999999998,-110940.0,124.42,0.96,1.2,0.0131,0.05
SBER,breakout_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,39.745,"{""lookback"":228,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.7,""confirmation_bars"":1,""cooldown_bars"":12,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,29,6,5,1,83.33,1592549.97,-53792.96,320.83,,23.78,4562371.4399999995,-53792.96000000019,790.9,1.19,1.29,0.0114,0.06,3,1,1,0,100.0,90007.92,0.0,162.0,,3.46,90007.91999999998,90007.91999999998,9.0,0.97,1.0,0.0035,0.1,32,7,6,1,85.71,1460786.91,-53792.96,298.14,,23.78,4562371.4399999995,-53792.96000000019,871.09,1.15,1.19,0.0107,0.05
SBER,breakout_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,36.596,"{""lookback"":227,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":1.2,""cluster_atr_mult"":0.65,""confirmation_bars"":1,""cooldown_bars"":9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,33,7,6,1,85.71,1262058.67,-50704.96,280.0,,23.78,4364034.84,-50704.96000000018,752.16,1.16,1.26,0.0116,0.06,6,1,0,1,0.0,0.0,-21382.62,377.0,,14.26,-21382.620000000043,-21382.620000000043,-2.14,0.0,0.0,0.0104,0.0,39,8,6,2,75.0,1262058.67,-116480.72,292.12,,23.78,4364034.84,-182256.48000000036,733.94,1.02,1.14,0.0114,0.05
SBER,breakout_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,35.195,"{""lookback"":228,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.75,""confirmation_bars"":2,""cooldown_bars"":19,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,23,6,5,1,83.33,1492151.52,-182948.58,321.33,,23.78,4259076.909999999,-182948.58000000005,727.78,1.15,1.24,0.0115,0.06,3,1,1,0,100.0,89873.68,0.0,161.0,,3.46,89873.6799999999,89873.6799999999,8.99,0.97,1.0,0.0035,0.1,26,7,6,1,85.71,1367451.0,-182948.58,298.43,,23.78,4259076.909999999,-182948.58000000005,802.18,1.11,1.15,0.0108,0.05
SBER,breakout_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,35.195,"{""lookback"":227,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":1.0,""cluster_atr_mult"":0.75,""confirmation_bars"":2,""cooldown_bars"":18,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,23,6,5,1,83.33,1492151.52,-182948.58,321.33,,23.78,4259076.909999999,-182948.58000000005,727.78,1.15,1.24,0.0115,0.06,4,1,1,0,100.0,4049.21,0.0,399.0,,14.26,4049.210000000007,4049.210000000007,0.4,0.1,0.12,0.0104,0.01,27,7,6,1,85.71,1249047.41,-182948.58,332.43,,23.78,4259076.909999999,-182948.58000000005,731.13,1.02,1.13,0.0114,0.05
SBER,breakout_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,35.195,"{""lookback"":228,""pivot_window"":9,""min_touches"":4,""tolerance_atr_mult"":0.95,""cluster_atr_mult"":0.85,""confirmation_bars"":2,""cooldown_bars"":16,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,27,6,5,1,83.33,1492151.52,-182948.58,321.33,,23.78,4259076.909999999,-182948.58000000005,727.78,1.15,1.24,0.0115,0.06,3,1,1,0,100.0,89873.68,0.0,161.0,,3.46,89873.6799999999,89873.6799999999,8.99,0.97,1.0,0.0035,0.1,30,7,6,1,85.71,1367451.0,-182948.58,298.43,,23.78,4259076.909999999,-182948.58000000005,802.18,1.11,1.15,0.0108,0.05
