ticker,strategy_type,timeframe,method,trial_number,composite_score,param_ensemble_window,param_min_votes,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,candle_ensemble,1D,DiffEvolution,0,5.453,10,2,0.1699064001441002,2.3388643246144056,False,296.95,0.704,0.731,38.34,84,58.33,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1,0.285,6,3,0.084744823789224,2.551591010764241,True,-103.77,-0.382,-0.277,139.05,5,40.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,2,3.03,4,3,0.1273822499066591,1.7886398006230593,True,373.39,0.599,0.721,73.81,12,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,3,0.004,8,4,0.0422738099005073,3.0719996821135283,False,2.09,0.133,0.081,73.81,1,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,4,1.54,7,3,0.1101097281184047,3.3464853204786777,False,137.54,0.449,0.451,40.11,15,60.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,5,0.252,4,4,0.1950092705339193,1.512597881257534,True,-313.27,-0.321,-0.223,399.71,2,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,6,-0.019,6,2,0.0676261166390031,2.7808952704072,True,-9.48,0.16,0.186,80.5,103,55.34,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,7,2.773,8,3,0.1524983815848827,2.110872197896242,False,201.87,0.557,0.539,40.55,43,65.12,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,8,0.063,9,3,0.0549734452180564,1.6562545131891966,True,-65.29,-0.072,-0.086,74.47,52,51.92,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,9,0.0,5,4,0.1397509891632944,3.4513333905488253,False,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,10,0.408,3,2,0.0974457459710538,2.2162442225962877,False,79.96,0.342,0.279,66.97,31,70.97,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,11,-0.016,7,3,0.1822738322708755,2.925065426155925,True,-42.95,0.026,0.036,71.33,75,48.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,12,0.09,8,2,0.125352792898193,2.648632485419512,True,-66.74,-0.111,-0.131,82.77,159,48.43,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,13,2.05,4,3,0.0401525495015084,2.490327425301075,False,275.06,0.55,0.583,73.81,1,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,14,4.235,6,3,0.1678675829712301,3.2239878699183464,False,272.11,0.614,0.556,39.45,21,71.43,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,15,3.762,9,4,0.0826322801224887,1.8861939050257208,True,443.59,0.626,0.766,73.81,13,61.54,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,16,0.175,9,3,0.1417055398412048,2.81943204626441,False,42.96,0.264,0.222,64.95,43,58.14,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,17,1.426,6,4,0.0571692775655537,2.040230870246887,True,227.79,0.462,0.621,73.81,4,75.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,18,0.088,5,2,0.18422064403072,3.3070955127477646,True,-68.2,-0.117,-0.142,90.97,150,52.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,19,0.063,8,3,0.099649322303012,1.582383256405592,False,21.57,0.215,0.19,73.93,33,69.7,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,20,0.157,7,2,0.0314821074623614,1.8741875048726797,False,39.55,0.257,0.208,64.61,46,63.04,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,21,0.398,3,3,0.1169236331619322,3.0166034046560526,True,-263.5,-0.492,-0.331,325.64,2,0.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,22,-0.045,5,3,0.0739540940988808,2.252216527238488,True,-81.16,0.053,0.074,95.88,12,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,23,0.601,9,4,0.1594461621530354,2.605890115723014,False,112.63,0.394,0.305,73.81,10,70.0,,,,,,,,,
