ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
SBER,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,190.12,"{""ensemble_window"":7,""min_votes"":3,""doji_tol"":0.059466039780527356,""wick_body_ratio"":2.6784739028662443,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,33,13,11,2,84.62,4160949.21,-2396825.61,295.92,,29.42,18086396.16,-4369002.479999997,4097.68,1.37,2.03,0.0175,0.08,13,8,5,3,62.5,20292.32,-26014.69,38.0,,9.1,35152.819999999985,-38325.720000000096,2.34,0.18,0.17,0.0075,0.01,46,20,16,4,80.0,2823974.32,-1775236.13,216.1,,29.42,18086396.16,-4369002.479999997,3808.26,1.22,1.79,0.0168,0.07
SBER,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,190.12,"{""ensemble_window"":7,""min_votes"":3,""doji_tol"":0.06066599527744145,""wick_body_ratio"":2.661410537264988,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,33,13,11,2,84.62,4160949.21,-2396825.61,295.92,,29.42,18086396.16,-4369002.479999997,4097.68,1.37,2.03,0.0175,0.08,13,8,5,3,62.5,20292.32,-26014.69,38.0,,9.1,35152.819999999985,-38325.720000000096,2.34,0.18,0.17,0.0075,0.01,46,20,16,4,80.0,2823974.32,-1775236.13,216.1,,29.42,18086396.16,-4369002.479999997,3808.26,1.22,1.79,0.0168,0.07
SBER,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,190.12,"{""ensemble_window"":7,""min_votes"":3,""doji_tol"":0.060694370450888144,""wick_body_ratio"":2.6289528422721635,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,33,13,11,2,84.62,4160949.21,-2396825.61,295.92,,29.42,18086396.16,-4369002.479999997,4097.68,1.37,2.03,0.0175,0.08,13,8,5,3,62.5,20292.32,-26014.69,38.0,,9.1,35152.819999999985,-38325.720000000096,2.34,0.18,0.17,0.0075,0.01,46,20,16,4,80.0,2823974.32,-1775236.13,216.1,,29.42,18086396.16,-4369002.479999997,3808.26,1.22,1.79,0.0168,0.07
SBER,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,190.12,"{""ensemble_window"":7,""min_votes"":3,""doji_tol"":0.060694370450888144,""wick_body_ratio"":2.7300990187296543,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,32,13,11,2,84.62,4160949.21,-2396825.61,295.92,,29.42,18086396.16,-4369002.479999997,4097.68,1.37,2.03,0.0175,0.08,13,8,5,3,62.5,20292.32,-26014.69,38.0,,9.1,35152.819999999985,-38325.720000000096,2.34,0.18,0.17,0.0075,0.01,45,20,16,4,80.0,2823974.32,-1775236.13,216.1,,29.42,18086396.16,-4369002.479999997,3808.26,1.22,1.79,0.0168,0.07
SBER,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,190.12,"{""ensemble_window"":7,""min_votes"":3,""doji_tol"":0.061429860488025,""wick_body_ratio"":2.620071772104052,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,33,13,11,2,84.62,4160949.21,-2396825.61,295.92,,29.42,18086396.16,-4369002.479999997,4097.68,1.37,2.03,0.0175,0.08,13,8,5,3,62.5,20292.32,-26014.69,38.0,,9.1,35152.819999999985,-38325.720000000096,2.34,0.18,0.17,0.0075,0.01,46,20,16,4,80.0,2823974.32,-1775236.13,216.1,,29.42,18086396.16,-4369002.479999997,3808.26,1.22,1.79,0.0168,0.07
VKCO,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,39.443,"{""ensemble_window"":7,""min_votes"":3,""doji_tol"":0.16,""wick_body_ratio"":1.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,20,14,6,70.0,704602.91,-223428.87,55.25,,39.98,2780281.1999999997,-590875.2000000012,852.39,1.85,2.63,0.0305,0.14,28,14,4,9,28.57,84238.17,-45409.54,30.36,,29.47,187753.19999999995,-172636.80000000005,-7.17,0.0,0.0,0.0191,0.0,77,34,19,14,55.88,703135.19,-374017.47,46.47,,39.98,2780281.1999999997,-1697320.8000000003,812.33,1.33,1.95,0.0275,0.09
VKCO,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,33.977,"{""ensemble_window"":7,""min_votes"":3,""doji_tol"":0.12,""wick_body_ratio"":1.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,44,16,13,3,81.25,640848.28,-231763.6,69.06,,39.98,2873804.8000000003,-630260.4000000003,763.57,1.78,2.51,0.0306,0.14,24,14,5,8,35.71,73981.44,-47317.34,30.36,,29.47,187753.19999999995,-172636.80000000005,-0.86,0.13,0.19,0.0191,0.01,68,30,18,11,60.0,646007.4,-344819.75,52.67,,39.98,2873804.8000000003,-1539031.2000000002,783.51,1.32,1.91,0.0275,0.09
VKCO,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,33.977,"{""ensemble_window"":7,""min_votes"":3,""doji_tol"":0.11,""wick_body_ratio"":1.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,43,16,13,3,81.25,640848.28,-231763.6,69.06,,39.98,2873804.8000000003,-630260.4000000003,763.57,1.78,2.51,0.0306,0.14,24,14,5,8,35.71,73981.44,-47317.34,30.36,,29.47,187753.19999999995,-172636.80000000005,-0.86,0.13,0.19,0.0191,0.01,67,30,18,11,60.0,646007.4,-344819.75,52.67,,39.98,2873804.8000000003,-1539031.2000000002,783.51,1.32,1.91,0.0275,0.09
VKCO,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,32.2,"{""ensemble_window"":9,""min_votes"":3,""doji_tol"":0.2,""wick_body_ratio"":1.7,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,68,34,18,16,52.94,504912.92,-155819.85,32.5,,33.96,1497984.0,-538975.0,659.53,1.66,2.8,0.0312,0.15,41,19,3,16,15.79,81110.9,-44293.37,22.79,,50.92,132699.10000000003,-217459.2,-46.54,-0.99,-1.33,0.0207,-0.04,109,53,21,32,39.62,519475.28,-247176.85,29.81,,57.64,1497984.0,-1626979.9000000001,299.93,0.9,1.47,0.0283,0.04
VKCO,candle_ensemble,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,31.307,"{""ensemble_window"":8,""min_votes"":3,""doji_tol"":0.2,""wick_body_ratio"":1.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,60,30,16,14,53.33,554608.26,-174146.26,36.83,,33.96,2156480.0,-880011.9999999995,643.57,1.65,2.78,0.0309,0.15,33,15,5,10,33.33,89869.42,-34578.9,28.33,,27.84,183720.0,-117066.60000000003,10.36,0.35,0.47,0.0188,0.02,93,45,22,23,48.89,566569.77,-217248.69,35.11,,33.96,2156480.0,-898581.6000000003,746.78,1.29,2.09,0.0277,0.1
