ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,ema,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.755,"{""short_ema"":57,""long_ema"":84,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,21,10,3,7,30.0,413531.07,-78924.09,187.9,,31.98,690475.2000000001,-202008.3800000001,68.81,0.35,0.4,0.0116,0.01,11,6,1,5,16.67,255.68,-39253.48,36.5,,39.99,255.68000000003997,-112610.90999999992,-19.6,-0.52,-0.49,0.0135,-0.02,32,16,4,12,25.0,310256.21,-73649.36,131.12,,46.9,690475.2000000001,-202008.3800000001,35.72,0.22,0.25,0.0119,0.01
GAZP,ema,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.755,"{""short_ema"":55,""long_ema"":87,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,21,10,3,7,30.0,413531.07,-78924.09,187.9,,31.98,690475.2000000001,-202008.3800000001,68.81,0.35,0.4,0.0116,0.01,11,6,1,5,16.67,254.92,-39707.71,36.33,,39.99,254.92000000003983,-112610.90999999992,-19.83,-0.52,-0.49,0.0135,-0.02,32,16,4,12,25.0,310255.91,-73968.88,131.06,,46.9,690475.2000000001,-202008.3800000001,35.34,0.22,0.24,0.0119,0.01
GAZP,ema,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.75,"{""short_ema"":56,""long_ema"":85,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,21,10,3,7,30.0,413531.07,-79135.2,188.2,,32.04,690475.2000000001,-203556.42,68.66,0.35,0.4,0.0116,0.01,11,6,1,5,16.67,250.48,-42506.22,36.83,,41.2,250.48000000003915,-112610.90999999992,-21.23,-0.57,-0.54,0.0135,-0.02,32,16,4,12,25.0,310253.93,-76035.08,131.44,,48.02,690475.2000000001,-203556.42,32.86,0.21,0.24,0.0119,0.01
GAZP,ema,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.715,"{""short_ema"":56,""long_ema"":86,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,21,10,3,7,30.0,404466.45,-78367.78,187.8,,31.98,680928.9600000001,-199215.3800000001,66.48,0.34,0.4,0.0116,0.01,9,5,2,3,40.0,4108.59,-51055.37,44.2,,36.0,7945.299999999959,-99299.89999999988,-14.49,-0.33,-0.32,0.0136,-0.01,30,15,5,10,33.33,245416.13,-80356.22,139.93,,43.36,680928.9600000001,-199215.3800000001,42.35,0.24,0.27,0.0119,0.01
GAZP,ema,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.682,"{""short_ema"":58,""long_ema"":83,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,21,10,3,7,30.0,408422.59,-81738.49,188.3,,32.56,681905.2800000001,-214407.1499999999,65.31,0.34,0.39,0.0116,0.01,9,5,2,3,40.0,4111.29,-45435.3,44.6,,34.92,7945.299999999959,-83996.67999999988,-12.81,-0.28,-0.26,0.0136,-0.01,30,15,5,10,33.33,247772.24,-79750.31,140.4,,42.9,681905.2800000001,-214407.1499999999,44.14,0.25,0.27,0.0119,0.01
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,6.102,"{""short_ema"":88,""long_ema"":113,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2670.2,-148192.37,66.75,,50.03,2670.1999999999066,-201628.2000000001,-44.19,-1.5,-1.52,0.0139,-0.04,7,7,4,3,57.14,400241.9,-384476.03,223.57,,50.04,802107.9000000001,-523069.20000000024,44.75,0.42,0.6,0.0188,0.02
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,6.102,"{""short_ema"":90,""long_ema"":111,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2680.6,-147394.37,66.5,,50.03,2680.5999999999062,-198144.0,-43.95,-1.49,-1.51,0.0139,-0.04,7,7,4,3,57.14,401320.15,-383028.97,223.57,,50.04,806379.3000000002,-514944.0,45.62,0.43,0.6,0.0188,0.02
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,6.102,"{""short_ema"":84,""long_ema"":117,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2670.2,-148192.37,66.75,,50.03,2670.1999999999066,-201628.2000000001,-44.19,-1.5,-1.52,0.0139,-0.04,7,7,4,3,57.14,400241.9,-384476.03,223.57,,50.04,802107.9000000001,-523069.20000000024,44.75,0.42,0.6,0.0188,0.02
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,6.102,"{""short_ema"":85,""long_ema"":116,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2670.2,-148192.37,66.75,,50.03,2670.1999999999066,-201628.2000000001,-44.19,-1.5,-1.52,0.0139,-0.04,7,7,4,3,57.14,400241.9,-384476.03,223.57,,50.04,802107.9000000001,-523069.20000000024,44.75,0.42,0.6,0.0188,0.02
VKCO,ema,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,6.102,"{""short_ema"":87,""long_ema"":114,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,3,3,3,0,100.0,543449.8,0.0,363.33,,31.66,838414.8000000002,364899.6000000001,163.03,1.19,1.73,0.0206,0.08,4,4,1,3,25.0,2670.2,-148192.37,66.75,,50.03,2670.1999999999066,-201628.2000000001,-44.19,-1.5,-1.52,0.0139,-0.04,7,7,4,3,57.14,400241.9,-384476.03,223.57,,50.04,802107.9000000001,-523069.20000000024,44.75,0.42,0.6,0.0188,0.02
