ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
SBER,hammerdoji,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,2.555,"{""doji_tol"":0.0392676328187056,""wick_body_ratio"":3.1429519944110957,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,166,40,30,10,75.0,258169.39,-470866.24,61.67,,71.3,683862.3200000001,-1950603.4499999995,303.64,0.6,0.53,0.0179,0.02,27,8,4,4,50.0,46999.24,-28251.68,33.12,,11.81,146099.96999999994,-49342.5,7.5,0.37,0.43,0.0094,0.03,193,47,33,14,70.21,257914.66,-368969.27,58.45,,71.3,1194745.9500000002,-1950603.4499999995,334.56,0.57,0.51,0.017,0.01
SBER,hammerdoji,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,2.555,"{""doji_tol"":0.03897927427567981,""wick_body_ratio"":3.149205905901531,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,166,40,30,10,75.0,258169.39,-470866.24,61.67,,71.3,683862.3200000001,-1950603.4499999995,303.64,0.6,0.53,0.0179,0.02,26,8,4,4,50.0,46999.24,-28251.68,33.12,,11.81,146099.96999999994,-49342.5,7.5,0.37,0.43,0.0094,0.03,192,47,33,14,70.21,257914.66,-368969.27,58.45,,71.3,1194745.9500000002,-1950603.4499999995,334.56,0.57,0.51,0.017,0.01
SBER,hammerdoji,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,2.555,"{""doji_tol"":0.03853334751192615,""wick_body_ratio"":3.130617963091832,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,165,40,30,10,75.0,258169.39,-470866.24,61.67,,71.3,683862.3200000001,-1950603.4499999995,303.64,0.6,0.53,0.0179,0.02,26,8,4,4,50.0,46999.24,-28251.68,33.12,,11.81,146099.96999999994,-49342.5,7.5,0.37,0.43,0.0094,0.03,191,47,33,14,70.21,257914.66,-368969.27,58.45,,71.3,1194745.9500000002,-1950603.4499999995,334.56,0.57,0.51,0.017,0.01
SBER,hammerdoji,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,2.555,"{""doji_tol"":0.0388141503249423,""wick_body_ratio"":3.149205905901531,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,166,40,30,10,75.0,258169.39,-470866.24,61.67,,71.3,683862.3200000001,-1950603.4499999995,303.64,0.6,0.53,0.0179,0.02,26,8,4,4,50.0,46999.24,-28251.68,33.12,,11.81,146099.96999999994,-49342.5,7.5,0.37,0.43,0.0094,0.03,192,47,33,14,70.21,257914.66,-368969.27,58.45,,71.3,1194745.9500000002,-1950603.4499999995,334.56,0.57,0.51,0.017,0.01
SBER,hammerdoji,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,2.555,"{""doji_tol"":0.038895041204389066,""wick_body_ratio"":3.169749878403003,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,165,40,30,10,75.0,258169.39,-470866.24,61.67,,71.3,683862.3200000001,-1950603.4499999995,303.64,0.6,0.53,0.0179,0.02,25,8,4,4,50.0,46999.24,-28251.68,33.12,,11.81,146099.96999999994,-49342.5,7.5,0.37,0.43,0.0094,0.03,190,47,33,14,70.21,257914.66,-368969.27,58.45,,71.3,1194745.9500000002,-1950603.4499999995,334.56,0.57,0.51,0.017,0.01
VKCO,hammerdoji,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,31.623,"{""doji_tol"":0.11,""wick_body_ratio"":1.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,145,66,40,25,60.61,298793.64,-144244.32,16.82,,44.31,2231658.999999999,-1207912.1999999997,834.56,1.68,2.38,0.0346,0.13,71,29,13,16,44.83,44130.85,-53234.68,16.14,,45.28,124579.40000000011,-252120.59999999998,-27.81,-0.41,-0.59,0.0215,-0.02,216,94,52,41,55.32,321917.3,-274539.55,16.86,,45.28,2985517.0000000005,-2264535.0,548.36,1.09,1.56,0.0306,0.07
VKCO,hammerdoji,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,23.876,"{""doji_tol"":0.11,""wick_body_ratio"":1.9,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,128,58,35,22,60.34,280226.73,-95053.56,19.14,,53.07,2081489.199999999,-369680.8000000001,771.68,1.64,2.3,0.0344,0.11,61,27,13,13,48.15,36243.34,-61418.94,17.33,,49.01,124579.40000000011,-252120.59999999998,-32.73,-0.54,-0.77,0.0214,-0.02,189,84,47,35,55.95,285421.29,-250857.78,18.87,,53.07,2784619.6,-2112167.6999999997,463.48,1.03,1.46,0.0304,0.06
VKCO,hammerdoji,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,23.035,"{""doji_tol"":0.11,""wick_body_ratio"":2.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,123,56,34,21,60.71,282215.31,-99123.9,19.82,,53.07,2032999.199999999,-369680.8000000001,751.37,1.63,2.28,0.0344,0.11,58,23,10,12,43.48,35196.45,-66846.15,20.35,,58.32,124579.40000000011,-264957.00000000006,-45.02,-0.9,-1.3,0.0215,-0.03,181,78,43,33,55.13,282379.39,-261977.13,20.32,,58.34,2719749.6,-2168296.2000000007,349.71,0.93,1.32,0.0304,0.05
VKCO,hammerdoji,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,15.946,"{""doji_tol"":0.13,""wick_body_ratio"":1.6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,154,71,43,27,60.56,258275.73,-224403.89,15.63,,44.31,1337564.0,-2098687.999999999,504.7,1.4,1.87,0.0349,0.11,76,33,16,17,48.48,56976.64,-48443.8,14.18,,31.34,127622.40000000004,-252120.59999999998,8.81,0.32,0.49,0.021,0.02,230,104,59,44,56.73,287860.97,-249294.34,15.24,,44.31,1337564.0,-1698625.5999999994,601.48,1.13,1.53,0.0307,0.08
VKCO,hammerdoji,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,15.352,"{""doji_tol"":0.11,""wick_body_ratio"":2.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,119,54,32,21,59.26,228551.61,-82896.9,20.56,,53.07,1569509.3999999992,-285288.80000000005,557.28,1.46,2.05,0.0345,0.09,55,23,10,12,43.48,38246.92,-67565.31,20.35,,56.67,124579.40000000011,-252191.69999999998,-42.83,-0.83,-1.19,0.0214,-0.03,174,76,41,33,53.95,231043.46,-207951.67,20.86,,56.67,2099692.2,-1592853.2999999998,261.04,0.83,1.17,0.0305,0.04
