ticker,strategy_type,timeframe,method,trial_number,composite_score,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,harami,1D,DiffEvolution,0,7.942,0.1995772654004395,1.7087327763438225,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,1,2.446,0.0678556817956268,2.973935155197978,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,2,7.942,0.1117600905522704,2.2126529458910227,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,3,2.446,0.1556799983605742,3.477725919336081,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,4,2.446,0.1229535889718681,2.4226465802639723,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,5,7.942,0.0815652978513389,3.125225208699703,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,6,2.446,0.0404429516103118,1.9342879317700865,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,7,7.942,0.1640713950898498,2.636980826035142,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,8,2.446,0.1751250982191413,2.0793049335479736,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,9,7.942,0.0491489684488624,3.345474636182189,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,10,2.446,0.0929442635271698,1.5911060888320208,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,11,7.942,0.1313265612814575,2.857161048799753,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,12,7.942,0.145665504001081,1.8010295685380695,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,13,2.446,0.0993560006842017,2.504578858613968,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,14,7.942,0.0581767448969185,2.3049264289438725,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
SBER,harami,1D,DiffEvolution,15,2.446,0.186850588042289,3.0086056012660265,True,355.73,0.526,0.812,76.49,13,69.23,,,,,,,,,
SBER,harami,1D,DiffEvolution,16,7.942,0.1824878708273172,2.3431809563189745,False,465.97,0.769,0.881,45.12,7,71.43,,,,,,,,,
