ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,macd,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,11.808,"{""macd_fast"":6,""macd_slow"":24,""macd_signal"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,340,340,133,207,39.12,152074.43,-60866.09,11.77,,51.22,1513991.82,-581967.6500000006,762.66,0.79,1.27,0.0192,0.03,51,51,23,28,45.1,64058.28,-33108.37,9.12,,20.93,306005.75999999995,-77800.39999999986,54.63,1.08,1.85,0.0179,0.09,391,391,156,235,39.9,201769.7,-85317.2,11.45,,51.22,2459170.9799999995,-625257.399999999,1142.65,0.81,1.3,0.0191,0.03
GAZP,macd,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,11.494,"{""macd_fast"":5,""macd_slow"":23,""macd_signal"":6,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,340,340,135,205,39.71,145580.63,-59662.55,11.77,,50.76,1506344.1,-568203.9600000005,742.26,0.79,1.26,0.0192,0.03,51,51,23,28,45.1,63400.48,-33010.26,9.12,,20.93,303544.07999999996,-77177.29999999987,53.39,1.06,1.83,0.0179,0.09,391,391,158,233,40.41,193157.48,-83619.42,11.45,,50.76,2381770.0799999996,-605586.199999999,1103.56,0.8,1.29,0.0191,0.03
GAZP,macd,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,11.214,"{""macd_fast"":5,""macd_slow"":24,""macd_signal"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,360,180,75,105,41.67,112927.82,-46855.97,10.75,,25.07,1145546.2199999995,-371479.6800000001,354.97,0.79,1.01,0.0125,0.04,55,27,11,16,40.74,61756.79,-25149.55,8.04,,20.5,209817.71999999997,-63274.799999999894,27.69,0.79,0.96,0.0138,0.05,415,207,86,121,41.55,128344.36,-54755.62,10.44,,25.07,1145546.2199999995,-371479.6800000001,441.22,0.76,0.96,0.0128,0.04
GAZP,macd,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,9.585,"{""macd_fast"":6,""macd_slow"":22,""macd_signal"":5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,342,342,137,205,40.06,135759.06,-58666.03,11.7,,51.7,1292773.0500000005,-539381.7000000002,657.25,0.75,1.2,0.0193,0.03,51,51,24,27,47.06,65100.6,-34040.0,9.12,,19.77,303544.07999999996,-77177.29999999987,64.33,1.21,2.09,0.0179,0.11,393,393,161,232,40.97,180763.92,-79785.86,11.39,,51.7,2141377.5599999996,-544462.099999999,1059.27,0.79,1.27,0.0191,0.03
GAZP,macd,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,9.053,"{""macd_fast"":5,""macd_slow"":25,""macd_signal"":5,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,356,178,74,104,41.57,115849.61,-48733.81,10.97,,30.35,1031629.2000000002,-367785.9900000001,350.46,0.78,1.0,0.0126,0.03,53,26,11,15,42.31,66954.93,-26967.16,8.5,,20.5,240401.19999999992,-66001.6999999999,33.2,0.9,1.1,0.014,0.06,409,204,85,119,41.67,133592.28,-56855.79,10.71,,30.35,1031629.2000000002,-367785.9900000001,458.95,0.77,0.97,0.0128,0.03
VKCO,macd,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,0.862,"{""macd_fast"":19,""macd_slow"":50,""macd_signal"":14,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,36,18,6,12,33.33,45427.13,-83724.97,29.0,,75.63,86736.00000000003,-316614.2,-73.21,-0.89,-0.78,0.0259,-0.03,14,7,4,3,57.14,56738.92,-66417.8,32.86,,19.87,135426.29999999996,-90340.80000000008,2.77,0.18,0.22,0.0137,0.01,50,25,10,15,40.0,33291.83,-70531.06,31.6,,78.56,86736.00000000003,-316614.2,-72.5,-0.6,-0.55,0.0228,-0.02
VKCO,macd,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,0.862,"{""macd_fast"":20,""macd_slow"":49,""macd_signal"":13,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,36,18,6,12,33.33,45427.13,-83724.97,29.0,,75.63,86736.00000000003,-316614.2,-73.21,-0.89,-0.78,0.0259,-0.03,14,7,4,3,57.14,56738.92,-66417.8,32.86,,19.87,135426.29999999996,-90340.80000000008,2.77,0.18,0.22,0.0137,0.01,50,25,10,15,40.0,33291.83,-70531.06,31.6,,78.56,86736.00000000003,-316614.2,-72.5,-0.6,-0.55,0.0228,-0.02
VKCO,macd,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,0.86,"{""macd_fast"":20,""macd_slow"":50,""macd_signal"":13,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,36,18,6,12,33.33,45474.83,-83660.0,28.94,,75.53,86736.00000000003,-316614.2,-73.11,-0.89,-0.78,0.0259,-0.03,14,7,4,3,57.14,56738.92,-66417.8,32.86,,19.87,135426.29999999996,-90340.80000000008,2.77,0.18,0.22,0.0137,0.01,50,25,10,15,40.0,33344.48,-70493.95,31.56,,78.48,86736.00000000003,-316614.2,-72.4,-0.6,-0.54,0.0228,-0.02
VKCO,macd,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,0.851,"{""macd_fast"":18,""macd_slow"":49,""macd_signal"":14,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,36,18,6,12,33.33,47109.93,-84227.63,29.0,,75.26,86319.00000000003,-319590.6,-72.81,-0.88,-0.77,0.0259,-0.03,14,7,4,3,57.14,58855.87,-66523.4,32.71,,19.87,143173.79999999996,-90340.80000000008,3.59,0.21,0.24,0.0137,0.01,50,25,10,15,40.0,34620.44,-70994.63,31.56,,78.24,86319.00000000003,-319590.6,-71.87,-0.59,-0.53,0.0227,-0.02
VKCO,macd,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,0.847,"{""macd_fast"":19,""macd_slow"":50,""macd_signal"":13,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,36,18,6,12,33.33,47168.8,-84163.33,28.94,,75.16,86319.00000000003,-319590.6,-72.69,-0.88,-0.77,0.0259,-0.03,14,7,4,3,57.14,58855.87,-66523.4,32.71,,19.87,143173.79999999996,-90340.80000000008,3.59,0.21,0.24,0.0137,0.01,50,25,10,15,40.0,34685.12,-70958.05,31.52,,78.15,86319.00000000003,-319590.6,-71.75,-0.58,-0.53,0.0227,-0.02
