ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
SBER,obv,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,16.684,"{""obv_ema_window"":30,""confirmation_bars"":1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,344,172,54,118,31.4,163589.5,-30699.26,13.65,,28.05,2475325.3199999994,-365853.3,521.13,0.9,0.98,0.0133,0.04,54,27,4,23,14.81,14641.94,-10835.5,7.59,,23.72,30571.10000000009,-34938.86000000003,-19.06,-1.26,-0.97,0.0062,-0.03,398,199,58,141,29.15,169805.56,-37758.41,13.13,,28.05,2475325.3199999994,-365853.3,452.48,0.77,0.83,0.0127,0.04
SBER,obv,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,15.626,"{""obv_ema_window"":30,""confirmation_bars"":2,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,532,135,45,90,33.33,167979.05,-30261.7,16.59,,27.51,2283648.3799999994,-315009.51,483.55,0.89,0.94,0.0129,0.04,90,25,3,22,12.0,15588.63,-12037.19,7.8,,26.55,29654.800000000087,-33392.15000000002,-21.81,-1.54,-1.13,0.0059,-0.03,622,160,48,112,30.0,175767.84,-39483.75,15.58,,27.69,2283648.3799999994,-315009.51,401.47,0.75,0.79,0.0124,0.03
SBER,obv,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,14.657,"{""obv_ema_window"":29,""confirmation_bars"":1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,348,174,53,121,30.46,164179.73,-32679.67,13.43,,28.05,2397041.1399999997,-375757.38,474.73,0.87,0.94,0.0132,0.04,58,29,5,24,17.24,12863.2,-10723.08,6.93,,23.93,30475.90000000009,-34830.950000000026,-19.3,-1.28,-0.98,0.0062,-0.03,406,203,58,145,28.57,166843.63,-38482.94,12.79,,28.05,2397041.1399999997,-375757.38,409.69,0.74,0.8,0.0127,0.03
SBER,obv,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,14.293,"{""obv_ema_window"":28,""confirmation_bars"":1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,352,176,53,123,30.11,162998.3,-31693.93,13.23,,28.69,2092659.1999999995,-372726.39,474.06,0.87,0.94,0.0132,0.04,58,29,6,23,20.69,12250.06,-11839.81,6.83,,24.48,30261.700000000088,-35082.74000000003,-19.88,-1.32,-1.01,0.0062,-0.03,410,205,59,146,28.78,163916.38,-38469.69,12.61,,28.69,2092659.1999999995,-372726.39,405.45,0.74,0.79,0.0127,0.03
SBER,obv,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,13.457,"{""obv_ema_window"":29,""confirmation_bars"":2,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,540,138,43,95,31.16,170221.6,-31362.08,16.1,,27.51,2185707.9399999995,-317869.74,434.01,0.85,0.9,0.0129,0.04,95,26,4,22,15.38,13159.87,-12125.99,7.31,,26.76,29809.500000000084,-33296.230000000025,-21.41,-1.51,-1.09,0.0059,-0.03,635,164,47,117,28.66,173558.59,-38848.43,15.07,,27.89,2185707.9399999995,-317869.74,361.2,0.72,0.75,0.0123,0.03
VKCO,obv,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,16.221,"{""obv_ema_window"":11,""confirmation_bars"":2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,203,105,42,63,40.0,176579.19,-50790.22,10.58,,35.56,695138.3999999999,-242151.4000000006,421.65,1.37,2.05,0.0322,0.12,128,64,21,43,32.81,32825.25,-23403.37,7.27,,36.68,170336.10000000003,-133920.0,-31.7,-0.55,-0.72,0.0205,-0.03,331,169,63,106,37.28,168621.12,-77529.6,9.38,,39.53,849208.7000000002,-667920.0,240.5,0.82,1.19,0.0287,0.06
VKCO,obv,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,15.331,"{""obv_ema_window"":27,""confirmation_bars"":1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,79,79,23,56,29.11,335644.22,-76450.54,14.06,,30.57,1116004.7999999998,-354307.2000000002,343.86,1.36,2.25,0.0284,0.13,43,43,15,28,34.88,42985.48,-25781.7,10.23,,36.83,163723.0,-77827.19999999994,-7.71,-0.01,-0.01,0.0193,-0.0,122,122,38,84,31.15,284624.79,-90336.73,13.0,,37.1,1116004.7999999998,-356505.5999999997,322.75,0.98,1.58,0.0259,0.07
VKCO,obv,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,12.799,"{""obv_ema_window"":17,""confirmation_bars"":2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,163,85,32,52,37.65,210464.42,-67425.24,13.07,,31.23,866303.9999999997,-212098.7999999999,322.87,1.24,1.86,0.0317,0.13,108,57,18,39,31.58,37113.56,-22070.26,7.72,,34.47,157896.89999999994,-109942.20000000013,-19.27,-0.28,-0.39,0.0191,-0.02,271,142,50,91,35.21,195719.2,-79811.54,11.17,,34.48,1001663.9999999997,-479907.90000000055,252.31,0.84,1.26,0.0282,0.07
VKCO,obv,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,12.493,"{""obv_ema_window"":12,""confirmation_bars"":2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,196,105,42,63,40.0,162730.1,-52919.62,10.58,,35.56,599741.9999999999,-223203.80000000057,350.07,1.27,1.9,0.0322,0.12,120,58,20,38,34.48,39745.72,-23602.7,8.02,,28.91,191209.20000000007,-133920.0,-10.2,-0.04,-0.06,0.0202,-0.0,316,163,62,101,38.04,162191.42,-71215.95,9.73,,35.56,822661.0000000002,-576240.0,286.31,0.88,1.29,0.0286,0.07
VKCO,obv,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,12.329,"{""obv_ema_window"":19,""confirmation_bars"":2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,146,77,29,48,37.66,227352.97,-71236.87,14.43,,31.87,855039.9999999997,-287080.0,317.39,1.24,1.87,0.0314,0.12,102,53,17,35,32.08,38003.0,-22476.41,8.3,,34.47,159941.69999999995,-109942.20000000013,-14.06,-0.15,-0.22,0.0191,-0.01,248,130,46,83,35.38,206737.55,-82027.69,12.2,,34.48,988639.9999999997,-473666.1000000005,270.16,0.87,1.32,0.0279,0.07
