ticker,strategy_type,timeframe,method,trial_number,composite_score,param_lookback,param_pivot_window,param_min_touches,param_tolerance_atr_mult,param_cluster_atr_mult,param_confirmation_bars,param_cooldown_bars,param_retest_window,param_cancel_atr_mult,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,retest_ols,1D,DiffEvolution,0,7.815,300,4,4,0.6774889460764826,0.7754898679442703,1,11,32,0.9421482775360346,False,364.84,0.784,0.792,36.6,28,57.14,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,1,6.363,163,8,3,1.0451202794909478,0.6186299454420805,2,19,19,2.007098140195012,True,302.92,0.735,0.73,34.99,16,75.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,2,1.679,124,6,4,0.4086529067717493,0.5146416834555567,3,5,16,1.797138772904873,True,126.34,0.465,0.468,34.99,12,75.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,3,1.763,238,10,2,0.8846131905913353,1.0907450353726744,2,13,36,1.2380489856004715,False,130.43,0.473,0.451,34.99,17,52.94,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,4,11.559,210,7,3,0.7907477673143148,1.0632518925704062,1,7,12,1.6615679636597631,True,363.9,0.817,0.845,25.72,18,55.56,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,5,0.0,127,11,5,0.4801044504158199,0.3175197400152684,2,15,36,1.3505407869815826,False,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,6,0.328,185,4,3,1.193615185841918,0.6492541867308319,3,8,25,0.5800388399511576,False,70.64,0.33,0.258,71.05,17,64.71,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,7,2.308,253,9,4,0.5478921870701015,0.9704694690182804,2,17,23,2.393018888309598,True,186.33,0.593,0.591,47.88,8,62.5,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,8,-0.012,266,5,2,0.41480218693614,0.5375534657388925,2,6,13,1.5714944638311863,False,-8.6,0.118,0.096,84.04,21,33.33,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,9,0.116,196,10,4,0.8345160230062902,0.8570607324130833,3,14,39,1.3854518048465252,True,34.88,0.245,0.204,73.81,8,50.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,10,2.954,142,3,3,0.5992620460689068,1.1784630937501788,2,8,29,0.6852511372417212,True,174.41,0.581,0.509,34.3,20,70.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,11,4.266,221,8,5,1.135654441919178,0.4274180098436773,1,17,23,2.373246220871806,False,225.96,0.655,0.674,34.69,14,42.86,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,12,3.508,230,5,4,0.9765302228741348,0.4047039180994034,2,10,29,0.7895710226148367,True,190.14,0.616,0.578,33.39,14,50.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,13,1.759,107,10,2,0.7245466042309999,0.975573329720646,3,19,19,2.229505402967334,False,143.32,0.475,0.517,38.71,14,71.43,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,14,9.54,155,7,4,0.939285336714238,0.8889483997598291,2,3,15,1.9648549444973469,False,413.12,0.808,0.817,34.99,14,57.14,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,15,2.107,282,12,3,0.3473880518227816,0.7302808712236584,1,12,33,1.03078019246459,True,138.72,0.499,0.483,32.85,10,50.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,16,0.272,276,7,4,1.1605573176406323,1.13361691609025,3,20,14,1.4693500846624374,False,54.12,0.294,0.285,58.4,11,54.55,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,17,1.39,162,11,2,0.5686461992561818,0.4722630777396261,2,11,34,1.5342844650149343,True,115.44,0.497,0.435,41.28,10,90.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,18,2.999,100,5,5,0.7552719413302839,0.6070064367726445,1,13,30,2.2696339804679155,True,173.51,0.557,0.613,32.23,18,44.44,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,19,4.651,236,9,3,0.503274703770876,0.7876071411184966,2,5,18,0.7105592284351587,False,289.99,0.64,0.67,39.9,12,58.33,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,20,0.184,214,3,2,0.3705194357782602,0.9302368652075528,3,15,27,2.1261514592915773,True,48.64,0.279,0.223,73.81,14,42.86,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,21,4.838,147,8,4,0.9069254639558494,0.688991738576442,2,6,25,0.8151088003069162,False,243.93,0.694,0.641,34.99,14,64.29,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,22,11.909,190,6,3,0.6435310307890176,0.3317756926640868,1,17,13,1.1149080991744995,False,357.69,0.855,0.906,25.68,14,57.14,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,23,3.183,273,10,4,1.0632587137632072,1.0485005191527308,2,9,39,1.9279031828045845,True,257.2,0.58,0.665,46.86,11,45.45,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,24,0.054,258,4,3,0.9723578631877898,0.4469439432956278,2,15,26,2.106849966570735,False,18.99,0.199,0.163,70.57,25,40.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,25,0.923,178,9,5,0.3266210443340242,1.1584416657686232,1,6,22,0.9208227898925544,True,81.93,0.394,0.341,34.99,9,55.56,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,26,3.511,134,6,2,1.0120187759399415,0.8185756514780224,2,16,10,1.1503208093345163,True,249.45,0.592,0.664,42.06,22,54.55,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,27,1.247,205,11,4,0.7013618535362184,0.5755435416474939,3,8,38,1.838300857692957,False,191.3,0.481,0.454,73.81,7,71.43,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,28,4.555,245,6,5,0.6373809929005801,0.7204254646785557,2,18,17,1.262552347034216,True,214.48,0.697,0.688,32.82,10,50.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,29,6.184,119,11,3,1.1133549224585295,0.8992975238710642,1,9,35,1.7025022096931934,False,328.98,0.776,0.774,41.28,13,53.85,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,30,0.184,169,4,4,0.4487470800988376,1.0237221046350895,2,12,31,2.492542816326022,False,48.86,0.278,0.241,73.81,15,60.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,31,0.018,292,8,3,0.8163922738283873,0.3570484919473529,3,4,21,0.5584530290216208,True,9.02,0.139,0.124,69.62,8,50.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,32,3.258,288,6,3,1.0833498221822082,0.9469039301387964,3,13,21,1.522191071882844,False,226.21,0.623,0.621,43.26,18,50.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,33,0.771,174,10,5,0.6602989995852113,0.6582080701366066,2,4,27,1.458249943330884,True,79.34,0.364,0.331,37.48,9,55.56,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,34,7.85,114,4,2,0.9026267093606292,0.3081262425519526,1,20,37,0.7209429815411568,True,300.73,0.768,0.766,29.42,29,62.07,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,35,8.881,249,8,4,0.3694897675886751,1.0863780319690703,2,11,11,2.282931685447693,False,392.92,0.825,0.854,36.5,10,50.0,,,,,,,,,
SBER,retest_ols,1D,DiffEvolution,36,-0.019,202,5,4,0.5183123728260398,1.1098061277531088,3,18,35,0.8662484809756279,True,-17.8,0.08,0.065,75.22,8,50.0,,,,,,,,,
