ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
SBER,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":12,""popsize"":6,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,44.677,"{""lookback"":163,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":0.7362092182896754,""cluster_atr_mult"":0.48600274322143533,""confirmation_bars"":1,""cooldown_bars"":17,""retest_window"":31,""cancel_atr_mult"":0.6644381695522282,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,62,16,12,4,75.0,769536.79,-98931.98,124.44,,23.78,3859577.810000001,-227491.1600000003,883.87,1.2,1.33,0.0119,0.06,13,3,2,0,66.67,37765.36,0.0,37.67,,2.56,50424.77999999994,0.0,7.55,1.04,0.94,0.0027,0.11,75,19,14,4,73.68,712686.23,-98931.98,110.74,,23.78,3859577.810000001,-227491.1600000003,958.19,1.15,1.21,0.0111,0.05
SBER,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":12,""popsize"":6,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,42.72,"{""lookback"":153,""pivot_window"":4,""min_touches"":3,""tolerance_atr_mult"":0.8960538947013158,""cluster_atr_mult"":0.6859365707252084,""confirmation_bars"":2,""cooldown_bars"":11,""retest_window"":30,""cancel_atr_mult"":2.3348156287979682,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,86,20,15,5,75.0,795663.16,-155911.95,109.65,,31.91,4612577.34,-520136.2500000004,1115.54,1.22,1.32,0.0128,0.05,13,2,1,1,50.0,43914.32,-9934.62,73.0,,4.15,43914.32000000004,-9934.620000000166,3.4,0.4,0.38,0.0035,0.03,99,22,16,6,72.73,779305.82,-150058.79,106.32,,31.91,4612577.34,-520136.2500000004,1156.85,1.15,1.19,0.012,0.04
SBER,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":12,""popsize"":6,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,42.276,"{""lookback"":152,""pivot_window"":4,""min_touches"":3,""tolerance_atr_mult"":0.8753054412717957,""cluster_atr_mult"":0.5416228573067476,""confirmation_bars"":1,""cooldown_bars"":19,""retest_window"":21,""cancel_atr_mult"":1.0130406534123158,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,82,23,19,4,82.61,377764.73,-116353.52,78.0,,18.56,2643657.29,-276178.2399999998,671.21,1.17,1.25,0.0109,0.07,17,6,3,3,50.0,23545.63,-37381.48,22.5,,11.75,47439.0499999999,-50781.149999999965,-4.15,-0.32,-0.18,0.0046,-0.01,99,29,22,7,75.86,351018.13,-190060.32,66.52,,18.56,2643657.29,-391690.9499999997,639.2,1.06,1.08,0.0103,0.06
SBER,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":12,""popsize"":6,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,39.579,"{""lookback"":157,""pivot_window"":4,""min_touches"":3,""tolerance_atr_mult"":0.8933122448233439,""cluster_atr_mult"":0.6118192685550001,""confirmation_bars"":2,""cooldown_bars"":15,""retest_window"":28,""cancel_atr_mult"":1.7715537191317006,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,76,19,15,4,78.95,675743.71,-71237.15,114.74,,29.42,4140474.3,-116838.27000000044,985.12,1.18,1.28,0.0127,0.05,11,2,1,1,50.0,42885.6,-33231.78,85.0,,6.4,42885.60000000004,-33231.780000000086,0.97,0.13,0.13,0.0037,0.01,87,21,16,5,76.19,662599.46,-129130.11,111.9,,29.42,4140474.3,-360701.97000000096,995.59,1.1,1.15,0.0119,0.04
SBER,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":12,""popsize"":6,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,37.936,"{""lookback"":150,""pivot_window"":4,""min_touches"":4,""tolerance_atr_mult"":1.110765791371727,""cluster_atr_mult"":1.1306637428462616,""confirmation_bars"":2,""cooldown_bars"":17,""retest_window"":14,""cancel_atr_mult"":1.27221411828783,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,78,19,14,5,73.68,697996.2,-164835.47,117.32,,26.11,4456400.88,-398130.40999999986,894.78,1.11,1.22,0.0132,0.06,15,4,2,2,50.0,21298.53,-31170.9,33.5,,8.75,33850.62000000004,-45683.400000000074,-1.97,-0.12,-0.08,0.0048,-0.01,93,23,16,7,69.57,666877.63,-210397.39,107.13,,26.11,4456400.88,-475288.4000000007,919.73,1.02,1.1,0.0127,0.05
VKCO,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,2.618,"{""lookback"":145,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":1.0,""confirmation_bars"":2,""cooldown_bars"":19,""retest_window"":18,""cancel_atr_mult"":1.4,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,16,5,3,2,60.0,326013.4,-30539.0,104.4,,31.66,444770.99999999994,-38250.79999999983,91.7,0.9,1.06,0.0187,0.05,7,2,1,1,50.0,113133.65,-189792.9,165.5,,30.1,113133.65000000007,-189792.89999999997,-7.67,-0.04,-0.05,0.0172,-0.0,23,7,4,3,57.14,298050.34,-141495.73,127.29,,35.58,444770.99999999994,-363409.19999999995,76.77,0.57,0.72,0.0187,0.03
VKCO,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,2.589,"{""lookback"":139,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.4,""cluster_atr_mult"":0.9,""confirmation_bars"":2,""cooldown_bars"":19,""retest_window"":23,""cancel_atr_mult"":1.5,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,17,5,3,2,60.0,371245.2,-106631.6,81.6,,32.49,531878.7999999999,-211575.99999999988,90.05,0.93,0.98,0.0175,0.05,8,3,2,1,66.67,152783.4,-189792.9,93.0,,27.84,171019.8000000001,-189792.89999999997,11.58,0.39,0.47,0.0159,0.02,25,8,5,3,62.5,338273.93,-191179.13,90.62,,35.58,531878.7999999999,-360274.19999999995,111.78,0.73,0.85,0.0175,0.04
VKCO,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,2.469,"{""lookback"":110,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":1.2,""cluster_atr_mult"":1.05,""confirmation_bars"":1,""cooldown_bars"":11,""retest_window"":20,""cancel_atr_mult"":1.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,24,6,4,2,66.67,349809.3,-133011.1,77.5,,39.98,645847.1999999998,-194069.39999999985,113.32,0.87,0.8,0.0243,0.05,14,3,2,1,66.67,131943.05,-166320.0,88.33,,31.74,224678.80000000005,-166320.00000000003,9.76,0.35,0.41,0.0166,0.02,38,9,6,3,66.67,332213.82,-208306.87,85.22,,39.98,645847.1999999998,-358898.4,136.84,0.71,0.73,0.0223,0.04
VKCO,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,2.292,"{""lookback"":153,""pivot_window"":6,""min_touches"":2,""tolerance_atr_mult"":0.35,""cluster_atr_mult"":1.0,""confirmation_bars"":3,""cooldown_bars"":15,""retest_window"":20,""cancel_atr_mult"":2.2,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,17,7,4,3,57.14,223479.8,-24399.67,75.0,,31.65,378404.0000000001,-36168.399999999834,82.07,0.88,1.08,0.0174,0.05,5,2,0,2,0.0,0.0,-138231.3,138.0,,42.72,-84663.29999999994,-191799.29999999996,-27.65,-0.66,-0.75,0.0159,-0.02,22,9,4,5,44.44,230764.8,-116918.71,93.78,,47.44,378404.0000000001,-354756.5999999999,33.85,0.37,0.46,0.0175,0.01
VKCO,retest_ols,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,2.211,"{""lookback"":109,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":0.75,""cluster_atr_mult"":1.0,""confirmation_bars"":3,""cooldown_bars"":17,""retest_window"":14,""cancel_atr_mult"":2.1,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,16,5,4,1,80.0,295565.15,-111853.0,131.0,,39.98,420663.80000000005,-111853.0,107.04,0.83,0.9,0.0254,0.05,6,2,1,1,50.0,56512.8,-230982.4,86.0,,31.75,56512.80000000009,-230982.39999999997,-17.45,-0.46,-0.38,0.013,-0.02,22,7,5,2,71.43,246695.77,-287835.3,123.71,,41.44,420663.80000000005,-463817.5999999999,65.78,0.49,0.51,0.0222,0.03
