ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
VKCO,retest_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,14.431,"{""lookback"":104,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.75,""confirmation_bars"":2,""cooldown_bars"":12,""retest_window"":21,""cancel_atr_mult"":1.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,9,2,2,0,100.0,476424.8,0.0,116.5,,9.23,699573.6,253276.0,95.28,1.4,1.22,0.0111,0.17,2,1,1,0,100.0,44232.0,0.0,334.0,,30.1,44232.00000000013,44232.00000000013,4.42,0.23,0.36,0.0162,0.01,11,3,3,0,100.0,346409.13,0.0,189.0,,30.1,699573.6,86377.80000000026,103.92,0.85,1.01,0.0132,0.04
VKCO,retest_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,14.431,"{""lookback"":104,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.9,""confirmation_bars"":2,""cooldown_bars"":7,""retest_window"":17,""cancel_atr_mult"":1.8,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,11,2,2,0,100.0,476424.8,0.0,116.5,,9.23,699573.6,253276.0,95.28,1.4,1.22,0.0111,0.17,2,1,1,0,100.0,44232.0,0.0,334.0,,30.1,44232.00000000013,44232.00000000013,4.42,0.23,0.36,0.0162,0.01,13,3,3,0,100.0,346409.13,0.0,189.0,,30.1,699573.6,86377.80000000026,103.92,0.85,1.01,0.0132,0.04
VKCO,retest_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,14.431,"{""lookback"":105,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.75,""confirmation_bars"":2,""cooldown_bars"":13,""retest_window"":19,""cancel_atr_mult"":1.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,7,2,2,0,100.0,476424.8,0.0,116.5,,9.23,699573.6,253276.0,95.28,1.4,1.22,0.0111,0.17,3,1,1,0,100.0,44232.0,0.0,334.0,,30.1,44232.00000000013,44232.00000000013,4.42,0.23,0.36,0.0162,0.01,10,3,3,0,100.0,346409.13,0.0,189.0,,30.1,699573.6,86377.80000000026,103.92,0.85,1.01,0.0132,0.04
VKCO,retest_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,14.431,"{""lookback"":105,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.85,""confirmation_bars"":2,""cooldown_bars"":7,""retest_window"":17,""cancel_atr_mult"":1.7,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,11,2,2,0,100.0,476424.8,0.0,116.5,,9.23,699573.6,253276.0,95.28,1.4,1.22,0.0111,0.17,3,1,1,0,100.0,44232.0,0.0,334.0,,30.1,44232.00000000013,44232.00000000013,4.42,0.23,0.36,0.0162,0.01,14,3,3,0,100.0,346409.13,0.0,189.0,,30.1,699573.6,86377.80000000026,103.92,0.85,1.01,0.0132,0.04
VKCO,retest_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,14.431,"{""lookback"":105,""pivot_window"":6,""min_touches"":3,""tolerance_atr_mult"":0.45,""cluster_atr_mult"":0.8,""confirmation_bars"":2,""cooldown_bars"":14,""retest_window"":24,""cancel_atr_mult"":1.9,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,7,2,2,0,100.0,476424.8,0.0,116.5,,9.23,699573.6,253276.0,95.28,1.4,1.22,0.0111,0.17,3,1,1,0,100.0,44232.0,0.0,334.0,,30.1,44232.00000000013,44232.00000000013,4.42,0.23,0.36,0.0162,0.01,10,3,3,0,100.0,346409.13,0.0,189.0,,30.1,699573.6,86377.80000000026,103.92,0.85,1.01,0.0132,0.04
SBER,retest_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,54.481,"{""lookback"":250,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.5,""cluster_atr_mult"":0.75,""confirmation_bars"":3,""cooldown_bars"":16,""retest_window"":11,""cancel_atr_mult"":1.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,31,10,8,2,80.0,1263322.96,-74225.66,199.7,,23.78,6166826.1899999995,-90905.60000000003,995.81,1.3,1.38,0.0114,0.06,10,4,2,1,50.0,4907.14,-74780.4,17.5,,12.96,6217.889999999917,-74780.40000000002,-6.5,-0.33,-0.22,0.0056,-0.01,41,14,10,3,71.43,1021414.56,-322717.06,147.64,,23.78,6166826.1899999995,-819699.8400000003,924.6,1.17,1.2,0.0108,0.05
SBER,retest_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,43.66,"{""lookback"":237,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.85,""cluster_atr_mult"":0.9,""confirmation_bars"":3,""cooldown_bars"":11,""retest_window"":13,""cancel_atr_mult"":0.9,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,43,12,10,2,83.33,1261311.39,-81423.47,190.0,,34.99,8253964.619999998,-113781.00000000009,1245.03,1.23,1.33,0.0134,0.05,15,6,4,2,66.67,2326.28,-38390.1,34.17,,12.96,3677.999999999965,-53679.0000000001,-6.75,-0.31,-0.28,0.0073,-0.02,58,18,14,4,77.78,909877.4,-298947.59,138.06,,34.99,8253964.619999998,-722204.4000000014,1154.25,1.1,1.16,0.0127,0.04
SBER,retest_pivot,1D,False,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,42.476,"{""lookback"":247,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.85,""cluster_atr_mult"":1.05,""confirmation_bars"":3,""cooldown_bars"":15,""retest_window"":13,""cancel_atr_mult"":1.1,""allowshort"":false}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,42,12,10,2,83.33,1231631.38,-81975.47,187.0,,34.99,6631580.34,-114885.0000000001,1215.24,1.22,1.33,0.0133,0.05,16,6,4,2,66.67,2542.38,-60120.68,25.67,,13.24,3505.1999999999666,-98226.4000000001,-11.01,-0.71,-0.52,0.0059,-0.03,58,18,14,4,77.78,889292.34,-436447.73,133.22,,34.99,6631580.34,-1292290.0800000012,1070.43,1.08,1.13,0.0126,0.04
SBER,retest_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,42.077,"{""lookback"":255,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.85,""cluster_atr_mult"":0.9,""confirmation_bars"":3,""cooldown_bars"":5,""retest_window"":14,""cancel_atr_mult"":1.0,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,49,12,10,2,83.33,1214658.27,-78622.07,183.42,,34.99,6549335.1,-108178.20000000008,1198.93,1.23,1.31,0.0131,0.05,19,6,4,2,66.67,2542.38,-60120.68,25.67,,13.24,3505.1999999999666,-98226.4000000001,-11.01,-0.71,-0.52,0.0059,-0.03,68,18,14,4,77.78,877050.31,-429868.77,130.83,,34.99,6549335.1,-1276274.5600000012,1055.92,1.08,1.12,0.0124,0.04
SBER,retest_pivot,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,39.277,"{""lookback"":239,""pivot_window"":7,""min_touches"":3,""tolerance_atr_mult"":0.6,""cluster_atr_mult"":0.85,""confirmation_bars"":3,""cooldown_bars"":15,""retest_window"":11,""cancel_atr_mult"":0.8,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,35,10,8,2,80.0,1009231.51,-105896.78,189.5,,23.78,4898726.279999999,-143792.0,786.21,1.19,1.23,0.0114,0.06,12,4,3,1,75.0,12926.77,-53679.0,52.5,,12.96,19755.330000000056,-53679.0000000001,-1.49,-0.03,-0.02,0.0071,-0.0,47,14,11,3,78.57,765234.27,-229210.45,150.36,,23.78,4898726.279999999,-475837.8000000009,772.99,1.08,1.09,0.011,0.05
