ticker,strategy_type,timeframe,allowshort,method,optim_params,rank,composite_score,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end,IS_Количество сигналов,IS_Количество сделок,IS_Прибыльных сделок,IS_Убыточных сделок,IS_Процент прибыльных сделок,IS_Средняя прибыль,IS_Средний убыток,IS_Среднее время удержания (дней),IS_Среднее время удержания (часов),IS_Макс. просадка (%),IS_Макс. прибыль по сделке,IS_Макс. убыток по сделке,IS_Процент роста,IS_Sharpe,IS_Sortino,IS_Std. return,IS_Reward/Risk,OOS_Количество сигналов,OOS_Количество сделок,OOS_Прибыльных сделок,OOS_Убыточных сделок,OOS_Процент прибыльных сделок,OOS_Средняя прибыль,OOS_Средний убыток,OOS_Среднее время удержания (дней),OOS_Среднее время удержания (часов),OOS_Макс. просадка (%),OOS_Макс. прибыль по сделке,OOS_Макс. убыток по сделке,OOS_Процент роста,OOS_Sharpe,OOS_Sortino,OOS_Std. return,OOS_Reward/Risk,FULL_Количество сигналов,FULL_Количество сделок,FULL_Прибыльных сделок,FULL_Убыточных сделок,FULL_Процент прибыльных сделок,FULL_Средняя прибыль,FULL_Средний убыток,FULL_Среднее время удержания (дней),FULL_Среднее время удержания (часов),FULL_Макс. просадка (%),FULL_Макс. прибыль по сделке,FULL_Макс. убыток по сделке,FULL_Процент роста,FULL_Sharpe,FULL_Sortino,FULL_Std. return,FULL_Reward/Risk
GAZP,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,14.667,"{""rsi_lower"":25,""rsi_upper"":78,""rsi_window"":29,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,6,4,4,0,100.0,1074592.99,0.0,509.0,,25.82,1961396.1,269718.96,429.84,0.88,0.94,0.0122,0.04,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,6,4,4,0,100.0,1001558.15,0.0,627.75,,36.61,1961396.1,164378.12999999983,400.62,0.71,0.8,0.0133,0.03
GAZP,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,14.375,"{""rsi_lower"":28,""rsi_upper"":78,""rsi_window"":30,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,4,4,4,0,100.0,1056044.04,0.0,509.0,,25.83,1879701.6,241526.39999999997,422.42,0.88,0.93,0.0121,0.04,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,4,4,4,0,100.0,984031.3,0.0,627.75,,36.61,1879701.6,241526.39999999997,393.61,0.71,0.8,0.0132,0.03
GAZP,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,14.375,"{""rsi_lower"":30,""rsi_upper"":78,""rsi_window"":30,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,6,4,4,0,100.0,1056044.04,0.0,509.0,,25.83,1879701.6,241526.39999999997,422.42,0.88,0.93,0.0121,0.04,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,6,4,4,0,100.0,984031.3,0.0,627.75,,36.61,1879701.6,241526.39999999997,393.61,0.71,0.8,0.0132,0.03
GAZP,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,14.375,"{""rsi_lower"":28,""rsi_upper"":78,""rsi_window"":29,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,4,4,4,0,100.0,1056044.04,0.0,509.0,,25.83,1879701.6,241526.39999999997,422.42,0.88,0.93,0.0121,0.04,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,4,4,4,0,100.0,984031.3,0.0,627.75,,36.61,1879701.6,241526.39999999997,393.61,0.71,0.8,0.0132,0.03
GAZP,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,14.375,"{""rsi_lower"":28,""rsi_upper"":79,""rsi_window"":26,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,4,4,4,0,100.0,1056044.04,0.0,509.0,,25.83,1879701.6,241526.39999999997,422.42,0.88,0.93,0.0121,0.04,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,4,4,4,0,100.0,984031.3,0.0,627.75,,36.61,1879701.6,241526.39999999997,393.61,0.71,0.8,0.0132,0.03
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",1,3.467,"{""rsi_lower"":22,""rsi_upper"":71,""rsi_window"":29,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",2,3.467,"{""rsi_lower"":16,""rsi_upper"":71,""rsi_window"":30,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",3,3.467,"{""rsi_lower"":14,""rsi_upper"":72,""rsi_window"":27,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",4,3.467,"{""rsi_lower"":26,""rsi_upper"":71,""rsi_window"":29,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
VKCO,rsi,1D,True,DiffEvolution,"{""algorithm"":""differential_evolution"",""maxiter"":25,""popsize"":12,""seed"":42,""init"":""sobol"",""polish"":false,""tol"":0.0001,""objective"":""composite = Sharpe * (Return% / MaxDD%)""}",5,3.467,"{""rsi_lower"":20,""rsi_upper"":71,""rsi_window"":29,""allowshort"":true}",2014-01-01,2024-12-31,2025-01-01,2026-04-20,2014-01-01,2026-04-20,2,1,1,0,100.0,571838.0,0.0,514.0,,17.4,571838.0,571838.0,57.18,1.06,1.03,0.0101,0.06,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,2,1,1,0,100.0,631159.0,0.0,989.0,,17.4,631158.9999999999,631158.9999999999,63.12,0.85,0.91,0.0087,0.04
